"","Comp. 1","Comp. 2","Comp. 3","Comp. 4"
"M1162.58T906.276",2.9351,2.8298,2.8206,2.8203
"M1163.085T907.707",2.5861,2.5032,2.4944,2.4941
"M204.085T413.719",2.5584,2.4913,2.481,2.4807
"M726.284T1051.577",2.321,2.3653,2.3568,2.3565
"M1163.579T906.602",2.2115,2.1267,2.1178,2.1175
"M618.794T905.184",2.1643,2.1023,2.0935,2.0933
"M684.191T618.708",2.1182,2.0505,2.0446,2.0443
"M413.179T861.909",2.108,2.1027,2.0949,2.0953
"M969.698T320.725",2.106,2.027,2.0222,2.0234
"M1197.053T906.963",2.0946,2.0534,2.0466,2.0466
"M410.078T615.621",2.0577,2.0831,2.0792,2.0793
"M1163.56T905.015",2.0531,2.006,1.9976,1.9974
"M272.073T418.674",2.0426,2.2023,2.1931,2.1928
"M679.277T1051.577",1.8634,1.7857,1.7826,1.7831
"M260.967T89.826",1.8595,1.8422,1.8351,1.8348
"M387.034T831.689",1.8424,1.774,1.7666,1.7665
"M775.338T1039.594",1.8338,1.7601,1.7531,1.7529
"M641.302T1183.734",1.817,1.7612,1.7545,1.7542
"M1084.663T1198.774",1.8103,1.7494,1.7427,1.7428
"M311.104T1075.82",1.7876,1.7123,1.7052,1.7051
"M240.933T64.89",1.7569,1.7184,1.7168,1.7166
"M1134.038T907.684",1.7521,1.7128,1.7056,1.7055
"M319.076T917.392",1.7515,1.7025,1.6955,1.6953
"M471.046T618.546",1.7462,1.7037,1.6966,1.6969
"M529.184T941.182",1.741,1.6678,1.6713,1.6712
"M367.058T823.98",1.7262,1.6986,1.6923,1.6922
"M455.021T825.04",1.7009,1.6536,1.6468,1.6466
"M1014.419T974.744",1.6912,1.655,1.6483,1.6481
"M1193.041T904.79",1.669,1.7016,1.6945,1.6943
"M489.058T766.222",1.6506,1.5904,1.584,1.5839
"M687.305T1181.604",1.6486,1.5824,1.5758,1.5756
"M1192.04T901.764",1.6345,1.608,1.6013,1.6012
"M1109.422T909.522",1.6263,1.5578,1.5528,1.5527
"M1063.398T908.83",1.5867,1.5211,1.5175,1.5176
"M489.691T902.138",1.5801,1.5169,1.5126,1.5128
"M333.062T954.304",1.5721,1.5362,1.5316,1.5317
"M333.041T419.397",1.5713,1.615,1.6083,1.6082
"M440.855T1728.569",1.5668,1.5256,1.5192,1.5193
"M505.029T765.672",1.5599,1.5208,1.5153,1.5151
"M1176.528T983.06",1.5582,1.5846,1.5806,1.5804
"M293.118T1042.937",1.5505,1.506,1.4997,1.5007
"M343.103T489.112",1.5504,1.496,1.4899,1.4897
"M206.081T834.983",1.5495,1.5075,1.5014,1.5026
"M712.22T783.012",1.5463,1.4937,1.4891,1.489
"M1044.425T908.907",1.5342,1.4746,1.4692,1.469
"M389.108T489.956",1.5325,1.5079,1.5031,1.503
"M367.103T818.837",1.5312,1.4689,1.4633,1.4632
"M735.222T927.83",1.526,1.4617,1.456,1.4558
"M420.999T106.905",1.5191,1.4563,1.4503,1.4501
"M361.323T326.759",1.5009,1.4378,1.4319,1.4318
"M333.191T983.058",1.4955,1.4696,1.464,1.4643
"M323.187T1016.246",1.4926,1.4583,1.4524,1.4523
"M507.209T930.4",1.4897,1.4336,1.4278,1.4277
"M203.083T418.775",1.4882,1.5621,1.5555,1.5554
"M279.139T1150.344",1.4881,1.4933,1.4969,1.4967
"M923.402T931.508",1.4879,1.4564,1.4512,1.4511
"M951.397T1014.118",1.4711,1.4635,1.4629,1.4627
"M341.535T617.585",1.4711,1.4368,1.4313,1.4311
"M508.215T930.69",1.4706,1.4088,1.4029,1.4027
"M538.221T942.724",1.4702,1.4338,1.4336,1.4334
"M428.2T856.891",1.4691,1.4124,1.4068,1.4066
"M821.606T900.199",1.467,1.4056,1.3997,1.3996
"M721.31T972.44",1.4668,1.4084,1.4031,1.4029
"M469.208T948.545",1.4661,1.4043,1.4031,1.403
"M1611.697T937.933",1.4659,1.4223,1.4167,1.4167
