"","FC","log2(FC)","raw.pval","-log10(p)"
"M204.085T413.719",0.023274,-5.4252,7.8149e-05,4.1071
"M341.535T617.585",0.28992,-1.7863,0.00016321,3.7873
"M319.083T845.914",0.48375,-1.0477,0.00036205,3.4412
"M1163.56T905.015",11.091,3.4714,0.00037488,3.4261
"M438.049T766.588",0.34666,-1.5284,0.00043977,3.3568
"M505.029T765.672",0.24777,-2.0129,0.00078492,3.1052
"M487.212T857.117",0.29356,-1.7683,0.0012964,2.8873
"M723.346T899.128",0.43218,-1.2103,0.0013123,2.882
"M575.926T1053.198",0.38582,-1.374,0.0013579,2.8671
"M341.259T618.637",0.30699,-1.7037,0.0016932,2.7713
"M1163.579T906.602",17.793,4.1532,0.0018799,2.7259
"M260.967T89.826",0.13727,-2.8649,0.0020919,2.6795
"M341.31T626.276",0.29574,-1.7576,0.0022971,2.6388
"M543.282T933.008",0.4978,-1.0064,0.0023714,2.625
"M533.169T900.984",0.41571,-1.2664,0.0025662,2.5907
"M1162.58T906.276",121.92,6.9298,0.0029409,2.5315
"M684.191T618.708",0.067774,-3.8831,0.0031038,2.5081
"M317.064T416.942",0.30322,-1.7216,0.0033192,2.479
"M1014.782T1351.411",0.44037,-1.1832,0.0033835,2.4706
"M320.919T92.078",0.45345,-1.141,0.003575,2.4467
"M409.075T617.585",0.34252,-1.5457,0.0038298,2.4168
"M359.022T90.408",0.4238,-1.2385,0.0041187,2.3852
"M413.081T316.361",0.47455,-1.0754,0.0041563,2.3813
"M653.891T318.024",0.40894,-1.29,0.0043371,2.3628
"M618.794T905.184",15.166,3.9228,0.0044675,2.3499
"M295.104T156.471",0.47072,-1.0871,0.0045195,2.3449
"M545.298T995.647",0.4404,-1.1831,0.0045512,2.3419
"M555.17T790.902",0.43197,-1.211,0.0047607,2.3223
"M475.366T1425.395",0.39469,-1.3412,0.0051034,2.2921
"M751.173T317.266",0.47818,-1.0644,0.0051814,2.2856
"M398.263T1317.762",0.34909,-1.5183,0.0052414,2.2806
"M545.297T1155.639",0.36741,-1.4445,0.0052859,2.2769
"M347.091T1147.321",0.30556,-1.7105,0.0055374,2.2567
