"","Fold Change","log2(FC)"
"M204.085T413.719",154.29,7.2695
"M684.191T618.708",88.869,6.4736
"M272.073T418.674",53.94,5.7533
"M516.992T825.04",53.609,5.7444
"M433.039T456.919",42.611,5.4132
"M410.078T615.621",31.581,4.981
"M469.036T876.272",27.386,4.7754
"M433.122T384.02",26.15,4.7087
"M333.041T419.397",25.852,4.6922
"M365.528T823.98",25.722,4.685
"M449.004T832.738",24.844,4.6348
"M203.083T418.775",22.728,4.5064
"M379.565T877.71",18.205,4.1862
"M455.021T825.04",17.961,4.1668
"M365.052T459.24",17.833,4.1565
"M387.034T831.689",17.225,4.1064
"M433.038T831.69",16.448,4.0398
"M531.009T876.272",16.162,4.0145
"M319.076T917.392",13.866,3.7935
"M463.02T875.074",12.03,3.5886
"M339.058T415.891",10.606,3.4068
"M333.062T954.304",10.093,3.3353
"M263.13T940.795",9.1432,3.1927
"M407.173T414.983",8.8204,3.1408
"M824.341T916.725",8.4603,3.0807
"M402.053T876.272",8.0093,3.0017
"M759.145T875.232",7.7576,2.9556
"M857.325T1034.658",7.7422,2.9527
"M317.064T416.942",7.4319,2.8937
"M380.071T778.258",7.4045,2.8884
"M341.535T617.585",7.3506,2.8779
"M409.075T617.585",7.2184,2.8517
"M365.143T832.741",6.6795,2.7397
"M401.05T875.074",6.5966,2.7217
"M238.069T801.926",6.5063,2.7018
"M721.31T972.44",6.317,2.6592
"M341.465T625.973",6.276,2.6499
"M273.314T67.476",0.1667,-2.5846
"M661.142T919.275",5.9298,2.568
"M349.057T865.046",5.8254,2.5424
"M279.139T1150.344",5.7863,2.5326
"M975.202T831.412",5.6734,2.5042
"M384.092T841.195",5.2114,2.3817
"M379.067T781.128",4.8944,2.2911
"M365.136T768.138",4.8468,2.277
"M915.823T68.606",0.20975,-2.2532
"M429.141T889.195",4.7256,2.2405
"M951.397T1014.118",4.6992,2.2324
"M732.379T69.273",0.21508,-2.217
"M863.373T951.624",4.5455,2.1844
"M447.05T875.673",4.5059,2.1718
"M988.804T68.066",0.23816,-2.07
"M341.31T626.276",4.0246,2.0088
"M373.167T930.605",3.9093,1.9669
"M491.126T414.484",3.8519,1.9456
"M964.359T921.966",3.7817,1.919
"M923.402T931.508",3.7627,1.9118
"M1613.665T937.741",3.7589,1.9103
"M919.334T939.971",3.6167,1.8547
"M1014.419T974.744",3.614,1.8536
"M341.259T618.637",3.6016,1.8487
"M206.082T164.917",3.5287,1.8191
"M1134.038T907.684",0.28404,-1.8158
"M333.109T769.719",3.5163,1.8141
"M407.045T415.442",3.5079,1.8106
"M293.118T1042.937",3.4913,1.8038
"M413.179T861.909",3.4901,1.8033
"M503.143T589.731",3.4789,1.7986
"M324.072T215.478",3.4048,1.7676
"M728.269T963.544",3.3616,1.7491
"M712.22T783.012",3.3482,1.7434
"M937.334T882.127",3.3233,1.7326
"M1432.595T1048.493",3.2952,1.7204
"M1163.085T907.707",0.30683,-1.7045
"M395.28T1470.273",3.2469,1.6991
"M957.274T935.63",3.244,1.6978
"M481.183T769.795",3.2296,1.6913
"M643.245T933.361",3.2148,1.6847
"M806.978T940.468",3.1774,1.6679
"M289.12T769.482",3.1323,1.6472
"M1015.483T980.936",3.0613,1.6141
"M461.037T823.98",3.0215,1.5953
"M1163.56T905.015",0.33145,-1.5931
"M559.276T958.275",2.9727,1.5718
"M1611.697T937.933",2.9418,1.5567
"M871.351T913.248",2.9176,1.5448
"M349.056T728.324",2.8458,1.5088
"M806.921T938.616",2.8136,1.4924
"M1396.865T985.147",2.8019,1.4864
"M893.38T934.735",2.7968,1.4838
"M401.18T764.21",0.36482,-1.4548
"M1176.528T983.06",2.7259,1.4467
"M851.276T990.376",2.717,1.442
"M967.36T964.868",2.7143,1.4406
"M405.177T839.252",2.7025,1.4343
"M507.209T930.4",2.6924,1.4289
"M711.218T782.65",2.6718,1.4178
"M518.153T824.178",2.658,1.4104
"M884.8T66.979",0.37851,-1.4016
"M1130.437T924.326",2.6276,1.3938
"M180.067T785.272",2.6232,1.3913
"M467.156T971.498",2.6221,1.3907
"M804.318T962.853",2.6157,1.3872
"M389.108T489.956",0.3836,-1.3823
"M795.198T1006.041",2.5544,1.353
"M232.059T185.959",2.55,1.3505
"M798.851T67.54",0.39226,-1.3501
"M521.224T935.29",2.4691,1.304
"M728.88T67.591",0.40659,-1.2983
"M1044.425T908.907",2.4565,1.2966
"M895.304T938.238",2.4539,1.2951
"M237.04T858.99",2.4466,1.2908
"M732.876T67.374",0.40888,-1.2902
"M225.002T107.866",2.4434,1.2889
"M823.337T914.416",2.4346,1.2837
"M361.323T326.759",2.425,1.278
"M852.339T915.443",2.412,1.2702
"M565.05T98.887",0.41475,-1.2697
"M356.995T88.504",2.4049,1.266
"M895.29T938.858",2.4004,1.2633
"M313.119T883.187",2.3795,1.2506
"M475.366T1425.395",2.3732,1.2469
"M942.309T937.647",2.3578,1.2375
"M549.258T834.983",2.3511,1.2334
"M1193.041T904.79",0.42582,-1.2317
"M698.26T899.18",2.3466,1.2306
"M693.278T872.306",2.3331,1.2223
"M821.606T900.199",2.3077,1.2064
"M591.465T1235.608",2.3016,1.2026
"M564.929T1201.416",2.2973,1.2
"M696.3T853.355",2.2823,1.1905
"M1005.392T917.562",2.2776,1.1875
"M1132.537T923.907",2.274,1.1852
"M369.569T765.536",0.44104,-1.181
"M333.06T88.804",2.2616,1.1774
"M447.222T1194.448",2.2513,1.1708
"M503.126T874.193",2.2424,1.165
"M1035.367T890.845",2.2401,1.1636
"M1096.195T893.605",0.4482,-1.1578
"M1197.439T886.215",2.2278,1.1556
"M359.123T830.487",2.2229,1.1524
"M851.338T916.834",2.2218,1.1517
"M505.3T1291.082",2.1989,1.1368
"M699.093T985.159",2.1793,1.1239
"M775.338T1039.594",2.1748,1.1209
"M927.368T972.44",2.1649,1.1143
"M809.324T904.082",2.1637,1.1135
"M1243.514T983.057",2.1566,1.1087
"M808.342T938.944",2.154,1.107
"M868.801T68.637",0.46714,-1.0981
"M645.252T899.393",2.1382,1.0964
"M497.083T319.72",2.1379,1.0962
"M487.212T857.117",2.1307,1.0913
"M850.805T68.208",0.46967,-1.0903
"M807.007T938.915",2.1237,1.0866
"M357.108T784.337",2.117,1.082
"M385.113T835.894",2.0997,1.0702
"M1130.433T884.599",2.0923,1.0651
"M505.029T765.672",2.0849,1.06
"M311.186T1077.614",2.0837,1.0592
"M439.083T756.683",2.0727,1.0515
"M941.306T938.915",2.0613,1.0435
"M483.183T857.732",2.044,1.0314
"M429.074T115.482",2.0319,1.0228
"M245.094T862.962",2.0308,1.0221
"M587.201T848.147",2.0279,1.02
"M921.374T936.829",2.0276,1.0197
"M1105.431T888.552",2.023,1.0165
"M950.337T882.881",2.0128,1.0092
"M293.177T1099.499",2.0052,1.0038
"M508.215T930.69",2.0044,1.0032
"M418.896T66.885",2.0044,1.0031
