"","PC1","PC2","PC3","PC4","PC5","PC6"
"M375.07T470.729",0.025204,0.055072,0.01605,0.024183,0.035874,0.47795
"M354.093T469.671",0.026335,0.054561,0.017276,0.01814,0.034138,-0.21118
"M437.041T470.729",0.020769,0.056894,0.0085031,0.017806,0.030922,-0.4955
"M757.441T1176.453",-0.022547,-0.01008,0.03456,0.022954,0.072006,-0.26623
"M881.515T1351.787",0.0081724,0.0040745,0.05491,-0.0055898,0.0020337,-0.60064
"M511.24T944.134",0.027516,0.027498,0.031089,0.018441,-0.031083,0.0030839
"M557.187T899.436",0.033639,-0.010087,0.022124,0.015332,0.050078,0.0084554
"M1029.931T1194.947",-0.0047907,0.071102,0.046686,-0.034908,0.036261,0.0069567
"M337.092T724.593",0.00011216,0.052965,0.06247,0.013953,0.05234,-0.011047
"M1013.86T1346.532",0.027728,0.024618,0.035067,0.018387,0.024725,-0.011438
"M941.508T1318.851",0.0083262,0.013095,0.047625,0.034516,-0.045103,0.0016996
"M1085.513T1348.399",0.029889,0.023517,0.032499,0.0023868,-0.027903,0.0098093
"M466.978T106.664",0.026429,0.013129,0.026604,-0.0059316,-0.037403,0.0097377
"M861.451T1062.153",0.0074768,-0.0032965,0.067026,0.011502,-0.021812,-0.0076064
"M1059.606T1053.565",0.023884,0.023252,0.075717,0.016518,0.031456,0.012309
"M1096.195T893.605",-0.026828,0.040071,0.019667,-0.016203,-0.087775,-0.0029636
"M180.067T785.272",0.051861,0.012908,0.019711,-0.001455,0.030591,0.0066368
"M633.053T106.254",0.027508,0.0049735,0.035116,-0.0045132,-0.0073726,-0.0052073
"M1014.89T1344.191",0.024749,0.050966,0.017613,-0.01424,0.015663,0.00057113
"M1269.507T907.7",-0.034336,0.034549,0.047667,-0.025039,-0.014259,0.012472
"M985.574T1225.672",0.020232,0.053554,0.020265,0.0055196,0.01585,0.0035839
"M1030.586T1195.906",0.012562,0.033265,0.037186,0.0094054,-0.010131,0.0013233
"M983.568T1252.43",-0.0097117,0.016526,-0.0060102,-0.010645,0.048377,0.0066841
"M457.19T799.683",0.0037845,0.050872,0.040326,-0.00287,0.0035767,-0.0066691
"M821.506T1329.663",-0.00084645,0.059555,0.016463,0.020497,0.0071255,0.014168
"M768.448T1315.096",0.027424,0.02854,0.021159,0.026134,0.016574,0.0090201
"M309.118T727.508",-0.0087375,0.010524,-0.030411,-0.064378,0.036276,0.017186
"M655.999T943.196",0.0019967,0.015604,0.062225,-0.036556,-0.02059,0.007542
"M565.05T98.887",-0.031948,0.05099,0.011029,0.01882,0.077206,-0.0078222
"M277.129T811.716",0.011891,0.067286,0.0072328,0.027278,-0.0012827,1.8014e-05
"M1097.561T894.34",-0.027947,0.014539,0.055292,-0.027801,0.061547,0.022505
"M921.374T936.829",0.051233,0.024928,-0.014483,-0.018098,0.011097,-0.0012786
"M451.007T107.467",0.030275,0.017251,0.041279,-0.00079189,-0.026013,-0.0042834
