"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5"
"M375.07T470.729",0.021214,-0.049632,0.05632,-0.0082611,0.024244
"M354.093T469.671",0.022381,-0.049825,0.051793,-0.011804,0.025566
"M437.041T470.729",0.016306,-0.052954,0.046713,-0.0054453,0.021761
"M757.441T1176.453",-0.020677,0.029596,0.052527,-0.0027862,0.057736
"M881.515T1351.787",0.0092142,0.008195,0.026999,-0.050744,0.011678
"M511.24T944.134",0.026195,-0.023755,0.031067,-0.034074,-0.030994
"M557.187T899.436",0.035785,0.0093985,0.034542,0.00012514,0.040114
"M1029.931T1194.947",-0.010345,-0.05412,0.033786,-0.059451,0.055467
"M337.092T724.593",-0.0028995,-0.028904,0.07702,-0.048378,0.049492
"M1013.86T1346.532",0.026922,-0.018128,0.048302,-0.023497,0.018828
"M941.508T1318.851",0.0085724,0.00034755,0.042542,-0.043349,-0.048712
"M1085.513T1348.399",0.02887,-0.021894,0.019404,-0.039429,-0.020896
"M466.978T106.664",0.026071,-0.014134,0.0036824,-0.037341,-0.026584
"M861.451T1062.153",0.0095518,0.019344,0.036695,-0.059603,-0.01561
"M1059.606T1053.565",0.024157,-0.004902,0.069863,-0.058081,0.030978
"M1096.195T893.605",-0.030694,-0.029162,-0.013505,-0.052593,-0.066833
"M180.067T785.272",0.051897,-0.019847,0.023279,-0.013186,0.030598
"M633.053T106.254",0.028207,-0.0034215,0.015129,-0.035388,0.00027483
"M1014.89T1344.191",0.020791,-0.049972,0.021197,-0.027331,0.023697
"M1269.507T907.7",-0.036977,-0.012847,0.014021,-0.061474,0.0057022
"M985.574T1225.672",0.016211,-0.048377,0.038245,-0.023136,0.015425
"M1030.586T1195.906",0.010664,-0.023559,0.035453,-0.038767,-0.007489
"M983.568T1252.43",-0.011435,-0.013594,0.0085091,0.009822,0.047102
"M457.19T799.683",0.00019134,-0.03735,0.037935,-0.046207,0.010934
"M821.506T1329.663",-0.0056701,-0.04795,0.04672,-0.017802,0.00063568
"M768.448T1315.096",0.025958,-0.024873,0.045712,-0.011268,0.006395
"M309.118T727.508",-0.01098,-0.020809,-0.050075,0.010556,0.057091
"M655.999T943.196",0.0017766,-0.0027887,0.0051457,-0.076044,0.0067715
"M565.05T98.887",-0.036338,-0.03072,0.059565,0.0051452,0.062424
"M277.129T811.716",0.0063307,-0.060623,0.047283,-0.010896,-0.010885
