"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"M204.085T413.719",3.3836,3.2615,3.2595,3.2594,3.2594
"M272.073T418.674",3.1179,3.1023,3.1006,3.1006,3.1006
"M516.992T825.04",3.079,2.9722,2.9703,2.9703,2.9703
"M684.191T618.708",3.058,2.9679,2.9662,2.9662,2.9662
"M433.039T456.919",2.8868,2.793,2.7913,2.7913,2.7913
"M469.036T876.272",2.875,2.8418,2.8403,2.8403,2.8403
"M449.004T832.738",2.8505,2.7248,2.7232,2.7232,2.7232
"M365.528T823.98",2.7997,2.6762,2.6745,2.6745,2.6745
"M410.078T615.621",2.7565,2.7123,2.7106,2.7106,2.7106
"M333.041T419.397",2.674,2.6147,2.6136,2.6136,2.6136
"M455.021T825.04",2.6468,2.5304,2.5288,2.5288,2.5288
"M379.565T877.71",2.6404,2.524,2.5224,2.5223,2.5223
"M531.009T876.272",2.6268,2.5119,2.5104,2.5104,2.5104
"M203.083T418.775",2.6067,2.5593,2.5584,2.5583,2.5583
"M387.034T831.689",2.6048,2.49,2.4885,2.4884,2.4884
"M365.052T459.24",2.5905,2.4795,2.4779,2.4779,2.4779
"M433.122T384.02",2.5489,2.4995,2.4988,2.4987,2.4987
"M433.038T831.69",2.533,2.4259,2.4244,2.4243,2.4243
"M319.076T917.392",2.4567,2.3497,2.3487,2.3486,2.3486
"M333.062T954.304",2.4558,2.349,2.3477,2.3477,2.3477
"M463.02T875.074",2.4081,2.3122,2.3108,2.3107,2.3107
"M339.058T415.891",2.2842,2.2715,2.2707,2.2706,2.2706
"M263.13T940.795",2.2578,2.1603,2.159,2.159,2.159
"M402.053T876.272",2.2247,2.1424,2.1411,2.141,2.141
"M857.325T1034.658",2.2108,2.1336,2.1328,2.1328,2.1328
"M407.173T414.983",2.125,2.0456,2.046,2.046,2.046
"M238.069T801.926",2.1113,2.026,2.0248,2.0247,2.0247
"M401.05T875.074",2.1106,2.0223,2.021,2.021,2.021
"M380.071T778.258",2.1081,2.0175,2.0164,2.0164,2.0164
"M317.064T416.942",2.0999,2.039,2.038,2.038,2.038
"M824.341T916.725",2.0935,2.085,2.0837,2.0836,2.0836
"M759.145T875.232",2.0571,1.9667,1.9656,1.9656,1.9656
"M721.31T972.44",2.0301,1.9427,1.9415,1.9414,1.9414
"M341.535T617.585",2.0287,1.9633,1.9626,1.9626,1.9626
"M409.075T617.585",1.9445,1.8877,1.8876,1.8875,1.8875
"M661.142T919.275",1.9385,1.8533,1.8524,1.8524,1.8524
"M384.092T841.195",1.9214,1.8707,1.8695,1.8695,1.8695
"M951.397T1014.118",1.9079,1.8582,1.857,1.857,1.857
"M447.05T875.673",1.8965,1.8222,1.8211,1.8211,1.8211
"M429.141T889.195",1.893,1.8422,1.8412,1.8412,1.8412
"M365.143T832.741",1.8885,1.8056,1.8048,1.8047,1.8047
"M365.136T768.138",1.8865,1.8294,1.8285,1.8285,1.8285
"M915.823T68.606",1.8793,1.8552,1.8542,1.8541,1.8541
"M379.067T781.128",1.874,1.8013,1.8002,1.8002,1.8002
"M863.373T951.624",1.8643,1.7935,1.7924,1.7924,1.7924
"M341.465T625.973",1.8187,1.7572,1.7577,1.7577,1.7577
"M988.804T68.066",1.817,1.7957,1.7952,1.7951,1.7951
"M957.274T935.63",1.8126,1.8696,1.8685,1.8685,1.8685
"M975.202T831.412",1.7993,1.7423,1.7416,1.7416,1.7416
"M732.379T69.273",1.7962,1.7681,1.7686,1.7686,1.7686
"M349.057T865.046",1.7838,1.714,1.7136,1.7136,1.7136
"M964.359T921.966",1.7758,1.7653,1.7642,1.7642,1.7642
"M923.402T931.508",1.739,1.6776,1.6767,1.6767,1.6767
"M293.118T1042.937",1.7362,1.66,1.6596,1.6595,1.6595
"M1613.665T937.741",1.7321,1.659,1.6588,1.6588,1.6588
"M373.167T930.605",1.7219,1.6771,1.6764,1.6764,1.6764
"M919.334T939.971",1.7035,1.6284,1.6274,1.6273,1.6273
"M491.126T414.484",1.6997,1.6298,1.6291,1.6291,1.6291
"M333.109T769.719",1.6958,1.6269,1.6269,1.6269,1.6269
"M407.045T415.442",1.6954,1.6323,1.6314,1.6314,1.6314
"M279.139T1150.344",1.6881,1.6514,1.6518,1.6518,1.6518
"M413.179T861.909",1.677,1.727,1.7265,1.7265,1.7265
"M341.31T626.276",1.6753,1.6077,1.6075,1.6075,1.6075
"M1014.419T974.744",1.6553,1.6073,1.6065,1.6065,1.6065
"M1134.038T907.684",1.6531,1.5922,1.5912,1.5911,1.5911
"M324.072T215.478",1.6512,1.7063,1.7056,1.7056,1.7056
"M728.269T963.544",1.6293,1.5911,1.5901,1.5901,1.5901
"M395.28T1470.273",1.6257,1.5541,1.5532,1.5532,1.5532
"M341.259T618.637",1.6199,1.5532,1.553,1.553,1.553
"M1015.483T980.936",1.6148,1.6159,1.6149,1.6149,1.6149
"M937.334T882.127",1.6081,1.5391,1.5384,1.5383,1.5383
"M1163.56T905.015",1.597,1.5525,1.5545,1.5545,1.5545
"M289.12T769.482",1.5934,1.5312,1.5305,1.5305,1.5305
"M967.36T964.868",1.5907,1.5643,1.5639,1.5639,1.5639
"M461.037T823.98",1.5883,1.5624,1.5614,1.5614,1.5614
"M559.276T958.275",1.5804,1.5134,1.5124,1.5124,1.5124
"M237.04T858.99",1.5753,1.5199,1.52,1.52,1.52
"M503.143T589.731",1.5698,1.5078,1.5074,1.5074,1.5074
"M481.183T769.795",1.5639,1.5327,1.5319,1.5318,1.5318
"M1176.528T983.06",1.5366,1.5725,1.5718,1.5718,1.5718
"M1163.085T907.707",1.5352,1.468,1.47,1.47,1.47
"M806.978T940.468",1.5199,1.4663,1.4654,1.4654,1.4654
"M893.38T934.735",1.5174,1.4986,1.4976,1.4976,1.4976
"M712.22T783.012",1.5116,1.4518,1.4519,1.4519,1.4519
"M206.082T164.917",1.5116,1.4449,1.4443,1.4443,1.4443
"M273.314T67.476",1.5005,1.7145,1.7136,1.7136,1.7136
"M806.921T938.616",1.4903,1.4331,1.4322,1.4322,1.4322
"M871.351T913.248",1.4863,1.4272,1.4263,1.4263,1.4263
"M851.276T990.376",1.4842,1.4274,1.4266,1.4266,1.4266
"M232.059T185.959",1.4665,1.4272,1.4264,1.4263,1.4263
"M405.177T839.252",1.4491,1.3947,1.3947,1.3947,1.3946
"M852.339T915.443",1.4288,1.3661,1.3652,1.3652,1.3652
"M1130.437T924.326",1.4258,1.3974,1.3965,1.3965,1.3965
"M507.209T930.4",1.425,1.3674,1.3668,1.3667,1.3667
"M475.366T1425.395",1.421,1.3704,1.3696,1.3695,1.3695
"M521.224T935.29",1.4206,1.3638,1.363,1.363,1.363
"M804.318T962.853",1.4105,1.4061,1.4053,1.4053,1.4053
"M643.245T933.361",1.4007,1.355,1.3542,1.3542,1.3542
"M349.056T728.324",1.4005,1.3399,1.3402,1.3402,1.3402
"M1432.595T1048.493",1.3982,1.351,1.3504,1.3504,1.3504
"M313.119T883.187",1.391,1.4081,1.4072,1.4073,1.4073
"M884.8T66.979",1.3907,1.3817,1.3849,1.3849,1.3849
"M549.258T834.983",1.3861,1.4042,1.4036,1.4036,1.4036
"M180.067T785.272",1.3796,1.3272,1.3265,1.3265,1.3265
"M942.309T937.647",1.3792,1.3637,1.363,1.363,1.363
"M823.337T914.416",1.3656,1.3282,1.3274,1.3274,1.3274
"M564.929T1201.416",1.3605,1.3322,1.3317,1.3317,1.3317
"M711.218T782.65",1.3501,1.304,1.3037,1.3037,1.3037
"M518.153T824.178",1.3479,1.2945,1.2937,1.2937,1.2937
"M696.3T853.355",1.3451,1.3084,1.3082,1.3082,1.3082
"M369.569T765.536",1.3416,1.2837,1.2844,1.2844,1.2844
"M895.304T938.238",1.3369,1.2836,1.2828,1.2828,1.2828
"M1035.367T890.845",1.3319,1.2746,1.2738,1.2738,1.2738
"M851.338T916.834",1.3319,1.2783,1.2775,1.2775,1.2775
"M447.222T1194.448",1.321,1.3279,1.3279,1.3278,1.3278
"M401.18T764.21",1.3167,1.3798,1.3797,1.3797,1.3797
"M798.851T67.54",1.3148,1.3016,1.3027,1.3027,1.3027
"M505.3T1291.082",1.3145,1.2891,1.2883,1.2883,1.2883
"M356.995T88.504",1.3102,1.255,1.2543,1.2542,1.2542
"M1132.537T923.907",1.3093,1.2515,1.251,1.2509,1.2509
"M1005.392T917.562",1.3085,1.2595,1.2588,1.2588,1.2588
"M1243.514T983.057",1.3021,1.2486,1.2481,1.2481,1.2481
"M1197.439T886.215",1.3008,1.2505,1.2499,1.2499,1.2499
"M467.156T971.498",1.2992,1.2511,1.2521,1.252,1.252
"M1396.865T985.147",1.2977,1.2501,1.2528,1.2528,1.2528
"M775.338T1039.594",1.2894,1.2504,1.2501,1.2501,1.2501
"M439.083T756.683",1.2863,1.2619,1.2611,1.2611,1.2611
"M1193.041T904.79",1.2859,1.3183,1.3198,1.3198,1.3198
"M1130.433T884.599",1.2837,1.2313,1.2306,1.2305,1.2305
"M821.606T900.199",1.2831,1.2277,1.227,1.227,1.227
"M699.093T985.159",1.2694,1.267,1.2671,1.2671,1.2671
"M391.157T830.263",1.2687,1.4188,1.4184,1.4184,1.4184
"M497.083T319.72",1.266,1.3047,1.3048,1.3048,1.3048
"M693.278T872.306",1.2641,1.2132,1.2134,1.2133,1.2133
"M591.465T1235.608",1.2605,1.3312,1.3307,1.3307,1.3307
"M809.324T904.082",1.2592,1.2325,1.2319,1.2319,1.2319
"M359.123T830.487",1.2511,1.2579,1.2572,1.2572,1.2572
"M385.113T835.894",1.2506,1.2513,1.2513,1.2513,1.2513
"M950.337T882.881",1.243,1.245,1.2443,1.2442,1.2442
"M808.342T938.944",1.243,1.2082,1.2076,1.2076,1.2076
"M401.049T776.54",1.2414,1.1895,1.1889,1.1889,1.1889
"M732.876T67.374",1.2396,1.3401,1.3393,1.3393,1.3393
"M311.186T1077.614",1.2388,1.1892,1.1889,1.1889,1.1889
"M850.805T68.208",1.2332,1.2129,1.2122,1.2123,1.2123
"M1463.523T939.044",1.231,1.3282,1.3277,1.3278,1.3278
"M702.25T942.066",1.2228,1.1708,1.1702,1.1701,1.1701
"M333.135T1582.426",1.2195,1.1957,1.195,1.195,1.195
"M361.323T326.759",1.2138,1.1793,1.1796,1.1796,1.1796
"M487.212T857.117",1.2104,1.1619,1.1619,1.1619,1.1619
"M341.088T439.204",1.208,1.1549,1.1543,1.1543,1.1543
"M1094.946T896.052",1.204,1.187,1.1867,1.1867,1.1867
"M455.081T744.378",1.1966,1.1573,1.1566,1.1566,1.1566
"M698.26T899.18",1.1964,1.1894,1.1899,1.1899,1.1899
"M357.108T784.337",1.192,1.1415,1.141,1.141,1.141
"M728.88T67.591",1.19,1.3222,1.3216,1.3216,1.3216
"M1007.373T920.82",1.1847,1.1496,1.1489,1.1488,1.1488
"M587.201T848.147",1.181,1.129,1.1283,1.1283,1.1283
"M1094.047T894.516",1.1779,1.1261,1.1254,1.1254,1.1254
"M1095.84T892.791",1.1779,1.3656,1.3656,1.3655,1.3655
"M645.252T899.393",1.1752,1.124,1.1236,1.1236,1.1236
"M293.177T1099.499",1.1749,1.1254,1.1247,1.1247,1.1247
"M398.263T1317.762",1.1746,1.1539,1.1532,1.1532,1.1532
"M1105.431T888.552",1.1738,1.1248,1.1245,1.1245,1.1245
"M921.374T936.829",1.1692,1.1739,1.1731,1.1731,1.1731
"M429.074T115.482",1.1691,1.1175,1.1172,1.1171,1.1171
"M843.287T936.679",1.1687,1.1665,1.1658,1.1657,1.1657
"M1614.109T935.709",1.1666,1.1194,1.1188,1.1187,1.1187
"M950.342T882.081",1.1658,1.1848,1.184,1.184,1.184
"M873.638T939.705",1.1642,1.2375,1.237,1.237,1.237
"M483.183T857.732",1.1627,1.1115,1.1108,1.1108,1.1108
"M941.306T938.915",1.1626,1.1314,1.1308,1.1308,1.1308
