"","sample","condition","sodium_formate","M375.07T470.729","M354.093T469.671","M437.041T470.729","M757.441T1176.453","M881.515T1351.787","M511.24T944.134","M557.187T899.436"
"1","X02.C12.2.neg","Control",36356.68429,53854.7379,33093.7363,10634.0974,15834.8994,9063.4097,24041.2917,6502.0812
"2","X18.C12.3.neg","Control",36475.958,21693.2307,13809.0422,4613.9787,15999.7379,11624.2264,23298.2399,4464.9253
"3","X33.C12.4.neg","Control",38037.10154,44825.5197,28888.2772,9527.0293,6306.3429,10161.5365,39467.8223,4205.3902
"4","X12.D12.2.neg","Drought",24379.5029,32847.429,21974.7847,6168.5989,6424.2897,8733.3806,24487.2196,6476.0402
"5","X28.D12.3.neg","Drought",24067.49696,46337.6789,28875.5319,7908.8229,7364.4812,9050.9379,35644.3567,6576.7821
"6","X44.D12.1.neg","Drought",4791.109597,876.28796,0,212.75686,0,0,0,0
"7","X52.D12.4.neg","Drought",46229.05891,35087.243,22265.5727,7192.0376,9290.1025,10541.2193,34855.9237,8816.36
"8","X05.F12.4.neg","Fusarium",15034.7638,56774.4485,38193.4389,12388.7509,14375.4,10906.8216,26346.6644,3991.7726
"9","X22.F12.1.neg","Fusarium",5203.542746,68054.6405,42310.9145,12789.3672,10234.1232,8818.7974,26361.9751,2555.9935
"10","X38.F12.2.neg","Fusarium",13165.026,57164.8254,39137.3024,13053.9787,7302.7997,9832.08,41936.2581,3561.0242
"11","X43.F12.3.neg","Fusarium",18752.09783,70969.4114,44049.5636,14517.2379,18034.4621,14844.9287,36087.08,3869.874
"12","X09.X12.3.neg","Xanthomonas",5376.874366,1040,0,158,0,0,0,0
"13","X32.X12.2.neg","Xanthomonas",26380.92488,70434.6155,46899.3489,13733.4267,9220.993,12194.5114,51755.9307,16238.831
"14","X41.X12.1.neg","Xanthomonas",21733.08686,103290.8089,68268.343,21605.7946,8761.4365,13381.044,34204.7132,6306.588
"15","X53.Blank.neg","Other",9733.549522,728.3991,179.4435,1506.2419,0,756.8807,0,0
"16","X10.QC1.neg","Other",40652.91743,34258.2139,25510.7259,6718.6296,7785.5575,6674.1144,30310.4466,4704.1154
"17","X24.QC.2.neg","Other",44568.976,43417.6251,27513.0066,7591.2533,9466.5997,10406.8105,22963.2916,4722.3411
"18","X39.QC3.neg","Other",42179.90343,46642.6188,28553.341,7517.1654,16648.731,8267.5326,22348.8064,5883.2034
