"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg"
"Label","Control","Control","Control","Fusarium","Fusarium","Fusarium","Fusarium"
"M375.07T470.729","-0.3711407","-0.9659153","-0.5201963"," 0.2387832"," 1.0484334"," 0.3298041"," 0.2402315"
"M354.093T469.671","-0.3985668","-0.9692056","-0.5163585"," 0.2690134"," 1.0257538"," 0.3712734"," 0.2180903"
"M437.041T470.729","-0.4101670","-0.9615254","-0.5121948"," 0.2710878"," 0.9899095"," 0.3928408"," 0.2300491"
"M757.441T1176.453","-0.25155188","-0.24628903","-0.96942851"," 0.33288723"," 0.86895440","-0.07178936"," 0.33721715"
"M881.515T1351.787","-0.6208564","-0.4286386","-0.5667063"," 0.2152311"," 0.8794029"," 0.2379802"," 0.2835872"
"M511.24T944.134","-0.64655062","-0.67241370","-0.31046860"," 0.08046027"," 0.87238905"," 0.52626102"," 0.15032257"
"M557.187T899.436","-0.1450957","-0.4944403","-0.5882334"," 0.2189737"," 0.7858479"," 0.2361247","-0.0131769"
"M1029.931T1194.947","-0.23887224","-0.66259761","-0.29564794"," 0.03099519"," 0.83687997","-0.09343501"," 0.42267764"
"M337.092T724.593","-0.33547292","-0.61645597","-0.66516017"," 0.24383215"," 1.23530003"," 0.08748954"," 0.05046735"
"M1013.86T1346.532","-0.43111828","-0.67839281","-0.51714573"," 0.40536614"," 0.97199669"," 0.17150557"," 0.07778842"
"M941.508T1318.851","-0.69391553","-0.39348093","-0.35586581"," 0.23529670"," 0.99504544"," 0.13365716"," 0.07926296"
"M1085.513T1348.399","-0.65057965","-0.65047782","-0.29768107"," 0.22783174"," 0.90889026"," 0.41576554"," 0.04625101"
"M466.978T106.664","-0.62832495","-0.52312145","-0.22237354"," 0.07851472"," 0.89908819"," 0.28166149"," 0.11455554"
"M861.451T1062.153","-0.6462146","-0.2090819","-0.4471282"," 0.3020417"," 1.0716841","-0.1786131"," 0.1073120"
"M1059.606T1053.565"," 0.5187966"," 0.4849533"," 0.3674142"," 0.3543527","-1.0245417","-0.5271506","-0.1738245"
"M1096.195T893.605","-1.0180430","-0.4553474","-0.1202151"," 0.5394426"," 0.6987487"," 0.5420752","-0.1866609"
"M180.067T785.272","-0.5629484","-1.0123491","-0.6269428"," 0.2340563"," 0.9063237"," 0.5419422"," 0.5199181"
"M633.053T106.254","-0.5648212","-0.5137487","-0.3972999"," 0.1040856"," 0.8180315"," 0.3023259"," 0.2514267"
"M1014.89T1344.191","-0.3739697","-0.7967024","-0.2810775"," 0.3706390"," 0.9382606"," 0.2991479","-0.1562979"
"M1269.507T907.7","-0.64019774","-0.16260216","-0.39543585"," 0.06873051"," 1.04750847"," 0.06504061"," 0.01695616"
"M985.574T1225.672","-0.29633927","-0.77663177","-0.25405528"," 0.07109029"," 0.71599602"," 0.41894432"," 0.12099570"
"M1030.586T1195.906","-0.46444124","-0.49251704","-0.29932086"," 0.23953413"," 0.90998251"," 0.18476902","-0.07800652"
"M983.568T1252.43","-0.44542109","-0.61433090","-0.64113394"," 0.53240818"," 1.07625904"," 0.14635444","-0.05413574"
