"","Fold Change","log2(FC)"
"M279.139T1150.344",294.62,8.2027
"M293.118T1042.937",76.397,6.2554
"M433.039T456.919",74.59,6.2209
"M204.085T413.719",71.058,6.1509
"M516.992T825.04",68.964,6.1078
"M469.036T876.272",68.345,6.0948
"M410.078T615.621",45.38,5.504
"M387.034T831.689",42.759,5.4181
"M365.528T823.98",42.562,5.4115
"M365.052T459.24",39.688,5.3106
"M531.009T876.272",38.888,5.2812
"M449.004T832.738",38.744,5.2759
"M463.02T875.074",33.695,5.0744
"M379.565T877.71",32.476,5.0213
"M1611.697T937.933",32.362,5.0162
"M380.071T778.258",28.306,4.8231
"M455.021T825.04",27.324,4.7721
"M413.179T861.909",26.745,4.7412
"M319.076T917.392",23.894,4.5786
"M433.038T831.69",20.749,4.375
"M379.067T781.128",20.495,4.3572
"M1613.665T937.741",19.324,4.2723
"M365.143T832.741",19.148,4.2591
"M975.202T831.412",18.76,4.2296
"M401.05T875.074",18.459,4.2063
"M684.191T618.708",18.139,4.181
"M447.05T875.673",17.087,4.0949
"M471.117T721.976",16.474,4.0422
"M895.29T938.858",15.808,3.9826
"M402.053T876.272",15.425,3.9472
"M857.325T1034.658",15.314,3.9368
"M964.359T921.966",15.262,3.9319
"M341.535T617.585",13.133,3.7151
"M430.136T769.014",12.944,3.6942
"M661.142T919.275",12.672,3.6636
"M867.206T809.129",12.42,3.6346
"M967.36T964.868",12.367,3.6284
"M775.338T1039.594",12.261,3.616
"M1462.085T939.347",11.603,3.5364
"M759.145T875.232",11.273,3.4948
"M333.062T954.304",11.155,3.4797
"M1396.865T985.147",11.093,3.4716
"M341.465T625.973",10.627,3.4097
"M1014.419T974.744",10.472,3.3885
"M781.183T974.609",10.421,3.3814
"M957.274T935.63",10.378,3.3754
"M409.075T617.585",10.357,3.3725
"M483.129T913.248",10.3,3.3646
"M942.309T937.647",10.042,3.328
"M821.606T900.199",9.6883,3.2762
"M1130.437T924.326",9.6491,3.2704
"M341.31T626.276",9.3486,3.2247
"M688.263T861.089",9.2615,3.2112
"M481.183T769.795",9.2388,3.2077
"M923.402T931.508",9.1781,3.1982
"M990.329T838.789",9.0936,3.1848
"M451.174T880.577",9.049,3.1778
"M489.058T766.222",9.0485,3.1777
"M180.067T785.272",8.8676,3.1485
"M272.073T418.674",8.8237,3.1414
"M941.317T938.576",8.8061,3.1385
"M461.037T823.98",8.8052,3.1384
"M968.4T974.568",8.7793,3.1341
"M333.041T419.397",8.756,3.1303
"M895.304T938.238",8.6667,3.1155
"M712.22T783.012",8.654,3.1134
"M807.007T938.915",8.6446,3.1118
"M1176.528T983.06",8.6266,3.1088
"M383.058T256.181",8.5686,3.0991
"M1432.595T1048.493",8.5159,3.0902
"M941.306T938.915",8.3749,3.0661
"M245.094T862.962",8.3185,3.0563
"M1044.425T908.907",8.2657,3.0471
"M341.259T618.637",8.1278,3.0229
"M361.323T326.759",8.1165,3.0209
"M1095.84T892.791",8.0647,3.0116
"M893.38T934.735",8.063,3.0113
"M644.248T900.496",8.0618,3.0111
"M1007.203T89.251",8.0584,3.0105
"M331.068T223.104",8.0497,3.0089
"M822.313T886.782",8.0271,3.0049
"M203.083T418.775",7.962,2.9931
"M951.397T1014.118",7.9512,2.9912
"M942.303T939.917",7.9454,2.9901
"M950.337T882.881",7.9391,2.989
"M921.374T936.829",7.9204,2.9856
"M804.318T962.853",7.8128,2.9658
"M698.26T899.18",7.7628,2.9566
"M237.04T858.99",7.7513,2.9544
"M911.26T1004.032",7.6681,2.9389
"M475.187T823.258",7.6204,2.9299
"M806.921T938.616",7.6134,2.9285
"M909.388T926.435",7.5576,2.9179
"M808.342T938.944",7.5327,2.9132
"M333.06T88.804",7.503,2.9075
"M711.218T782.65",7.4927,2.9055
"M728.269T963.544",7.4739,2.9019
"M843.287T936.679",7.4538,2.898
"M807.113T936.925",7.427,2.8928
"M593.934T851.064",7.3883,2.8852
"M317.064T416.942",7.3375,2.8753
"M475.366T1425.395",7.308,2.8695
"M650.407T1378.088",7.2894,2.8658
"M708.241T861.396",7.2498,2.8579
"M982.374T904.236",7.2361,2.8552
"M593.686T850.456",7.1683,2.8416
"M833.365T968.818",7.1508,2.8381
"M924.351T839.79",7.1324,2.8344
"M365.136T768.138",7.0893,2.8256
"M505.029T765.672",7.0782,2.8234
"M806.159T933.966",7.0744,2.8226
"M851.276T990.376",7.0229,2.8121
"M1144.448T942.538",7.0078,2.809
"M1143.444T941.11",6.9665,2.8004
"M1095.906T894.31",6.9659,2.8003
"M310.974T92.682",6.9493,2.7969
"M421.069T767.549",6.9232,2.7914
"M728.88T67.591",6.9188,2.7905
"M714.253T913.384",6.8467,2.7754
"M349.057T865.046",6.8292,2.7717
"M1461.92T936.679",6.7792,2.7611
"M884.8T66.979",6.7727,2.7597
"M969.4T973.77",6.7691,2.759
"M873.638T939.705",6.7676,2.7586
"M848.315T857.496",6.7007,2.7443
"M1397.968T984.092",6.6884,2.7417
"M238.069T801.926",6.6807,2.74
"M1143.426T942.716",6.6689,2.7374
"M967.407T978.889",6.6431,2.7319
"M889.313T902.886",6.6336,2.7298
"M696.3T853.355",6.6283,2.7286
"M1039.403T917.165",6.5844,2.719
"M732.876T67.374",6.5734,2.7166
"M807.744T937.741",6.5661,2.715
"M385.113T835.894",6.5612,2.7139
"M647.193T836.421",6.5498,2.7115
"M1130.454T886.215",6.5353,2.7083
"M577.137T781.037",6.5169,2.7042
"M503.143T589.731",6.5083,2.7023
"M732.379T69.273",6.4516,2.6897
"M709.31T874.193",6.4504,2.6894
"M333.109T769.719",6.4461,2.6884
"M1197.439T886.215",6.4167,2.6818
"M502.995T105.736",6.4157,2.6816
"M428.2T856.891",6.4068,2.6796
"M685.228T857.881",6.3876,2.6753
"M937.334T882.127",6.3753,2.6725
"M1063.398T908.83",6.3639,2.6699
"M806.978T940.468",6.3473,2.6661
"M823.337T914.416",6.2659,2.6475
"M824.341T916.725",6.264,2.6471
"M1008.375T923.099",6.2437,2.6424
"M1097.037T893.528",6.2135,2.6354
"M421.636T753.774",6.1323,2.6164
"M576.128T818.314",6.129,2.6156
"M950.342T882.081",6.1212,2.6138
