"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"M375.07T470.729",0.038898,0.0083262,0.033473,0.032287,-0.00076978,-5.2652e-05,0.45858
"M354.093T469.671",0.039153,0.0099985,0.028039,0.027574,0.0057108,0.0024844,-0.52416
"M437.041T470.729",0.038803,0.011643,0.022417,0.026042,0.0054444,0.002041,-0.22999
"M757.441T1176.453",0.027312,-0.048037,-0.0045717,0.10156,-0.014507,0.055631,-0.19729
"M881.515T1351.787",0.031804,-0.029791,-0.016269,0.014642,-0.016224,0.013186,0.41784
"M511.24T944.134",0.034094,-0.0031047,-0.0067495,-0.025737,0.0059165,-0.036668,-0.1946
"M557.187T899.436",0.025804,-0.013236,0.022384,0.050423,0.039347,0.0050038,0.012835
"M1029.931T1194.947",0.026113,-0.0035557,0.048379,0.0331,-0.067214,0.0031197,0.020307
"M337.092T724.593",0.03567,-0.035071,0.052441,0.047116,0.015315,0.016744,0.0058068
"M1013.86T1346.532",0.0337,-0.013636,0.027387,0.020765,0.01708,0.044788,0.013792
"M941.508T1318.851",0.030889,-0.039243,0.013122,-0.02258,-0.0051921,0.022656,-0.011287
"M1085.513T1348.399",0.033759,-0.0088148,0.0056459,-0.030175,0.017702,-0.0027507,-0.020023
"M466.978T106.664",0.030031,-0.018359,0.012998,-0.031766,-0.0091176,-0.017095,-0.01518
"M861.451T1062.153",0.028173,-0.063064,0.028643,-0.0020841,-0.023592,0.0595,-0.010987
"M1059.606T1053.565",-0.031576,0.024583,-0.0069638,0.0062047,0.0093228,0.11787,0.020094
"M1096.195T893.605",0.031636,-0.014487,-0.035889,-0.098285,0.056758,0.050367,-0.0060687
"M180.067T785.272",0.042392,0.019331,-0.020151,0.03383,-0.025177,-0.010429,-0.032982
"M633.053T106.254",0.030102,-0.015416,-0.0063377,-0.0010201,-0.01659,-0.012414,0.032004
"M1014.89T1344.191",0.032322,0.003018,0.047929,-0.011538,0.049541,0.024869,-0.02376
"M1269.507T907.7",0.027198,-0.060943,0.018395,-0.015057,-0.0045555,-0.0026796,-0.016642
"M985.574T1225.672",0.0285,0.018413,0.020232,0.0021586,0.01002,-0.032811,0.019907
"M1030.586T1195.906",0.028078,-0.022079,0.032112,-0.014075,0.024786,0.015102,-0.0094619
"M983.568T1252.43",0.035305,-0.027396,0.03104,0.028051,0.042744,0.06681,0.0051279
"M457.19T799.683",0.033073,-0.00632,-0.0036444,0.0045907,-0.015277,-0.041592,-0.0053647
"M821.506T1329.663",0.034967,-0.0092118,0.036577,0.0078418,0.020785,0.04956,-0.01139
"M768.448T1315.096",0.035709,-0.008845,0.025427,0.017032,0.013666,0.032225,0.019401
"M309.118T727.508",0.036452,-0.024245,0.033624,0.036315,-0.026039,0.0075314,0.0057194
"M655.999T943.196",0.030303,-0.054635,0.026018,-0.027204,0.0082944,-0.0035233,-0.001132
"M565.05T98.887",0.014447,-0.010552,0.049535,0.13301,-0.084188,-0.059311,0.001934
"M277.129T811.716",0.03421,0.03203,-0.0071673,0.00079883,0.00087432,-0.022002,0.014521
"M1097.561T894.34",0.029429,-0.068402,0.026579,0.077017,-0.032153,0.01012,-0.0073587
"M921.374T936.829",0.042967,0.02678,0.016667,-0.00040417,0.0064327,-0.01101,0.0096944
