"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6"
"M375.07T470.729",0.038965,-0.015824,-0.013852,0.021093,-0.036126,0.018702
"M354.093T469.671",0.03923,-0.011539,-0.014432,0.019672,-0.027491,0.021483
"M437.041T470.729",0.038891,-0.0063814,-0.014721,0.017034,-0.025015,0.019997
"M757.441T1176.453",0.02738,0.0001615,0.067861,0.042084,-0.079589,0.042931
"M881.515T1351.787",0.031876,-0.0040943,0.037906,-0.0011964,-0.012416,-0.0067817
"M511.24T944.134",0.034158,-0.011461,-0.0034689,-0.037613,0.018849,-0.010848
"M557.187T899.436",0.025828,-0.019539,0.011028,0.0095602,-0.030056,0.061589
"M1029.931T1194.947",0.026116,-0.02931,-0.0025941,0.037674,-0.06858,-0.036017
"M337.092T724.593",0.035638,-0.056006,0.026745,0.030589,-0.042592,0.042452
"M1013.86T1346.532",0.033737,-0.022679,0.013888,0.045268,-0.0080037,0.029889
"M941.508T1318.851",0.030877,-0.040899,0.036119,0.012527,0.018541,-0.013843
"M1085.513T1348.399",0.0338,-0.021373,0.0027245,-0.0076571,0.031385,-0.00028633
"M466.978T106.664",0.030033,-0.034261,0.0090491,-0.014743,0.016556,-0.024125
"M861.451T1062.153",0.028116,-0.05767,0.063669,0.048282,-0.003109,-0.015633
"M1059.606T1053.565",-0.031559,0.04487,-0.0045988,0.10004,0.023461,0.017091
"M1096.195T893.605",0.031713,-0.0020717,0.018488,0.0027489,0.12689,-0.0027009
"M180.067T785.272",0.042577,0.033697,-0.010198,-0.0055661,-0.036834,-0.0060399
"M633.053T106.254",0.03016,-0.0091476,0.015709,-0.015064,-0.0070114,-0.015822
"M1014.89T1344.191",0.03232,-0.039489,-0.015897,0.035069,0.024177,0.041289
"M1269.507T907.7",0.027129,-0.062508,0.052948,-0.011381,0.0064037,-0.010397
"M985.574T1225.672",0.028553,-0.010422,-0.028628,-0.013799,-0.0092169,0.0094324
"M1030.586T1195.906",0.028052,-0.044905,0.012469,0.01616,0.017911,0.017135
"M983.568T1252.43",0.035325,-0.031981,0.029169,0.058026,0.00055792,0.056972
"M457.19T799.683",0.03314,-0.0086777,0.0022822,-0.035011,-0.017727,-0.013191
"M821.506T1329.663",0.034994,-0.029115,0.0062229,0.052959,0.0031412,0.027336
"M768.448T1315.096",0.035756,-0.020552,0.0076487,0.035502,-0.0083701,0.02421
"M309.118T727.508",0.036469,-0.034716,0.020749,0.022575,-0.048642,-0.00028076
"M655.999T943.196",0.03023,-0.067945,0.042685,-0.0098653,0.020119,-0.005205
"M565.05T98.887",0.014437,-0.021327,0.0059716,-0.0032711,-0.17305,-0.0020653
"M277.129T811.716",0.03435,0.02213,-0.032591,-0.012601,-0.0032389,-0.00060341
"M1097.561T894.34",0.029392,-0.050003,0.070853,0.013814,-0.08295,0.015161
"M921.374T936.829",0.043082,0.00042909,-0.032716,0.0051788,-0.0035192,0.0059799
"M451.007T107.467",0.030941,-0.029646,0.010001,0.00033487,0.031521,-0.0059155
"M1100.582T1225.322",0.031038,-0.05118,0.00041918,-0.00052924,0.022108,0.0006838
"M649.302T900.549",0.033524,-0.029483,0.0067251,-0.0064885,0.010282,0.0073348
"M286.972T107.919",0.030937,-0.041406,0.022594,0.0041004,0.011811,0.0012813
"M581.318T900.123",0.033015,-0.022074,-0.0023052,0.011393,0.014458,-0.027998
"M1014.585T1348.471",0.033576,-0.021292,-0.0085922,0.01293,0.014243,0.0076611
"M799.289T814.54",0.022893,0.053524,0.0074371,0.01335,-0.014413,0.043026
"M1053.272T316.465",0.032414,0.021228,0.00054432,-0.021247,0.033865,0.0062208
"M1097.037T893.528",0.036436,-0.0086876,0.075173,0.0098227,-0.014941,0.025472
"M869.849T1307.413",0.031712,-0.032544,0.014459,0.049707,0.046749,0.013941
"M1071.559T892.477",0.034589,-0.022967,0.050557,0.008863,-0.019617,0.010211
"M1000.263T316.358",0.03098,0.01288,0.0031461,-0.01119,0.035366,-0.050842
"M767.194T317.413",0.033152,0.0037815,-0.012275,-0.0017888,0.012768,0.0017371
"M650.407T1378.088",0.040805,-0.015357,0.0032893,-0.0038218,0.020901,0.024243
"M653.891T318.024",0.03427,-0.0052409,0.016073,0.00078448,0.00084637,0.055525
"M560.841T1187.938",0.021303,-0.0096258,0.0057378,0.037338,-0.071058,-0.045987
"M354.957T108.842",0.034116,-0.024202,0.016686,-0.015301,0.022033,0.016268
"M590.775T907.789",0.024249,-0.087548,0.043136,-0.0016108,-0.065084,-0.056331
"M206.082T164.917",-0.016653,0.090041,-0.027703,0.073729,0.092635,-0.017311
"M1161.521T895.466",0.031839,-0.061077,0.049262,-0.0036457,0.0075508,0.018544
"M418.218T902.438",0.037438,-0.027893,-0.037151,0.01453,0.033005,-0.029773
"M632.783T316.499",0.027222,0.023128,0.0099295,0.093803,0.037334,-0.017368
"M451.218T291.531",0.037449,-0.013452,-0.013142,0.02535,-0.0064168,-0.010548
"M344.099T126.621",0.034984,-0.012392,-0.018192,0.024956,0.010597,-0.026672
"M385.113T835.894",0.04134,0.038201,-0.058136,0.030978,-0.062372,0.018866
"M627.229T851.009",0.03939,0.0098692,-0.036775,0.012381,0.0046745,-0.019175
"M885.489T1408.277",0.036739,-0.029299,0.0064655,0.0061791,0.0083894,0.0034808
"M645.124T781.203",0.034286,-0.054016,0.046773,0.020285,-0.06604,0.013502
"M942.469T1308.469",0.031964,-0.049168,0.0267,0.0037223,0.023082,-0.0078111
"M421.069T767.549",0.039478,0.005803,0.024356,0.011372,-0.020961,0.029491
"M643.245T813.714",0.033873,0.01814,-0.024049,-0.01079,-0.015104,-0.010068
"M745.161T766.586",0.036952,-0.017378,-0.0069613,0.031048,-0.029672,0.028453
"M316.508T323.984",0.030251,-0.019732,0.026129,0.0025014,-0.0078231,0.010607
"M729.273T847.264",0.037344,0.018275,0.0039163,-0.022571,0.0054617,-0.028703
"M417.764T850.924",0.034454,-0.040099,-0.022598,0.021839,0.0098264,-0.029069
"M653.752T320.843",0.028511,0.010973,0.014812,0.036776,0.016868,0.0034434
"M683.129T316.242",0.03386,0.011809,0.028361,-0.0028635,0.048455,-0.045405
"M653.783T316.318",0.028772,0.026671,-0.00068887,-0.0015631,0.0084078,-0.022772
"M489.058T766.222",0.042457,0.0074324,0.00097729,-0.027431,-0.013808,0.049499
"M851.819T1425.446",0.036739,-0.0091606,0.0084721,0.017841,-0.083095,0.075042
"M530.968T106.005",0.033329,-0.033232,0.014119,-0.011587,0.0027357,0.031207
"M1009.607T1323.757",0.031189,-0.041864,0.011717,0.019905,0.010924,0.0064293
"M653.717T312.26",0.023523,-0.0060048,0.00026039,0.03663,0.071832,0.034698
"M1031.899T1225.646",0.022577,0.042633,-0.012412,-0.034454,0.038175,0.058849
"M297.119T136.686",0.035655,-0.021653,0.0029466,-0.0048828,-0.013829,0.018028
"M769.419T945.253",0.035068,0.031443,-0.0018247,0.017457,-0.057648,0.005137
"M1201.918T909.936",0.033816,-0.014091,0.0049822,0.0053163,-0.03467,-0.040469
"M864.188T806.912",0.033651,-0.023158,0.042729,0.0030005,-0.016329,-0.036866
"M865.489T1291.829",0.029325,-0.049599,0.033632,0.0054329,0.0090003,0.020322
"M799.191T949.166",0.036746,-0.012465,0.037458,0.019481,-0.00047246,-0.027458
"M1263.489T907.902",0.029444,-0.043098,0.033391,-0.015824,-0.013354,-0.017975
"M451.174T880.577",0.045299,0.0078326,-0.04681,0.044507,-0.0012486,-0.012847
"M405.08T802.267",0.031749,-0.042334,0.02484,-0.014424,-0.014168,0.03982
"M309.119T137.634",0.037597,-0.010742,-0.039972,0.022105,-0.010561,0.0078083
"M385.077T746.611",0.026087,-0.05234,0.020715,-0.025765,-0.03644,-0.037382
"M1030.642T1193.369",0.023988,0.044697,0.0024553,0.031169,0.022204,-0.029562
"M429.414T851.13",0.031346,-0.025085,-0.045909,0.1011,-0.049988,0.027736
"M723.577T942.094",0.029612,-0.013368,0.086869,-0.043096,0.020165,-0.0077279
"M1071.439T878.893",0.039921,0.0037368,-0.062318,0.048311,0.0013495,0.007003
"M1069.501T1402.821",0.032315,0.0073434,0.038255,0.01564,-0.032191,0.033064
"M281.07T709.104",0.032508,0.0093134,0.028384,-0.038045,-0.0061707,-0.0297
"M577.137T781.037",0.034891,-0.02119,0.073516,0.042025,-0.086744,0.011082
"M397.075T138.684",0.033814,-0.029215,0.0076489,0.033216,-0.013302,-0.035065
"M653.861T317.501",0.032068,0.0028382,-0.0019767,0.011094,0.021433,0.018304
"M375.104T216.821",0.03653,-0.02229,-8.2027e-05,-0.0018376,0.029941,-0.0024709
"M384.097T310.658",0.032828,-0.021593,0.010556,-0.014925,0.030855,0.024841
"M351.085T316.423",0.033056,-0.012055,0.0078356,-0.0092538,0.0073724,0.012932
"M460.969T105.772",0.034991,-0.032545,0.04471,-0.00074446,0.024081,0.025019
"M665.267T889.419",0.036049,-0.001508,0.007725,0.0042537,0.021173,-0.01054
"M969.939T315.438",0.029354,0.088288,0.025138,-0.011388,-0.058153,0.046697
"M289.065T88.687",0.031429,-0.028644,0.024648,-0.032549,0.027445,-0.082546
"M289.086T1163.856",0.034288,-0.020746,-0.028021,-0.023235,0.019378,-0.016776
"M655.873T943.419",0.035502,-0.047076,0.029524,-0.016711,-0.018975,0.0083084
"M642.242T817.768",0.03265,0.043659,-0.0025466,0.063204,0.0020628,0.029358
"M695.12T755.765",0.03408,-0.039299,0.063919,0.0088161,0.017774,-0.019762
"M487.016T806.181",0.034523,-0.018711,-0.007755,0.048809,-0.018196,0.030213
"M967.561T1349.704",0.034735,-0.032682,0.0037785,0.0062969,0.012867,0.005945
"M821.606T900.199",0.043379,0.022783,0.0057369,0.016824,-0.012422,-0.0026388
"M1095.063T894.34",0.032716,-0.052731,0.048379,-0.0027617,0.0067242,0.018292
"M279.139T1150.344",0.064916,0.027805,0.034608,-0.013192,0.034899,0.066292
"M579.301T894.416",0.028508,-0.042939,0.01939,0.010875,0.018241,-0.0032293
"M593.947T757.746",0.033711,-0.062323,0.090665,0.012382,-0.023107,-0.020934
"M367.102T765.544",0.034637,-0.052226,0.0039841,-0.021628,-0.0065725,0.013278
"M585.15T892.945",0.036382,-0.0067125,0.0091369,-0.0020282,-0.011689,-0.022404
"M988.312T316.465",0.02972,0.026162,-0.013272,0.03209,0.0015997,-0.014161
"M735.437T1351.512",0.031633,-0.030471,0.035877,0.026834,0.032447,0.011112
"M851.154T319.552",0.031437,-0.031913,0.024447,0.0060984,0.0037718,0.0065267
"M265.093T134.502",0.032658,0.00030932,-0.0058503,-0.038586,-0.01296,-0.0076208
"M575.708T1045.732",0.028428,-0.0031956,0.059638,-0.0037942,-0.019769,0.009338
"M657.063T941.851",0.031573,0.0091355,0.077629,-0.013715,-0.027208,0.027017
"M632.663T319.55",0.031414,-0.0055488,-0.023082,-0.0038705,0.031826,0.034545
"M809.433T1339.33",0.032303,-0.027696,0.025445,0.019209,-0.017472,0.040276
"M654.008T318.692",0.033868,-0.0073678,-0.018991,0.040738,0.028468,0.056548
"M923.402T931.508",0.044583,0.033724,-0.042865,0.01573,0.02469,-0.0050269
"M428.2T856.891",0.040102,0.0062469,-0.0071885,0.031132,-0.0051223,-0.023869
"M281.069T746.743",0.032458,-0.032742,0.010267,-0.041386,-0.0019187,0.023915
"M703.247T844.715",0.037829,0.017541,-0.0088326,0.032836,0.0041214,0.012734
"M590.015T907.684",0.031362,-0.036241,0.056806,-0.016059,0.0022678,-0.011504
"M455.081T704.884",0.032354,-0.002777,0.014473,-0.041526,-0.014658,-0.035339
"M970.813T317.253",0.032003,0.06533,-0.018161,0.022002,0.012682,-0.0047123
"M997.575T1403.78",0.031843,-0.0089427,0.023952,-0.0062846,0.014293,-0.0044734
"M1053.286T316.584",0.031669,0.010027,-0.017001,0.015765,-0.0044716,0.0049061
