"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6"
"M279.139T1150.344",1.9256,1.8404,1.8304,1.8279,1.8278,1.8278
"M469.036T876.272",1.8489,2.2322,2.2243,2.2214,2.2214,2.2214
"M433.039T456.919",1.8214,2.2874,2.2728,2.2713,2.2713,2.2713
"M293.118T1042.937",1.7868,1.7109,1.7009,1.7012,1.7012,1.7012
"M365.528T823.98",1.7235,1.8602,1.8506,1.8479,1.8479,1.8479
"M449.004T832.738",1.7229,1.9197,1.9147,1.912,1.9119,1.9119
"M387.034T831.689",1.7187,1.7616,1.7539,1.7514,1.7514,1.7514
"M531.009T876.272",1.7084,1.724,1.7145,1.713,1.713,1.713
"M410.078T615.621",1.6907,1.8003,1.7896,1.7896,1.7896,1.7896
"M365.052T459.24",1.6731,1.6853,1.6751,1.6729,1.6729,1.6729
"M455.021T825.04",1.6268,1.7273,1.7193,1.7171,1.717,1.717
"M516.992T825.04",1.6244,2.7912,2.7717,2.7693,2.7692,2.7692
"M463.02T875.074",1.6146,1.6069,1.5956,1.5934,1.5934,1.5934
"M204.085T413.719",1.6077,1.5129,1.5092,1.5071,1.5071,1.5071
"M413.179T861.909",1.5817,1.6539,1.6817,1.6794,1.6794,1.6794
"M380.071T778.258",1.5671,1.6498,1.638,1.6356,1.6356,1.6356
"M433.038T831.69",1.5419,1.7623,1.7629,1.7604,1.7604,1.7604
"M319.076T917.392",1.5419,1.4503,1.4464,1.4444,1.4444,1.4444
"M1611.697T937.933",1.5183,1.4127,1.4068,1.4049,1.4049,1.4049
"M379.067T781.128",1.5023,1.62,1.6088,1.6066,1.6066,1.6066
"M975.202T831.412",1.4936,1.8984,1.887,1.8857,1.8857,1.8857
"M964.359T921.966",1.4775,1.3789,1.3886,1.3867,1.3867,1.3867
"M857.325T1034.658",1.4735,1.3686,1.3689,1.3696,1.3696,1.3696
"M1613.665T937.741",1.4702,1.3648,1.3586,1.3576,1.3576,1.3576
"M401.05T875.074",1.4651,1.47,1.4612,1.4607,1.4606,1.4606
"M430.136T769.014",1.4619,1.3917,1.3846,1.3834,1.3834,1.3834
"M379.565T877.71",1.4388,1.3724,1.3682,1.3672,1.3672,1.3672
"M402.053T876.272",1.4242,1.4733,1.4629,1.4614,1.4613,1.4613
"M447.05T875.673",1.4145,1.3515,1.3441,1.3421,1.3421,1.3421
"M471.117T721.976",1.4071,1.4634,1.4695,1.4693,1.4693,1.4693
"M957.274T935.63",1.402,1.3268,1.356,1.3606,1.3606,1.3606
"M895.29T938.858",1.399,1.3011,1.2984,1.2968,1.2968,1.2968
"M759.145T875.232",1.3924,1.3459,1.3439,1.3432,1.3432,1.3432
"M967.36T964.868",1.3893,1.4807,1.4702,1.4833,1.4833,1.4833
"M365.143T832.741",1.3789,1.5152,1.516,1.5249,1.5249,1.5249
"M333.062T954.304",1.3677,1.4999,1.4893,1.4913,1.4912,1.4912
"M1014.419T974.744",1.3664,1.3277,1.3252,1.3248,1.3248,1.3248
"M1462.085T939.347",1.3437,1.3555,1.3937,1.3931,1.3931,1.3931
"M237.04T858.99",1.3369,1.2529,1.2486,1.2501,1.2502,1.2502
"M1176.528T983.06",1.3347,1.2621,1.2701,1.2727,1.2727,1.2727
"M341.535T617.585",1.3219,1.2514,1.243,1.2429,1.2429,1.2429
"M483.129T913.248",1.3122,1.2179,1.2105,1.2093,1.2093,1.2093
"M923.402T931.508",1.3005,1.2211,1.2192,1.2178,1.2177,1.2177
"M481.183T769.795",1.2965,1.4009,1.3951,1.3945,1.3945,1.3945
"M661.142T919.275",1.2878,1.2122,1.2047,1.203,1.203,1.203
"M821.606T900.199",1.2852,1.2264,1.218,1.2165,1.2165,1.2165
"M451.174T880.577",1.2718,1.1828,1.1803,1.1806,1.1805,1.1805
"M180.067T785.272",1.2651,1.2116,1.2037,1.202,1.202,1.202
"M951.397T1014.118",1.2598,1.1692,1.1722,1.1737,1.1737,1.1737
"M990.329T838.789",1.2595,1.1797,1.18,1.179,1.179,1.179
"M775.338T1039.594",1.2554,1.1898,1.196,1.203,1.203,1.203
"M950.337T882.881",1.2499,1.163,1.1735,1.1722,1.1722,1.1722
"M341.31T626.276",1.2392,1.1571,1.1492,1.148,1.148,1.148
"M942.309T937.647",1.2382,1.1954,1.1997,1.1982,1.1982,1.1982
"M1130.437T924.326",1.2339,1.1665,1.1654,1.1637,1.1637,1.1637
"M341.465T625.973",1.2338,1.1469,1.1397,1.1386,1.1386,1.1386
"M893.38T934.735",1.2317,1.1533,1.1588,1.159,1.159,1.159
"M461.037T823.98",1.2316,1.1696,1.1848,1.1835,1.1835,1.1835
"M848.315T857.496",1.2311,1.1426,1.1495,1.1492,1.1492,1.1492
"M688.263T861.089",1.2286,1.1405,1.1389,1.1386,1.1386,1.1386
"M804.318T962.853",1.2253,1.1394,1.1511,1.1497,1.1497,1.1497
"M806.921T938.616",1.2242,1.1495,1.1474,1.1457,1.1457,1.1457
"M968.4T974.568",1.2179,1.1347,1.1535,1.1529,1.1529,1.1529
"M365.136T768.138",1.2161,1.2873,1.2795,1.2779,1.2779,1.2779
"M1095.84T892.791",1.216,1.3048,1.3233,1.3227,1.3227,1.3227
"M489.058T766.222",1.2146,1.1284,1.1205,1.1197,1.1197,1.1197
"M644.248T900.496",1.2141,1.1268,1.1251,1.1242,1.1242,1.1242
"M409.075T617.585",1.2132,1.1266,1.1185,1.1238,1.1238,1.1238
"M895.304T938.238",1.2113,1.1291,1.1257,1.1245,1.1244,1.1244
"M843.287T936.679",1.2083,1.1215,1.1164,1.1159,1.1158,1.1158
"M238.069T801.926",1.2068,1.2438,1.2365,1.235,1.235,1.235
"M385.113T835.894",1.2058,1.1321,1.1376,1.1366,1.1366,1.1366
"M911.26T1004.032",1.2055,1.1519,1.1559,1.1556,1.1556,1.1556
"M942.303T939.917",1.2047,1.1699,1.186,1.1843,1.1843,1.1843
"M851.276T990.376",1.2044,1.1453,1.1523,1.1512,1.1512,1.1512
"M1463.523T939.044",1.2038,1.2062,1.255,1.2553,1.2553,1.2553
"M822.313T886.782",1.2033,1.1223,1.1212,1.12,1.12,1.12
"M982.374T904.236",1.201,1.1275,1.1198,1.1185,1.1185,1.1185
"M475.187T823.258",1.2005,1.1232,1.1158,1.1235,1.1235,1.1235
"M505.029T765.672",1.1998,1.2094,1.206,1.2044,1.2044,1.2044
"M698.26T899.18",1.1979,1.1154,1.1256,1.1249,1.1249,1.1249
"M341.259T618.637",1.1974,1.1154,1.1075,1.1068,1.1068,1.1068
"M921.374T936.829",1.1973,1.1196,1.1167,1.1151,1.1151,1.1151
"M1044.425T908.907",1.1947,1.1136,1.1062,1.1056,1.1056,1.1056
"M333.109T769.719",1.1934,1.1752,1.1702,1.1686,1.1687,1.1687
"M593.934T851.064",1.1875,1.1048,1.0985,1.1007,1.1007,1.1007
"M732.379T69.273",1.1873,1.1271,1.123,1.1235,1.1235,1.1235
"M1143.426T942.716",1.1871,1.106,1.1107,1.11,1.1099,1.1099
"M1197.439T886.215",1.186,1.1434,1.1381,1.1365,1.1365,1.1365
"M684.191T618.708",1.1854,1.3812,1.3744,1.3759,1.376,1.376
"M937.334T882.127",1.1846,1.1321,1.1266,1.1254,1.1254,1.1254
"M824.341T916.725",1.1825,1.773,1.7651,1.7626,1.7626,1.7626
"M728.88T67.591",1.1815,1.2098,1.2146,1.2145,1.2144,1.2144
"M941.317T938.576",1.1794,1.1223,1.1185,1.117,1.117,1.117
"M732.876T67.374",1.1751,1.1889,1.1914,1.1914,1.1914,1.1914
"M909.388T926.435",1.1715,1.1667,1.1762,1.1754,1.1754,1.1754
"M823.337T914.416",1.1714,1.1024,1.1065,1.1049,1.1049,1.1049
"M781.183T974.609",1.1694,1.1252,1.1172,1.1181,1.1181,1.1181
"M807.007T938.915",1.1691,1.1186,1.1148,1.1138,1.1138,1.1138
"M1144.448T942.538",1.1686,1.0906,1.0956,1.0944,1.0943,1.0943
"M728.269T963.544",1.1673,1.1226,1.1551,1.1538,1.1538,1.1538
"M711.218T782.65",1.1665,1.0829,1.0811,1.0836,1.0836,1.0836
"M941.306T938.915",1.1651,1.1318,1.1298,1.1283,1.1283,1.1283
"M361.323T326.759",1.1629,1.0978,1.0941,1.0931,1.0931,1.0931
"M950.342T882.081",1.1625,1.0792,1.0917,1.0905,1.0905,1.0905
"M1143.444T941.11",1.1609,1.0836,1.0824,1.0814,1.0814,1.0814
"M395.28T1470.273",1.1608,1.1592,1.1523,1.1514,1.1514,1.1514
"M421.069T767.549",1.1551,1.0874,1.0835,1.082,1.082,1.082
"M1243.514T983.057",1.1539,1.169,1.1608,1.1592,1.1592,1.1592
"M889.313T902.886",1.1534,1.078,1.078,1.0766,1.0765,1.0765
"M712.22T783.012",1.1526,1.0885,1.0827,1.097,1.097,1.097
"M428.2T856.891",1.1516,1.0711,1.0634,1.0629,1.0629,1.0629
"M685.228T857.881",1.15,1.0777,1.0789,1.0779,1.0779,1.0779
"M645.252T899.393",1.1488,1.1904,1.1833,1.1822,1.1821,1.1821
"M333.06T88.804",1.148,1.089,1.0889,1.0901,1.0901,1.0901
"M852.339T915.443",1.1466,1.0955,1.0883,1.0869,1.0869,1.0869
"M884.8T66.979",1.1461,1.1876,1.191,1.1924,1.1924,1.1924
"M969.4T973.77",1.1455,1.1268,1.1423,1.1408,1.1408,1.1408
"M702.255T837.404",1.1445,1.1152,1.1084,1.107,1.107,1.107
"M533.169T900.984",1.1431,1.1432,1.1365,1.1355,1.1355,1.1355
"M714.253T913.384",1.1414,1.0629,1.0596,1.0586,1.0586,1.0586
"M483.183T857.732",1.1408,1.092,1.0865,1.0851,1.0851,1.0851
"M313.119T883.187",1.1394,1.0702,1.095,1.0971,1.0971,1.0971
"M1432.595T1048.493",1.139,1.0654,1.0625,1.0707,1.0706,1.0706
"M610.849T834.902",1.1364,1.0596,1.0647,1.0732,1.0732,1.0732
"M708.241T861.396",1.1359,1.0613,1.0559,1.0549,1.0548,1.0548
"M1461.92T936.679",1.1358,1.0738,1.0676,1.0663,1.0663,1.0663
"M1397.968T984.092",1.1356,1.0883,1.1273,1.1273,1.1273,1.1273
"M349.057T865.046",1.1322,1.0516,1.0451,1.0439,1.0439,1.0439
"M967.407T978.889",1.1318,1.1419,1.1632,1.1616,1.1616,1.1616
"M650.407T1378.088",1.1304,1.0596,1.0521,1.0506,1.0506,1.0506
"M808.342T938.944",1.1303,1.1103,1.1072,1.1056,1.1056,1.1056
"M1015.483T980.936",1.1303,1.1378,1.1541,1.1577,1.1577,1.1577
"M1035.397T978.889",1.1296,1.1187,1.1333,1.1325,1.1325,1.1325
"M924.351T839.79",1.1273,1.1197,1.1187,1.1171,1.1171,1.1171
"M383.058T256.181",1.1256,1.125,1.117,1.1154,1.1154,1.1154
"M807.113T936.925",1.125,1.0477,1.0404,1.04,1.04,1.04
"M455.193T892.238",1.125,1.0475,1.0405,1.0406,1.0406,1.0406
"M548.179T817.387",1.1247,1.1022,1.0992,1.098,1.098,1.098
"M1063.398T908.83",1.1244,1.0436,1.0365,1.0351,1.0351,1.0351
"M503.143T589.731",1.1236,1.0502,1.0582,1.0588,1.0588,1.0588
"M391.157T830.263",1.1225,1.0903,1.1418,1.1432,1.1432,1.1432
"M1130.433T884.599",1.1216,1.055,1.0491,1.0481,1.0481,1.0481
"M1035.367T890.845",1.1213,1.0409,1.0354,1.034,1.034,1.034
"M469.208T948.545",1.1199,1.0624,1.0552,1.0538,1.0538,1.0538
"M873.638T939.705",1.1197,1.1381,1.1524,1.1522,1.1522,1.1522
"M833.365T968.818",1.1192,1.1266,1.1232,1.1218,1.1218,1.1218
"M203.083T418.775",1.1191,1.0391,1.0438,1.0499,1.0499,1.0499
"M1039.403T917.165",1.1174,1.0937,1.1124,1.1111,1.1111,1.1111
"M418.896T66.885",1.1167,1.2198,1.2144,1.2162,1.2162,1.2162
"M1008.375T923.099",1.1148,1.0901,1.0941,1.093,1.093,1.093
"M705.205T926.435",1.1135,1.0337,1.035,1.035,1.035,1.035
"M806.978T940.468",1.1101,1.0766,1.0913,1.09,1.09,1.09
"M627.229T851.009",1.1095,1.0308,1.0297,1.0284,1.0284,1.0284
"M696.3T853.355",1.1093,1.0982,1.0931,1.0917,1.0917,1.0917
"M1036.399T977.849",1.1092,1.053,1.0755,1.0739,1.0739,1.0739
"M703.247T844.715",1.1088,1.0456,1.0381,1.0379,1.0379,1.0379
"M1117.54T932.512",1.1086,1.0392,1.0335,1.032,1.032,1.032
"M709.31T874.193",1.1085,1.038,1.0305,1.0291,1.0291,1.0291
"M593.686T850.456",1.1084,1.0341,1.0454,1.0439,1.0439,1.0439
"M433.777T806.208",1.1058,1.0498,1.0425,1.0413,1.0413,1.0413
"M289.12T769.482",1.1038,1.156,1.1491,1.1477,1.1476,1.1476
"M807.744T937.741",1.1019,1.0486,1.0432,1.0417,1.0417,1.0417
"M1071.439T878.893",1.0987,1.0362,1.0424,1.0435,1.0435,1.0435
"M951.343T881.927",1.0979,1.114,1.1197,1.1183,1.1183,1.1183
"M399.065T319.722",1.0968,1.1537,1.1603,1.1654,1.1655,1.1655
"M621.037T758.225",1.0963,1.0983,1.0955,1.094,1.094,1.094
"M367.103T818.837",1.096,1.0175,1.0107,1.0105,1.0105,1.0105
"M356.995T88.504",1.0953,1.04,1.0435,1.0452,1.0452,1.0452
"M729.273T847.264",1.0949,1.0328,1.0254,1.0245,1.0245,1.0245
"M617.247T870.852",1.094,1.0267,1.0206,1.0192,1.0192,1.0192
"M331.068T223.104",1.0937,1.1051,1.0971,1.0963,1.0963,1.0963
"M549.258T834.983",1.0937,1.0174,1.0543,1.0529,1.0529,1.0529
"M868.801T68.637",1.0935,1.2791,1.274,1.2724,1.2723,1.2723
"M1095.906T894.31",1.0931,1.0206,1.0157,1.0142,1.0142,1.0142
"M621.125T857.148",1.0927,1.0339,1.0269,1.0277,1.0277,1.0277
"M753.298T903.043",1.0924,1.0166,1.0094,1.0108,1.0108,1.0108
"M919.334T939.971",1.0923,1.033,1.0271,1.0272,1.0272,1.0272
"M968.386T889.852",1.0921,1.0207,1.0162,1.0167,1.0167,1.0167
"M1031.347T966.014",1.0901,1.0117,1.0061,1.0052,1.0052,1.0052
"M1057.411T880.24",1.0873,1.0228,1.0342,1.0329,1.0329,1.0329
"M1396.865T985.147",1.0868,1.1566,1.1571,1.1554,1.1554,1.1554
"M647.193T836.421",1.0849,1.0538,1.0468,1.0455,1.0455,1.0455
"M457.136T788.61",1.0831,1.0117,1.0086,1.0085,1.0085,1.0085
"M1097.037T893.528",1.0828,1.0373,1.0629,1.0614,1.0614,1.0614
"M354.093T469.671",1.0823,1.0183,1.0115,1.0104,1.0104,1.0104
"M437.041T470.729",1.0822,1.0111,1.0045,1.0033,1.0033,1.0033
"M806.073T940.272",1.082,1.0303,1.0341,1.0331,1.0331,1.0331
"M806.159T933.966",1.0807,1.1319,1.1413,1.142,1.1419,1.1419
"M643.245T933.361",1.0803,1.0167,1.0116,1.0115,1.0114,1.0114
"M310.974T92.682",1.0803,1.0273,1.0211,1.0198,1.0198,1.0198
"M481.183T807.444",1.0798,1.033,1.0317,1.0309,1.0309,1.0309
"M830.24T316.247",1.0791,1.0609,1.055,1.054,1.0539,1.0539
"M487.212T857.117",1.0787,1.0103,1.0031,1.0036,1.0036,1.0036
"M429.141T889.195",1.0771,1.0125,1.0094,1.008,1.008,1.008
"M473.173T881.847",1.0768,0.99944,0.99263,0.99121,0.9912,0.9912
"M349.056T728.324",1.0759,1.0018,0.99603,0.99552,0.9955,0.99551
"M869.171T823.716",1.0753,1.0656,1.0786,1.0817,1.0817,1.0817
"M1614.109T935.709",1.075,1.1077,1.104,1.1028,1.1028,1.1028
"M497.083T319.72",1.0743,1.0353,1.0714,1.0699,1.0699,1.0699
"M1095.872T896.96",1.073,1.0106,1.0181,1.0174,1.0173,1.0173
"M915.823T68.606",1.0717,1.3763,1.3697,1.37,1.37,1.37
"M851.338T916.834",1.0706,1.051,1.0474,1.0459,1.0459,1.0459
"M357.108T784.337",1.0685,0.99238,0.98559,0.98536,0.98536,0.98536
"M561.217T921.818",1.0679,1.1026,1.095,1.0936,1.0937,1.0937
"M475.366T1425.395",1.0678,1.0374,1.0327,1.0318,1.0318,1.0318
"M375.07T470.729",1.0669,1.012,1.0052,1.0041,1.0041,1.0041
"M665.182T815.828",1.0668,1.0493,1.049,1.0476,1.0476,1.0476
"M1167.557T907.179",1.0652,1.0495,1.0477,1.0467,1.0468,1.0468
"M1130.454T886.215",1.0648,1.0162,1.0107,1.0093,1.0093,1.0093
"M494.168T786.301",1.064,0.98904,1.0061,1.0065,1.0065,1.0065
"M695.298T853.355",1.0631,1.0209,1.0137,1.0125,1.0125,1.0125
"M795.198T1006.041",1.0616,1.5312,1.5501,1.5618,1.5617,1.5617
"M471.152T726.342",1.0611,0.98748,0.99517,0.99407,0.99406,0.99406
"M867.206T809.129",1.0592,1.1486,1.1496,1.151,1.151,1.151
"M769.419T945.253",1.0592,1.0394,1.032,1.0307,1.0307,1.0307
"M1106.454T890.453",1.059,0.98314,0.97688,0.97567,0.97566,0.97566
"M559.276T958.275",1.0587,1.0354,1.029,1.0275,1.0275,1.0275
"M1087.412T876.684",1.0579,1.0056,0.99872,0.99797,0.99796,0.99796
"M1323.606T888.291",1.0579,0.98743,0.99443,0.99385,0.99384,0.99384
