"","FC","log2(FC)","raw.pval","-log10(p)"
"M1014.811T1344.847",2.8274,1.4995,0.00016936,3.7712
"M289.12T769.482",4.8995,2.2926,0.00017141,3.766
"M447.151T677.76",4.0222,2.008,0.00020574,3.6867
"M631.833T319.717",3.7684,1.9139,0.0002387,3.6222
"M1014.782T1351.411",2.9222,1.5471,0.00026187,3.5819
"M379.067T781.128",20.495,4.3572,0.00026864,3.5708
"M463.02T875.074",33.695,5.0744,0.00028023,3.5525
"M238.069T801.926",6.6807,2.74,0.00033477,3.4753
"M365.136T768.138",7.0893,2.8256,0.0004782,3.3204
"M398.263T1317.762",4.2681,2.0936,0.00048032,3.3185
"M645.252T899.393",5.7006,2.5111,0.00048679,3.3127
"M401.05T875.074",18.459,4.2063,0.0005107,3.2918
"M380.071T778.258",28.306,4.8231,0.00056011,3.2517
"M615.195T761.983",4.1651,2.0583,0.00059179,3.2278
"M970.001T316.098",3.0216,1.5953,0.00060082,3.2213
"M621.037T758.225",5.0775,2.3441,0.00067978,3.1676
"M821.606T900.199",9.6883,3.2762,0.0006901,3.1611
"M402.053T876.272",15.425,3.9472,0.000827,3.0825
"M395.28T1470.273",6.0291,2.5919,0.00083001,3.0809
"M963.275T732.778",4.0739,2.0264,0.00096751,3.0143
"M240.933T64.89",2.5165,1.3314,0.0009933,3.0029
"M505.029T765.672",7.0782,2.8234,0.0009938,3.0027
"M852.339T915.443",6.0406,2.5947,0.00099796,3.0009
"M702.255T837.404",5.9809,2.5804,0.0011363,2.9445
"M373.167T930.605",4.2653,2.0927,0.0012009,2.9205
"M533.169T900.984",5.9218,2.566,0.0012131,2.9161
"M481.183T769.795",9.2388,3.2077,0.0012886,2.8899
"M365.052T459.24",39.688,5.3106,0.0013374,2.8737
"M341.088T439.204",3.3051,1.7247,0.0013798,2.8602
"M729.273T847.264",5.2557,2.3939,0.0013945,2.8556
"M1053.272T316.465",3.56,1.8319,0.001413,2.8499
"M221.066T891.624",3.5281,1.8189,0.00144,2.8416
"M180.067T785.272",8.8676,3.1485,0.0015111,2.8207
"M397.074T474.916",3.4159,1.7723,0.0015542,2.8085
"M544.284T936.329",2.8479,1.5099,0.0016165,2.7914
"M631.863T318.629",3.3459,1.7424,0.0016877,2.7727
"M653.752T320.843",2.7156,1.4413,0.0016928,2.7714
"M653.783T316.318",2.7111,1.4389,0.0018439,2.7343
"M429.646T308.971",3.4994,1.8071,0.0018897,2.7236
"M549.174T847.493",4.6592,2.2201,0.0019117,2.7186
"M461.152T871.999",4.345,2.1193,0.0019805,2.7032
"M642.242T817.768",4.0552,2.0198,0.0019977,2.6995
"M643.245T933.361",5.2261,2.3857,0.0021225,2.6732
"M617.247T870.852",5.5369,2.4691,0.0023198,2.6346
"M824.341T916.725",6.264,2.6471,0.0023513,2.6287
"M469.095T760.602",3.26,1.7049,0.0023812,2.6232
"M703.247T844.715",5.3585,2.4218,0.0024043,2.619
"M968.386T889.852",5.4818,2.4547,0.0024484,2.6111
"M413.104T602.912",2.9951,1.5826,0.0024494,2.6109
"M473.173T881.847",5.2183,2.3836,0.0025321,2.5965
"M418.896T66.885",5.465,2.4502,0.0025342,2.5962
"M919.334T939.971",5.2129,2.3821,0.0025891,2.5868
"M799.852T67.938",3.9618,1.9862,0.0025904,2.5866
"M665.267T889.419",4.5325,2.1803,0.0026182,2.582
"M447.05T875.673",17.087,4.0949,0.0026881,2.5706
"M269.103T792.774",4.2295,2.0805,0.0027461,2.5613
"M653.861T317.501",3.3091,1.7264,0.0027779,2.5563
"M509.218T928.864",4.0578,2.0207,0.0027873,2.5548
"M970.768T318.573",3.0782,1.6221,0.002887,2.5396
"M1106.454T890.453",4.8679,2.2833,0.0029798,2.5258
"M776.814T66.22",3.925,1.9727,0.0029943,2.5237
"M429.504T310.912",3.8479,1.9441,0.0030021,2.5226
"M1130.433T884.599",5.6056,2.4869,0.0030022,2.5226
"M1069.501T1402.821",3.8411,1.9415,0.0030316,2.5183
"M751.173T317.266",3.6001,1.848,0.0031967,2.4953
"M323.187T1016.246",3.668,1.875,0.0032315,2.4906
"M915.823T68.606",5.2346,2.3881,0.0033445,2.4757
"M982.374T904.236",7.2361,2.8552,0.003354,2.4744
"M449.202T630.506",3.1203,1.6417,0.0034783,2.4586
"M1035.367T890.845",6.068,2.6012,0.0035149,2.4541
"M564.929T1201.416",2.7318,1.4498,0.0035161,2.4539
"M281.07T709.104",3.7392,1.9027,0.003525,2.4528
"M769.419T945.253",4.5762,2.1942,0.0035264,2.4527
"M1614.109T935.709",4.6411,2.2145,0.0035625,2.4482
"M357.576T759.445",3.2096,1.6824,0.003744,2.4267
"M409.045T138.763",3.8301,1.9374,0.0037466,2.4264
"M445.095T115.802",3.6021,1.8488,0.0038608,2.4133
"M375.129T729.569",2.878,1.5251,0.0038644,2.4129
"M421.069T767.549",6.9232,2.7914,0.0039385,2.4047
"M851.338T916.834",4.868,2.2833,0.0039499,2.4034
"M428.2T856.891",6.4068,2.6796,0.0039561,2.4027
"M871.351T913.248",5.1115,2.3538,0.0039593,2.4024
"M433.039T456.919",74.59,6.2209,0.0039644,2.4018
"M767.194T317.413",3.4696,1.7947,0.0040036,2.3976
"M1031.84T1213.333",2.9201,1.546,0.0040623,2.3912
"M1045.593T1289.364",3.9164,1.9695,0.0041256,2.3845
"M341.31T626.276",9.3486,3.2247,0.0042613,2.3705
"M489.058T766.222",9.0485,3.1777,0.0042762,2.3689
"M456.197T892.811",4.721,2.2391,0.0042973,2.3668
