"","PC1","PC2","PC3","PC4","PC5"
"M375.07T470.729",0.048107,0.011272,0.0070892,-0.036204,-0.37114
"M354.093T469.671",0.04905,0.0087629,0.0074666,-0.033633,-0.86615
"M437.041T470.729",0.047734,0.011135,0.012593,-0.032964,-0.20342
"M757.441T1176.453",-0.0028787,-0.032148,0.003928,-0.095008,0.2057
"M881.515T1351.787",0.027834,-0.037911,0.026594,-0.017777,-0.0028081
"M511.24T944.134",0.037128,-0.023053,-0.014088,0.02499,-0.0063187
"M557.187T899.436",0.035861,-0.040632,-0.05235,-0.037046,0.010674
"M1029.931T1194.947",0.032084,0.018831,0.014399,-0.021983,0.0092277
"M337.092T724.593",0.038536,-0.012602,0.021243,-0.06124,0.0035327
"M1013.86T1346.532",0.029936,5.0938e-05,-0.005615,-0.02311,-0.0033248
"M941.508T1318.851",0.021126,-0.040479,0.0091131,0.032114,0.0024643
"M1085.513T1348.399",0.038388,-0.021612,-0.00023295,0.021243,-0.0040999
"M466.978T106.664",0.003351,0.0036708,-0.0063585,0.069049,-0.0055867
"M861.451T1062.153",-0.02423,-0.013468,0.03874,0.024596,0.00078212
"M1059.606T1053.565",0.033585,-0.044901,-0.025993,-0.02753,0.0087189
"M1096.195T893.605",-0.0090264,0.012871,0.073737,0.083726,-0.0034222
"M180.067T785.272",-0.0043998,0.033507,-0.085589,0.024247,0.0060508
"M633.053T106.254",0.025113,-0.026195,-0.011198,0.013844,0.0064782
"M1014.89T1344.191",0.033793,0.019308,-0.015202,0.0051478,0.0052539
"M1269.507T907.7",-0.030615,0.0027334,0.043151,0.026736,-0.0013386
"M985.574T1225.672",0.031153,0.015964,-0.027034,0.0027339,0.0065477
"M1030.586T1195.906",0.024872,-0.0091659,0.0021998,0.012978,-0.0039233
"M983.568T1252.43",0.019862,0.0068937,0.02831,-0.050307,0.005909
"M457.19T799.683",0.026944,-0.0041273,-0.0090713,0.0094637,0.0022446
"M821.506T1329.663",0.031748,0.017651,0.017118,-0.013757,0.0075689
"M768.448T1315.096",0.040235,-0.0029442,0.01421,-0.026248,5.7278e-05
"M309.118T727.508",-0.0089189,0.050713,0.029138,-0.022614,0.0053854
"M655.999T943.196",-0.032518,-0.011161,-0.039402,0.059657,-0.0010869
"M565.05T98.887",-0.021488,0.048593,-0.01642,-0.075222,-0.002653
"M277.129T811.716",0.041537,0.016044,-0.0074424,0.00023205,0.0036512
"M1097.561T894.34",-0.034297,0.025156,0.068327,-0.053491,-0.0020682
"M921.374T936.829",0.044327,0.03271,-0.010108,0.0061495,0.0092327
"M451.007T107.467",0.011149,-0.016987,-0.039899,0.060085,-0.0070815
"M1100.582T1225.322",0.029732,-0.0031497,-0.0014874,0.031586,-0.00098852
"M649.302T900.549",0.035519,-0.010208,0.017666,0.00093903,0.0032896
"M286.972T107.919",0.013796,-0.022203,-0.014825,0.038251,0.0036494
"M581.318T900.123",0.036635,-0.0066347,0.003162,0.031352,0.0082724
"M1014.585T1348.471",0.038871,-0.0060106,-0.015118,0.011702,0.01252
"M799.289T814.54",0.027818,-0.015055,0.00091398,-0.04901,0.0052596
"M1053.272T316.465",0.037023,-0.02619,-0.0034617,0.012142,0.0030144
"M1097.037T893.528",-0.031043,-0.038748,0.0065937,-0.019431,0.001238
"M869.849T1307.413",0.022328,0.0048608,0.028387,0.037334,-0.00021293
"M1071.559T892.477",-0.023393,-0.0033155,0.036532,-0.01451,-0.0022565
"M1000.263T316.358",0.02766,-0.013794,0.017253,0.056753,-0.007766
"M767.194T317.413",0.03575,0.0075042,0.0087828,0.0077536,-0.0020233
"M650.407T1378.088",0.042764,-0.017075,-0.006239,0.0018761,0.0013598
"M653.891T318.024",0.035497,-0.026712,-0.0078999,-0.039566,0.0021953
"M560.841T1187.938",0.021439,0.0223,0.032594,-0.024709,0.0049656
"M354.957T108.842",0.02623,-0.018963,0.014618,0.012131,-0.0015698
"M590.775T907.789",-0.034721,0.023759,0.020589,0.024238,-0.0083364
"M206.082T164.917",-0.031548,0.032715,-0.017032,0.067716,-0.0089908
"M1161.521T895.466",-0.023857,0.00086981,0.050806,0.0072978,-0.00016227
