"","Comp 1","Comp 2","Comp 3","Comp 4"
"M375.07T470.729",0.048528,-0.013479,0.037595,0.0088903
"M354.093T469.671",0.049561,-0.011777,0.034329,0.0091863
"M437.041T470.729",0.048124,-0.014142,0.034113,0.014195
"M757.441T1176.453",-0.00097949,0.050641,0.078752,0.010437
"M881.515T1351.787",0.029737,0.033603,0.0026698,0.028659
"M511.24T944.134",0.038321,0.010367,-0.029924,-0.01488
"M557.187T899.436",0.038232,0.041621,0.025435,-0.048902
"M1029.931T1194.947",0.031898,-0.020736,0.026069,0.015132
"M337.092T724.593",0.039923,0.01599,0.052352,0.025168
"M1013.86T1346.532",0.030487,-0.0011486,0.022355,-0.0042412
"M941.508T1318.851",0.022704,0.02805,-0.044032,0.0083447
"M1085.513T1348.399",0.039547,0.0089332,-0.026869,-0.00087455
"M466.978T106.664",0.0027529,-0.017892,-0.063431,-0.010524
"M861.451T1062.153",-0.024252,0.011367,-0.030401,0.037587
"M1059.606T1053.565",0.035982,0.043243,0.013236,-0.023041
"M1096.195T893.605",-0.010364,-0.03042,-0.079851,0.068274
"M180.067T785.272",-0.0057986,-0.033014,-0.0060095,-0.087786
"M633.053T106.254",0.026354,0.017937,-0.020711,-0.011249
"M1014.89T1344.191",0.033454,-0.025846,0.0027026,-0.016021
"M1269.507T907.7",-0.031365,-0.0036143,-0.027455,0.041404
"M985.574T1225.672",0.030947,-0.021135,0.0046856,-0.02759
"M1030.586T1195.906",0.025438,0.0011815,-0.015247,0.0016884
"M983.568T1252.43",0.020171,-0.0015964,0.047835,0.031022
"M457.19T799.683",0.027384,-0.0029479,-0.0094966,-0.0094939
"M821.506T1329.663",0.031538,-0.021295,0.01774,0.017393
"M768.448T1315.096",0.041023,-0.00046019,0.023022,0.015811
"M309.118T727.508",-0.010868,-0.043797,0.035854,0.028974
"M655.999T943.196",-0.032872,0.0067984,-0.057351,-0.042521
"M565.05T98.887",-0.023057,-0.026834,0.087826,-0.013322
"M277.129T811.716",0.041445,-0.023553,0.0057756,-0.0078954
"M1097.561T894.34",-0.035408,-0.0093512,0.053752,0.070625
"M921.374T936.829",0.043587,-0.0413,0.0058512,-0.011377
"M451.007T107.467",0.011564,0.003635,-0.059384,-0.042878
"M1100.582T1225.322",0.029996,-0.0092099,-0.030538,-0.0032596
"M649.302T900.549",0.036323,0.0018807,-0.0052483,0.017861
"M286.972T107.919",0.014568,0.011562,-0.042225,-0.016422
"M581.318T900.123",0.037114,-0.0073583,-0.031741,0.0014923
"M1014.585T1348.471",0.039526,-0.0037252,-0.01174,-0.015606
"M799.289T814.54",0.029107,0.018835,0.041364,0.0042303
"M1053.272T316.465",0.038414,0.015592,-0.019573,-0.0034296
"M1097.037T893.528",-0.0298,0.047296,0.0050088,0.0088246
"M869.849T1307.413",0.022102,-0.017805,-0.035438,0.025985
"M1071.559T892.477",-0.023506,0.0093658,0.0099421,0.037404
"M1000.263T316.358",0.028096,-0.0043259,-0.05905,0.014257
"M767.194T317.413",0.035837,-0.016302,-0.005261,0.0080932
"M650.407T1378.088",0.043954,0.0078186,-0.0066892,-0.0058534
"M653.891T318.024",0.037276,0.027005,0.029297,-0.004792
"M560.841T1187.938",0.020977,-0.022127,0.02846,0.03335
"M354.957T108.842",0.027179,0.010057,-0.018505,0.014407
"M590.775T907.789",-0.036283,-0.021715,-0.016685,0.018442
"M206.082T164.917",-0.033679,-0.03829,-0.052126,-0.021917
"M1161.521T895.466",-0.024319,0.00045492,-0.010233,0.050242
"M418.218T902.438",0.042504,-0.041908,-0.039479,-0.0041519
"M632.783T316.499",0.036649,-0.0054272,-0.019148,0.027128
"M451.218T291.531",0.036324,-0.035972,0.0012598,0.017259
"M344.099T126.621",0.037439,-0.029382,-0.025396,-0.0022964
"M385.113T835.894",0.042843,-0.037264,0.039624,-0.077593
"M627.229T851.009",0.042029,-0.026111,-0.024945,-0.049411
"M885.489T1408.277",0.035271,-0.0092612,-0.0078876,0.019906
"M645.124T781.203",-0.029322,-0.0039937,0.04102,0.0035083
"M942.469T1308.469",0.029183,0.021821,-0.040001,0.003992
"M421.069T767.549",0.041895,0.015933,0.042031,0.044082
"M643.245T813.714",0.033455,-0.020134,-0.0031563,-0.033431
"M745.161T766.586",0.036305,-0.023163,0.042409,0.0089112
"M316.508T323.984",0.022281,0.017024,0.0078641,0.020755
"M729.273T847.264",0.036853,7.9384e-06,-0.024689,0.014704
"M417.764T850.924",0.043786,-0.026575,-0.022515,0.004962
"M653.752T320.843",0.022023,-0.0075114,-0.0065181,0.03009
"M683.129T316.242",0.037145,0.02498,-0.053164,0.03146
"M653.783T316.318",0.029811,-0.00081307,-0.022073,-0.0019467
"M489.058T766.222",0.051587,0.024111,0.033652,-0.011688
"M851.819T1425.446",0.03755,0.011918,0.094057,-0.0055402
