"","Comp. 1","Comp. 2","Comp. 3","Comp. 4"
"M1163.085T907.707",2.5001,2.4101,2.4067,2.4067
"M204.085T413.719",2.4734,2.4144,2.4111,2.4111
"M684.191T618.708",2.0478,1.9766,1.9741,1.9741
"M413.179T861.909",2.0379,2.0836,2.0848,2.0848
"M410.078T615.621",1.9893,2.0837,2.0866,2.0866
"M1163.56T905.015",1.9848,1.9502,1.9475,1.9475
"M272.073T418.674",1.9747,2.2911,2.2881,2.2881
"M387.034T831.689",1.7811,1.682,1.6809,1.6809
"M775.338T1039.594",1.7728,1.6677,1.6664,1.6664
"M311.104T1075.82",1.7282,1.6262,1.6248,1.6248
"M240.933T64.89",1.6985,1.6699,1.6678,1.6678
"M1134.038T907.684",1.6939,1.665,1.6636,1.6636
"M319.076T917.392",1.6933,1.6199,1.6181,1.6181
"M367.058T823.98",1.6688,1.6272,1.6255,1.6255
"M237.04T858.99",1.662,1.5623,1.5735,1.5735
"M455.021T825.04",1.6444,1.5735,1.5719,1.5719
"M1014.419T974.744",1.635,1.5798,1.5778,1.5778
"M487.146T735.656",1.6183,1.5322,1.5328,1.5328
"M1193.041T904.79",1.6135,1.709,1.7068,1.7068
"M489.058T766.222",1.5957,1.5244,1.523,1.523
"M1192.04T901.764",1.5801,1.5718,1.5702,1.5702
"M1063.398T908.83",1.5339,1.4478,1.4497,1.4497
"M333.062T954.304",1.5198,1.4651,1.4672,1.4672
"M333.041T419.397",1.5191,1.6325,1.6311,1.6311
"M505.029T765.672",1.5081,1.4758,1.4742,1.4742
"M1176.528T983.06",1.5064,1.5452,1.5431,1.5431
"M293.118T1042.937",1.499,1.4538,1.4605,1.4605
"M343.103T489.112",1.4988,1.419,1.4175,1.4175
"M712.22T783.012",1.4949,1.4368,1.4349,1.4349
"M1044.425T908.907",1.4832,1.3973,1.3967,1.3967
"M389.108T489.956",1.4815,1.4436,1.4428,1.4428
"M367.103T818.837",1.4803,1.3997,1.3993,1.3993
"M420.999T106.905",1.4686,1.3863,1.3844,1.3844
"M471.117T721.976",1.4615,1.7748,1.7845,1.7845
"M361.323T326.759",1.451,1.3635,1.3622,1.3622
"M957.274T935.63",1.4504,1.6634,1.6611,1.6611
"M333.191T983.058",1.4458,1.437,1.4405,1.4405
"M323.187T1016.246",1.4429,1.4185,1.4169,1.4169
"M507.209T930.4",1.4402,1.359,1.3571,1.3571
"M203.083T418.775",1.4387,1.6009,1.5996,1.5996
"M279.139T1150.344",1.4386,1.48,1.4783,1.4783
"M923.402T931.508",1.4385,1.3908,1.3889,1.3889
"M951.397T1014.118",1.4222,1.4109,1.4091,1.4091
"M341.535T617.585",1.4222,1.3966,1.3948,1.3948
"M508.215T930.69",1.4217,1.336,1.3342,1.3342
"M428.2T856.891",1.4202,1.3383,1.3364,1.3364
"M821.606T900.199",1.4182,1.3363,1.3344,1.3344
"M721.31T972.44",1.418,1.3346,1.3328,1.3328
"M469.208T948.545",1.4173,1.3323,1.3339,1.3339
"M1611.697T937.933",1.4172,1.3528,1.3518,1.3518
"M807.007T938.915",1.4127,1.3276,1.3261,1.3261
"M759.145T875.232",1.4099,1.3472,1.3472,1.3472
"M455.193T892.238",1.4086,1.3517,1.3521,1.3521
"M402.053T876.272",1.4063,1.3554,1.354,1.354
"M487.212T857.117",1.4055,1.3463,1.3445,1.3445
"M341.31T626.276",1.4053,1.3439,1.3421,1.3421
"M1143.426T942.716",1.4017,1.3847,1.3828,1.3828
"M728.286T863.521",1.4003,1.3159,1.3143,1.3143
"M391.157T830.263",1.3981,1.5229,1.5213,1.5213
"M990.329T838.789",1.3962,1.3719,1.37,1.37
"M895.29T938.858",1.3902,1.339,1.3372,1.3372
"M341.259T618.637",1.3851,1.3208,1.319,1.319
"M317.064T416.942",1.3844,1.3817,1.3799,1.3799
"M727.283T864.823",1.3782,1.2972,1.2954,1.2954
"M354.093T469.671",1.3723,1.2916,1.2908,1.2908
"M857.325T1034.658",1.3694,1.4419,1.4414,1.4414
"M339.058T415.891",1.3673,1.5828,1.5808,1.5808
"M950.342T882.081",1.3667,1.3511,1.3507,1.3507
"M567.333T903.822",1.3649,1.3766,1.3749,1.3749
"M427.038T293.27",1.3641,1.2871,1.2864,1.2864
"M449.205T834.832",1.3589,1.3763,1.3751,1.3751
"M365.528T823.98",1.3572,1.3114,1.31,1.31
"M399.065T319.722",1.3515,1.6196,1.6206,1.6206
"M851.276T990.376",1.3487,1.2806,1.2815,1.2815
"M483.183T857.732",1.3469,1.2686,1.2708,1.2708
"M705.205T926.435",1.3428,1.3399,1.3388,1.3388
"M495.025T292.616",1.3403,1.27,1.2698,1.2698
"M375.07T470.729",1.337,1.2592,1.2587,1.2587
