"","FC","log2(FC)","raw.pval","-log10(p)"
"M341.535T617.585",0.28992,-1.7863,0.00069026,3.161
"M505.029T765.672",0.24777,-2.0129,0.0015871,2.7994
"M438.049T766.588",0.34666,-1.5284,0.0016824,2.7741
"M341.31T626.276",0.29574,-1.7576,0.0019575,2.7083
"M533.169T900.984",0.41571,-1.2664,0.0025914,2.5865
"M413.081T316.361",0.47455,-1.0754,0.0028016,2.5526
"M341.259T618.637",0.30699,-1.7037,0.0028826,2.5402
"M359.022T90.408",0.4238,-1.2385,0.0044447,2.3522
"M409.075T617.585",0.34252,-1.5457,0.0055164,2.2583
"M420.999T106.905",0.25968,-1.9452,0.0057101,2.2434
"M475.366T1425.395",0.39469,-1.3412,0.0083316,2.0793
"M653.891T318.024",0.40894,-1.29,0.0084277,2.0743
"M727.283T864.823",0.30472,-1.7145,0.0087463,2.0582
"M317.064T416.942",0.30322,-1.7216,0.0092145,2.0355
"M545.298T995.647",0.4404,-1.1831,0.009277,2.0326
"M590.775T907.789",2.2713,1.1835,0.0098716,2.0056
"M1097.514T1402.931",0.46865,-1.0934,0.01067,1.9719
"M562.892T1151.046",0.46395,-1.108,0.010821,1.9657
"M437.044T765.875",0.33286,-1.587,0.011003,1.9585
"M323.187T1016.246",0.27324,-1.8718,0.011144,1.953
"M489.058T766.222",0.20781,-2.2667,0.011662,1.9332
"M508.215T930.69",0.2789,-1.8422,0.011924,1.9236
"M225.002T107.866",0.40696,-1.297,0.011977,1.9216
"M1053.272T316.465",0.43462,-1.2022,0.012687,1.8966
"M544.284T936.329",0.49298,-1.0204,0.013273,1.877
"M852.339T915.443",0.37447,-1.4171,0.014188,1.8481
"M643.245T933.361",0.3975,-1.331,0.014261,1.8459
"M1013.583T1347.533",0.46709,-1.0982,0.014574,1.8364
"M821.606T900.199",0.2859,-1.8064,0.014875,1.8275
"M341.465T625.973",0.33879,-1.5615,0.014926,1.8261
"M1069.501T1402.821",0.43853,-1.1892,0.015224,1.8175
"M269.103T792.774",0.46581,-1.1022,0.015751,1.8027
"M238.069T801.926",0.33817,-1.5642,0.015765,1.8023
"M728.286T863.521",0.28902,-1.7908,0.015831,1.8005
"M669.182T316.584",0.49573,-1.0124,0.016525,1.7819
"M1095.01T894.541",2.233,1.159,0.016719,1.7768
"M489.187T785.097",0.38132,-1.3909,0.017098,1.767
"M398.263T1317.762",0.34909,-1.5183,0.017493,1.7571
"M650.407T1378.088",0.35808,-1.4816,0.017955,1.7458
"M968.386T889.852",0.37167,-1.4279,0.018258,1.7385
"M529.154T821.794",0.34434,-1.5381,0.018275,1.7381
"M483.209T897.853",0.40196,-1.3149,0.019203,1.7166
"M367.103T818.837",0.25197,-1.9887,0.02,1.699
"M871.351T913.248",0.4349,-1.2013,0.020988,1.678
"M511.24T944.134",0.44076,-1.1819,0.021947,1.6586
"M999.268T316.316",0.38003,-1.3958,0.022148,1.6547
"M836.522T1479.692",0.47964,-1.06,0.022407,1.6496
"M415.161T821.344",0.35063,-1.512,0.022519,1.6475
"M567.171T792.05",0.49186,-1.0237,0.023029,1.6377
"M401.049T776.54",0.47757,-1.0662,0.023574,1.6276
"M776.814T66.22",0.4539,-1.1396,0.024832,1.605
"M1045.593T1289.364",0.42215,-1.2442,0.025709,1.5899
"M395.28T1470.273",0.43264,-1.2088,0.02598,1.5854
"M548.979T106.308",0.45593,-1.1331,0.026217,1.5814
"M204.085T413.719",0.023274,-5.4252,0.026596,1.5752
"M661.253T876.035",0.41855,-1.2565,0.026849,1.5711
"M723.346T899.128",0.43218,-1.2103,0.027685,1.5577
"M433.661T789.942",0.39319,-1.3467,0.028201,1.5497
"M603.083T90.379",0.45048,-1.1505,0.029159,1.5352
"M1614.109T935.709",0.37823,-1.4027,0.029268,1.5336
"M1130.433T884.599",0.36192,-1.4662,0.029974,1.5232
"M775.338T1039.594",0.14376,-2.7983,0.030147,1.5208
"M1085.513T1348.399",0.43011,-1.2172,0.030479,1.516
"M549.174T847.493",0.48924,-1.0314,0.030493,1.5158
"M289.056T250.757",0.34079,-1.5531,0.030931,1.5096
"M729.273T847.264",0.49003,-1.0291,0.031403,1.503
"M824.341T916.725",0.33398,-1.5822,0.031518,1.5014
"M311.104T1075.82",0.15628,-2.6778,0.031615,1.5001
"M1015.586T1347.819",0.47472,-1.0748,0.031908,1.4961
"M967.561T1349.704",0.49601,-1.0116,0.032015,1.4947
"M485.168T916.74",0.4001,-1.3216,0.033672,1.4727
"M395.189T761.387",0.40481,-1.3047,0.033914,1.4696
"M630.654T314.128",0.46974,-1.0901,0.034529,1.4618
"M343.102T681.368",0.40949,-1.2881,0.034594,1.461
"M1014.585T1348.471",0.45397,-1.1393,0.034736,1.4592
"M673.289T892.945",0.42562,-1.2324,0.035012,1.4558
"M445.095T115.802",0.42711,-1.2273,0.035278,1.4525
"M351.13T801.057",0.47879,-1.0625,0.036112,1.4423
"M1163.56T905.015",11.091,3.4714,0.037024,1.4315
"M361.323T326.759",0.26131,-1.9362,0.037182,1.4297
"M1035.367T890.845",0.35272,-1.5034,0.038342,1.4163
"M487.212T857.117",0.29356,-1.7683,0.038463,1.415
"M970.813T317.253",0.45569,-1.1339,0.038831,1.4108
"M1063.398T908.83",0.21458,-2.2204,0.038836,1.4108
"M769.419T945.253",0.4478,-1.1591,0.038928,1.4097
"M709.31T874.193",0.48525,-1.0432,0.03907,1.4082
"M714.253T913.384",0.36044,-1.4722,0.039181,1.4069
"M265.093T134.502",0.47536,-1.0729,0.039182,1.4069
"M245.094T862.962",0.33205,-1.5905,0.040063,1.3973
"M343.103T489.112",0.23069,-2.116,0.040258,1.3952
"M721.31T972.44",0.27746,-1.8496,0.04027,1.395
"M619.189T858.982",0.48633,-1.04,0.040586,1.3916
"M807.007T938.915",0.26293,-1.9272,0.040822,1.3891
"M427.038T293.27",0.29517,-1.7604,0.040851,1.3888
"M524.183T892.811",0.44776,-1.1592,0.04086,1.3887
"M702.25T942.066",0.48269,-1.0508,0.041172,1.3854
"M969.321T316.442",0.39802,-1.3291,0.041322,1.3838
"M1204.491T868.846",0.40336,-1.3099,0.041687,1.38
"M1087.412T876.684",0.39196,-1.3512,0.042463,1.372
"M587.201T848.147",0.41755,-1.26,0.042628,1.3703
"M1134.038T907.684",6.3296,2.6621,0.04266,1.37
"M507.209T930.4",0.26344,-1.9244,0.04292,1.3673
"M1197.439T886.215",0.33443,-1.5802,0.042981,1.3667
"M329.089T195.942",0.48024,-1.0582,0.043102,1.3655
"M1106.454T890.453",0.43566,-1.1987,0.043882,1.3577
"M545.846T78.22",0.48529,-1.0431,0.044027,1.3563
"M703.247T844.715",0.43997,-1.1845,0.045125,1.3456
"M456.197T892.811",0.47414,-1.0766,0.046471,1.3328
"M295.104T156.471",0.47072,-1.0871,0.046749,1.3302
"M567.333T903.822",3.2293,1.6912,0.047595,1.3224
"M702.255T837.404",0.47861,-1.0631,0.048361,1.3155
"M463.182T861.112",0.36617,-1.4494,0.048476,1.3145
"M1308.415T315.705",0.36072,-1.471,0.049445,1.3059
"M1044.425T908.907",0.22615,-2.1447,0.049579,1.3047
"M1007.203T89.251",0.34524,-1.5343,0.049823,1.3026
"M399.165T851.906",0.47961,-1.0601,0.049843,1.3024
"M795.27T865.806",0.32889,-1.6043,0.050039,1.3007
"M919.334T939.971",0.45161,-1.1468,0.052415,1.2805
"M693.424T1336.51",0.32951,-1.6016,0.052578,1.2792
"M819.254T316.358",0.47819,-1.0643,0.053025,1.2755
"M693.278T872.306",0.40656,-1.2985,0.05306,1.2752
"M653.913T316.046",0.4589,-1.1237,0.053212,1.274
