"",F.stat,p.value,-log10(p),FDR
M769.419T945.253,10.269,0.016411,1.7849,0.049595
M821.606T900.199,10.269,0.016411,1.7849,0.049595
M1095.063T894.34,10.269,0.016411,1.7849,0.049595
M517.099T802.454,10.269,0.016411,1.7849,0.049595
M893.38T934.735,10.269,0.016411,1.7849,0.049595
M1095.01T894.541,10.269,0.016411,1.7849,0.049595
M1035.367T890.845,10.269,0.016411,1.7849,0.049595
M1007.373T920.82,10.269,0.016411,1.7849,0.049595
M843.287T936.679,10.269,0.016411,1.7849,0.049595
M1008.375T923.099,10.269,0.016411,1.7849,0.049595
M1613.665T937.741,10.269,0.016411,1.7849,0.049595
M781.183T974.609,10.269,0.016411,1.7849,0.049595
M776.814T66.22,10.269,0.016411,1.7849,0.049595
M621.037T758.225,10.269,0.016411,1.7849,0.049595
M461.037T823.98,10.269,0.016411,1.7849,0.049595
M1130.433T884.599,10.269,0.016411,1.7849,0.049595
M617.247T870.852,10.269,0.016411,1.7849,0.049595
M341.088T439.204,10.269,0.016411,1.7849,0.049595
M697.905T994.286,10.269,0.016411,1.7849,0.049595
M1614.109T935.709,10.269,0.016411,1.7849,0.049595
M399.275T1363.391,9.9487,0.019007,1.7211,0.049595
M295.104T156.471,9.9487,0.019007,1.7211,0.049595
M702.255T837.404,9.9487,0.019007,1.7211,0.049595
M751.173T317.266,9.9487,0.019007,1.7211,0.049595
M369.569T765.536,9.9487,0.019007,1.7211,0.049595
M852.339T915.443,9.9487,0.019007,1.7211,0.049595
M475.366T1425.395,9.9487,0.019007,1.7211,0.049595
M645.252T899.393,9.9487,0.019007,1.7211,0.049595
M335.137T198.47,9.9487,0.019007,1.7211,0.049595
M942.309T937.647,9.9487,0.019007,1.7211,0.049595
M1197.439T886.215,9.9487,0.019007,1.7211,0.049595
M473.173T881.847,9.9487,0.019007,1.7211,0.049595
M429.25T1071.941,9.9487,0.019007,1.7211,0.049595
M1031.347T966.014,9.9487,0.019007,1.7211,0.049595
M937.334T882.127,9.9487,0.019007,1.7211,0.049595
M345.082T140.774,9.9487,0.019007,1.7211,0.049595
M1105.431T888.552,9.9487,0.019007,1.7211,0.049595
M507.151T845.473,9.9487,0.019007,1.7211,0.049595
M265.093T134.502,9.8654,0.019746,1.7045,0.049595
M549.258T834.983,9.8654,0.019746,1.7045,0.049595
M398.263T1317.762,9.8654,0.019746,1.7045,0.049595
M471.152T726.342,9.8654,0.019746,1.7045,0.049595
M173.008T106.871,9.8654,0.019746,1.7045,0.049595
M445.095T115.802,9.8654,0.019746,1.7045,0.049595
M470.098T771.956,9.8654,0.019746,1.7045,0.049595
M650.407T1378.088,9.859,0.019804,1.7033,0.049595
M309.119T137.634,9.859,0.019804,1.7033,0.049595
M709.31T874.193,9.859,0.019804,1.7033,0.049595
M653.913T316.046,9.859,0.019804,1.7033,0.049595
M990.329T838.789,9.859,0.019804,1.7033,0.049595
M830.24T316.247,9.859,0.019804,1.7033,0.049595
M950.337T882.881,9.859,0.019804,1.7033,0.049595
M708.241T861.396,9.859,0.019804,1.7033,0.049595
M395.189T761.387,9.859,0.019804,1.7033,0.049595
M351.13T801.057,9.859,0.019804,1.7033,0.049595
M665.182T815.828,9.859,0.019804,1.7033,0.049595
M454.975T107.571,9.859,0.019804,1.7033,0.049595
M385.188T793.619,9.859,0.019804,1.7033,0.049595
M356.995T88.504,9.7756,0.020573,1.6867,0.049595
M455.021T825.04,9.7756,0.020573,1.6867,0.049595
M357.108T784.337,9.7756,0.020573,1.6867,0.049595
M395.28T1470.273,9.7756,0.020573,1.6867,0.049595
M401.05T875.074,9.7756,0.020573,1.6867,0.049595
M180.067T785.272,9.7564,0.020754,1.6829,0.049595
M1269.507T907.7,9.7564,0.020754,1.6829,0.049595
M921.374T936.829,9.7564,0.020754,1.6829,0.049595
M1071.559T892.477,9.7564,0.020754,1.6829,0.049595
M1161.521T895.466,9.7564,0.020754,1.6829,0.049595
M864.188T806.912,9.7564,0.020754,1.6829,0.049595
M279.139T1150.344,9.7564,0.020754,1.6829,0.049595
M923.402T931.508,9.7564,0.020754,1.6829,0.049595
M451.125T735.96,9.7564,0.020754,1.6829,0.049595
M579.151T798.32,9.7564,0.020754,1.6829,0.049595
M509.218T928.864,9.7564,0.020754,1.6829,0.049595
M439.083T756.683,9.7564,0.020754,1.6829,0.049595
M895.304T938.238,9.7564,0.020754,1.6829,0.049595
M823.337T914.416,9.7564,0.020754,1.6829,0.049595
M1005.392T917.562,9.7564,0.020754,1.6829,0.049595
M445.037T424.564,9.7564,0.020754,1.6829,0.049595
M272.963T113.946,9.7564,0.020754,1.6829,0.049595
M549.147T750.744,9.7564,0.020754,1.6829,0.049595
M804.318T962.853,9.7564,0.020754,1.6829,0.049595
M389.182T799.355,9.7564,0.020754,1.6829,0.049595
M1130.437T924.326,9.7564,0.020754,1.6829,0.049595
M1162.522T896.44,9.7564,0.020754,1.6829,0.049595
M531.009T876.272,9.7564,0.020754,1.6829,0.049595
M287.076T110.312,9.7564,0.020754,1.6829,0.049595
M469.036T876.272,9.7564,0.020754,1.6829,0.049595
M957.274T935.63,9.7564,0.020754,1.6829,0.049595
M409.002T109.878,9.7564,0.020754,1.6829,0.049595
