"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Control","Control","Control","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Xanthomonas","Xanthomonas"
"M375.07T470.729","-0.3070536","-0.9487789","-0.4678755","-0.3737050","-0.1226854","-0.7772785"," 0.3510168"," 1.2245796"," 0.4492227"," 0.3525793"," 0.1072295"," 0.5127490"
"M354.093T469.671","-0.3404745","-0.9555900","-0.4674471","-0.3473549","-0.1468405","-0.7867792"," 0.3791382"," 1.1948603"," 0.4893685"," 0.3242460"," 0.1288727"," 0.5280005"
"M437.041T470.729","-0.32241696","-0.91152792","-0.43143080","-0.42429183","-0.24059209","-0.76610120"," 0.40548450"," 1.17352520"," 0.53557410"," 0.36163580"," 0.08274231"," 0.53739889"
"M757.441T1176.453","-0.02888545","-0.02334216","-0.78501593","-0.42227361","-0.30526351","-0.63443317"," 0.58669696"," 1.15132981"," 0.16045616"," 0.59125761","-0.20111427","-0.08941243"
"M881.515T1351.787","-0.5518126","-0.3422194","-0.4927676","-0.2423847","-0.2009080","-0.6279295"," 0.3598523"," 1.0840614"," 0.3846578"," 0.4343874","-0.0247992"," 0.2198621"
"M511.24T944.134","-0.64895622","-0.67774866","-0.27480823","-0.30181083"," 0.02067489","-0.53998295"," 0.16039877"," 1.04202452"," 0.65669268"," 0.23817396"," 0.25417579"," 0.07116629"
"M557.187T899.436","-0.28912479","-0.64405865","-0.73935241"," 0.08123407"," 0.10774265","-0.22897176"," 0.08076953"," 0.65671351"," 0.09819503","-0.15509531"," 0.86796611"," 0.16398201"
"M1029.931T1194.947","-0.06098214","-0.44707428","-0.11271530","-0.02242398","-0.23107796","-1.28428352"," 0.18491696"," 0.91922694"," 0.07153805"," 0.54181206"," 0.05293550"," 0.38812766"
"M337.092T724.593","-0.21093578","-0.49815695","-0.54794244","-0.31669881","-0.06784740","-1.13838690"," 0.38123047"," 1.39470998"," 0.22141689"," 0.18357277"," 0.08306093"," 0.51597723"
"M1013.86T1346.532","-0.37106669","-0.64799095","-0.46740936","-0.14420410"," 0.05598292","-0.54997782"," 0.56571732"," 1.20029034"," 0.30381544"," 0.19886103","-0.11091726","-0.03310088"
"M941.508T1318.851","-6.286046e-01","-2.990867e-01","-2.578303e-01","-4.247906e-01"," 8.100438e-02","-5.243283e-01"," 3.905590e-01"," 1.223854e+00"," 2.790804e-01"," 2.194206e-01","-8.792516e-05","-5.919027e-02"
"M1085.513T1348.399","-0.67696044","-0.67684637","-0.28164191","-0.18872065","-0.02072423","-0.53209782"," 0.30703982"," 1.06996454"," 0.51756408"," 0.10363230"," 0.19537474"," 0.18341595"
"M466.978T106.664","-0.54411665","-0.42873809","-0.09890247","-0.03140294"," 0.05010123","-0.28423142"," 0.23108707"," 1.13102470"," 0.45388178"," 0.27061368","-0.30340714","-0.44590975"
"M861.451T1062.153","-0.47467775","-0.01691049","-0.26619362","-0.07321932"," 0.17743103","-0.41130380"," 0.51834032"," 1.32431322"," 0.01499655"," 0.31441852","-0.63605421","-0.47114046"
"M1059.606T1053.565"," 0.11823601"," 0.08725339","-0.02035040"," 0.52709356"," 0.78996586","-0.22773434","-0.03230779","-1.29464729","-0.83929953","-0.51583934"," 0.82477873"," 0.58285114"
"M1096.195T893.605","-0.60677472","-0.06706819"," 0.25437226","-0.62529352","-0.42716341","-0.74033959"," 0.88707943"," 1.03987701"," 0.88960451"," 0.19064105","-0.66621402","-0.12872080"
"M180.067T785.272","-0.3988657","-0.8736139","-0.4664696"," 0.2076404"," 0.1432701","-0.2646286"," 0.4430924"," 1.1532776"," 0.7683439"," 0.7450776","-0.4053829","-1.0517415"
"M633.053T106.254","-0.55906225","-0.50118094","-0.36920766","-0.04270732","-0.01339236","-0.40020679"," 0.19902040"," 1.00814649"," 0.42368925"," 0.36600434"," 0.01832077","-0.12942393"
"M1014.89T1344.191","-0.30426227","-0.77211589","-0.20145509","-0.06525219","-0.11652383","-0.65949338"," 0.51982316"," 1.14803065"," 0.44070144","-0.06335702"," 0.02808850"," 0.04581593"
"M1269.507T907.7","-0.2227304148"," 0.2100289881","-0.0009465119","-0.3245943767","-0.3313972191","-0.9006577309"," 0.4196443906"," 1.3065356945"," 0.4163008922"," 0.3727305609","-0.5993368902","-0.3455773829"
"M985.574T1225.672","-0.22632970","-0.74529449","-0.18064109","-0.15138719"," 0.01109007","-0.69383700"," 0.17068462"," 0.86751701"," 0.54654724"," 0.22460832"," 0.15011127"," 0.02693094"
"M1030.586T1195.906","-0.391756081","-0.422544330","-0.210683103","-0.223138597","-0.009789078","-0.572016356"," 0.380231666"," 1.115453316"," 0.320175604"," 0.032012823","-0.023999403"," 0.006053540"
"M983.568T1252.43","-0.24041360","-0.42105950","-0.44972485","-0.39006324","-0.48573575","-0.50435020"," 0.80535665"," 1.38699504"," 0.39247934"," 0.17805882","-0.30464775"," 0.03310504"
"M457.19T799.683","-0.36134010","-0.48144932","-0.24335874","-0.29686428","-0.16848615","-0.82181272"," 0.20593427"," 1.11966168"," 0.64410606"," 0.49502679","-0.03030987","-0.06110763"
"M821.506T1329.663","-0.2717532","-0.5795198","-0.2513395","-0.5088193","-0.2397191","-0.7665223"," 0.6731204"," 1.2696422"," 0.3970045"," 0.2465824","-0.1391646"," 0.1704883"
"M768.448T1315.096","-0.42792263","-0.74557513","-0.47423101","-0.32250513","-0.08269665","-0.55313766"," 0.49296573"," 1.19629473"," 0.35237349"," 0.21194378"," 0.00385311"," 0.34863738"
"M309.118T727.508","-0.1527203","-0.3857459","-0.2828100","-0.1633769","-0.7073900","-0.3877529"," 0.4831350"," 1.4725148"," 0.4212980"," 0.6081966","-0.6156143","-0.2897340"
"M655.999T943.196","-0.39396850","-0.01075875","-0.07674338"," 0.09269997","-0.02725474","-0.51301603"," 0.37143180"," 1.34949533"," 0.40096252"," 0.21528571","-0.35955458","-1.04857937"
"M565.05T98.887"," 0.64467197","-0.03784938","-0.25379306","-0.43747706","-0.24174169","-0.89233976","-0.02163972"," 0.90709417"," 0.11206403"," 0.86410599","-0.38649253","-0.25660297"
"M277.129T811.716","-0.3152573","-0.8357803","-0.1915573","-0.5415365","-0.1553511","-0.7909591"," 0.3434272"," 0.8770951"," 0.7494132"," 0.4500629"," 0.1414982"," 0.2689449"
"M1097.561T894.34"," 0.03480105"," 0.17134805","-0.41958950","-0.06495732","-0.29374223","-0.79111863"," 0.42483450"," 1.44153449"," 0.23341056"," 0.62667313","-1.09895937","-0.26423474"
"M921.374T936.829","-0.5326921136","-1.2233392535","-0.3710989713"," 0.0361352867","-0.2012324819","-0.3025667599"," 0.3998200864"," 1.2482670485"," 0.7335256449"," 0.3718207981","-0.1594069757"," 0.0007676914"
"M451.007T107.467","-0.59562690","-0.49710388","-0.17749513"," 0.03200732"," 0.18415519","-0.40760428"," 0.34718239"," 1.07929461"," 0.44047007"," 0.13306443","-0.02293818","-0.51540564"
"M1100.582T1225.322","-0.47421661","-0.54886171","-0.11408279","-0.37577049","-0.05885522","-0.49042241"," 0.28214686"," 1.21341175"," 0.42198935"," 0.06992256"," 0.03882213"," 0.03591657"
