"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"sodium_formate","36356.68429","36475.958","38037.10154","24379.5029","24067.49696","4791.109597","46229.05891","15034.7638","5203.542746","13165.026","18752.09783","9733.549522","40652.91743","44568.976","42179.90343","5376.874366","26380.92488","21733.08686"
"M375.07T470.729","53854.7379","21693.2307","44825.5197","32847.429","46337.6789","876.28796","35087.243","56774.4485","68054.6405","57164.8254","70969.4114","728.3991","34258.2139","43417.6251","46642.6188","1040","70434.6155","103290.8089"
"M354.093T469.671","33093.7363","13809.0422","28888.2772","21974.7847","28875.5319","35.8887","22265.5727","38193.4389","42310.9145","39137.3024","44049.5636","179.4435","25510.7259","27513.0066","28553.341","35.8887","46899.3489","68268.343"
"M437.041T470.729","10634.0974","4613.9787","9527.0293","6168.5989","7908.8229","212.75686","7192.0376","12388.7509","12789.3672","13053.9787","14517.2379","1506.2419","6718.6296","7591.2533","7517.1654","158","13733.4267","21605.7946"
"M757.441T1176.453","15834.8994","15999.7379","6306.3429","6424.2897","7364.4812","1261.26858","9290.1025","14375.4","10234.1232","7302.7997","18034.4621","1261.26858","7785.5575","9466.5997","16648.731","1261.26858","9220.993","8761.4365"
"M881.515T1351.787","9063.4097","11624.2264","10161.5365","8733.3806","9050.9379","151.37614","10541.2193","10906.8216","8818.7974","9832.08","14844.9287","756.8807","6674.1144","10406.8105","8267.5326","151.37614","12194.5114","13381.044"
"M511.24T944.134","24041.2917","23298.2399","39467.8223","24487.2196","35644.3567","4469.76128","34855.9237","26346.6644","26361.9751","41936.2581","36087.08","4469.76128","30310.4466","22963.2916","22348.8064","4469.76128","51755.9307","34204.7132"
"M557.187T899.436","6502.0812","4464.9253","4205.3902","6476.0402","6576.7821","511.1987","8816.36","3991.7726","2555.9935","3561.0242","3869.874","511.1987","4704.1154","4722.3411","5883.2034","511.1987","16238.831","6306.588"
"M1029.931T1194.947","10005.7998","6191.3117","9811.8572","7041.3153","5353.3932","52.6013","2751.4281","5629.1455","4884.7068","4276.9219","10975.2618","263.0065","6668.8841","8349.8191","6904.1733","52.6013","8373.1081","10493.9472"
"M337.092T724.593","16086.1912","10602.1645","10279.3317","9240.5761","13128.3055","1053.35208","5266.7604","15819.3416","24115.042","10964.2431","14776.214","1053.35208","10940.2677","12691.8458","13902.3671","1053.35208","17945.0563","27849.8135"
"M1013.86T1346.532","13557.4861","9744.9439","12630.434","11947.0697","15009.2396","997.41797","13897.7766","17322.0249","12872.4715","11065.1606","13889.8695","199.483594","12161.6337","13633.6387","12431.3422","199.483594","13456.5735","12174.7846"
"M941.508T1318.851","4876.8567","7171.3564","7844.9553","4142.6594","7354.4037","477.2467","6998.6446","6579.4997","5987.9729","5062.274","6728.4056","190.2656","4939.0235","5506.8065","6300.0452","38.05312","7337.4545","5644.1179"
"M1085.513T1348.399","8168.5287","8196.433","13642.6838","9760.329","11754.2471","495.29995","12328.5413","10821.3322","9236.5337","12155.7813","10609.9625","34.4","10019.3071","10053.1647","10238.0499","172","16637.7843","13513.9376"
"M466.978T106.664","6277.7143","7144.4957","10682.69","7371.0075","7954.392","77.33716","10603.4923","6055.5164","5602.4466","6763.8393","7886.0581","386.6858","6136.5184","6861.4595","7071.7962","77.33716","5925.4991","4177.7098"
"M861.451T1062.153","5228.6812","9303.7843","7101.4746","5795.1937","7829.4106","114.74786","7197.363","7494.024","7112.9423","3494.7773","7241.278","573.7393","6050.5399","5669.7535","6998.9776","686","3100.0785","3139.4401"
"M1059.606T1053.565","3958.7889","3791.8835","3366.2329","4893.7613","7158.8005","68.43942","2999.9348","1306.9666","68.43942","342.1971","790.7898","68.43942","68.43942","3006.6253","4342.4866","68.43942","8266.4246","4742.0458"
"M1096.195T893.605","2513.4492","5689.227","9631.8526","1639.0263","2181.2892","327.80526","2613.0774","9882.1105","4306.1879","8686.1647","4313.4593","327.80526","3723.9379","7149.2126","5862.9362","327.80526","1667.4749","3088.8891"
"M180.067T785.272","1858.8432","878.5188","1747.083","3260.813","2906.7412","78.92884","2924.2183","2920.9951","3117.2353","4283.7624","5880.7434","78.92884","1384.7323","3197.1367","4247.2808","78.92884","1334.9368","394.6442"
"M633.053T106.254","3863.0476","4116.4514","4924.8634","4434.4085","4513.3214","35.52342","5795.4326","3517.2431","2826.4654","3891.4317","5219.824","177.6171","3219.3368","3991.8705","4322.7298","35.52342","5113.2161","3611.8039"
"M1014.89T1344.191","10043.9317","5756.5861","11883.9186","8965.3425","8323.8675","669.88168","8348.4821","11135.8757","8173.9131","8870.0679","6911.5728","133.976336","7954.4303","9303.1112","9183.6951","133.976336","10847.8765","9128.2966"
"M1269.507T907.7","14832.0156","26716.5755","20944.803","8665.954","8476.707","58.2","7540.2623","14621.0018","16789.8957","12744.9641","17115.0449","58.2","14416.4477","14120.3489","18528.0343","291","6467.3471","7509.1313"
"M985.574T1225.672","36967.7501","21480.7279","40581.5344","26823.5707","31418.3975","264.72912","28739.3104","23216.327","16729.6983","30193.2067","30647.3526","52.945824","29024.8843","18089.0922","27432.0933","367","39864.2618","28847.933"
"M1030.586T1195.906","56757.701","55148.499","71692.9986","45359.202","55909.6019","1189.90785","59826.5619","52409.088","38981.9532","43111.3618","45498.393","438.5101","51250.8133","43236.7951","47441.6258","251","60384.2525","51325.8721"
"M983.568T1252.43","8173.2249","6394.622","6410.2905","4460.3039","3859.8616","211.32059","7226.4835","14260.3524","10991.8615","7073.143","7499.7549","42.264118","4222.5287","4419.1077","4674.7858","42.264118","5428.7038","7119.6152"
"M457.19T799.683","12525.2317","10831.5041","15163.0067","9096.2213","10525.152","1493.03304","9010.7938","10447.7465","11195.7939","15729.75","18632.391","1493.03304","11335.5137","7465.1652","14929.3629","1493.03304","13687.119","10854.2473"
"M821.506T1329.663","9815.9921","6526.0677","10553.842","4794.2654","6782.371","1742.58938","6441.3471","14357.8216","11032.2028","8691.3386","10124.4628","2373.2809","6914.1393","6955.6728","8425.2245","1130","8504.0871","10598.8672"
"M768.448T1315.096","5816.4518","3898.5221","5737.767","4458.9733","5968.8643","31.6","6308.6251","7745.0903","6547.9341","5673.0564","6760.8357","174.2981","4138.8995","5074.6399","5652.0426","158","7302.6701","9320.8687"
"M309.118T727.508","3890.6288","2786.412","3372.2124","2569.0078","1154.5123","208.42053","3521.217","4036.4932","5844.9165","3232.0689","6032.9067","41.684106","2999.439","3589.5202","3180.7686","251","1445.1576","1907.5633"
"M655.999T943.196","37812.8994","63847.804","60871.99","49113.6255","41194.3818","80.57056","40901.1853","44230.1197","57803.2244","40314.8977","44622.0307","402.8528","38168.049","61377.2632","17181.7097","80.57056","28750.7399","9289.1109"
"M565.05T98.887","60343.786","25514.8512","20242.5026","10282.2703","13005.1021","663.68544","10961.952","10734.8329","12040.143","11133.5335","41091.0027","1246.6943","12135.6171","17753.272","17413.896","165","11868.2411","11524.7966"
"M277.129T811.716","4863.9287","2476.8468","5978.5995","2428.844","3965.5949","959.4677","3327.8767","4744.4002","3291.0285","7050.374","6799.3714","415.0391","4605.2087","4676.5665","4766.7733","521","6399.1736","6223.9241"
"M1097.561T894.34","7711.4311","9544.4328","4011.3825","4435.597","3080.0978","195.7448","2753.4454","5809.3903","9601.4","3789.7755","9882.8321","195.7448","7739.1918","5587.538","7956.85","195.7448","978.724","2910.4593"
"M921.374T936.829","7384.8305","2688.0837","9794.605","11413.9349","7952.5852","404.93178","13163.9759","12005.3093","14437.7923","17157.4003","14370.6277","65.6","11766.4908","11812.3315","8768.9718","328","9269.0058","9660.1407"
"M451.007T107.467","6285.2972","7040.8789","10498.95","8506.9504","9956.7668","35.50448","9863.4487","7464.648","5861.2719","7255.5256","7326.7101","177.5224","6343.0158","7192.3342","7840.8243","405","8656.4046","4110.0546"
"M1100.582T1225.322","13889.4999","12805.2505","21851.149","10412.544","14718.5994","254.78735","17339.8405","13529.6015","13446.669","13880.4755","13268.9471","50.95747","13650.0031","10940.3633","11119.1611","669","18020.9238","14797.1843"
"M649.302T900.549","12479.9574","11393.9394","16623.2439","12102.7494","12702.4143","743.57691","19726.7871","13617.2693","13244.8189","14906.2068","14500.3259","351.2874","9646.4179","12238.8537","13198.1197","287","16684.7846","18554.6684"
"M286.972T107.919","20342.3763","23283.3555","28001.12","29114.5495","24608.012","621.44434","34026.1091","22071.168","20469.0705","19696.112","22589.071","1103.3491","22517.4182","20946.432","23618.7328","1600","22528.6152","15146.0754"
"M581.318T900.123","17753.6191","16142.3562","32009.1733","16640.799","12455.4868","2491.09736","20033.3867","21647.0452","18435.5902","20709.5566","26688.9883","2491.09736","14012.5284","16082.4909","18739.6003","2491.09736","29752.3203","26196.9954"
"M1014.585T1348.471","67153.781","48440.722","92371.764","61948.2868","69808.4465","559.46718","82311.9027","76757.5668","61159.2836","74909.3793","73944.407","57.4","61389.5339","63745.8564","67164.0386","287","113995.3787","84928.7418"
"M799.289T814.54","8010.2064","6248.8272","5916.0282","5495.6179","4703.756","62.82762","5700.4883","6153.1889","2048.9675","5391.111","6604.6987","314.1381","2454.8184","4604.599","6181.6843","62.82762","7876.2876","7651.5685"
"M1053.272T316.465","12613.891","12761.8442","18483.2267","16498.23","10370.5056","282.38316","16867.752","16999.7343","9700.8718","21885.396","17941.4112","56.476632","10124.73","14327.6491","13880.832","56.476632","24616.289","19149.1404"
"M1097.037T893.528","3201.515","6221.7298","2552.99","881.9333","3089.1681","176.38666","3972.209","7322.5637","7621.9171","4846.045","7103.5116","176.38666","5221.8294","4780.9274","4559.77","176.38666","1878.9878","1312.271"
"M869.849T1307.413","12219.4665","12874.7338","20257.822","11144.8544","11854.3473","57.8","11873.8419","21767.8825","13162.9069","12773.5273","12810.9671","1384.025","14203.5957","12582.9384","12479.6387","289","12131.5019","13111.4419"
"M1071.559T892.477","3937.4333","5293.7323","3734.1242","1948.2562","2355.0004","380.28634","3908.5011","5648.6949","6159.2309","4356.7884","6571.6334","380.28634","4534.0624","3910.5038","4636.5219","380.28634","1901.4317","2092.3288"
"M1000.263T316.358","5765.2851","7371.1676","13165.2445","12587.7891","6871.7863","1031.66788","10892.631","8281.8973","5158.3394","9402.6371","11931.2","1031.66788","7876.7867","8144.4033","7698.7332","1031.66788","9180.588","8303.9584"
"M767.194T317.413","16660.7586","12202.4484","22603.8965","5452.1318","15623.5222","336.49373","18891.233","18609.124","12623.0764","21405.3181","21134.932","218.0503","15905.855","18731.7138","19824.5396","43.61006","19790.9755","21036.8423"
"M650.407T1378.088","4200.6863","3299.5847","5634.5916","5966.0964","4137.076","24.6","5681.8779","8228.2281","9298.95","9840.5236","6752.7121","24.6","5695.045","5710.6864","7875.9193","123","8671.034","7185.5319"
"M653.891T318.024","12661.5273","10005.6437","9932.868","15488.8949","13676.4908","278.46117","15591.5175","15255.1824","11354.5779","15188.0325","12122.5358","232.956","11549.6356","7624.8476","13052.0159","198","18747.0844","15865.4074"
