"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"M375.07T470.729",0.040302,0.011987,0.04467,-0.0088182,0.026577,-0.019858,-0.0068026,-0.041111,0.01623,0.0018257,-0.0096218,-0.059924
"M354.093T469.671",0.040479,0.010549,0.046554,-0.0092806,0.023555,-0.02216,-0.0070888,-0.0343,0.01213,-0.0050406,-0.0045902,0.66268
"M437.041T470.729",0.040486,0.016237,0.045394,-0.00059578,0.014358,-0.020396,-0.01126,-0.033778,0.0059233,-0.0066218,-0.002911,-0.18327
"M757.441T1176.453",0.030681,0.047288,-0.01679,-0.023323,0.019851,-0.036574,-0.003163,-0.074176,-0.048607,0.05448,0.047874,0.030299
"M881.515T1351.787",0.033835,0.0213,0.0084973,-0.030857,-0.0011597,-0.022954,-0.025775,-0.0064631,-0.0093012,0.022155,0.0048223,-0.097078
"M511.24T944.134",0.034666,-0.00075827,0.024599,-0.026511,0.012222,0.030644,-0.0073735,0.021641,-0.022454,0.0023878,-0.042484,-0.1546
"M557.187T899.436",0.019636,-0.034747,0.045327,-0.064964,0.0058801,-0.011094,0.048689,-0.045071,-0.038149,0.026822,0.0034856,0.17033
"M1029.931T1194.947",0.02754,0.045776,0.039998,-0.018312,0.058452,-0.073731,0.0136,0.01819,0.043568,0.037861,-0.0159,-0.58887
"M337.092T724.593",0.037415,0.038125,0.039631,-0.051409,0.043681,-0.037044,7.5964e-05,-0.051747,0.026822,-0.012855,0.0055838,0.037218
"M1013.86T1346.532",0.03512,0.0065393,-0.00039544,-0.025265,0.041515,0.0049318,0.0099696,-0.025173,0.008934,-0.0016985,0.043385,-0.13231
"M941.508T1318.851",0.032231,0.020758,-0.00015318,-0.043863,0.015305,0.048429,-0.017222,-0.0038311,0.0061763,0.019862,0.012273,-0.10649
"M1085.513T1348.399",0.034419,-0.0019621,0.024767,-0.032912,0.0057557,0.019755,-0.0039075,0.017334,0.0025143,-0.013931,-0.0044477,0.0057161
"M466.978T106.664",0.030157,0.0048388,-0.033674,-0.014618,0.025679,0.040051,0.016753,0.032716,0.011596,0.0051192,-0.020243,0.0044639
"M861.451T1062.153",0.0287,0.02875,-0.05912,-0.040168,0.044257,0.027524,-0.0057605,-0.0073273,0.04313,0.022566,0.045008,0.0028379
"M1059.606T1053.565",-0.030475,-0.043587,0.070489,-0.058166,0.062358,-0.052275,-0.034377,0.01399,0.030414,0.010569,0.08253,0.0005087
"M1096.195T893.605",0.035192,0.062276,-0.019653,0.019209,-0.0035013,0.056045,-0.043386,0.068678,-0.019708,-0.085173,0.066063,0.022037
"M180.067T785.272",0.039474,-0.016776,-0.062508,0.017578,0.082738,0.015105,0.045312,0.039695,-0.058082,0.052454,-0.011602,0.032103
