"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"X02.C12.2.neg",-14.268,3.9988,0.93303,3.9317,2.7712,-1.2393,3.0473,-3.4943,-0.6857,-0.65077,-0.43099,2.5663e-15
"X18.C12.3.neg",-20.096,8.3712,-4.7977,-4.7491,-1.922,-0.31966,-1.5262,0.26533,-1.3523,-0.25687,-0.091274,-6.5046e-15
"X33.C12.4.neg",-9.953,3.9655,1.9173,3.3996,-0.046497,3.1247,0.89428,3.6386,2.8574,-0.24837,-0.32031,7.1488e-16
"X12.D12.2.neg",-4.096,-6.0394,-3.5158,-1.9345,0.67356,-4.3496,2.3926,2.5245,1.3921,-0.63419,0.19691,1.3835e-15
"X28.D12.3.neg",-5.4724,-5.1901,-0.75144,-2.9912,5.3626,2.1908,-2.813,-0.7973,0.67466,-0.14248,-0.58739,7.8583e-16
"X52.D12.4.neg",-9.2939,-8.205,-4.8266,2.5352,-4.1965,2.0769,-0.011778,-2.0468,0.13811,0.47919,0.10067,-2.6007e-15
"X05.F12.4.neg",10.224,1.1781,-0.31904,1.0482,0.76224,0.3726,-0.53244,0.17308,-0.85896,-0.47065,4.803,4.3686e-15
"X22.F12.1.neg",30.277,3.6,-2.7192,-3.3441,-0.57635,1.3281,2.2411,-1.7118,1.9313,0.067907,-0.86019,1.2287e-15
"X38.F12.2.neg",15.284,-1.0426,-0.25127,2.4156,-0.24821,0.2276,-0.84214,1.7142,-3.5622,-2.88,-1.7874,-4.7476e-15
"X43.F12.3.neg",9.6606,1.9625,-1.741,3.4113,0.71233,-1.9688,-2.0428,0.74342,-0.58153,4.1607,-0.83604,3.3716e-15
"X32.X12.2.neg",-3.8104,-2.8571,8.582,-3.7668,-0.97247,1.0794,2.3444,0.58291,-2.3266,1.8961,0.0038209,1.8659e-15
"X41.X12.1.neg",1.5436,0.25804,7.4897,0.044095,-2.3199,-2.5227,-3.1513,-1.5919,2.3737,-1.3206,-0.1908,-1.1493e-15
