"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M375.07T470.729",0.043081,0.01686,0.022745,-0.036797,0.011575,0.011309,-0.032978,0.018725
"M354.093T469.671",0.043352,0.019416,0.023289,-0.03591,0.01073,0.0086528,-0.032319,0.020021
"M437.041T470.729",0.04322,0.015278,0.030212,-0.037021,0.020179,-0.0018314,-0.027566,0.015209
"M757.441T1176.453",0.030902,-0.043754,0.076105,-0.007058,0.023787,0.065638,-0.021908,-0.0043374
"M881.515T1351.787",0.03536,-0.0098764,0.052571,-0.0080642,-0.0083107,0.022961,-0.018731,0.012101
"M511.24T944.134",0.036927,0.010428,0.0066917,-0.018663,-0.020769,0.019775,-0.019433,-0.038012
"M557.187T899.436",0.022579,0.056148,0.0013331,0.0060697,-0.045189,0.067097,-0.0019934,-0.042294
"M1029.931T1194.947",0.028974,-0.0020643,0.050243,-0.066019,0.014142,0.036238,-0.042423,0.061326
"M337.092T724.593",0.039554,0.0028198,0.059428,-0.056269,-0.023243,0.042922,-0.051538,0.042151
"M1013.86T1346.532",0.036552,-0.015486,0.00080057,-0.01305,-0.01375,0.052538,-0.012385,0.026653
"M941.508T1318.851",0.033375,-0.018991,0.029403,-0.019989,-0.03216,0.050268,0.0036384,-0.0027111
"M1085.513T1348.399",0.036722,0.012138,0.0086742,-0.017623,-0.030669,0.017527,-0.0054496,-0.0017725
"M466.978T106.664",0.03043,-0.042576,-0.023313,-0.0019618,-0.030506,0.027798,0.0048873,-0.013981
"M861.451T1062.153",0.027885,-0.072612,0.009967,0.00010616,-0.040643,0.069949,0.0022132,0.047177
"M1059.606T1053.565",-0.028985,0.096041,-0.0083948,-0.0021597,-0.021927,0.080332,-0.044154,0.1072
"M1096.195T893.605",0.03499,-0.064454,0.044754,-0.045022,0.016827,-0.026324,0.0082639,0.022834
"M180.067T785.272",0.039636,-0.062149,-0.071836,0.030293,0.017985,0.079465,-0.023391,-0.047197
"M633.053T106.254",0.032151,-0.011974,0.0038,0.0027969,-0.020413,0.033951,-0.010378,-0.014709
"M1014.89T1344.191",0.035827,-0.0032667,-0.010995,-0.037683,-0.021149,0.024244,0.0016894,0.020646
"M1269.507T907.7",0.028899,-0.081447,0.055277,-0.047815,-0.012888,0.022976,-0.014157,0.0065862
"M985.574T1225.672",0.031304,0.0053469,-0.010526,-0.036085,0.0012832,0.023997,-0.034986,-0.018034
"M1030.586T1195.906",0.030869,-0.013466,0.011911,-0.029658,-0.030406,0.031692,-0.0031239,0.0087731
"M983.568T1252.43",0.039159,-0.038114,0.040757,-0.02172,0.0053595,0.013296,0.025341,0.017769
"M457.19T799.683",0.036477,-0.021121,0.025805,-0.033918,0.0050768,0.02324,-0.036064,-0.02883
"M821.506T1329.663",0.039135,-0.019239,0.033707,-0.045365,0.012882,0.024198,0.0003326,0.023715
"M768.448T1315.096",0.039378,0.0049046,0.020904,-0.019519,-0.0053033,0.019764,-0.010461,0.026951
"M309.118T727.508",0.038099,-0.072633,0.025469,-0.010547,0.021125,-0.0090167,0.03471,-0.0032486
"M655.999T943.196",0.027774,-0.083224,-0.014048,-0.013631,-0.050729,0.080009,0.016328,-0.038431
"M565.05T98.887",0.018935,-0.061997,0.044985,-0.054316,0.062255,0.044461,-0.063051,-0.033397
"M277.129T811.716",0.038347,0.010976,0.018206,-0.043188,0.040218,0.0038565,-0.037105,-0.022158
"M1097.561T894.34",0.030439,-0.10457,0.050737,-0.01852,0.00023725,0.01948,-0.050318,0.054295
"M921.374T936.829",0.046225,-0.0059613,-0.041363,0.0031685,0.0060477,-0.0085292,0.0020561,0.0014626
"M451.007T107.467",0.030941,-0.026527,-0.028465,-0.0052774,-0.041309,0.063388,0.0028956,-0.017304
"M1100.582T1225.322",0.034167,-0.0090548,0.0076281,-0.033795,-0.027762,0.015071,0.0093952,-0.014693
"M649.302T900.549",0.036754,-0.0015095,0.013941,-0.010649,-0.023159,-0.0074441,0.0030847,-0.00038786
"M286.972T107.919",0.031671,-0.032532,-0.014574,0.0044184,-0.04761,0.039983,0.012107,0.00057368
"M581.318T900.123",0.036774,0.00020945,0.034437,-0.033307,0.0022958,-0.0026855,0.032622,0.00018768
"M1014.585T1348.471",0.036759,0.011299,0.0038031,-0.024296,-0.012892,0.021892,0.0065959,-0.0062479
"M799.289T814.54",0.025849,0.014159,0.046205,-0.015653,0.03427,0.019444,-0.045619,0.015868
"M1053.272T316.465",0.03566,0.011763,0.02727,-0.0087538,-0.0010353,-0.0055897,0.00054918,-0.012681
"M1097.037T893.528",0.036696,-0.081007,0.05474,-0.0039347,0.018972,0.064464,-0.0033239,-0.060522
"M869.849T1307.413",0.035279,-0.027272,0.019221,-0.034534,-0.013701,0.027149,0.011949,0.043812
"M1071.559T892.477",0.036108,-0.075691,0.044735,-0.011411,0.012751,0.024384,0.0043524,-0.019892
"M1000.263T316.358",0.033184,-0.010562,0.00063856,0.0069978,-0.011948,-0.002845,0.011683,0.02781
"M767.194T317.413",0.035546,-0.0010987,0.029087,-0.036308,0.036517,-0.00051835,-0.010434,-0.038464
"M650.407T1378.088",0.044802,0.00034896,0.013902,-0.013272,-0.020347,0.0070341,0.005527,-0.0086429
