"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"X02.C12.2.neg",-14.291,-2.0979,-1.5982,-4.3693,3.2076,0.031203,-1.4045,-1.0838
"X18.C12.3.neg",-20.978,-5.4682,6.159,0.83131,-2.7228,0.39271,-0.61391,-0.60044
"X33.C12.4.neg",-10.018,-1.6631,-2.5807,-6.7455,0.33081,-1.8246,2.6633,0.80329
"X12.D12.2.neg",-3.9007,-0.017207,-2.6496,3.413,-2.9476,-0.018426,-0.27047,2.2195
"X28.D12.3.neg",-4.7748,1.3964,-3.5756,0.3574,-1.8224,3.2305,-3.5157,0.88675
"X52.D12.4.neg",-8.838,0.10514,-2.5603,7.2975,0.052469,-2.1676,2.8073,-1.4162
"X05.F12.4.neg",9.429,-1.1374,0.71729,0.70833,2.7453,2.4307,1.8283,2.6135
"X22.F12.1.neg",27.481,-4.8512,0.38439,-2.5172,-3.924,0.37265,1.2656,-0.57824
"X38.F12.2.neg",14.456,-0.59224,-0.97027,0.45644,0.64404,-2.8705,-2.9079,-2.79
"X43.F12.3.neg",8.4666,-2.4779,1.8841,2.9653,5.2353,1.2467,-0.40226,-0.02521
"X32.X12.2.neg",-0.70546,9.5841,1.456,-1.492,-0.80964,2.876,1.8031,-2.7954
"X41.X12.1.neg",3.6732,7.2196,3.334,-0.9053,0.010971,-3.6993,-1.2529,2.7663
