"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M413.179T861.909",2.0588,2.0045,2.1843,2.1689,2.1661,2.1649,2.1649,2.1649
"M775.338T1039.594",1.7083,1.4659,1.4057,1.3872,1.3863,1.3876,1.3875,1.3875
"M293.118T1042.937",1.7022,1.2645,1.2139,1.2184,1.2173,1.2169,1.2171,1.2171
"M279.139T1150.344",1.6855,1.3122,1.2742,1.2698,1.2688,1.2714,1.2714,1.2714
"M410.078T615.621",1.6826,1.4758,1.4926,1.597,1.5954,1.5944,1.5944,1.5944
"M204.085T413.719",1.6794,1.7625,1.6906,1.75,1.7543,1.7542,1.7541,1.7541
"M237.04T858.99",1.6748,1.438,1.3794,1.3613,1.3598,1.3603,1.3604,1.3604
"M367.058T823.98",1.6436,1.6396,1.6538,1.6349,1.6319,1.631,1.6309,1.6309
"M1014.419T974.744",1.6297,1.3714,1.3464,1.3349,1.3325,1.3318,1.3317,1.3317
"M387.034T831.689",1.6219,1.2212,1.1803,1.2627,1.2606,1.2599,1.2599,1.2599
"M471.117T721.976",1.6186,1.2695,1.3725,1.3587,1.3555,1.3568,1.3577,1.3577
"M1176.528T983.06",1.5753,1.2572,1.3,1.2885,1.2875,1.2869,1.2869,1.2869
"M489.058T766.222",1.5669,1.2792,1.236,1.2208,1.2179,1.2172,1.2172,1.2172
"M957.274T935.63",1.5366,1.139,1.4469,1.4348,1.4352,1.4343,1.4344,1.4344
"M487.146T735.656",1.5329,1.6748,1.6598,1.641,1.6371,1.6378,1.6382,1.6382
"M311.104T1075.82",1.5139,1.9157,1.8396,1.8226,1.8194,1.8195,1.8195,1.8195
"M1611.697T937.933",1.5039,1.1611,1.1638,1.1633,1.1604,1.16,1.1601,1.1601
"M343.103T489.112",1.5037,1.6376,1.5949,1.5799,1.5773,1.578,1.5779,1.5779
"M319.076T917.392",1.4972,1.1174,1.1939,1.2069,1.2042,1.2035,1.2035,1.2035
"M1462.085T939.347",1.4956,1.1252,1.2612,1.2546,1.2555,1.2557,1.2557,1.2557
"M895.29T938.858",1.4953,1.1008,1.0796,1.0654,1.0714,1.0716,1.0715,1.0716
"M990.329T838.789",1.4813,1.1073,1.1164,1.1016,1.1001,1.0995,1.0994,1.0994
"M367.103T818.837",1.4789,1.2483,1.2168,1.2038,1.2018,1.2013,1.2013,1.2013
"M1143.426T942.716",1.4753,1.1461,1.1535,1.1385,1.136,1.1354,1.1354,1.1354
"M1063.398T908.83",1.4749,1.2345,1.1853,1.1769,1.1741,1.1734,1.1735,1.1735
"M428.2T856.891",1.4746,1.1977,1.169,1.1536,1.1516,1.1509,1.1509,1.1509
"M505.029T765.672",1.4642,1.2636,1.3494,1.343,1.3399,1.3391,1.3391,1.3391
"M455.193T892.238",1.4573,1.1999,1.1513,1.1367,1.1344,1.1337,1.1337,1.1337
"M391.157T830.263",1.4554,1.175,1.4602,1.4409,1.4423,1.4415,1.4414,1.4414
"M848.315T857.496",1.4465,1.097,1.1037,1.0903,1.0903,1.0897,1.0897,1.0897
"M1044.425T908.907",1.4449,1.1067,1.0831,1.0728,1.0701,1.0696,1.0697,1.0697
"M389.108T489.956",1.4409,1.5178,1.4649,1.5024,1.4986,1.4994,1.4993,1.4993
"M469.208T948.545",1.4403,1.2525,1.2127,1.1983,1.1964,1.1958,1.1958,1.1958
"M455.021T825.04",1.4389,1.0781,1.0727,1.1619,1.1595,1.1588,1.1588,1.1588
"M333.191T983.058",1.4271,1.4788,1.4916,1.4749,1.4728,1.4733,1.4733,1.4733
"M950.342T882.081",1.4234,1.1183,1.1423,1.1274,1.1246,1.1247,1.1247,1.1247
"M449.205T834.832",1.4222,1.2277,1.3167,1.3022,1.3021,1.3013,1.3013,1.3013
