DroVsCon,FocVsCon,XvmVsCon
M516.992T825.04,M289.12T769.482,M204.085T413.719
M697.905T994.286,M473.173T806.642,M447.259T942.596
M447.05T875.673,M1014.782T1351.411,M341.535T617.585
M657.266T958.998,M674.842T67.64,M319.083T845.914
M402.053T876.272,M615.195T761.983,M1163.56T905.015
M204.085T413.719,M238.069T801.926,M438.049T766.588
M238.069T801.926,M513.129T730.532,M505.029T765.672
M404.916T66.832,M1014.811T1344.847,M361.589T316.501
M543.282T933.008,M847.188T757.14,M487.212T857.117
M401.05T875.074,M447.151T677.76,M723.346T899.128
M463.02T875.074,M631.833T319.717,M575.926T1053.198
M407.045T415.442,M379.067T781.128,M470.098T771.956
M475.366T1425.395,M402.053T876.272,M341.259T618.637
M439.083T756.683,M970.813T317.253,M1163.579T906.602
M341.088T304.64,M463.02T875.074,M281.069T746.743
M365.052T459.24,M645.252T899.393,M260.967T89.826
M684.191T618.708,M970.001T316.098,M439.083T756.683
M317.064T416.942,M1030.642T1193.369,M341.31T626.276
M289.12T769.482,M365.136T768.138,M543.282T933.008
M365.136T768.138,M799.289T814.54,M533.169T900.984
M365.528T823.98,M365.052T459.24,M372.9T1734.569
M384.092T841.195,M505.029T765.672,M1162.58T906.276
M564.929T1201.416,M398.263T1317.762,M1136.99T908.053
M852.339T915.443,M824.341T916.725,M684.191T618.708
M641.302T1183.734,M365.528T823.98,M413.192T1370.63
M455.021T825.04,M621.037T758.225,M317.064T416.942
M260.967T89.826,M999.268T316.316,M1014.782T1351.411
M333.041T419.397,M481.183T769.795,M320.919T92.078
M726.284T1051.577,M533.169T900.984,M409.075T617.585
M379.067T781.128,M653.783T316.318,M359.022T90.408
M555.17T790.902,M568.907T66.858,M413.081T316.361
M398.263T1317.762,M401.05T875.074,M653.891T318.024
M687.305T1181.604,M799.852T67.938,M407.045T415.442
M401.027T415.826,M395.28T1470.273,M618.794T905.184
M263.13T940.795,M380.071T778.258,M295.104T156.471
M395.28T1470.273,M776.814T66.22,M545.298T995.647
M380.071T778.258,M472.886T66.482,M970.001T316.098
M919.334T939.971,M455.021T825.04,M555.17T790.902
M429.141T889.195,M821.606T900.199,M180.971T1182.798
M373.167T930.605,M642.242T817.768,M475.366T1425.395
M472.886T66.482,M658.83T67.591,M751.173T317.266
M721.31T972.44,M431.156T735.48,M398.263T1317.762
M341.088T439.204,M447.05T875.673,M545.297T1155.639
M292.14T116.338,M1614.109T935.709,M347.091T1147.321
M469.036T876.272,M387.034T831.689,M657.109T89.959
M449.004T832.738,M469.036T876.272,M1009.554T1308.282
M642.302T1183.207,M240.933T64.89,M687.305T1181.604
M272.073T418.674,M641.302T1183.734,M489.058T766.222
M387.034T831.689,M508.215T930.69,M385.077T746.611
M203.083T418.775,M341.088T439.204,M641.302T1183.734
M341.535T617.585,M433.039T456.919,M420.999T106.905
M401.049T776.54,M469.095T760.602,M567.333T903.822
M433.039T456.919,M963.275T732.778,M426.882T91.046
M1134.038T907.684,M852.339T915.443,M821.606T900.199
M393.081T756.691,M751.173T317.266,M341.465T625.973
M1095.063T894.34,M329.088T425.59,M562.892T1151.046
M531.009T876.272,M988.312T316.465,M632.993T321.252
M409.002T109.878,M180.067T785.272,M649.026T106.128
M354.082T204.227,M702.255T837.404,M323.187T1016.246
M824.341T916.725,M373.167T930.605,M1059.606T1053.565
M445.037T424.564,M778.832T66.858,M238.069T801.926
M319.076T917.392,M653.752T320.843,M727.283T864.823
M379.565T877.71,M727.283T864.823,M1097.514T1402.931
M341.259T618.637,M819.254T316.358,M351.085T316.423
M545.297T1155.639,M221.066T891.624,M1053.272T316.465
M311.186T1077.614,M1197.439T886.215,M405.08T802.267
M559.276T958.275,M531.009T876.272,M429.121T110.997
M271.07T418.897,M703.247T844.715,M669.182T316.584
M333.135T1582.426,M279.139T1150.344,M265.261T1518.666
M299.259T1433.689,M729.273T847.264,M650.407T1378.088
M433.122T384.02,M1053.272T316.465,M393.081T756.691
M617.247T870.852,M418.896T66.885,M385.113T791.317
M339.058T415.891,M347.091T1147.321,M643.245T933.361
M469.019T418.674,M769.419T945.253,M565.23T844.341
M333.062T954.304,M969.939T315.438,M395.048T106.9
M341.31T626.276,M408.906T66.13,M225.002T107.866
M621.037T758.225,M508.881T66.935,M631.833T319.717
M789.663T1119.968,M397.074T474.916,M341.088T439.204
M264T169.106,M521.224T935.29,M1163.085T907.707
M1132.537T923.907,M544.284T936.329,M697.905T994.286
M517.099T802.454,M631.863T318.629,M269.103T792.774
M871.351T913.248,M937.334T882.127,M579.301T894.416
M470.098T771.956,M429.504T310.912,M611.147T106.977
M405.177T839.252,M875.467T1241.171,M1134.038T907.684
M702.25T942.066,M449.004T832.738,M968.386T889.852
M915.823T68.606,M982.374T904.236,M367.102T765.544
M471.046T618.546,M643.245T933.361,M999.268T316.316
M433.038T831.69,M509.218T928.864,M712.22T783.012
M1094.047T894.516,M399.165T851.906,M454.975T107.571
M731.208T950.406,M409.172T733.287,M784.154T761.471
M410.078T615.621,M433.777T806.208,M409.002T109.878
M299.07T414.239,M1087.412T876.684,M437.044T765.875
M851.338T916.834,M1130.433T884.599,M671.034T89.795
M505.3T1291.082,M657.109T89.959,M970.768T318.573
M455.081T744.378,M1032.753T1226.13,M483.209T897.853
M864.188T806.912,M1105.431T888.552,M385.188T793.619
M661.142T919.275,M630.654T314.128,M997.575T1403.78
M409.075T617.585,M345.119T282.765,M1014.811T1344.847
M1035.367T890.845,M341.31T626.276,M1192.04T901.764
M481.183T769.795,M785.833T68.422,M836.522T1479.692
M206.081T834.983,M341.535T617.585,M508.215T930.69
M1096.548T894.929,M421.069T767.549,M1013.583T1347.533
M513.235T964.262,M461.152T871.999,M621.037T758.225
M1130.433T884.599,M1463.124T939.772,M735.222T927.83
M447.222T1194.448,M429.646T308.971,M795.198T1006.041
M521.224T935.29,M549.174T847.493,M631.863T318.629
M473.173T881.847,M564.929T1201.416,M316.508T323.984
M365.143T832.741,M868.801T68.637,M345.082T140.774
M491.126T414.484,M413.104T602.912,M544.284T936.329
M937.334T882.127,M269.103T792.774,M657.266T958.998
M429.25T1071.941,M919.334T939.971,M1009.607T1323.757
M487.212T857.117,M617.247T870.852,M633.053T106.254
M407.173T414.983,M341.259T618.637,M726.284T1051.577
M445.095T115.802,M1117.54T932.512,M881.515T1351.787
M1614.109T935.709,M345.37T608.086,M415.161T821.344
M1129.441T885.407,M723.346T899.128,M203.204T105.674
M260.048T118.657,M471.897T67.543,M728.286T863.521
M173.008T106.871,M851.338T916.834,M413.091T89.817
M549.147T750.744,M487.212T857.117,M1197.053T906.963
M455.081T704.884,M991.316T318.206,M367.103T818.837
M295.104T156.471,M319.076T917.392,M433.661T789.942
M712.22T783.012,M548.179T817.387,M429.074T115.482
M529.184T941.182,M968.386T889.852,M852.339T915.443
M356.995T88.504,M449.202T630.506,M567.171T792.05
M611.147T106.977,M507.209T930.4,M445.207T780.093
M349.057T865.046,M477.061T615.621,M871.351T913.248
M1005.392T917.562,M1323.386T316.247,M338.938T105.668
M557.187T899.436,M428.2T856.891,M1069.501T1402.821
M821.606T900.199,M732.876T67.374,M265.093T134.502
M341.465T625.973,M255.115T921.266,M524.849T67.744
M799.191T949.166,M473.173T881.847,M311.138T170.155
M863.373T951.624,M367.08T114.463,M306.936T1813.234
M545.298T995.647,M539.034T616.33,M280.987T110.997
M399.275T1363.391,M485.063T759.194,M444.872T67.426
M923.402T931.508,M743.317T783.373,M1085.513T1348.399
M429.074T115.482,M1106.454T890.453,M655.873T943.419
M562.835T1148.266,M665.267T889.419,M530.968T106.005
M357.108T784.337,M323.187T1016.246,M824.341T916.725
M870.649T1317.21,M1053.286T316.584,M617.247T870.852
M333.083T110.42,M306.936T1813.234,M1095.01T894.541
M609.054T106.871,M653.861T317.501,M529.154T821.794
M679.277T1051.577,M653.691T320.692,M475.877T67.555
M1095.01T894.541,M1129.441T885.407,M630.629T315.233
M754.827T67.274,M969.317T316.321,M649.302T900.549
M269.05T89.726,M970.768T318.573,M354.957T108.842
M988.804T68.066,M643.847T66.912,M311.104T1075.82
M180.067T785.272,M493.136T809.014,M836.743T1479.398
M279.124T874.724,M384.092T841.195,M485.168T916.74
M413.167T733.785,M1005.392T917.562,M333.926T91.902
M1161.521T895.466,M357.108T784.337,M310.969T105.491
M683.887T67.591,M469.208T948.545,M460.969T105.772
M206.082T164.917,M281.07T709.104,M429.25T1071.941
M518.153T824.178,M1069.501T1402.821,M439.009T107.459
M333.109T769.719,M1031.288T315.245,M768.448T1315.096
M415.161T821.344,M830.24T316.247,M549.174T847.493
M324.072T215.478,M870.649T1317.21,M513.235T964.262
M529.154T821.794,M1037.324T316.098,M343.102T681.368
M1162.522T896.44,M537.08T758.19,M781.183T974.609
M319.083T845.914,M357.576T759.445,M799.289T814.54
M1197.439T886.215,M410.078T615.621,M477.061T615.621
M316.427T318.614,M349.056T728.324,M1614.109T935.709
M587.201T848.147,M643.245T813.714,M443.058T752.856
,M576.861T67.042,M427.009T107.872
,M345.082T140.774,M397.259T1311.545
,M767.194T317.413,M1109.422T909.522
,M445.095T115.802,M1013.86T1346.532
,M1035.367T890.845,M645.252T899.393
,M541.046T1246.429,M999.727T1404.686
,M433.038T831.69,M1030.586T1195.906
,M427.124T881.088,M609.054T106.871
,M344.844T1719.46,M511.24T944.134
,M653.913T316.046,M630.654T314.128
,M407.9T66.13,M341.088T304.64
,M923.402T931.508,M401.049T776.54
,M443.191T791.98,M1035.367T890.845
,M585.878T68.251,M589.271T908.408
,M409.045T138.763,M467.051T320.771
,M969.321T316.442,M548.979T106.308
,M445.207T780.093,M714.253T913.384
,M322.969T105.104,M621.052T106.9
,M915.823T68.606,M721.31T972.44
,M456.925T66.979,M449.202T630.506
,M561.217T921.818,M1095.063T894.34
,M419.115T799.29,M361.323T326.759
,M683.129T316.242,M560.837T67.188
,M379.101T757.973,M1045.593T1289.364
,M489.058T766.222,M425.103T1191.927
,M1031.84T1213.333,M735.437T1351.512
,M1045.593T1289.364,M776.814T66.22
,M399.275T1363.391,M373.167T930.605
,M806.921T938.616,M433.351T780.04
,M881.515T1351.787,M967.561T1349.704
,M741.841T67.938,M587.201T848.147
,M871.351T913.248,M395.28T1470.273
,M630.879T67.545,M461.152T871.999
,M585.15T892.945,M651.317T893.83
,M375.129T729.569,M269.05T89.726
,M430.136T769.014,M1193.041T904.79
,M621.052T106.9,M1084.663T1198.774
,M549.147T750.744,M1014.585T1348.471
,M316.427T318.614,M1132.537T923.907
,M1014.419T974.744,M643.188T893.85
,M456.197T892.811,M313.093T320.692
,M173.008T106.871,M789.663T1119.968
,M593.922T852.299,M445.095T115.802
,M349.057T865.046,M457.19T799.683
,M204.085T413.719,M405.167T106.416
,M187.905T92.369,M661.253T876.035
,M277.129T811.716,M653.935T315.929
,M609.153T789.212,M653.828T318.352
,M644.846T66.885,M795.27T865.806
,M997.575T1403.78,M1106.454T890.453
,M1000.263T316.358,M453.035T765.753
,M823.337T914.416,M775.338T1039.594
,M180.971T1182.798,M471.152T726.342
,M313.093T320.692,M1015.586T1347.819
,M474.881T66.41,M432.997T107.064
,M669.182T316.584,M429.504T310.912
,M617.133T750.744,M173.008T106.871
,M843.287T936.679,M1130.433T884.599
,M685.228T857.881,M865.491T1326.551
,M289.056T250.757,M206.082T164.917
,M644.248T900.496,M408.822T1801.685
,M789.663T1119.968,M557.187T899.436
,M393.081T756.691,M507.209T930.4
,M516.992T825.04,M428.2T856.891
,M356.995T88.504,M615.195T761.983
,M728.88T67.591,M1031.899T1225.646
,M1192.357T906.767,M998.841T1404.514
,M626.185T785.506,M729.273T847.264
,M335.137T198.47,M653.783T316.318
,M483.183T857.732,M970.813T317.253
,M1031.347T966.014,M321.216T1624.59
,M295.104T156.471,M1204.491T868.846
,M759.145T875.232,M289.056T250.757
,M633.053T106.254,M851.154T319.552
,M714.253T913.384,M1308.415T315.705
,M507.151T845.473,M609.153T789.212
,M293.118T1042.937,M693.424T1336.51
,M426.882T91.046,M709.31T874.193
,M395.189T761.387,M395.189T761.387
,M264T169.106,M653.861T317.501
,M445.135T747.805,M919.334T939.971
,M524.183T892.811,M942.469T1308.469
,M799.191T949.166,M354.093T469.671
,M688.263T861.089,M329.089T195.942
,M353.228T471.773,M971.627T318.415
,M518.153T824.178,M351.13T801.057
,M653.935T315.929,M1063.398T908.83
,M709.31T874.193,
,M1224.522T894.229,
,M351.085T316.423,
,M1094.211T893.809,
,M367.103T818.837,
,M355.571T782.72,
,M365.143T832.741,
,M429.25T1071.941,
,M1611.697T937.933,
,M329.089T195.942,
,M611.538T834.844,
,M895.304T938.238,
,M884.8T66.979,
,M475.187T823.258,
,M327.108T784.235,
,M1243.514T983.057,
,M485.178T783.442,
,M341.465T625.973,
,M265.093T134.502,
,M653.891T318.024,
,M362.298T315.255,
,M951.343T881.927,
,M711.218T782.65,
,M706.816T67.734,
,M630.629T315.233,
,M385.188T793.619,
,M593.545T851.652,
,M1613.665T937.741,
,M251.019T152.27,
,M753.298T903.043,
,M1079.533T897.421,
,M351.13T801.057,
,M413.192T1370.63,
,M437.041T470.729,
,M225.002T107.866,
,M650.407T1378.088,
,M429.365T315.31,
,M266.946T113.686,
,M626.824T67.188,
,M649.026T106.128,
,M454.144T914.383,
,M812.842T69.273,
,M691.153T854.793,
,M439.083T756.683,
,M627.229T851.009,
,M723.112T851.461,
,M343.102T681.368,
,M437.044T765.875,
,M655.655T928.688,
,M329.088T474.939,
,M1033.603T1229.397,
,M921.374T936.829,
,M333.109T769.719,
,M632.783T316.499,
,M409.075T617.585,
,M1044.425T908.907,
,M501.195T803.697,
,M405.177T839.252,
,M701.333T69.273,
,M1167.557T907.179,
,M438.263T1164.917,
,M333.06T88.804,
,M515.105T113.414,
,M455.081T704.884,
,M807.113T936.925,
,M851.276T990.376,
,M313.094T115.286,
,M320.919T92.078,
