T1,T2
M283.086T201.788,M238.069T801.926
M315.405T313.892,M776.814T66.22
M1712.298T909.092,M402.053T876.272
M374.109T731.372,M463.02T875.074
M698.888T1003.439,M727.283T864.823
M1231.291T836.99,M970.001T316.098
M449.004T832.738,M531.009T876.272
M698.86T68.208,M365.528T823.98
M1130.437T924.326,M365.136T768.138
M433.038T831.69,M401.05T875.074
M410.078T615.621,M398.263T1317.762
M272.073T418.674,M621.037T758.225
M204.085T413.719,M289.12T769.482
M469.036T876.272,M1134.038T907.684
M642.302T1183.207,M999.268T316.316
M637.177T857.418,M1614.109T935.709
M1168.035T908.053,M847.188T757.14
M380.071T778.258,M469.095T760.602
M246.097T864.37,M395.28T1470.273
M857.325T1034.658,M1014.782T1351.411
M975.202T831.412,M799.852T67.938
M404.065T806.181,M1014.811T1344.847
M453.17T879.981,M852.339T915.443
M516.992T825.04,M702.255T837.404
M401.027T415.826,M982.374T904.236
M365.052T459.24,M821.606T900.199
M1197.439T886.215,M969.939T315.438
M539.034T616.33,M703.247T844.715
M790.016T1120.766,M1095.01T894.541
M435.234T1304.756,M1167.557T907.179
M687.305T1181.604,M769.419T945.253
M541.425T1223.783,M204.085T413.719
M1176.528T983.06,M469.036T876.272
M721.9T1109.959,M963.275T732.778
M781.218T930.113,M447.05T875.673
M1042.847T909.803,M341.088T439.204
M319.076T917.392,M447.151T677.76
M1130.433T884.599,M387.034T831.689
M271.07T418.897,M1197.439T886.215
M338.196T1226.316,M645.252T899.393
M459.275T1179.554,M674.842T67.64
M609.777T834.854,M413.104T602.912
M463.02T875.074,M1130.433T884.599
M365.135T389.484,M455.021T825.04
M469.019T418.674,M864.188T806.912
M203.083T418.775,M481.183T769.795
M861.253T1033.436,M180.067T785.272
M375.129T729.569,M508.215T930.69
M387.034T831.689,M384.092T841.195
M339.058T415.891,M357.576T759.445
M263.13T940.795,M564.929T1201.416
M642.242T817.768,M1162.522T896.44
M1613.665T937.741,M240.933T64.89
M429.156T412.291,M549.174T847.493
M1109.422T909.522,M729.273T847.264
M643.245T933.361,M1084.663T1198.774
,M473.173T881.847
,M1053.272T316.465
,M617.247T870.852
,M281.07T709.104
,M1087.412T876.684
,M428.2T856.891
,M751.173T317.266
,M1162.58T906.276
,M1071.559T892.477
,M937.334T882.127
,M1163.085T907.707
,M643.245T813.714
,M799.289T814.54
,M819.254T316.358
,M919.334T939.971
,M863.184T809.21
,M505.029T765.672
,M915.823T68.606
,M521.224T935.29
,M1045.593T1289.364
,M851.338T916.834
,M429.504T310.912
,M653.861T317.501
,M289.056T250.757
,M824.341T916.725
,M343.103T489.112
,M329.088T425.59
,M397.074T474.916
,M449.202T630.506
,M685.228T857.881
,M399.165T851.906
,M461.152T871.999
,M641.302T1183.734
,M373.167T930.605
,M379.067T781.128
,M861.166T878.352
,M1035.367T890.845
,M1105.431T888.552
,M380.071T778.258
,M509.218T928.864
,M968.386T889.852
,M1323.575T889.628
,M421.069T767.549
,M489.058T766.222
,M319.076T917.392
,M359.061T194.361
,M456.197T892.811
,M263.13T940.795
,M653.783T316.318
,M445.095T115.802
,M409.045T138.763
,M537.08T758.19
,M399.275T1363.391
,M1095.063T894.34
,M507.209T930.4
,M322.969T105.104
,M419.115T799.29
,M365.052T459.24
,M401.18T764.21
,M665.267T889.419
,M875.467T1241.171
,M1106.454T890.453
,M306.936T1813.234
,M609.153T789.212
,M923.402T931.508
,M277.129T811.716
,M1117.54T932.512
,M266.946T113.686
,M843.287T936.679
,M487.212T857.117
,M287.077T663.979
,M279.139T1150.344
,M653.752T320.843
,M781.183T974.609
,M1005.392T917.562
,M1031.84T1213.333
,M1224.522T894.229
,M881.515T1351.787
,M433.777T806.208
,M970.813T317.253
,M988.804T68.066
,M621.125T857.148
,M173.008T106.871
,M561.217T921.818
,M533.169T900.984
,M778.832T66.858
,M516.992T825.04
,M367.103T818.837
,M385.188T793.619
,M437.065T776.272
,M445.037T424.564
,M485.063T759.194
,M341.31T626.276
,M823.337T914.416
,M341.535T617.585
,M341.259T618.637
,M335.137T198.47
,M357.108T784.337
,M345.082T140.774
,M688.263T861.089
,M362.298T315.255
,M567.333T903.822
,M709.31T874.193
,M351.13T801.057
,M415.086T168.579
,M669.182T316.584
,M445.207T780.093
,M691.153T854.793
,M590.015T907.684
,M1031.347T966.014
,M615.195T761.983
,M524.183T892.811
,M991.316T318.206
,M451.218T291.531
,M410.078T615.621
,M1097.037T893.528
,M413.081T316.361
,M632.663T319.55
,M1079.533T897.421
,M344.844T1719.46
,M425.103T1191.927
,M1192.04T901.764
,M799.191T949.166
,M581.318T900.123
,M653.913T316.046
,M1053.286T316.584
,M676.835T65.732
,M621.052T106.9
,M269.103T792.774
,M830.24T316.247
,M1129.441T885.407
,M714.253T913.384
,M988.312T316.465
,M437.041T470.729
,M429.646T308.971
,M806.921T938.616
,M650.407T1378.088
,M333.109T769.719
,M313.093T320.692
,M329.088T474.939
,M429.25T1071.941
,M379.101T757.973
,M395.189T761.387
,M180.971T1182.798
,M471.897T67.543
,M371.09T764.993
,M356.995T88.504
,M501.195T803.697
,M397.259T1311.545
,M548.179T817.387
,M418.896T66.885
,M513.129T730.532
,M1096.548T894.929
,M630.654T314.128
,M379.565T877.71
,M483.183T857.732
,M630.879T67.545
,M295.104T156.471
,M475.187T823.258
,M1096.195T893.605
,M767.194T317.413
,M369.388T763.979
,M313.094T115.286
,M540.867T1245.744
,M407.045T415.442
,M437.044T765.875
,M653.691T320.692
,M1037.324T316.098
,M1192.357T906.767
,M1243.514T983.057
,M745.161T766.586
,M367.08T114.463
,M1014.419T974.744
,M409.172T733.287
,M593.686T850.456
,M1094.047T894.516
,M812.842T69.273
,M402.187T763.436
,M728.88T67.591
,M439.083T756.683
,M293.118T1042.937
,M642.242T817.768
,M401.049T776.54
,M309.118T727.508
,M1323.606T888.291
,M447.259T942.596
,M265.093T134.502
,M921.374T936.829
,M451.174T880.577
,M579.151T798.32
,M1363.57T899.951
,M633.053T106.254
,M895.304T938.238
,M495.025T292.616
,M871.351T913.248
,M1613.665T937.741
,M589.271T908.408
,M457.19T799.683
,M1461.92T936.679
,M851.276T990.376
,M1031.288T315.245
,M369.569T765.536
,M429.141T889.195
,M937.388T970.431
,M443.191T791.98
,M618.794T905.184
,M653.935T315.929
,M351.085T316.423
,M408.906T66.13
,M238.892T97.993
,M577.137T781.037
,M708.241T861.396
,M549.147T750.744
,M451.125T735.96
,M469.208T948.545
,M753.298T903.043
,M701.195T940.853
,M795.27T865.806
,M470.098T771.956
,M433.039T456.919
,M508.881T66.935
,M1048.557T894.929
,M544.284T936.329
,M970.768T318.573
,M657.063T941.851
,M393.081T756.691
,M343.102T681.368
,M507.151T845.473
,M569.273T895.199
,M1193.041T904.79
,M272.963T113.946
,M821.506T1329.663
,M997.575T1403.78
,M372.9T1734.569
,M441.162T763.637
,M631.863T318.629
,M392.068T765.784
,M1097.549T894.492
,M473.173T806.642
,M547.234T852.079
,M354.093T469.671
,M653.891T318.024
,M1095.872T896.96
,M449.004T832.738
,M1015.586T1347.819
,M1255.613T888.434
,M706.816T67.734
,M784.154T761.471
,M627.229T851.009
,M413.108T298.268
,M333.062T954.304
,M387.346T67.938
,M377.181T797.379
,M983.568T1252.43
,M1093.54T895.081
,M771.369T883.552
,M768.448T1315.096
,M426.882T91.046
,M1103.384T928.554
,M565.23T844.341
,M471.152T726.342
,M1143.444T941.11
,M246.886T1784.096
,M1162.051T893.06
,M609.054T106.871
,M684.191T618.708
,M589.773T907.878
,M438.263T1164.917
,M643.847T66.912
,M990.329T838.789
,M387.165T771.864
,M967.36T964.868
,M529.154T821.794
,M344.099T126.621
,M457.136T788.61
,M280.987T110.997
,M631.833T319.717
,M417.177T763.775
,M822.313T886.782
,M393.176T847.594
,M1463.124T939.772
,M601.172T845.875
,M1014.585T1348.471
,M971.627T318.415
,M1013.583T1347.533
,M721.31T972.44
,M433.122T384.02
,M434.871T1737.903
,M331.068T223.104
,M647.193T836.421
,M1161.521T895.466
,M645.848T67.545
,M651.317T893.83
,M687.305T1181.604
,M316.508T323.984
,M969.321T316.442
,M626.212T761.224
,M679.277T1051.577
,M403.064T798.991
,M405.177T839.252
,M632.783T316.499
,M221.066T891.624
,M1308.415T315.705
,M433.661T789.942
,M807.113T936.925
,M345.37T608.086
,M365.143T832.741
,M885.489T1408.277
,M567.171T792.05
,M644.248T900.496
,M473.196T813.174
,M941.317T938.576
,M293.177T1099.499
,M472.886T66.482
,M323.187T1016.246
,M581.283T805.632
,M615.152T88.13
,M333.06T88.804
,M408.822T1801.685
,M375.07T470.729
,M1269.507T907.7
,M483.209T897.853
,M317.087T121.975
,M567.778T908.116
,M1007.373T920.82
,M333.083T110.42
,M811.459T986.188
,M355.067T660.488
,M969.317T316.321
,M203.083T418.775
,M471.046T618.546
,M950.337T882.881
,M683.129T316.242
,M334.932T113.331
,M329.089T195.942
,M281.049T89.959
,M409.002T109.878
,M649.302T900.549
,M1000.263T316.358
,M375.104T216.821
,M723.112T851.461
,M711.218T782.65
,M807.744T937.741
,M627.173T806.181
,M585.878T68.251
,M1143.426T942.716
,M789.663T1119.968
,M649.026T106.128
,M511.24T944.134
,M1033.603T1229.397
,M951.343T881.927
,M1223.501T894.767
,M1130.437T924.326
,M1161.526T895.081
,M315.108T761.986
,M1136.99T908.053
,M591.465T1235.608
,M413.179T861.909
,M889.313T902.886
,M1085.513T1348.399
,M848.315T857.496
,M1323.386T316.247
,M401.144T790.222
,M868.801T68.637
,M644.846T66.885
,M493.136T809.014
,M1095.906T894.31
,M1069.501T1402.821
,M383.555T317.319
,M206.081T834.983
,M655.655T928.688
,M251.019T152.27
,M643.245T933.361
,M759.145T875.232
,M297.119T136.686
,M1163.56T905.015
,M354.957T108.842
,M576.861T67.042
,M264T169.106
,M611.538T834.844
,M732.876T67.374
,M483.129T913.248
,M676.309T1245.665
,M425.046T798.077
,M481.183T807.444
,M518.153T824.178
,M333.135T1582.426
,M1035.397T978.889
,M1331.507T909.803
,M562.835T1148.266
,M765.729T983.05
,M1057.411T880.24
,M657.109T89.959
,M806.073T940.272
,M637.025T106.841
,M585.15T892.945
,M1390.547T1005.094
,M656.833T67.115
,M1132.537T923.907
,M1161.883T894.146
,M872.81T67.519
,M565.054T1199.484
,M427.038T293.27
,M661.253T876.035
,M455.081T704.884
,M139.002T112.479
,M349.056T728.324
,M492.868T66.13
,M527.309T1189.176
,M366.994T111.318
,M469.019T418.674
,M941.306T938.915
,M387.02T108.554
,M653.717T312.26
,M947.485T901.595
,M431.769T791.594
,M824.816T67.434
,M389.108T489.956
,M1197.053T906.963
,M433.038T831.69
,M809.433T1339.33
,M569.775T895.343
,M447.222T1194.448
,M559.066T758.189
,M632.847T316.374
,M731.208T950.406
,M1071.439T878.893
,M475.877T67.555
,M643.188T893.85
,M757.441T1176.453
,M287.076T110.312
,M285.909T1803.837
,M593.545T851.652
,M640.844T67.188
,M465.105T746.988
,M1013.86T1346.532
,M967.394T924.933
,M431.759T791.911
,M204.975T113.721
,M442.938T91.386
,M551.272T837.928
,M654.008T318.692
,M361.589T316.501
,M1144.448T942.538
,M361.323T326.759
,M631.877T67.938
,M347.091T1147.321
,M1099.581T1224.487
,M1097.514T1402.931
,M383.609T322.831
,M316.427T318.614
,M1204.491T868.846
,M429.074T115.482
,M384.097T310.658
,M466.978T106.664
,M389.182T799.355
,M569.35T895.921
,M385.113T835.894
,M1176.528T983.06
,M415.161T821.344
,M771.83T66.444
,M693.278T872.306
,M445.135T747.805
,M1263.489T907.902
,M998.841T1404.514
,M760.823T66.885
,M942.309T937.647
,M1095.84T892.791
,M911.26T1004.032
,M331.103T255.151
,M661.142T919.275
,M447.152T782.273
,M559.276T958.275
,M576.128T818.314
,M657.266T958.998
,M409.075T617.585
,M698.26T899.18
,M309.119T137.634
,M430.136T769.014
,M919.493T1102.884
,M807.007T938.915
,M863.373T951.624
,M359.098T671.316
,M645.124T781.203
,M664.226T813.714
,M353.181T807.324
,M665.182T815.828
,M775.338T1039.594
,M310.969T105.491
,M333.041T419.397
,M339.058T415.891
,M808.342T938.944
,M325.2T1323.486
,M673.289T892.945
,M357.49T758.525
,M385.113T791.317
,M397.075T138.684
,M549.205T845.853
,M383.058T256.181
,M475.366T1425.395
,M950.342T882.081
,M367.102T765.544
,M359.123T830.487
,M530.968T106.005
,M814.836T68.186
,M377.049T427.197
,M456.925T66.979
,M349.072T1165.294
,M487.016T806.181
,M1130.454T886.215
,M401.027T415.826
,M310.974T92.682
,M455.193T892.238
,M661.226T856.483
,M893.38T934.735
,M491.126T414.484
,M869.849T1307.413
,M467.051T320.771
,M625.178T776.712
,M555.17T790.902
,M619.26T816.529
,M241.108T881.116
,M327.108T784.235
,M1209.581T888.373
,M438.049T766.588
,M323.019T128.103
,M543.282T933.008
,M924.351T839.79
,M714.826T66.684
,M771.811T66.858
,M727.414T1292.189
,M341.465T625.973
,M870.649T1317.21
,M851.794T1356.146
,M349.057T865.046
,M479.19T902.518
,M324.072T215.478
,M447.959T106.92
,M1308.932T316.358
,M772.809T66.771
,M494.233T920.795
,M407.173T414.983
,M861.253T1033.436
,M833.365T968.818
,M289.084T863.831
,M998.861T1404.179
,M547.145T895.878
,M260.967T89.826
,M967.561T1349.704
,M1008.375T923.099
,M807.166T938.699
,M697.905T994.286
,M1030.642T1193.369
,M269.05T89.726
,M1032.753T1226.13
,M415.744T872.34
,M359.022T90.408
,M587.201T848.147
,M444.872T67.426
,M701.333T69.273
,M485.178T783.442
,M890.319T900.562
,M702.25T942.066
,M395.048T106.9
,M433.351T780.04
,M521.022T764.729
,M206.082T164.917
,M493.23T921.818
,M836.522T1479.692
,M459.149T771.729
,M503.143T589.731
,M590.274T907.848
,M541.046T1246.429
,M851.154T319.552
,M754.827T67.274
,M340.859T1719.351
,M632.993T321.252
,M809.324T904.082
,M460.969T105.772
,M545.298T995.647
,M377.162T1630.7
,M553.051T758.396
,M548.979T106.308
,M683.887T67.591
,M1031.899T1225.646
,M1354.628T902.5
,M633.494T312.856
,M850.805T68.208
,M517.897T66.885
,M1044.425T908.907
,M857.325T1034.658
,M289.086T1163.856
,M643.851T67.124
,M696.3T853.355
,M735.437T1351.512
,M328.886T98.013
,M559.728T1193.65
,M707.828T66.684
,M1137.546T907.004
,M626.824T67.188
,M323.042T818.446
,M700.328T66.684
,M642.302T1183.207
,M1432.595T1048.493
,M274.971T109.977
,M815.832T67.938
,M485.168T916.74
,M728.286T863.521
,M513.235T964.262
,M614.901T67.494
,M383.433T314.152
,M712.22T783.012
,M433.376T793.769
,M968.4T974.568
,M192.103T133.173
,M1201.918T909.936
,M726.284T1051.577
,M586.884T67.938
,M964.359T921.966
,M568.907T66.858
,M433.784T801.352
,M854.516T1290.85
,M593.934T851.064
,M723.346T899.128
,M1611.697T937.933
,M271.07T418.897
,M404.916T66.832
,M405.167T106.416
,M353.228T471.773
,M593.763T756.056
,M375.129T729.569
,M560.841T1187.938
,M759.826T66.885
,M421.636T753.774
,M641.167T774.439
,M715.392T322.783
,M483.178T941.182
,M476.876T67.016
,M705.205T926.435
,M476.12T661.378
,M743.317T783.373
,M293.177T1149.195
,M292.14T116.338
,M1094.293T897.844
,M345.119T282.765
,M798.851T67.54
,M771.203T760.252
,M289.026T88.643
,M741.841T67.938
,M593.922T852.299
,M1395.396T991.455
,M836.743T1479.398
,M354.082T204.227
,M316.385T321.843
,M773.211T817.036
,M1125.418T877.844
,M985.784T316.247
,M538.221T942.724
,M385.077T649.201
,M693.424T1336.51
,M443.193T725.675
,M431.156T735.48
,M399.092T115.22
,M522.878T65.745
,M735.222T927.83
,M472.901T67.482
,M427.124T881.088
,M243.065T108.531
,M927.368T972.44
,M385.077T746.611
,M311.104T1075.82
,M625.024T106.841
,M286.972T107.919
,M695.298T853.355
,M311.186T1077.614
,M795.198T1006.041
,M311.138T170.155
,M272.073T418.674
,M477.088T1628.76
,M657.832T67.374
,M885.822T66.912
,M397.002T110.368
,M658.83T67.591
,M557.187T899.436
,M515.105T113.414
,M225.002T107.866
,M562.892T1151.046
,M529.184T941.182
,M688.854T66.858
,M345.577T605.404
,M743.85T66.912
,M305.082T1122.457
,M806.159T933.966
,M409.075T744.412
,M355.571T782.72
,M418.218T902.438
,M336.86T96.244
,M311.065T863.883
,M728.269T963.544
,M1229.54T895.369
,M600.854T66.846
,M1296.442T316.362
,M1009.607T1323.757
,M999.727T1404.686
,M626.185T785.506
,M785.833T68.422
,M693.17T791.92
,M579.301T894.416
,M1097.561T894.34
,M697.753T1005.082
,M951.397T1014.118
,M1297.451T316.098
,M435.217T805.716
,M299.07T414.239
,M341.088T304.64
,M643.039T106.784
,M1109.422T909.522
,M613.564T887.981
,M867.206T809.129
,M1333.355T942.499
,M941.508T1318.851
,M454.975T107.571
,M313.275T1417.53
,M630.629T315.233
,M419.03T798.766
,M851.819T1425.446
,M399.065T319.722
,M985.574T1225.672
,M271.021T88.704
,M1163.579T906.602
,M293.179T1541.097
,M611.22T783.374
,M569.181T807.905
,M289.886T1868.955
,M621.221T884.304
,M459.959T106.348
,M418.894T1736.453
,M475.146T746.942
,M273.314T67.476
,M539.034T616.33
,M715.427T310.719
,M391.065T766.545
,M1042.422T909.151
,M655.189T778.866
,M1193.356T907.422
,M1327.552T905.478
,M613.774T885.363
,M655.999T943.196
,M758.447T1173.243
,M467.156T971.498
,M451.007T107.467
,M570.518T894.146
,M559.04T89.345
,M633.753T316.098
,M593.857T757.673
,M1063.398T908.83
,M289.065T88.687
,M206.988T126.118
,M517.099T802.454
,M429.365T315.31
,M1296.901T900.549
,M806.978T940.468
,M698.988T986.183
,M805.362T924.937
,M569.91T66.858
,M203.204T105.674
,M593.709T851.665
,M1059.606T1053.565
,M413.192T1370.63
,M699.004T983.059
,M596.277T932.512
,M969.698T320.725
,M299.259T1433.689
,M726.808T67.734
,M1305.428T315.265
,M182.994T112.283
,M633.572T315.643
,M524.981T106.871
,M938.802T67.374
,M553.164T782.325
,M474.881T66.41
,M478.295T1238.56
,M886.794T67.143
,M519.896T67.425
,M1136.545T907.7
,M572.874T67.143
,M1162.845T896.125
,M747.22T952.211
,M353.082T316.368
,M455.081T744.378
,M453.035T765.753
,M564.68T1183.74
,M653.828T318.352
,M969.4T973.77
,M772.366T884.107
,M417.764T850.924
,M427.009T107.872
,M292.991T104.104
,M1100.582T1225.322
,M439.009T107.459
,M367.058T823.98
,M320.919T92.078
,M333.191T983.058
,M695.289T1193.403
,M322.871T96.154
,M526.316T1188.04
,M461.037T823.98
,M531.078T845.355
,M281.069T746.743
,M684.885T67.374
,M419.228T901.259
,M447.094T753.734
,M497.261T974.778
,M338.938T105.668
,M578.43T1675.044
,M911.268T936.747
,M1162.717T895.445
,M613.983T886.617
,M1036.399T977.849
,M209.961T64.78
,M1043.424T909.662
,M477.061T615.621
,M633.697T313.008
,M671.034T89.795
,M657.169T756.884
,M638.078T817.768
,M743.208T992.462
,M627.643T1193.32
,M429.486T320.767
,M974.806T67.938
,M1009.554T1308.282
,M865.491T1326.551
,M937.515T1306.76
,M1039.403T917.165
,M1030.586T1195.906
,M265.261T1518.666
,M432.997T107.064
,M355.433T783.665
,M486.878T66.684
,M573.017T749.518
,M560.837T67.188
,M613.854T887.38
,M317.064T416.942
,M559.667T1200.71
,M1103.415T879.391
,M501.375T66.858
,M260.048T118.657
,M909.388T926.435
,M280.961T95.439
,M591.2T844.598
,M289.446T802.654
,M567.276T907.878
,M655.873T943.419
