"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16"
"C9.1",-0.73403,2.0478,-1.0536,0.36308,-0.69216,3.3614,-3.5672,0.010544,-0.40656,0.055687,-0.086373,0.38784,-1.0665,0.76952,-0.47407,-4.9353e-16
"C9.2",-1.7086,-1.1825,-2.5981,1.492,-1.6299,0.18858,0.99821,0.53659,3.712,0.60769,-0.65716,0.57099,1.0767,1.0173,-0.52757,4.4214e-16
"C9.3",0.22976,-1.727,-0.7563,-1.0357,2.6959,1.5649,1.1346,3.1147,-0.57221,2.257,-0.52919,-0.60028,-0.55056,-0.42428,0.38412,9.67e-16
"C9.4",1.7714,-2.4277,3.0206,1.0765,1.1999,2.2129,1.2379,-2.8586,0.77854,-0.50586,-1.4314,0.13214,-0.67071,-0.25352,-0.01163,9.3437e-16
"D9.1",0.89045,-0.57742,-1.1118,0.1737,-0.07086,-1.3425,-0.14786,-0.33116,-0.28102,-0.85094,-0.28893,-0.76836,-1.3444,2.1075,3.157,7.957e-16
"D9.2",-0.20298,-0.37209,-2.2983,0.2965,-0.30167,0.59773,0.73337,-1.6186,-0.1245,-0.12609,2.7385,-2.9362,-0.1322,-1.2723,-0.34106,1.1285e-15
"D9.3",3.5565,5.9252,0.85035,1.642,2.0841,-1.1624,0.47159,-0.13439,1.1783,0.86742,0.17686,-0.053364,0.082723,-0.09368,-0.064137,-3.5382e-15
"D9.4",0.50867,-0.55357,2.0535,-1.9741,-1.2476,-0.59546,-2.3007,-0.19998,1.2727,1.3114,-0.23819,-0.45588,1.785,-1.797,1.5926,-3.8248e-15
"F9.1",1.2497,0.85272,2.4873,0.90944,-4.2155,-0.0010269,1.6365,1.7425,-1.0933,0.30297,-0.050769,-0.33857,-1.3148,-0.30265,-0.32572,-3.6454e-15
"F9.2",0.30476,-0.46489,-0.31733,-3.1244,-0.2849,-1.3441,0.4101,-1.9339,-0.37182,2.1973,1.1227,1.8682,-1.1398,1.031,-1.0437,7.7309e-16
"F9.3",-1.8129,2.6828,-0.68306,-3.431,-0.1202,1.413,1.9838,0.14041,-0.33797,-2.5392,-0.48567,0.6701,1.256,-0.16889,0.38473,1.2523e-15
"F9.4",-10.36,0.40591,1.6422,1.5516,0.96851,-1.0662,-0.077687,-0.16967,-0.7323,0.21304,0.21051,0.20434,-0.049588,-0.15066,0.07514,1.8807e-15
"X9.1",2.2771,-1.9971,0.41686,1.324,0.81037,-0.19728,-0.51671,1.3833,0.21455,-1.8166,2.7063,2.5982,0.053162,-0.81896,0.3405,6.8538e-16
"X9.2",1.243,-1.3534,2.1802,-1.0367,0.87765,-1.1244,-1.1267,1.1201,0.13621,-1.3838,0.13207,-1.891,0.98391,2.0854,-1.9287,1.3314e-16
"X9.3",0.61793,-0.60121,-2.2454,-0.20222,0.27041,-2.238,-0.96145,0.048805,-0.078366,-1.3722,-2.3666,0.021788,-1.6195,-2.051,-1.086,1.913e-15
"X9.4",2.1692,-0.65774,-1.587,1.9754,-0.34405,-0.26709,0.092196,-0.85061,-3.2943,0.78225,-0.95262,0.59017,2.6507,0.32221,-0.13152,1.6258e-15
