"",f.value,p.value,-log10(p),FDR,Tukey's HSD
M1356.732T13.109,12.657,0.00068828,3.1622,0.023402,foc_9-con_9; foc_9-dro_9; xvm_9-foc_9
M1067.787T17.122,8.4784,0.0033547,2.4743,0.042706,dro_9-con_9; foc_9-con_9; xvm_9-con_9
M1059.46T14.114,8.2162,0.0037681,2.4239,0.042706,foc_9-con_9; xvm_9-foc_9
M912.805T18.125,6.912,0.0069837,2.1559,0.059361,dro_9-con_9; foc_9-con_9
M882.812T18.125,6.1535,0.010344,1.9853,0.066574,dro_9-con_9; foc_9-dro_9
M1287.747T14.113,5.9188,0.011748,1.93,0.066574,xvm_9-dro_9; xvm_9-foc_9
M1576.695T13.11,5.1283,0.018447,1.7341,0.076372,dro_9-con_9; foc_9-dro_9
M1154.769T17.115,5.0698,0.019102,1.7189,0.076372,dro_9-con_9; foc_9-con_9
M972.813T17.121,4.9754,0.020216,1.6943,0.076372,foc_9-con_9; xvm_9-foc_9
M354.284T1595.998,4.4076,0.028787,1.5408,0.077004,dro_9-con_9; xvm_9-dro_9
M990.789T18.143,4.3919,0.029079,1.5364,0.077004,dro_9-con_9
M1087.458T13.111,4.2177,0.032563,1.4873,0.077004,""
M1187.772T13.11,4.1575,0.03388,1.4701,0.077004,xvm_9-foc_9
M633.474T1424.866,4.1214,0.034698,1.4597,0.077004,xvm_9-foc_9
M1279.087T13.111,3.9064,0.040087,1.397,0.077004,""
M1447.213T13.111,3.8804,0.040804,1.3893,0.077004,""
M767.839T17.122,3.7996,0.043127,1.3652,0.077004,foc_9-dro_9
M1239.758T16.118,3.7955,0.043248,1.364,0.077004,foc_9-dro_9
M1610.691T13.111,3.7931,0.043319,1.3633,0.077004,""
M1414.729T13.11,3.68,0.046853,1.3293,0.077004,""
M1593.442T13.11,3.6459,0.047985,1.3189,0.077004,""
M634.485T1424.862,3.5924,0.049826,1.3025,0.077004,xvm_9-foc_9
M1419.724T14.619,3.5222,0.052364,1.281,0.077408,""
M1170.77T17.127,3.4618,0.054672,1.2622,0.077452,""
M871.491T17.124,3.3855,0.057761,1.2384,0.078556,""
M1252.751T12.611,3.2795,0.062397,1.2048,0.081596,""
M1222.764T12.168,3.0461,0.074219,1.1295,0.090919,""
M648.465T1441.075,3.0344,0.074874,1.1257,0.090919,""
M573.464T1458.338,2.9402,0.080433,1.0946,0.094301,""
M575.48T1424.867,2.8621,0.085399,1.0685,0.09662,""
M632.472T1474.795,2.822,0.088095,1.0551,0.09662,""
M1522.706T13.16,2.6204,0.10321,0.98628,0.10966,""
M650.482T1423.88,2.3428,0.12923,0.88863,0.13315,""
M649.479T1424.057,2.2988,0.13402,0.87285,0.13402,""
