"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","con_12","con_12","con_12","dro_12","dro_12","dro_12","dro_12","foc_12","foc_12","foc_12","foc_12","xvm_12","xvm_12","xvm_12"
"M177.034T19.126"," 0.12899998"," 0.06878120","-0.03149525"," 0.06782630","-0.42309478"," 0.19620857"," 0.25784471"," 0.14596864","-0.24062663","-0.25037377","-0.36981591","-0.04192174"," 0.18441437"," 0.30728431"
"M222.962T20.134"," 0.22025112","-0.35112430"," 0.11558672"," 0.02758385","-0.05884352"," 0.21304608"," 0.36967011"," 0.25283829","-0.08181248","-0.15925021","-0.36050211","-0.05069650","-0.08064342","-0.05610361"
"M243.886T1577.62","-0.17901196","-0.05733527"," 0.36730271"," 0.07461034"," 0.08307494"," 0.05339989","-0.12788580"," 0.01418049","-0.04382604"," 0.31604922","-0.34969114"," 0.01632410"," 0.04755910","-0.21475060"
"M247.083T835.562","-1.384983208"," 0.012195674"," 0.295133068"," 0.330534361"," 0.304844070"," 0.043903397"," 0.215447368","-0.006128355"," 0.031948106","-0.598870245","-0.217499198"," 0.275964899"," 0.416758260"," 0.280751801"
"M250.958T20.121"," 0.28581545","-0.15207933"," 0.07847001"," 0.06083858"," 0.07465019"," 0.26332116"," 0.10031063","-0.06144978","-0.11629482","-0.48025190"," 0.12276397","-0.14246064"," 0.11502875","-0.14866228"
"M274.939T20.136","-0.130458933","-0.401532013"," 0.225499450"," 0.382004543","-0.126184361"," 0.092459242"," 0.058124180"," 0.168420883","-0.223867222","-0.110702607","-0.260034334"," 0.009782541"," 0.300112694"," 0.016375937"
"M286.907T1578.052","-0.229862601","-0.004093012"," 0.210804866","-0.115635158","-0.237916601","-0.247073101"," 0.172428235","-0.158104331"," 0.331967581"," 0.015753017","-0.162067838","-0.140290034"," 0.476227922"," 0.087861054"
"M296.921T20.131"," 0.15665329","-0.08033459"," 0.31524118"," 0.12211811"," 0.08634731"," 0.30101432"," 0.09108460"," 0.16865038","-0.07140678","-0.65269924","-0.63976458"," 0.06526794"," 0.18279568","-0.04496764"
"M302.934T20.131"," 0.28037241","-0.26297242"," 0.21565214"," 0.27458732"," 0.08495225"," 0.17720311","-0.04787661"," 0.17082426","-0.28855801","-0.42361518","-0.39835946","-0.02889109"," 0.11756784"," 0.12911344"
"M309.131T17.119"," 0.439860478","-0.110941701","-0.080489607","-0.168226000"," 0.249776812","-0.158405685","-0.072035590","-0.183863830","-0.201449320"," 0.511160060","-0.203179431","-0.007449254","-0.419469422"," 0.404712492"
"M337.056T22.131"," 0.178004426","-0.268995295","-0.160857867"," 0.219544385","-0.105565785","-0.015288220"," 0.161795835"," 0.042666379"," 0.004293906"," 0.262313163","-0.634862655","-0.001381329"," 0.263525921"," 0.054807136"
"M354.284T1595.998","-0.41704057","-0.15709883"," 0.44120766"," 0.05069178","-0.09987805","-0.24048429"," 0.42465150","-0.03889229","-0.17295981","-0.24879756","-0.04210132"," 0.06087868"," 0.15460341"," 0.28521970"
"M364.909T21.126","-0.029195428","-0.236123684"," 0.467957575"," 0.102766371","-0.015725719"," 0.113779954"," 0.121098592","-0.004352762"," 0.168699495","-0.783610783","-0.686042365"," 0.209875989"," 0.554669152"," 0.016203612"
"M367.151T397.982","-0.62180961","-0.26755177","-0.46512143"," 1.01061912"," 1.22521503"," 0.11078893"," 1.13145710","-0.58884460","-0.04959427","-0.58599048","-0.25419551","-0.45096890"," 0.05806434","-0.25206794"
"M372.364T1640.641"," 0.41638428"," 0.01344222","-0.13630042","-0.27238490"," 0.09665387","-0.24999200","-0.34920539"," 0.06921263","-0.36213275"," 0.28160902"," 0.66527904","-0.19283483","-0.26706383"," 0.28733307"
