"","BLANK_2_Dup1","BLANK_2_Dup2","BLANK_2_Dup3","BLANK_2","C12.1","C12.3","C12.4","C15.1","C15.2","C15.3","C15.4","C9.1","C9.2","C9.3","C9.4","D12.1","D12.2","D12.3","D12.4","D15.1","D15.2","D15.3","D15.4","D9.1","D9.2","D9.3","D9.4","F12.1","F12.2","F12.3","F12.4","F15.1","F15.2","F15.3","F15.4","F9.1","F9.2","F9.3","F9.4","QC.1.Dup","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3","X15.1","X15.2","X15.3","X15.4","X9.1","X9.2","X9.3","X9.4"
"Label","bla_0","bla_0","bla_0","bla_0","con_12","con_12","con_12","con_15","con_15","con_15","con_15","con_9","con_9","con_9","con_9","dro_12","dro_12","dro_12","dro_12","dro_15","dro_15","dro_15","dro_15","dro_9","dro_9","dro_9","dro_9","foc_12","foc_12","foc_12","foc_12","foc_15","foc_15","foc_15","foc_15","foc_9","foc_9","foc_9","foc_9","qcs_0","qcs_0","qcs_0","qcs_0","xvm_12","xvm_12","xvm_12","xvm_15","xvm_15","xvm_15","xvm_15","xvm_9","xvm_9","xvm_9","xvm_9"
"Sodium_Formate","3667732","3667732","3667732","3667732","3963239","3909794","3819856","3934423","3867787","3442128","3960498","4034768","3834774","3778849","4038728","3998858","3805402","3801631","3974273","4037492","3920796","4069493","3868514","3927945","3923776","3741009","4053882","3999728","3766924","3339944","3555483","3964440","4037002","4030309","3922006","3890744","4045781","3879945","4104744","4024050","4024050","3845071","4035455","3797963","3837318","3790177","3735045","3901010","3528208","4862692","3959808","3945214","3800063","4006431"
"M177.034T19.126","14239.35","14239.35","14239.35","14239.35","19733.39","18842.36","17435.42","20605.58","21229.50","13628.69","16036.00","18877.46","20036.28","19243.82","18212.25","19261.61","14048.78","19630.72","21219.12","20357.75","20064.37","19847.36","17467.84","22888.46","20053.71","16298.45","20071.16","20099.01","15351.88","13540.05","13510.57","22156.27","20901.73","19094.36","18176.61","18312.75","20635.72","17480.78","21816.40","13759.44","13759.44","17881.86","18384.70","17237.83","19688.77","20785.61","16277.83","19810.50","10457.28","21643.04","18869.09","19171.88","19176.81","19655.49"
"M222.962T20.134"," 7831.761"," 7831.761"," 7831.761"," 7831.761","12466.884"," 9249.751","11404.852","13399.117","12111.611"," 9189.196","11129.267","11472.314","11222.485","12432.776","10643.512","11426.722","10415.266","11915.640","13468.581","11936.384","16268.660","12907.323","14781.540","12251.614","12590.331"," 9960.544","12720.554","12787.769","10192.548"," 8694.926"," 8372.283","12549.365","13835.416","12415.134","14458.050","10442.638","11464.906","12624.191","13926.501"," 7984.255"," 7984.255"," 9227.600","11494.011","10437.218","10389.074","10387.779","10429.606","11679.061"," 7870.689","13717.592","13258.976"," 9711.829","11869.502","10609.734"
"M243.886T1577.62","350747.6","350747.6","350747.6","350747.6","348207.6","362407.3","426822.8","394495.5","351297.4","365270.5","379356.1","357526.8","401168.1","371685.8","402961.9","392822.8","375214.0","369978.9","357122.4","343382.6","308061.9","404819.3","341851.0","365099.8","386255.5","371706.7","382193.8","382597.1","351246.4","364875.0","289778.4","406719.7","397373.0","416056.7","335261.6","360691.1","354908.6","319421.8","363940.0","348972.8","348972.8","357483.6","409027.2","363640.0","372493.3","327806.2","332785.1","348513.0","359203.1","312984.5","351055.3","397880.8","332450.7","370817.5"
"M247.083T835.562"," 35107.68"," 35107.68"," 35107.68"," 35107.68"," 20959.72"," 96769.17","129228.77"," 88914.73","109054.73","104339.31","140271.62"," 86975.38"," 94568.31","150929.22","123135.54","140679.47","130128.15"," 97445.94","123124.25"," 36564.47"," 73653.62"," 42899.04"," 21223.08"," 92014.85","105286.54","112101.92","133797.64"," 97011.51"," 95289.60"," 42090.60"," 68280.04"," 45613.12"," 50584.03"," 45073.64","116437.43"," 77751.15","148362.16","119347.45"," 43853.31"," 92799.44"," 92799.44","113814.47","125296.99","125796.24","148485.94","126203.93"," 95853.38"," 96320.42"," 94526.18"," 59994.78","142465.32","141640.47","117626.35","112268.86"
"M250.958T20.121","15604.54","15604.54","15604.54","15604.54","19394.26","15643.76","16992.95","19913.47","18165.92","14270.83","14726.22","18772.48","16948.16","16305.35","17267.65","17645.63","16898.94","18412.02","17858.31","17643.82","17028.42","16221.28","15473.89","15930.37","18792.94","12357.40","14640.69","16684.53","15322.14","11492.09","16142.27","16870.35","19006.32","15421.51","20357.86","15462.37","16542.04","17096.94","17301.97","15137.71","15137.71","17537.49","17446.18","15263.65","17359.98","15189.00","14803.83","16124.14","13853.28","19907.42","17468.25","17252.33","16804.56","18224.51"
"M274.939T20.136"," 9732.618"," 9732.618"," 9732.618"," 9732.618","12809.162","10988.335","14832.521","13782.897","13388.339"," 9629.467","13566.893","14495.815","16625.533","10372.835","12978.662","16832.346","12326.166","13783.226","14156.346","15337.876","13522.205","12846.424","14434.565","13087.144","13586.325"," 9659.748","15179.687","15080.606","11602.284","10905.183","10748.738","13877.508","13181.426","13927.349","12963.552","16194.385","14279.019","12848.239","16058.917","13448.222","13448.222","14317.995","15185.577","13195.341","15484.646","13213.130","11268.462","15316.706","12108.752","16798.533","15211.498","13378.691","12262.678","15638.776"
"M286.907T1578.052","152342.8","152342.8","152342.8","152342.8","135123.3","150051.1","164082.5","164810.1","143587.4","119948.7","166503.4","101944.8","164398.3","125173.2","144386.8","144751.9","129195.3","128449.1","167315.0","171554.3","133501.5","134190.4","157759.9","160436.8","102660.7","141330.9","173488.9","141595.3","172420.7","129521.9","125607.2","136663.5","157945.4","176294.1","154868.3","157628.9","168338.1","128137.1","163097.2","161784.3","161784.3","152175.7","159081.5","135714.2","189442.3","152644.7","138985.2","136951.6","135919.1","110035.7","147413.0","143350.5","143332.8","163413.1"
"M296.921T20.131"," 8426.706"," 8426.706"," 8426.706"," 8426.706","15488.055","12980.802","16648.334","15537.222","16340.959","10170.344","16398.238","14797.623","16058.030","16687.951","16086.781","15260.381","14169.143","16407.544","14846.225","14959.515","16428.806","14065.346","17068.685","14616.876","13692.110","10477.663","16302.170","15760.177","12583.505"," 7479.864"," 8033.732","14457.225","15173.384","14228.537","14144.288","14225.291","16695.938","13761.792","15424.381","11452.032","11452.032","15111.922","13388.262","13937.869","15268.074","12893.561","14650.635","14207.934"," 7028.290","18522.798","13823.637","16001.126","13389.334","14316.822"
"M302.934T20.131","12535.04","12535.04","12535.04","12535.04","22550.97","16334.83","20949.91","23576.70","19884.88","11823.59","18608.26","19277.66","17416.09","17458.78","20140.67","22678.93","19376.06","20399.15","18764.05","21293.57","19016.88","20432.96","19257.34","21177.34","20380.99","16250.62","17325.51","21384.42","15510.66","12736.09","13754.08","19935.63","18682.02","21991.78","21575.92","18069.56","22463.19","20623.38","18585.16","17805.26","17805.26","20731.26","19458.20","18126.22","19904.24","19789.19","14013.92","21968.43","12566.19","22648.74","17944.22","21232.47","18764.75","18874.45"
"M309.131T17.119","15850.49","15850.49","15850.49","15850.49","27364.83","18826.03","18763.17","19362.78","18043.09","17277.74","25544.91","17678.31","18429.12","16658.80","17752.73","18546.44","23201.78","17745.38","19629.97","14573.95","17894.54","26752.12","18345.08","18614.41","18327.14","15046.50","15634.42","18361.61","17095.01","24162.67","16117.19","27377.89","16578.65","14956.61","17821.37","15883.89","19472.92","16760.93","17482.38","27187.94","27187.94","17821.30","19142.88","19568.97","15099.02","25574.84","17694.73","18125.08","18254.60","21417.01","16316.94","17510.02","15735.06","18655.85"
