"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"C12.1",-7.032,7.116,0.28807,-0.84159,0.74444,-1.3302,0.56681,-0.22154,0.12866,-0.005796,0.020214,0.1413,-0.38012,-4.4756e-16
"C12.3",-0.57464,-1.0079,0.45699,0.1194,0.68808,0.49285,-0.51953,-0.50027,-1.8821,-2.8886,-2.8092,-0.61708,-0.4162,9.3632e-16
"C12.4",1.9786,0.84826,-1.1699,0.40301,1.4529,1.7777,1.525,-0.35761,0.16653,2.1474,-0.95421,-2.8242,0.6077,5.0556e-16
"D12.1",2.1091,-0.073115,-0.31011,2.1891,-0.60532,-0.54694,0.74219,-1.3176,0.068823,1.8892,-1.7556,2.5551,-1.162,-9.7134e-16
"D12.2",1.2826,0.31081,5.2923,2.2714,-1.9378,-0.96052,0.27162,-0.31174,1.1237,-0.61816,0.48698,-1.0419,1.0199,-5.5251e-16
"D12.3",1.6999,0.28733,-2.6175,-0.67844,-0.24547,0.49338,-1.4635,-3.5547,1.7036,-1.1048,1.0251,0.071452,0.6796,1.4975e-15
"D12.4",1.8974,0.52653,-3.3784,0.20438,-2.7552,-2.604,-1.5853,1.4002,-1.3039,0.54191,0.0067328,-1.0958,0.21434,-1.9438e-15
"F12.1",1.9361,0.83543,1.8235,0.64776,2.3018,0.88148,-2.3289,0.013858,-2.6245,0.91301,1.7267,0.73887,0.462,2.4156e-16
"F12.2",1.32,-1.5868,-0.057615,0.32555,0.91817,-0.40069,0.50688,0.51828,0.71738,-0.67952,1.6475,-0.93292,-3.5647,1.6988e-15
"F12.3",-9.4672,-4.2623,-0.97802,1.44,-0.71815,1.5256,-0.70656,0.56908,0.40015,0.5527,0.38631,0.11509,0.35995,4.8061e-15
"F12.4",-0.59839,-4.4676,0.78476,-2.4206,1.8415,-3.1211,1.4203,-0.42337,-0.12651,0.47255,0.073016,0.31847,1.0936,-1.1102e-16
"X12.1",2.695,0.80373,-0.56165,-0.018916,1.7599,0.31374,-1.2979,2.8742,2.7604,-0.58882,-0.89708,0.9728,0.76532,-2.0873e-15
"X12.2",1.8685,0.75561,-1.8095,0.36767,-0.91217,1.3962,3.2649,0.95981,-1.1237,-1.5265,1.4396,1.1961,1.0097,-3.9866e-16
"X12.3",0.88499,-0.08594,2.2371,-4.0087,-2.5326,2.0826,-0.39608,0.35133,-0.0086081,0.8954,-0.39606,0.4028,-0.68912,-2.5518e-15
