"","sample","condition","Sodium_Formate","M367.151T397.982","M536.899T13.11","M664.853T17.893","M768.855T17.124","M774.824T18.125","M830.837T11.111","M831.338T16.12"
"1","C12.1","con_12",3963239.209,12049.2581,13252.7674,27371.6044,49087.5842,31431.6882,18088.7613,9272.6866
"2","C12.3","con_12",3909794.3,20223.106,13589.187,21466.828,42372.677,20178.354,17211.887,11099.367
"3","C12.4","con_12",3819856.076,14690.382,12631.782,24002.81,53006.002,23302.041,18940.343,10074.952
"4","D12.1","dro_12",3998858.02,140700.308,14891.006,23128.217,45062.06,22736.962,25895.454,10699.776
"5","D12.2","dro_12",3805401.884,184738.739,12794.027,22658.505,61651.362,21072.324,23307.078,10574.617
"6","D12.3","dro_12",3801631.212,34684.447,13906.062,24557.452,51736.746,22128.186,25559.366,10706.05
"7","D12.4","dro_12",3974273.447,167624.171,11318.225,25751.022,58982.418,21839.322,27576.024,10428.925
"8","F12.1","foc_12",3999727.821,12776.618,22878.362,22978.201,49560.023,18733.385,23801.923,10738.15
"9","F12.2","foc_12",3766924.043,27019.034,13678.647,18881.346,44046.829,18446.554,22069.129,6804.352
"10","F12.3","foc_12",3339943.862,10714.798,13724.458,15064.685,28999.453,14223.645,20134.978,6805.956
"11","F12.4","foc_12",3555482.54,18762.62,15842.484,17200.598,32247.935,15852.356,20981.192,8010.977
"12","X12.1","xvm_12",3797962.57,14919.578,12218.115,24059.964,59201.292,21407.826,25765.943,10709.645
"13","X12.2","xvm_12",3837317.869,32347.825,11084.813,24345.793,51764.83,21076.046,19491.656,10413.701
"14","X12.3","xvm_12",3790177.391,20065.061,12882.864,22227.402,61030.654,21482.254,25170.264,10605.641
"15","BLANK_2_Dup1","bla_0",3667732.211,10528.091,13835.512,18401.714,34067.099,14678.758,19835.034,7479.989
"16","BLANK_2_Dup2","bla_0",3667732.211,10528.091,13835.512,18401.714,34067.099,14678.758,19835.034,7479.989
"17","BLANK_2_Dup3","bla_0",3667732.211,10528.091,13835.512,18401.714,34067.099,14678.758,19835.034,7479.989
"18","BLANK_2","bla_0",3667732.211,10528.091,13835.512,18401.714,34067.099,14678.758,19835.034,7479.989
"19","QC.1.Dup","qcs_0",4024050.372,113055.739,22413.182,21336.789,44173.625,18024.406,25329.762,8250.68
"20","QC.1","qcs_0",4024050.372,113055.739,22413.182,21336.789,44173.625,18024.406,25329.762,8250.68
"21","QC.2","qcs_0",3845070.71,122763.122,12629.776,22557.47,48992.538,21618.662,25277.606,9968.077
"22","QC.3","qcs_0",4035455.455,143189.111,15034.97,10459.284,66934.697,23093.794,27598.548,11596.379
