"","FC","log2(FC)","raw.pval","-log10(p)"
"M883.492T15.092",1.1079,0.14784,0.0069094,2.1606
"M1279.087T13.111",0.87325,-0.19553,0.01343,1.8719
"M830.837T11.111",1.2786,0.35458,0.017341,1.7609
"M1116.775T17.12",0.49731,-1.0078,0.018211,1.7397
"M1244.755T16.127",0.77917,-0.35999,0.023756,1.6242
"M1030.792T17.119",0.80692,-0.3095,0.025981,1.5853
"M1334.742T13.111",0.88748,-0.17221,0.027369,1.5627
"M1239.758T16.118",0.81186,-0.30071,0.037994,1.4203
"M1472.714T13.108",0.88661,-0.17362,0.041314,1.3839
"M970.807T12.104",1.3151,0.39515,0.045978,1.3374
