"",Label,Sodium_Formate,M367.151T397.982,M536.899T13.11,M664.853T17.893,M768.855T17.124,M774.824T18.125,M830.837T11.111,M831.338T16.12,M848.827T17.121,M882.812T18.125,M883.492T15.092,M908.151T15.062,M970.794T18.128,M970.807T12.104,M991.807T13.109,M996.798T17.124,M1026.791T12.104,M1030.792T17.119,M1053.787T16.896,M1058.286T17.121,M1094.782T12.105,M1107.445T13.643,M1116.775T17.12,M1189.43T15.136,M1220.262T13.111,M1236.757T13.113,M1239.758T16.118,M1244.755T16.127,M1279.087T13.111,M1288.745T12.11,M1334.742T13.111,M1472.714T13.108,M1610.426T13.113,M1671.991T13.111,M1786.658T13.109
BLANK_2_Dup1,bla_0,3667732.211,10528.091,13835.512,18401.714,34067.099,14678.758,19835.034,7479.989,19517.803,12842.962,11185.706,31784,8590.007,7978.659,20160.44,13211.689,10878.29,16681.72,10123.16,9969.087,9555.659,12819.336,7578.607,15096.414,13617,22348.479,9627.181,11140.802,18282.013,16821.491,13352.372,11129.118,12086.484,11114.027,8524.801
BLANK_2_Dup2,bla_0,3667732.211,10528.091,13835.512,18401.714,34067.099,14678.758,19835.034,7479.989,19517.803,12842.962,11185.706,31784,8590.007,7978.659,20160.44,13211.689,10878.29,16681.72,10123.16,9969.087,9555.659,12819.336,7578.607,15096.414,13617,22348.479,9627.181,11140.802,18282.013,16821.491,13352.372,11129.118,12086.484,11114.027,8524.801
BLANK_2_Dup3,bla_0,3667732.211,10528.091,13835.512,18401.714,34067.099,14678.758,19835.034,7479.989,19517.803,12842.962,11185.706,31784,8590.007,7978.659,20160.44,13211.689,10878.29,16681.72,10123.16,9969.087,9555.659,12819.336,7578.607,15096.414,13617,22348.479,9627.181,11140.802,18282.013,16821.491,13352.372,11129.118,12086.484,11114.027,8524.801
BLANK_2,bla_0,3667732.211,10528.091,13835.512,18401.714,34067.099,14678.758,19835.034,7479.989,19517.803,12842.962,11185.706,31784,8590.007,7978.659,20160.44,13211.689,10878.29,16681.72,10123.16,9969.087,9555.659,12819.336,7578.607,15096.414,13617,22348.479,9627.181,11140.802,18282.013,16821.491,13352.372,11129.118,12086.484,11114.027,8524.801
C12.1,con_12,3963239.209,12049.2581,13252.7674,27371.6044,49087.5842,31431.6882,18088.7613,9272.6866,24516.497,25626.5112,11728.9173,34901.5222,12663.9572,7183.2467,19814.6504,17464.7471,9585.139,21655.8266,11646.3353,10534.804,8133.047,13504.7301,21863.7373,17010.248,15022.5,27472.3068,10401.3203,15980.1653,20521.6664,16413.8233,15568.714,13879.4169,14299.4665,11894.496,11270.6376
C12.3,con_12,3909794.3,20223.106,13589.187,21466.828,42372.677,20178.354,17211.887,11099.367,22465.194,18834.312,11766.051,37467.128,11311.24,7557.125,22909.479,15164.009,9678.494,19579.87,11023.068,11862.52,9170.449,12570.504,14645.806,15931.055,12631.821,21871.8,10125.668,13928.093,20300.72,17185.851,14537.716,12287.665,15588.56,11379.26,10174.798
C12.4,con_12,3819856.076,14690.382,12631.782,24002.81,53006.002,23302.041,18940.343,10074.952,26112.394,17486.107,11631.384,37789.93,13152.632,8636.915,23248.614,17139.958,10715.726,22709.965,12903.114,9845.818,7604.667,12242.589,13229.377,10170.42,13080.778,25475.837,11592.847,16336.016,21116.86,16446.62,15514.551,12454.72,14067.171,12301.435,9390.922
C15.1,con_15,3934423.297,16278.311,15199.467,11417.336,55257.861,12983.085,19790.547,7675.32,26804.017,18187.078,13433.214,37470.885,12084.632,9347.586,23887.348,21747.444,13680.115,21783.04,12418.2,9089.763,9464.172,13546.872,9921.703,9645.093,16826.243,24317.856,18518.694,15824.837,20310.016,23138.842,12767.171,11433.077,14189.534,12353.903,10102.997
C15.2,con_15,3867787.496,9983.923,16331.435,24612.12,69750.72,22181.194,26602.278,10593.703,23861.416,15734.455,13197.593,38962.279,13536.566,9499.464,23401.968,17845.282,10361.593,22245.144,11721.465,12528.667,8881.045,9635.627,9341.328,16958.597,14021.19,24639.694,10665.824,19425.343,22407.153,14450.432,14305.207,11155.475,15821.294,10099.585,11670.632
C15.3,con_15,3442128.325,9385.526,19565.874,16441.578,32393.664,13792.567,22221.459,6022.342,16784.862,12639.161,12322.703,30536.725,7836.672,9622.973,22405.091,15999.864,11276.074,13272.5,9801.367,7749.764,8043.794,13044.606,8238.451,12648.912,13398.152,20196.854,8031.131,10100.304,15901.632,18491.135,11984.709,9693.189,10212.237,9693.189,9051.403
