"","sample","condition","Sodium_Formate","M367.151T397.982","M536.899T13.11","M664.853T17.893","M768.855T17.124","M774.824T18.125","M830.837T11.111","M831.338T16.12"
"1","C9.1","con_9",4034768.1,15757.944,16659.067,10478.13,47211.461,23328.675,28130.546,11565.338
"2","C9.2","con_9",3834773.912,12377.052,14039.8,24363.618,52784.461,21870.997,18931.079,8256.696
"3","C9.3","con_9",3778849.129,13498.736,11969.047,22516.551,51771.93,21159.262,22434.642,10261.891
"4","C9.4","con_9",4038727.883,18719.879,12867.93,13726.783,54554.133,22076.264,20493.406,9866.495
"5","D9.1","dro_9",3927944.588,44277.586,14438.794,21755.07,51405.756,22149.318,24071.211,7376.597
"6","D9.2","dro_9",3923775.51,25094.232,14955.776,24042.567,62411.011,24350.804,26244.058,9652.574
"7","D9.3","dro_9",3741009.216,29068.104,15435.051,19574.548,60986.412,18896.52,28221.185,10986.862
"8","D9.4","dro_9",4053881.971,159591,13928.073,22282.317,42555.302,19632.213,25551.344,11221.845
"9","F9.1","foc_9",3890744.446,34918.822,12278.726,21794.52,40958.508,20689.386,20791.284,11566.021
"10","F9.2","foc_9",4045781.04,72280.988,14066.072,24121.31,65606.23,23940.911,25042.904,6732.136
"11","F9.3","foc_9",3879945.02,76069.263,14600.873,22294.498,46966.518,21435.157,22699.582,9975.821
"12","F9.4","foc_9",4104743.934,11050.034,24005.632,22597.908,109348.004,29341.33,23486.326,10317.815
"13","X9.1","xvm_9",3959808.028,6213.301,12476.838,23572.048,62739.656,21375.936,20728.407,9394.988
"14","X9.2","xvm_9",3945214.242,67026.118,10070.12,20144.585,60809.884,20993.351,26469.17,10231.256
"15","X9.3","xvm_9",3800062.662,23010.749,15030.466,24341.138,60695.542,19708.95,20568.083,10502.268
"16","X9.4","xvm_9",4006431.121,45473.613,13095.961,10806.023,51223.359,22451.152,22825.71,9675.802
"17","C12.1","con_12",3963239.209,12049.2581,13252.7674,27371.6044,49087.5842,31431.6882,18088.7613,9272.6866
"18","C12.3","con_12",3909794.3,20223.106,13589.187,21466.828,42372.677,20178.354,17211.887,11099.367
"19","C12.4","con_12",3819856.076,14690.382,12631.782,24002.81,53006.002,23302.041,18940.343,10074.952
"20","D12.1","dro_12",3998858.02,140700.308,14891.006,23128.217,45062.06,22736.962,25895.454,10699.776
"21","D12.2","dro_12",3805401.884,184738.739,12794.027,22658.505,61651.362,21072.324,23307.078,10574.617
"22","D12.3","dro_12",3801631.212,34684.447,13906.062,24557.452,51736.746,22128.186,25559.366,10706.05
"23","D12.4","dro_12",3974273.447,167624.171,11318.225,25751.022,58982.418,21839.322,27576.024,10428.925
"24","F12.1","foc_12",3999727.821,12776.618,22878.362,22978.201,49560.023,18733.385,23801.923,10738.15
"25","F12.2","foc_12",3766924.043,27019.034,13678.647,18881.346,44046.829,18446.554,22069.129,6804.352
"26","F12.3","foc_12",3339943.862,10714.798,13724.458,15064.685,28999.453,14223.645,20134.978,6805.956
"27","F12.4","foc_12",3555482.54,18762.62,15842.484,17200.598,32247.935,15852.356,20981.192,8010.977
