feature,f.value,p.value,-log10(p),FDR,Tukey's HSD
M367.151T397.982,12.043,0.0011728,2.9308,0.5708,dro_12-con_12; foc_12-dro_12; xvm_12-dro_12
M830.837T11.111,10.76,0.001795,2.7459,0.5708,dro_12-con_12; foc_12-con_12; xvm_12-con_12
M1239.758T16.118,8.1862,0.0047823,2.3204,0.60646,foc_12-con_12; foc_12-dro_12; xvm_12-foc_12
M1334.742T13.111,7.8606,0.0054939,2.2601,0.60646,dro_12-con_12; foc_12-con_12
M1030.792T17.119,7.8198,0.0055915,2.2525,0.60646,foc_12-con_12; foc_12-dro_12
M1189.43T15.136,7.767,0.0057213,2.2425,0.60646,xvm_12-dro_12; xvm_12-foc_12
M883.492T15.092,6.4943,0.010287,1.9877,0.79926,dro_12-con_12; foc_12-con_12
M970.794T18.128,6.4191,0.010673,1.9717,0.79926,foc_12-con_12; foc_12-dro_12
M774.824T18.125,6.0054,0.013138,1.8815,0.79926,foc_12-con_12
M1053.787T16.896,5.9394,0.013591,1.8667,0.79926,foc_12-dro_12; xvm_12-foc_12
M664.853T17.893,5.8807,0.01401,1.8535,0.79926,foc_12-con_12; foc_12-dro_12; xvm_12-foc_12
M1116.775T17.12,5.6866,0.015511,1.8094,0.79926,foc_12-con_12
M1279.087T13.111,5.4029,0.018066,1.7431,0.79926,foc_12-con_12
M1220.262T13.111,5.1724,0.020518,1.6879,0.79926,foc_12-dro_12; xvm_12-dro_12
M996.798T17.124,5.1357,0.020943,1.679,0.79926,foc_12-dro_12; xvm_12-foc_12
M1058.286T17.121,4.8312,0.024919,1.6035,0.79926,foc_12-dro_12
M536.899T13.11,4.8115,0.025206,1.5985,0.79926,xvm_12-foc_12
M848.827T17.121,4.7252,0.02651,1.5766,0.79926,foc_12-dro_12
M882.812T18.125,4.6396,0.027884,1.5546,0.79926,foc_12-con_12
M1026.791T12.104,4.4438,0.03136,1.5036,0.79926,xvm_12-foc_12
M970.807T12.104,4.4341,0.031545,1.5011,0.79926,foc_12-con_12
M768.855T17.124,4.4279,0.031664,1.4994,0.79926,xvm_12-foc_12
M831.338T16.12,4.4209,0.0318,1.4976,0.79926,foc_12-dro_12; xvm_12-foc_12
M1107.445T13.643,4.4124,0.031966,1.4953,0.79926,foc_12-dro_12
M1610.426T13.113,4.3831,0.032542,1.4876,0.79926,xvm_12-dro_12
M908.151T15.062,4.2815,0.034638,1.4605,0.79926,xvm_12-dro_12
M1671.991T13.111,4.2579,0.035148,1.4541,0.79926,xvm_12-foc_12
M1472.714T13.108,4.047,0.040127,1.3966,0.79926,
M1094.782T12.105,3.9856,0.04173,1.3796,0.79926,xvm_12-con_12
M991.807T13.109,3.9794,0.041898,1.3778,0.79926,
M1236.757T13.113,3.9048,0.043958,1.357,0.79926,foc_12-dro_12
M1288.745T12.11,3.8853,0.044518,1.3515,0.79926,foc_12-dro_12
M1244.755T16.127,3.8762,0.044783,1.3489,0.79926,foc_12-con_12
M1786.658T13.109,3.828,0.046211,1.3353,0.79926,foc_12-dro_12
M1010.794T17.124,3.6788,0.050987,1.2925,0.79926,
M1298.493T13.112,3.6775,0.051034,1.2921,0.79926,xvm_12-foc_12
M978.802T11.597,3.6226,0.052939,1.2762,0.79926,
M890.804T18.126,3.5895,0.054127,1.2666,0.79926,xvm_12-foc_12
M764.831T18.142,3.5864,0.054242,1.2657,0.79926,foc_12-dro_12
M950.801T18.122,3.5444,0.055803,1.2533,0.79926,foc_12-con_12
M1077.04T13.112,3.4915,0.057843,1.2377,0.79926,
M1165.777T13.111,3.4064,0.061318,1.2124,0.79926,xvm_12-dro_12
M1132.772T17.119,3.3521,0.063666,1.1961,0.79926,
M1185.771T13.111,3.2759,0.06714,1.173,0.79926,
M748.848T18.125,3.2433,0.068691,1.1631,0.79926,
M1027.799T12.11,3.2325,0.069216,1.1598,0.79926,foc_12-con_12
M1157.439T14.055,3.2165,0.070001,1.1549,0.79926,
M1027.802T12.11,3.171,0.072293,1.1409,0.79926,foc_12-con_12
M1392.401T13.109,3.1593,0.072901,1.1373,0.79926,
M612.874T18.123,3.0299,0.079996,1.0969,0.79926,
M1610.431T13.109,3.0298,0.080001,1.0969,0.79926,
M544.888T18.116,2.9943,0.082084,1.0857,0.79926,
M1176.773T12.109,2.9894,0.082377,1.0842,0.79926,
M833.496T16.119,2.9893,0.082383,1.0842,0.79926,
M976.471T16.081,2.9838,0.082716,1.0824,0.79926,
M1348.065T14.094,2.9469,0.084977,1.0707,0.79926,
M850.818T18.123,2.939,0.085469,1.0682,0.79926,
M780.837T18.123,2.9374,0.085567,1.0677,0.79926,
M1092.281T16.125,2.9219,0.086543,1.0628,0.79926,
M691.857T17.129,2.9,0.087953,1.0558,0.79926,
M978.791T18.125,2.8742,0.08964,1.0475,0.79926,
M1175.767T14.588,2.8181,0.093447,1.0294,0.79926,
M1044.793T15.117,2.7993,0.094768,1.0233,0.79926,
M1064.785T17.122,2.7975,0.0949,1.0227,0.79926,
M1103.78T17.122,2.781,0.096073,1.0174,0.79926,
M956.802T18.02,2.7804,0.096118,1.0172,0.79926,
M1428.722T13.111,2.7572,0.097802,1.0097,0.79926,
M888.815T18.125,2.7518,0.098201,1.0079,0.79926,
M712.85T18.123,2.7453,0.098683,1.0058,0.79926,
M612.876T11.11,2.7342,0.099508,1.0021,0.79926,
M794.836T17.122,2.7214,0.10047,0.99796,0.79926,
M717.846T18.125,2.7158,0.1009,0.99612,0.79926,
M1336.742T13.121,2.7056,0.10168,0.99276,0.79926,
M1412.721T13.112,2.7018,0.10198,0.9915,0.79926,
M986.795T18.125,2.6972,0.10233,0.99001,0.79926,
M1514.419T12.108,2.6969,0.10235,0.98989,0.79926,
M705.862T12.108,2.6729,0.10423,0.982,0.79926,
M817.177T13.11,2.671,0.10438,0.98137,0.79926,
M1180.762T17.124,2.6701,0.10445,0.9811,0.79926,
M1100.789T13.111,2.6401,0.10687,0.97116,0.79926,
M934.803T18.124,2.6398,0.10689,0.97106,0.79926,
M939.816T16.127,2.6353,0.10726,0.96957,0.79926,
M296.921T20.131,2.6344,0.10733,0.96929,0.79926,
M908.329T13.112,2.6045,0.10981,0.95934,0.79926,
M1162.766T16.122,2.5994,0.11025,0.95764,0.79926,
M660.871T17.121,2.5855,0.11142,0.95302,0.79926,
M1121.785T12.107,2.5519,0.11435,0.94178,0.79926,
M1080.788T16.122,2.5455,0.11492,0.93961,0.79926,
M764.834T11.202,2.5381,0.11557,0.93714,0.79926,
M881.821T17.122,2.5137,0.11778,0.92893,0.79926,
M817.179T13.109,2.5073,0.11837,0.92677,0.79926,
M1040.795T17.122,2.5014,0.11891,0.92477,0.79926,
M900.818T12.109,2.4934,0.11965,0.92208,0.79926,
M1193.763T16.035,2.4848,0.12046,0.91917,0.79926,
M1154.769T17.115,2.4419,0.12456,0.90463,0.79926,
M800.829T18.124,2.4143,0.12729,0.8952,0.79926,
M1079.786T12.106,2.383,0.13047,0.88449,0.79926,
M1023.794T17.126,2.3726,0.13155,0.8809,0.79926,
M1072.791T12.666,2.3659,0.13225,0.8786,0.79926,
M891.82T17.128,2.3549,0.13341,0.87482,0.79926,
M1448.712T16.544,2.3302,0.13605,0.86631,0.79926,
M869.824T12.108,2.3278,0.13631,0.86547,0.79926,
M1270.248T13.113,2.3031,0.13902,0.85692,0.79926,
M1005.793T17.124,2.2928,0.14017,0.85333,0.79926,
M717.849T18.124,2.282,0.14138,0.8496,0.79926,
M882.822T11.104,2.2784,0.1418,0.84833,0.79926,
M843.824T18.125,2.277,0.14196,0.84785,0.79926,
M998.141T13.111,2.2586,0.14406,0.84145,0.79926,
M1627.429T13.11,2.2361,0.1467,0.83358,0.79926,
M637.868T17.018,2.2245,0.14808,0.82951,0.79926,
M1451.392T13.111,2.2052,0.15041,0.82274,0.79926,
M732.841T18.125,2.1976,0.15133,0.82007,0.79926,
M302.934T20.131,2.1923,0.15198,0.81821,0.79926,
M1141.772T16.116,2.1794,0.15358,0.81365,0.79926,
M1464.714T13.136,2.1754,0.15408,0.81224,0.79926,
M903.813T17.124,2.1707,0.15468,0.81058,0.79926,
M928.805T18.125,2.1575,0.15635,0.80591,0.79926,
M1021.326T836.385,2.1485,0.1575,0.80271,0.79926,
M1126.276T16.125,2.127,0.1603,0.79508,0.79926,
M921.819T12.109,2.126,0.16043,0.79472,0.79926,
M916.815T17.122,2.1245,0.16061,0.79422,0.79926,
M969.148T13.116,2.1191,0.16133,0.79229,0.79926,
M680.861T18.117,2.1043,0.16331,0.787,0.79926,
M1352.731T15.036,2.0986,0.16407,0.78498,0.79926,
M1497.047T13.11,2.0931,0.16481,0.78302,0.79926,
M1163.774T15.006,2.0857,0.16582,0.78037,0.79926,
M1415.719T14.621,2.0854,0.16585,0.78027,0.79926,
M980.799T16.971,2.0744,0.16736,0.77635,0.79926,
M910.803T18.125,2.0738,0.16745,0.7761,0.79926,
M1112.289T13.11,2.0674,0.16834,0.7738,0.79926,
M1012.803T17.118,2.0629,0.16896,0.77221,0.79926,
