"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First","First","First","First","First","First","First","First","First","First","First","First","First","First","First","First","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third"
"M177.034T19.126","-0.025370280"," 0.181264173"," 0.133235894","-0.094342274"," 0.385405502"," 0.139953108","-0.158813050"," 0.080533669","-0.014184241"," 0.136190178","-0.095996345"," 0.213236927"," 0.008895342"," 0.045597840"," 0.116231331"," 0.063403730"," 0.091090895"," 0.030030062","-0.071648644"," 0.029061811","-0.468725301"," 0.159239249"," 0.221737197"," 0.108296829","-0.283704825","-0.293588297","-0.414701135","-0.082220941"," 0.147280140"," 0.271868062"," 0.185687045"," 0.273479264","-0.337775238","-0.295893090"," 0.114648225"," 0.142369230"," 0.052356701","-0.091860108"," 0.307252980"," 0.164225098","-0.001920312","-0.043125427","-0.158196341"," 0.128007727","-0.879704681","-0.118807681"
"M222.962T20.134","-0.078739822","-0.025346247"," 0.191606535","-0.219475636"," 0.092723973"," 0.145214157","-0.200476357"," 0.103844656","-0.185617758","-0.084986252"," 0.171000546"," 0.248543107"," 0.224142645","-0.345784004"," 0.095342232","-0.210490043"," 0.108420551","-0.419386431"," 0.011737518","-0.069554691","-0.149391689"," 0.101764948"," 0.246445010"," 0.138522686","-0.170609225","-0.242142259","-0.428049230","-0.141865904","-0.169529303","-0.146860705"," 0.255535311"," 0.100024181","-0.195544398","-0.100562037","-0.006526411"," 0.621461253"," 0.123727174"," 0.468739090"," 0.120075878"," 0.267215638"," 0.069625639"," 0.402304235","-0.112270102"," 0.016806029","-0.528237598","-0.093376888"
"M243.886T1577.62","-0.110587104"," 0.243650510"," 0.112118729"," 0.142596287","-0.008603753"," 0.113858538"," 0.133713978"," 0.021693775","-0.014222433","-0.132087167","-0.267574058","-0.109340559","-0.109548034"," 0.165507356","-0.137873195","-0.017662338","-0.128776181","-0.014515469"," 0.384241587"," 0.109388292"," 0.117336996"," 0.089470585","-0.080766072"," 0.052641540","-0.001829597"," 0.336111912","-0.289052772"," 0.054654495"," 0.083985782","-0.162336615"," 0.153118485","-0.057904081"," 0.274117782"," 0.055520929","-0.198159814","-0.367194541"," 0.136216252","-0.116470042"," 0.202018540"," 0.113705280"," 0.215288826","-0.187306558","-0.098902434","-0.093134950"," 0.185669734","-0.792778421"
"M247.083T835.562","-0.0440323875"," 0.0807233707"," 0.5278514163"," 0.2774457835"," 0.0330800378"," 0.1590058738"," 0.2614006892"," 0.3509790049","-0.1142882236"," 0.4486504042"," 0.2856636384","-0.6949729802"," 0.4309586810"," 0.4289979999"," 0.2914847928"," 0.1992180147","-1.3470229474"," 0.0840911312"," 0.3739001017"," 0.4101611678"," 0.3838469491"," 0.1165689277"," 0.2922791132"," 0.0653220733"," 0.1043232839","-0.5418157279","-0.1511822767"," 0.3542664049"," 0.4984791410"," 0.3591695639","-0.0002289598"," 0.2049409130"," 0.2720694901"," 0.4164072397","-0.8482135742","-0.1716277028","-0.7073762499","-1.3130112630","-0.6262371697","-0.5471355194","-0.6525507937"," 0.2527747296"," 0.1176746887"," 0.0818666388"," 0.1575737440","-0.5614792333"
"M250.958T20.121"," 0.1930424902"," 0.0817391520"," 0.0298156629"," 0.0099593262","-0.1043752407"," 0.2558129743","-0.5488007764","-0.3555555147","-0.1483441505","-0.0867918319"," 0.0753055623","-0.0208533146"," 0.0777115250"," 0.0587713325"," 0.0830035041"," 0.1441489330"," 0.3023505786","-0.1336639502"," 0.0958956528"," 0.0783399258"," 0.0920922282"," 0.2799529129"," 0.1176424834","-0.0434234065","-0.0980330248","-0.4604286524"," 0.1399993994","-0.1240865399"," 0.1322974039","-0.1302615575"," 0.3753703711"," 0.2134468360","-0.0566953886","-0.2924690874"," 0.0572948677"," 0.0439254232","-0.1418535250","-0.1343221251","-0.0002453103"," 0.2186542554","-0.2303983866"," 0.4300137203","-0.1541537382","-0.0632910671","-0.1744983924","-0.0840415400"
"M274.939T20.136"," 0.0798060784"," 0.4491973150","-0.4492439965","-0.1394373324","-0.0684022422"," 0.0072682220","-0.5694639015"," 0.1611313088"," 0.3690651705"," 0.0448273142","-0.0804486952"," 0.2473032435"," 0.2113999168","-0.0337156927","-0.1312483642"," 0.2428444584","-0.1281893050","-0.4028954202"," 0.2325378160"," 0.3911390550","-0.1238574549"," 0.0977155016"," 0.0629204722"," 0.1746946959","-0.2228493215","-0.1081682534","-0.2595011400"," 0.0139311999"," 0.3081504250"," 0.0206129298"," 0.0301779528"," 0.0066628353","-0.4119604470","-0.0138566824"," 0.1894736790","-0.0005377962","-0.1744853257"," 0.1541963167"," 0.0286853798","-0.1081245886"," 0.0033408936","-0.0840798834","-0.2635298895"," 0.2543555571","-0.0101694136"," 0.0027274089"
"M286.907T1578.052","-0.6696116294"," 0.2427174543","-0.2023223030","-0.0706805392"," 0.1592013735","-0.6094004270"," 0.0245425864"," 0.2397102749"," 0.1451543976"," 0.1911532997","-0.2074972805"," 0.1116079036","-0.0008331991","-0.0426848962"," 0.0217871298"," 0.1567802846","-0.1525438662"," 0.0517085536"," 0.2461253953","-0.0492029697","-0.1598302732","-0.1681141051"," 0.2114062841","-0.0876245805"," 0.3557405860"," 0.0696631389","-0.0912103426","-0.0715080905"," 0.4862520612"," 0.1348988552"," 0.2027659566","-0.0056325226","-0.1148420319"," 0.2090069206"," 0.2273498506","-0.1548014058","-0.2101519369"," 0.1564756962","-0.1335080918"," 0.0849373110"," 0.2774523834"," 0.1008550615","-0.0015843083","-0.1020418748"," 0.0582291535","-0.8598952380"
"M296.921T20.131"," 0.017464682"," 0.230733992"," 0.316261419"," 0.150255101"," 0.040858103","-0.062566797","-0.416257580"," 0.165625545"," 0.012483160"," 0.207236035","-0.036331123"," 0.056534875","-0.061892822"," 0.179350977","-0.047002902","-0.024332128"," 0.119594043","-0.142640710"," 0.295076085"," 0.081379822"," 0.041798326"," 0.279333667"," 0.047040277"," 0.132869182","-0.132761775","-0.775987599","-0.761674663"," 0.018473329"," 0.148521375","-0.103505955"," 0.136431021"," 0.245040199","-0.330204328"," 0.212565758"," 0.033882271"," 0.231768141","-0.077960675"," 0.314825880"," 0.008315039"," 0.056911995","-0.043840737","-0.009575996"," 0.125572371"," 0.006280529","-0.964365787"," 0.078418379"
"M302.934T20.131","-0.019292304","-0.112235701","-0.080825100"," 0.059171221"," 0.202129708"," 0.133829653","-0.193805769","-0.223625321","-0.071286183"," 0.255988523"," 0.176085036","-0.117850835","-0.116289028"," 0.198854224"," 0.041121925","-0.045114234"," 0.300913720","-0.265209898"," 0.233480298"," 0.294886113"," 0.097301215"," 0.193419427","-0.041096243"," 0.186773158","-0.291868186","-0.432587929","-0.406273284","-0.021314785"," 0.131284120"," 0.143313739"," 0.395807919"," 0.115006337","-0.624066486","-0.050012939"," 0.161748139"," 0.008260685"," 0.071669901"," 0.055892246"," 0.074442630","-0.077826478"," 0.224140712"," 0.239074929","-0.462268445"," 0.281953255","-0.557699138","-0.066000544"
