"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46"
"M177.034T19.126",-0.019127,-0.075046,-0.012904,0.02847,-0.0086226,0.011017,-0.0023203,-0.0048371,0.035899,0.022241,0.019414,-0.019115,-0.04688,-0.02223,0.025981,0.026108,-0.00038226,-0.028492,0.038613,-0.037347,-0.0046003,-0.020954,0.001189,0.015801,0.0033909,0.030593,-0.013215,-0.037737,-0.01051,0.017108,0.01471,-0.014324,-0.011345,0.058774,0.049816,0.052201,-0.038006,0.031766,-0.016954,0.050182,-0.059469,0.058607,0.0255,-0.01561,-0.025551,-0.18974
"M222.962T20.134",-0.023488,-0.059325,-0.014701,-0.00089435,-0.029258,0.064897,0.024895,0.028931,0.025886,0.0022451,0.015146,0.017948,0.026642,0.020629,0.022862,-0.032201,-0.041925,-0.052015,0.0014462,-0.037006,0.0051872,0.039354,-0.032548,-0.027287,0.014533,0.010644,-0.024122,-0.051339,0.018936,-0.061397,-0.038609,-0.0032768,0.005318,0.018607,-0.015601,-0.059115,-0.069834,0.024773,-0.043672,0.003484,-0.025644,0.020565,-0.042677,0.031974,0.029048,-0.095935
"M243.886T1577.62",-0.0043933,0.011483,-0.046852,0.0051069,0.024917,-0.042895,-0.02623,-0.082231,-0.0090518,-0.034077,0.014517,0.03366,0.039432,0.046006,0.018675,0.045729,-0.0094853,-0.026346,-0.036139,0.023566,0.040059,0.011721,0.015076,0.012512,0.035288,-0.051259,-0.032671,0.037623,0.01009,-0.0069579,0.019134,-0.020219,-0.029038,-0.01171,0.055613,0.0593,0.02201,0.037256,-0.015567,0.02084,0.030009,-0.0092559,-0.023742,0.015688,-0.0066425,0.19428
"M247.083T835.562",0.11661,-0.021326,-0.052214,0.12494,0.03323,-0.090279,0.054283,-0.088771,-0.0024345,-0.013311,-0.01534,-0.0021461,-0.032375,-0.0064927,0.042449,0.017781,-0.018214,0.011625,-0.034702,-0.023786,0.0057224,0.018297,0.015103,-0.01288,0.039751,-0.03015,-0.024253,-0.019129,0.010816,-0.0028265,0.00251,-0.017789,-0.01398,-0.0095644,-0.026657,-0.011739,-0.0061665,0.012803,0.043399,-0.039325,0.013097,0.0077144,-0.01743,-0.019872,-0.026376,-0.30845
"M250.958T20.121",0.00074054,-0.048044,-0.015648,-0.0057534,-0.0095369,0.0032504,-0.0049292,0.027197,0.024842,0.018023,0.060834,-0.0070354,-0.018545,-0.010016,-0.0085485,-0.020782,0.068209,-0.019439,-0.033865,0.0035655,-0.028611,0.023163,0.0040389,0.033989,-0.0097136,-0.020332,-0.052154,0.0011779,0.01109,-0.050866,0.043222,-8.1097e-05,0.019111,-0.053209,0.056554,-0.068186,-0.029399,-0.059108,0.021247,-0.082692,0.010123,-0.033352,0.023349,0.0082881,-0.0038049,-0.022709
"M274.939T20.136",-0.0054012,-0.04136,0.0048809,0.011709,0.018576,0.0082477,0.011012,0.048316,0.025897,0.023332,-0.018436,0.013988,0.026883,-0.019112,0.0013608,0.02803,0.099343,-0.049469,0.015509,0.051068,0.024946,-0.021362,0.049299,-0.0075733,0.086326,-0.052507,-0.050757,0.012269,0.0054048,0.089986,-0.061105,0.035896,-0.036678,0.015635,-0.010851,0.0048682,0.041881,0.037336,-0.0049876,-0.020373,0.00088646,0.021043,-0.04687,0.018511,-0.010641,-0.070527
"M286.907T1578.052",-0.00081355,-0.0038349,-0.053585,0.009001,0.046337,-0.044899,-0.016961,-0.0028783,-0.021544,-0.0021363,0.05994,0.042221,0.084926,0.0043797,0.042771,0.023002,0.010197,0.0077065,0.0027909,0.048677,-0.0087998,-0.024379,0.013688,-0.019299,0.080322,-0.016106,0.084844,-0.094608,0.012591,0.09592,-0.080859,-0.020041,0.058776,0.057721,0.022471,0.030027,-0.010721,0.0067364,-0.0047097,0.10291,0.030412,-0.012112,0.010069,0.025232,-0.012945,0.06496
"M296.921T20.131",-0.0039008,-0.10044,0.040849,0.046632,-0.013942,0.025523,0.010656,0.0036945,0.01934,-0.011004,0.02774,0.030441,0.022696,0.026433,0.033064,-0.0070509,0.0035913,-0.033053,-0.016953,-0.043444,0.040722,-0.026166,-0.014266,-0.029397,0.018823,0.0040223,0.039879,-0.0022316,0.0015037,-0.020321,-0.0073367,-0.040582,0.0066765,-0.026284,0.023625,0.031997,0.054869,0.0096228,-0.0077569,0.038816,0.015675,0.015715,0.025762,0.01033,-0.0088409,-0.17579
"M302.934T20.131",-0.013205,-0.076222,0.019914,0.01717,-0.02985,-0.014079,0.0068268,0.017338,-0.0045868,0.032943,0.0077907,0.026392,-0.029746,-0.017145,0.036758,0.00041747,-0.019985,-0.0071666,-0.059136,0.042994,0.039299,-0.035839,-0.0085194,0.06761,0.028428,-0.054148,-0.045878,-0.032456,-0.023316,0.00038827,-0.012509,0.0020595,-0.027719,0.026959,0.031415,0.00019109,-0.017571,-0.057302,-0.055636,-0.010202,-0.01749,-0.019674,-0.010001,-0.038699,-0.022804,0.025296
"M309.131T17.119",-0.017215,0.027428,0.024578,-0.093383,-0.00052076,-0.052064,0.025848,-0.084195,0.07989,0.0056084,-0.018093,-0.024409,-0.043108,0.00087925,0.041628,0.04318,0.0022112,-0.016944,-0.087176,-0.024241,0.035039,0.021365,-0.047478,-0.027181,0.04242,-0.016299,-0.025477,-0.06896,-0.013233,-0.028853,-0.018944,-0.0032949,-0.062906,-0.034974,-0.012637,-0.0057135,0.038417,-0.0075792,-0.014984,-0.0015735,0.030386,-0.022102,0.078216,-0.002802,-0.004494,0.12873
