"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46"
"C9.1",-0.67168,0.13034,-0.54328,1.5521,-1.4103,1.0311,-0.19106,0.091254,-0.26675,0.74371,-0.062748,-1.2835,0.11088,0.38878,-0.88761,-0.47965,0.83693,0.027055,-0.34238,-1.3524,2.3217,0.51261,1.6852,0.39599,-1.7764,-0.24191,-0.623,0.66538,0.54938,0.42438,0.27914,1.1764,-0.97458,-0.413,-0.27166,-0.67487,0.75848,0.087127,0.19163,-0.49795,-0.56775,-0.25578,1.0772,-0.46894,0.10865,8.4568e-18
"C9.2",-1.1913,-1.4,-0.88931,0.15211,0.88891,0.46175,-0.51005,-1.287,0.57767,0.88386,0.79081,1.289,-0.59573,-0.66763,0.49993,-0.13221,1.238,-0.18247,0.95105,-0.069665,0.60236,0.86026,0.065442,-2.1391,1.3498,-0.010126,-1.2523,1.0108,0.91674,0.55426,0.19748,0.56889,1.5113,0.38676,-0.34654,1.4911,0.89614,-0.060742,0.50445,-0.25721,-0.077294,-0.6151,0.23985,0.46548,-0.25221,1.4789e-16
"C9.3",0.69515,-1.61,-0.67078,1.7956,1.1354,-0.37737,0.14427,-0.5272,0.53151,-0.73458,1.3718,-0.0039471,0.24366,-0.089314,-0.26235,-0.49959,-1.8723,-0.38443,-1.9055,-0.68813,-0.79118,1.3888,0.49288,-1.2448,-1.1471,1.1422,0.052009,0.6896,-1.7645,-1.3077,0.03747,0.11491,0.082931,-0.32042,-0.1993,0.76229,0.47861,-0.25732,0.50052,0.29551,-0.61,0.67848,-0.6483,-0.43631,-0.096093,4.8399e-16
"C9.4",1.5131,-1.1067,2.7593,1.2526,0.54502,-0.72412,-0.8841,-0.76464,-0.4267,-0.51709,0.2376,-0.24265,0.43234,-0.72079,-1.265,1.7066,-2.3222,0.26998,0.66159,1.1686,-0.056711,0.53355,-0.83934,0.21988,-0.46413,-0.33894,-0.54343,0.0075846,1.8377,0.46091,0.16644,-0.087662,0.48508,-1.2327,1.4704,-0.83158,1.1371,-0.20193,0.4299,0.23298,-0.18575,-0.0069139,-0.12466,0.052829,-0.053149,-9.9118e-16
"D9.1",0.98393,-0.76027,-0.48748,0.25851,0.66189,-0.19306,-0.039438,-0.27051,0.28436,0.42483,0.012342,0.6673,-0.72734,0.26757,-0.097968,0.027249,0.28312,1.3818,0.17379,0.20865,-0.2944,-0.70402,-0.076617,0.49068,-0.28258,-0.27984,-0.68495,-0.8671,0.2276,-0.82751,0.014795,0.75327,-0.12459,0.54308,0.1694,0.52939,0.040382,-0.30489,-1.4151,1.7558,-1.9501,0.86017,0.81913,1.1057,0.86642,3.296e-17
"D9.2",0.074089,-1.1265,-1.1378,0.5571,0.086209,0.25173,0.028984,-0.15063,0.36504,1.1005,-0.35113,0.28218,-1.0659,-1.3121,0.16259,1.2898,0.23179,-0.27548,0.99887,-0.22678,-0.61482,0.38449,-0.20564,0.12822,-0.56537,0.13639,-0.71353,1.4573,0.65871,-1.758,0.84328,-0.23707,-2.0013,0.10124,-0.04735,0.032656,-0.36827,-0.37735,-1.2697,-0.33944,1.2812,-0.40366,-0.95911,0.21172,0.49088,1.1601e-16
"D9.3",2.4866,3.5096,-1.1878,-0.075336,-1.3857,0.46426,-0.051545,-0.47468,-0.55183,0.40778,0.10665,-1.3566,-0.5246,0.92032,1.1232,-0.77265,-2.7665,1.1367,0.49633,0.46364,0.90703,-0.49842,0.63353,-0.10656,-0.63472,-0.44402,0.18905,0.98472,0.68896,0.32468,0.23597,-1.4689,0.80649,1.7898,-0.10253,0.78472,-0.2406,0.22412,-0.51201,-0.03687,-0.053524,-0.093892,-0.42169,-0.31754,0.043388,1.1484e-15
"D9.4",0.72073,0.032875,1.1573,1.6244,1.7432,-0.16733,0.74134,-0.016434,-0.24682,0.76083,-0.81253,1.104,0.4148,0.58396,-0.51453,0.70353,0.076579,-0.85703,-0.07169,-1.2276,1.1167,0.40847,0.82361,1.1529,-0.070467,1.1138,0.79712,-0.61466,1.1895,0.72645,0.47305,0.051572,0.80263,0.26402,-1.1586,0.16505,-0.64023,0.76965,0.28521,0.60751,0.78278,1.3259,-1.195,0.7912,0.21328,-9.8207e-16
"F9.1",0.86804,1.0019,1.5193,0.94937,0.90342,-0.74944,-0.18069,-0.40063,1.484,2.4769,0.046179,-0.75361,2.1094,0.73285,0.21344,-0.78697,0.52045,-1.039,2.002,1.3087,-0.042017,-1.446,0.30213,0.4037,-0.3929,0.67276,-0.36489,1.0685,-1.3741,0.17221,-1.2576,0.31968,0.2788,-0.72707,0.36193,0.088895,0.092998,0.27599,-0.57406,0.35568,0.050242,0.12153,-0.34349,-0.33391,-0.27749,1.3607e-15
"F9.2",0.72926,-0.60767,0.20867,1.9969,0.98717,-0.15873,1.6627,0.2269,-0.22952,0.56708,-0.077115,1.3581,-1.5817,-0.34701,0.56455,-0.58338,0.40876,0.32684,0.33495,0.81981,0.56283,1.6125,-1.0881,1.5039,-0.47483,0.69154,0.89262,-0.66574,-0.19442,0.30274,-1.9177,-1.3009,-0.88013,0.46838,0.096614,0.71603,0.83707,-0.019066,0.36036,-0.2468,0.018219,-0.62531,0.76888,-0.34864,-0.07065,-1.5694e-16
