"",f.value,p.value,-log10(p),FDR,Tukey's HSD
M1085.78T15.949,7.3733,0.001765,2.7533,0.9499,Second-First; Third-First
M681.468T1391.964,6.2772,0.0040561,2.3919,0.9499,Second-First
M1107.445T13.643,6.1489,0.0044806,2.3487,0.9499,Second-First; Third-Second
M937.806T17.14,5.7654,0.0060502,2.2182,0.95056,Third-First; Third-Second
M663.461T1374.938,5.482,0.0075741,2.1207,0.95056,Second-First
M839.337T903.707,4.8335,0.012779,1.8935,0.95056,Third-First; Third-Second
M309.131T17.119,4.5689,0.015878,1.7992,0.95056,Second-First
M1576.695T13.11,4.5001,0.016806,1.7745,0.95056,Third-Second
M774.828T14.53,4.4298,0.017813,1.7493,0.95056,Third-First
M633.474T1424.866,4.126,0.02295,1.6392,0.95056,Third-Second
M1355.738T13.11,4.0863,0.023728,1.6247,0.95056,Second-First
M1130.78T14.113,4.0826,0.023802,1.6234,0.95056,Third-First
M247.083T835.562,4.0608,0.024242,1.6154,0.95056,Third-First
M1246.09T13.111,3.9988,0.025541,1.5928,0.95056,Second-First
M1021.326T836.385,3.8346,0.029348,1.5324,0.95056,Third-First
M977.8T13.648,3.7622,0.031211,1.5057,0.95056,Third-Second
M817.26T833.71,3.6061,0.035659,1.4478,0.95056,Third-First
M817.177T13.11,3.5768,0.036567,1.4369,0.95056,Third-First
M817.264T834.906,3.5621,0.03703,1.4315,0.95056,Third-First
M1126.276T16.125,3.5143,0.03858,1.4136,0.95056,Third-First
M711.854T15.533,3.495,0.039227,1.4064,0.95056,Third-First
M1576.691T13.111,3.4927,0.039304,1.4056,0.95056,Third-Second
M663.459T1408.312,3.4279,0.041561,1.3813,0.95056,Second-First
M1337.74T13.11,3.407,0.042318,1.3735,0.95056,Second-First
M1282.251T13.11,3.3839,0.043168,1.3648,0.95056,Third-First
M1163.774T15.006,3.3067,0.046153,1.3358,0.95056,Third-Second
M1350.741T12.108,3.2068,0.050336,1.2981,0.95056,Third-First
M824.345T903.272,3.195,0.050854,1.2937,0.95056,""
M633.482T1643.428,3.1845,0.051321,1.2897,0.95056,""
M1397.732T14.114,3.1354,0.053565,1.2711,0.95056,""
M1200.766T12.171,3.1034,0.055086,1.259,0.95056,""
M902.806T18.126,3.0586,0.057287,1.2419,0.95056,""
M1092.287T12.108,3.035,0.058481,1.233,0.95056,""
M794.18T13.113,3.025,0.058995,1.2292,0.95056,""
M930.811T17.116,2.9741,0.061692,1.2098,0.95056,""
M1188.441T13.111,2.9562,0.062672,1.2029,0.95056,""
M634.485T1424.862,2.9494,0.063045,1.2004,0.95056,""
M631.468T1459.998,2.8008,0.071877,1.1434,0.95056,""
M591.475T1442.976,2.768,0.073994,1.1308,0.95056,""
M799.252T819.392,2.7612,0.074438,1.1282,0.95056,""
M908.151T15.062,2.6973,0.078784,1.1036,0.95056,""
M967.818T12.107,2.6833,0.079768,1.0982,0.95056,""
M648.465T1441.075,2.6424,0.082731,1.0823,0.95056,""
M771.505T1357.807,2.6291,0.083711,1.0772,0.95056,""
M647.463T1427.898,2.6225,0.084204,1.0747,0.95056,""
M931.815T16.119,2.6218,0.084258,1.0744,0.95056,""
M996.798T17.124,2.6199,0.084405,1.0736,0.95056,""
M894.49T15.115,2.5981,0.086056,1.0652,0.95056,""
M1436.722T13.111,2.5955,0.086262,1.0642,0.95056,""
M996.139T12.108,2.5829,0.087232,1.0593,0.95056,""
M1059.426T884.067,2.571,0.088168,1.0547,0.95056,""
M1644.684T13.112,2.5537,0.089542,1.048,0.95056,""
M1482.716T13.11,2.5413,0.090542,1.0432,0.95056,""
M1198.096T13.114,2.5284,0.091591,1.0381,0.95056,""
M1100.789T13.111,2.5256,0.09182,1.0371,0.95056,""
M1242.097T13.11,2.525,0.091867,1.0368,0.95056,""
M944.821T12.17,2.5235,0.09199,1.0363,0.95056,""
M1211.426T16.118,2.5144,0.092742,1.0327,0.95056,""
M1236.259T13.113,2.5043,0.093587,1.0288,0.95056,""
M832.829T11.107,2.4883,0.094936,1.0226,0.95056,""
M1496.712T13.111,2.4828,0.095409,1.0204,0.95056,""
M853.828T11.107,2.4707,0.09645,1.0157,0.95056,""
M1171.279T12.108,2.4293,0.1001,0.99955,0.95056,""
M222.962T20.134,2.4277,0.10024,0.99895,0.95056,""
M573.464T1458.338,2.4214,0.10082,0.99647,0.95056,""
M1252.751T12.611,2.4174,0.10118,0.99491,0.95056,""
M364.909T21.126,2.413,0.10158,0.9932,0.95056,""
M1193.763T16.035,2.4124,0.10163,0.99297,0.95056,""
