"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16"
"C15.1",-0.91912,1.3473,-0.15334,0.12279,-0.21111,0.65295,-0.19485,1.8246,-0.679,-0.57933,1.097,-2.7655,-0.27818,0.83489,-2.7586,8.4436e-16
"C15.2",-1.121,3.0826,-0.4322,-0.56494,-0.53374,1.233,-0.5514,1.2104,-0.042458,2.3912,-2.4716,1.6002,-1.8273,-0.81164,-0.95203,-2.361e-15
"C15.3",-3.5868,-3.5736,-1.5689,0.31524,1.132,0.3587,-0.90659,0.95987,0.60253,1.726,2.9763,0.7646,-1.7474,0.69776,0.78292,8.4817e-16
"C15.4",-2.0746,-2.5864,1.1173,-0.15829,-1.0175,0.70745,-1.4959,2.2083,-1.4023,-1.7199,-0.81035,2.3045,1.7443,1.3995,-0.10232,1.5613e-15
"D15.1",5.7437,-3.0808,-0.44613,2.7352,-4.1863,0.24428,2.5245,-0.62879,-0.069602,0.62514,0.13131,0.19244,-0.21711,-0.12627,-0.29951,1.0886e-15
"D15.2",-3.1467,2.7021,0.43694,-1.5276,-1.0016,0.49911,1.9037,-1.6805,0.70096,-3.0207,0.8047,1.1512,-2.0293,0.23314,0.11773,1.4702e-15
"D15.3",6.8027,-2.5667,0.16032,-5.6304,-0.13133,0.4804,-0.61133,-0.45147,0.050566,0.27125,0.024151,-0.61863,0.10635,-0.36658,0.12946,-4.9602e-18
"D15.4",2.9131,1.8925,1.5932,0.1213,3.5975,-0.5594,3.5545,0.067588,-1.5282,0.97923,0.89754,1.2126,1.1319,0.26837,-0.2935,1.0365e-16
"F15.1",5.6468,2.403,-1.2999,0.9388,0.24188,-4.6548,-1.7747,1.1492,1.2639,-0.74157,-0.0086029,0.44956,-0.4222,0.47201,0.2124,1.7521e-16
"F15.2",1.0832,-0.70931,0.42135,1.2076,1.8351,2.3478,1.1661,2.2734,3.034,-1.039,-1.0733,-0.99701,0.51399,-0.76745,1.0564,-5.6986e-16
"F15.3",4.3697,0.75788,-1.0226,2.3464,1.9126,2.6504,-2.8913,-3.1355,-0.7976,-0.58332,-0.15427,0.037294,-0.12084,0.3508,-0.044176,-2.5125e-15
"F15.4",-1.2177,2.5401,-0.92649,0.2186,-1.2337,0.069225,-0.39082,1.26,-2.777,-0.29567,0.65061,-1.2671,0.14429,-1.8292,2.2211,-2.537e-16
"X15.1",-4.0181,0.77339,-1.4144,-0.26222,-0.79128,-0.45936,-0.77306,-1.3782,1.5625,0.4047,1.2824,0.84622,2.6262,-2.14,-1.1693,1.7633e-15
"X15.2",-3.1972,2.7041,-0.27441,-0.70834,-1.4066,0.051951,0.392,-1.3182,0.9064,1.6685,-0.70384,-1.1884,1.3806,2.6951,1.2821,-3.6603e-16
"X15.3",-4.7505,-4.0567,-3.4013,0.028923,1.7508,-2.1037,1.2011,-1.2691,-0.92921,-0.54917,-2.3092,-0.92331,-0.37998,-0.25059,-0.24779,1.298e-15
"X15.4",-2.5273,-1.6293,7.2105,0.81684,0.043404,-1.518,-1.1521,-1.0916,0.10446,0.46254,-0.33279,-0.79866,-0.62518,-0.65978,0.065014,-3.1286e-15
