"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK.2","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas"
"M697.459T1191.472","-0.045553941","-0.304993810","-0.221163029"," 0.084465626"," 0.324035727","-0.100913299"," 1.264244572","-0.091800935","-0.326875234","-0.022583878","-0.455407474","-1.432125618"," 0.289175656"," 0.064358923"," 0.079855758"," 0.395329404","-2.384118023"," 0.451996881"," 0.275544033"," 0.424537458","-1.273771491"," 0.317501391"," 0.513944114"," 0.778534281"," 0.801470552"," 0.492080678"," 0.438856854"," 0.387036653"," 0.262338692","-0.864436898"," 0.439499961"," 0.664930147"," 0.414186434"," 0.613171777"," 0.428267838"," 0.696472768"," 0.658870735"," 0.165171886","-1.314967594"," 0.394379927","-1.481192496","-1.628534074","-2.456672594","-0.003400789","-1.171313006","-0.116471730"," 1.152822109"," 1.307792633"," 0.640294215"," 0.475128228"
"M695.447T1189.727","-0.024965856"," 0.026919634"," 0.140750839"," 0.106568331"," 0.163742573"," 0.032746861"," 0.341012176"," 0.042392374"," 0.094152853"," 0.151351959","-0.005442527","-1.457166289"," 0.097529784"," 0.067404192"," 0.012889144"," 0.250882960","-1.236388310"," 0.269252751"," 0.345527439"," 0.266886638","-1.034688680"," 0.368709842"," 0.357677182"," 0.535887988"," 0.654857187"," 0.275818677"," 0.242461043"," 0.273005808"," 0.174508021","-0.962609839"," 0.240670109"," 0.482304486"," 0.496495102"," 0.415789687"," 0.228269038"," 0.497263574"," 0.400528551"," 0.210518213","-1.128166705"," 0.154755521","-1.379599073","-1.139624868","-1.258917721","-0.212394012","-1.209986352"," 0.025874771"," 0.894121057"," 1.191019334"," 0.425023813"," 0.094380722"
"M917.581T1308.231"," 0.01745202"," 0.13707878"," 0.45829604"," 0.13697716"," 0.22349185"," 0.18320493"," 0.49582179","-0.01794283"," 0.10815657","-0.27556991","-0.50937631","-0.97541701"," 0.19662405"," 0.44720244","-0.07309426"," 0.25171732","-1.60337510"," 0.36779322"," 0.45539206"," 0.19247884","-0.77371615"," 0.09249262"," 0.31894495"," 0.23609225"," 0.63469592"," 0.65609865"," 0.25925216"," 0.15521622"," 0.33297496","-1.52662381"," 0.16142135"," 0.49329860"," 0.73771848"," 0.31503830"," 0.62952809"," 0.41715149"," 0.27988048"," 0.46425916","-2.63279779"," 0.20864581","-1.63468516","-0.80743636","-1.13168161"," 0.17068635","-0.90480017"," 0.01628723"," 1.00354615"," 0.72790215"," 0.47917612"," 0.40452190"
"M810.529T1306.211"," 0.28091531","-0.16829300"," 0.31598508"," 0.34209373"," 0.26466953"," 0.22812159","-0.13173311"," 0.26340564"," 0.18323980"," 0.24187323","-0.21904128","-1.20378238"," 0.57749482"," 0.31409266"," 0.27491123"," 0.34257650","-0.86218090"," 0.34541063"," 0.34660486"," 0.20087654","-0.82155295"," 0.18019760"," 0.28651096"," 0.33738856"," 0.44015338"," 0.46801992"," 0.38546568"," 0.16846130"," 0.24111310","-0.69065122"," 0.40237820"," 0.33800715"," 0.44471468"," 0.50950787"," 0.10569591"," 0.04034205"," 0.19442340"," 0.16059817","-0.65617374"," 0.28135759","-1.80810776","-0.60547427","-0.89291249","-0.36346125","-1.16412459","-0.09857328"," 0.15275284"," 0.24650578"," 0.25519668","-0.47499971"
"M385.182T1540.093"," 0.476321586"," 0.907200485"," 0.114028214"," 0.534837247"," 0.179539908"," 0.070369208"," 0.122709409","-0.333441002","-0.112136076"," 0.558198129","-0.131734279","-0.355877460"," 0.348011669"," 0.190494201"," 1.215650831"," 0.103634623","-0.200965008","-0.140337304"," 0.071474504"," 0.003948462","-0.245291793"," 0.158187800"," 0.377817770","-0.030606517"," 0.275766967","-0.331313836","-0.224513313"," 0.477713879"," 0.283669923"," 0.013569764"," 0.131750389"," 0.422195043","-0.123571683"," 0.305839158","-0.289751635","-0.222807300","-0.060235427","-0.344750967","-0.026235947","-0.132734268","-0.360129162","-0.569569149","-0.496368494","-0.316192457","-0.552368164","-0.394223632","-0.212506256","-0.390147775","-0.150265886","-0.594854379"
"M441.228T1306.216"," 0.35880067"," 0.36814254"," 0.54083816"," 0.49140348"," 0.22101239"," 0.40654260"," 0.24222299"," 0.12321486"," 0.29216895"," 0.44578561","-0.04534793","-1.08081465"," 0.43413076"," 0.34866245"," 0.34589486"," 0.24264232","-1.01705224"," 0.17002325"," 0.37703799"," 0.31300702","-0.90126136"," 0.35219913"," 0.50909462"," 0.10725886"," 0.24235767"," 0.25749722"," 0.16689605"," 0.26329605"," 0.23274547","-1.01924152"," 0.39858000"," 0.24316261"," 0.39360921"," 0.35595263"," 0.27209137"," 0.29295272"," 0.32369993"," 0.30501339","-1.13689333","-0.28134723","-0.96445148","-1.17560765","-1.14575774","-0.21621161","-1.10003207","-0.02449059","-0.10177587"," 0.07314839","-0.26835182","-0.03244915"
"M711.445T1221.644"," 0.028372731","-0.002752657","-0.019521110"," 0.248925763"," 0.312549272","-0.014444152"," 0.447160285","-0.009047257","-0.148536159"," 0.014933952","-0.137768502","-1.143323585"," 0.109231574"," 0.094622800","-0.041298408"," 0.221842409","-1.429911709"," 0.208858943"," 0.308881315"," 0.351067775","-0.977270706"," 0.237876189"," 0.429826970"," 0.662610999"," 0.687763774"," 0.382580028"," 0.255983102"," 0.570593833"," 0.203688000","-0.869927735"," 0.208944113"," 0.846906423"," 0.593564739"," 0.474587376"," 0.403779552"," 0.441456132"," 0.491503452"," 0.159176873","-1.877249644"," 0.587703268","-1.181667860","-1.423610387","-1.352305087","-0.243071638","-1.425860395","-0.021763544"," 0.657563587"," 0.932639855"," 0.575755256"," 0.168380195"
"M557.468T1423.166"," 0.02277744"," 0.71630098"," 0.20952647"," 0.35100319"," 0.05460714","-0.16147915","-0.04673801"," 0.03804501"," 0.09607333","-0.15906414","-0.56412597","-1.30210435"," 0.56616114"," 0.40498821"," 0.23256041"," 0.55438506","-1.56488405"," 0.26842745"," 0.51388492"," 0.35359710","-1.00138952"," 0.06381820"," 0.42982748"," 0.52221200"," 0.84489402"," 0.60235804"," 0.38648788"," 0.49980715"," 0.54666419","-1.59649340"," 0.38744491"," 0.70045479"," 0.50582547"," 0.34877416"," 0.13430574"," 0.17201400"," 0.26100727"," 0.35044085","-1.37674355"," 0.30397883","-1.12818268","-1.07478905","-1.42977672","-0.35630759","-1.40006515"," 0.18188742"," 0.37935289"," 0.26570990"," 0.52488337"," 0.36765694"
"M679.436T1338.726","-0.1421419603","-0.2379527657","-0.0718858900"," 0.0512064100"," 0.0659007749","-0.1150812135"," 0.0739104420","-0.2922489159","-0.1718732621","-0.4674473308","-0.4125825275","-0.9488362084"," 0.2505506947"," 0.0006776849","-0.1207408771"," 0.1704509540","-0.5065024265"," 0.2315122457"," 0.4413860674"," 0.2675613162","-0.9031289119"," 0.0904151366"," 0.3903052639"," 0.6964729677"," 0.7231324158"," 0.3628423834"," 0.2769181469"," 0.7473535886"," 0.4654104737","-0.8348411419"," 0.4905940823"," 0.9878485721"," 0.4419339328"," 0.4536492788"," 0.2301107276"," 0.2370689042"," 0.3655033935"," 0.1676830056","-1.0990788196"," 0.6508404193","-1.1554434204","-1.0742155429","-1.2550773362","-0.4994378100","-1.0833603345","-0.0009646110"," 0.5638158311"," 0.8663874734"," 0.4145387159"," 0.2168600029"
