"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"M697.459T1191.472",-0.032647,-0.0011458,0.030748,-0.014976,0.026257,0.013929,-0.03221,-0.029261,-9.4757e-05,0.0072334,-0.071632,0.0065508,0.021674,0.0095268,-0.023356,0.006523,0.033171,-0.0034542,-0.01805,0.00017388,-0.0007792,0.0032004,-0.0076027,0.042595,-0.040127,-0.0048936,0.02901,0.02854,0.0061674,0.016793,0.015096,-0.024888,-0.0026606,0.0019763,-0.011074,0.042837,0.014718,0.016519,0.0040324,0.025049,-0.0013594,-0.032256,0.016204,0.020086,0.012195,-0.0040723,0.016402,0.016756,-0.012871,-0.01916
"M695.447T1189.727",-0.02513,-0.002625,0.015397,-0.0057536,0.017195,0.0026977,-0.0068169,-0.009077,0.0014415,-0.015621,-0.026896,0.010438,-0.00080809,0.010668,-0.012745,0.0015815,-0.023683,-0.0095605,-0.007339,0.0040052,-0.028224,0.018466,0.0013554,-0.014211,0.0016832,-0.0031484,0.01142,0.028861,0.013617,0.020735,0.014047,-0.021676,-0.017626,-0.001249,-0.0015561,0.019218,0.0041291,0.014436,0.0054069,-0.0038184,-0.0016123,0.0020834,0.010283,-0.0048291,-0.0052584,-0.028657,0.0064377,0.006134,0.023803,0.23927
"M917.581T1308.231",-0.027225,0.010571,0.016709,-0.0011431,0.032496,0.020051,0.02752,-0.0049296,-0.036854,-0.030765,-0.036909,-0.0072628,0.016256,-0.0038837,0.025333,-0.049388,-0.0052756,0.023355,0.0058832,-0.027567,-0.024846,-0.0067743,0.021522,0.0057136,-0.00055979,0.017085,0.023726,0.0052173,-0.004784,-0.023312,-0.002732,-0.0014459,-0.01454,0.038975,-0.028893,0.019007,0.0022885,-0.0026418,0.0059086,0.024724,0.0035962,0.0030798,0.0041732,-0.0051769,-0.026082,-0.033007,-0.0040774,0.0088405,-0.016157,0.26069
"M810.529T1306.211",-0.020939,0.0018329,-0.0097941,-0.00011938,0.0067756,-0.0043808,0.011281,-0.0065467,-0.0034398,-0.014875,0.020329,0.010491,0.022913,0.023705,-0.0088584,0.040797,-0.011805,-0.015186,0.0033399,0.011842,0.0087718,-0.0023483,-0.011559,0.0010788,0.037619,5.8997e-06,0.018553,0.014738,-0.003605,0.011165,0.0020339,-0.0031517,0.0010101,0.00020471,-0.014815,-0.0012379,0.0057246,-0.01397,0.0015524,0.009332,-0.0080356,0.012728,-0.038113,0.041164,-0.0033788,-0.0088633,0.0031266,-0.010654,-0.020666,0.19461
"M385.182T1540.093",-0.0064886,-0.0048936,-0.008327,0.0097312,0.019539,-0.026012,-0.00035439,-0.0061956,0.033571,0.013382,0.038307,0.0079355,0.011412,0.030863,0.028141,0.0079091,0.034024,-0.029307,0.041687,0.039451,0.040581,-0.0018814,-0.060603,0.0020969,0.0040321,-0.0032566,-0.032481,-0.032708,-0.0094867,0.0049206,0.034375,0.0096664,0.0073976,-0.0056664,-0.023942,-0.0043783,-0.011828,0.020991,-0.038175,-0.0061323,-0.026627,0.030022,-0.010062,-0.043504,0.046599,0.058116,-0.083281,0.056303,0.028851,-0.21331
"M441.228T1306.216",-0.021036,-0.0061242,-0.0059625,0.025479,0.024176,-0.001739,0.012805,-0.0012847,-0.00027097,0.017871,-0.0021566,-0.0033151,-0.0076588,0.015256,0.010495,-0.0010821,0.009609,-0.015402,0.02634,-0.0049231,0.017029,0.0017318,-0.0014321,-0.014849,0.01192,0.0024941,0.0062992,0.0039039,-0.0066992,-0.0043587,-0.0035074,-0.0019131,-0.016048,0.010695,-0.007028,0.0097342,0.0012861,0.011877,0.011571,0.015675,-0.011176,0.0074819,-0.0061951,0.011038,0.0026314,0.0067989,-0.0010905,0.0081239,0.016559,-0.15259
"M711.445T1221.644",-0.027255,-0.0023036,0.0087087,-0.012921,0.022961,0.0016471,-0.012639,-0.019578,-0.0063265,-0.018736,-0.037399,-0.0076825,0.00065092,0.008357,0.002439,-0.045252,0.0025317,-0.0052872,-0.015906,0.0014434,-0.016124,0.0060259,-0.00032769,0.023091,0.001574,0.020881,0.026907,-0.0025163,0.010605,0.022098,0.0028089,-0.017312,-0.021603,-0.0048366,-0.0058007,0.0010867,-0.00077221,0.016679,0.0010461,-0.010141,-0.0041441,0.0038765,0.0002681,-0.023361,-0.0022092,-0.013121,0.014794,0.0080011,0.022034,0.62176
"M557.468T1423.166",-0.027294,0.0075438,-0.0056461,-0.0012285,0.023669,-0.0030843,0.020581,-0.026537,-0.0056984,0.0010553,-0.045988,-0.0020024,-0.0091522,-0.0094927,0.017879,-0.016522,-0.017527,-0.00081671,0.0071577,0.042637,0.018046,0.0054138,-0.026028,0.0031237,-0.0022976,-0.013532,-0.025004,-0.015458,-0.011746,-0.013103,0.0022982,0.010562,0.014851,0.0010485,0.0032261,0.037094,0.010347,-0.0087227,-0.0053253,0.0094147,-0.011645,-0.0076887,0.022244,0.0042157,0.006274,-0.024124,-0.026273,-0.0025015,0.0048281,-0.1933
"M679.436T1338.726",-0.021606,-0.00076997,-0.0014682,-0.0297,0.023872,-0.0024272,-0.010097,-0.036488,-0.0058097,-0.028782,-0.029996,-0.016213,-0.02102,-0.024218,0.0024098,0.0050903,-0.008443,-0.012821,-0.0067227,-0.003043,-0.012413,-2.0118e-05,-0.0061095,0.0035585,0.0047751,-0.0002446,0.014187,0.011075,0.0057583,0.024981,0.014316,-0.025935,0.0012236,-0.0054616,-0.01691,0.0085399,-0.0078076,0.012357,-0.01165,-0.0023381,-0.0044948,0.009343,0.0067163,-0.006121,0.0017807,-0.0096003,0.020192,0.0038272,0.011249,-0.10543
"M589.459T1372.544",-0.024825,0.0067421,0.00087586,-0.033747,0.044548,0.0015403,0.0061064,-0.043818,-0.013592,-0.043069,-0.058122,-0.029538,0.056485,0.0090822,-0.0070284,0.055096,-0.011642,-0.010153,-0.013927,0.017462,-0.013281,0.031133,-0.030737,0.0037935,-0.032492,0.03273,-0.027543,0.0237,0.033508,0.015049,-0.019652,0.028212,0.013695,0.00079528,0.025867,0.048176,0.029758,7.242e-05,0.0024907,0.0065771,-0.01982,-0.0021762,0.02833,-0.0066307,-0.025942,-0.021781,-0.0054328,0.0073204,0.007602,-0.11717
