"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"C9.1",-3.2652,-9.488,-2.1725,7.1173,0.39453,3.274,-2.5711,2.7408,-4.1608,0.54506,-0.11392,1.0752,-0.34725,1.3556,-0.27728,-0.50928,1.5116,-0.35304,-0.77242,1.503,0.19349,-0.85713,-2.5,-0.36887,3.5234,0.7526,1.8386,-0.42369,-3.9956,-0.40523,3.772,0.4408,1.6658,-0.79513,-0.79626,-0.82644,-1.5084,-0.32052,-1.1176,0.29882,0.049602,1.0121,0.3451,0.86302,-0.31217,-0.49751,-0.27205,1.2652,0.080281,2.3412e-15
"C9.2",4.7498,5.0927,-0.60486,10.499,10.586,0.71012,2.8786,-2.3841,4.026,-0.79075,0.61192,0.67826,-0.61324,0.73539,-0.23056,-3.5002,-1.6587,0.7438,-1.0832,3.8106,0.5921,2.1785,-4.8556,-2.3566,-2.3161,1.5366,-3.1355,-0.84961,0.89079,-0.57224,-0.68194,0.94197,-0.159,0.18992,-0.55731,0.08545,0.11725,0.40382,-0.98539,0.32359,0.065136,0.33228,0.35896,-0.17197,-0.2833,-0.48063,-0.81517,-0.037229,0.090753,1.0146e-15
"C9.3",-8.273,2.1428,-3.7725,3.3772,1.6977,4.8298,6.367,-1.0392,3.8072,1.2707,1.4935,-0.86674,0.84581,1.3921,-0.71965,-0.087366,0.60822,-0.24202,1.6953,-1.272,1.3998,-1.395,1.3525,-1.9424,3.0709,-0.76405,-0.32967,1.1179,-0.12417,0.56827,1.4754,-0.19315,-0.73303,3.2752,-0.67329,-1.7914,0.75314,0.60747,1.2801,0.00072785,2.0451,-0.99587,1.8889,-1.3741,-0.55049,-0.94718,-0.35756,-1.1406,0.28666,1.8084e-15
"C9.4",-7.8165,-2.7512,-4.881,2.6734,5.9065,-2.1706,3.3993,-0.36703,1.949,2.5,2.0953,0.2615,0.40195,0.092403,1.2977,0.17526,1.5922,0.415,-0.75156,3.3561,-1.7265,-0.47685,0.75399,0.38838,-0.39091,0.20778,2.7538,-0.37019,-1.7655,2.5009,-1.5198,0.40638,1.4853,1.3712,0.54444,1.0217,1.3623,-1.4286,2.2386,-1.4031,-0.44437,-0.76735,-1.8171,-1.0378,-0.52768,0.75477,-0.23306,1.606,1.0476,-1.9164e-15
"D9.1",-10.653,5.3033,0.45151,5.4459,-1.6419,-1.1818,-1.8629,2.5735,0.75072,-1.6136,0.57006,0.9599,0.87683,-1.0322,2.731,1.5047,2.8396,-1.7044,-0.84134,2.4963,1.1578,0.5533,1.4837,1.2477,0.083691,1.0002,2.4013,-1.0756,3.2988,2.2496,0.12272,1.9122,-2.2176,0.53461,-0.2997,0.51885,-2.0935,-1.0449,-1.9278,1.1079,0.94851,-0.011942,0.70962,-1.016,-1.1953,-0.071778,1.4767,0.18078,-0.53499,5.4749e-15
"D9.2",-6.0548,-9.2505,-2.7898,4.9446,3.5786,1.395,-4.524,1.3512,-0.76127,0.030571,1.597,0.53639,2.127,0.83994,1.2525,1.1247,-0.73337,4.0702,2.5354,-0.18027,1.4072,1.8026,2.9297,-1.4108,-0.81699,0.53359,-1.0717,-0.21135,-0.75997,-0.43362,-2.1897,-2.262,-0.051236,1.8959,-1.5464,-1.8699,-1.4132,-1.8057,0.010681,-0.67352,-1.0343,1.8688,-0.21801,0.67997,0.98374,-0.23583,1.3686,0.05596,-0.46417,3.3223e-15
"D9.3",-8.3908,-17.86,19.928,-6.6928,8.6241,6.0017,1.5355,5.1354,-0.73971,4.6042,2.5555,0.26047,-0.87853,-0.15041,-2.9708,0.13425,1.5099,1.088,0.5407,-0.78049,3.2834,-2.8748,-1.3301,3.6993,-1.7642,1.2697,-0.075215,-0.60853,1.1299,-0.74316,0.053508,-0.016758,-0.1459,0.26403,0.62183,0.31595,0.1552,-0.17835,0.13805,-0.096839,0.32013,-0.044532,0.099794,-0.079505,0.07684,-0.063689,0.15435,0.099798,-0.014306,-1.5302e-14
"D9.4",-10.12,3.6626,0.31479,3.9546,-6.8807,6.2296,2.6414,1.1105,2.2513,-0.045066,0.68412,-0.44901,0.94761,-0.38544,-1.8292,-0.72955,-0.25975,-0.10614,0.16416,2.2088,-0.16755,-0.63293,0.75053,-0.33381,0.033456,-0.82784,0.099721,-2.0735,-0.10694,-0.27928,-1.0443,-0.57706,-1.7394,-0.81087,2.2921,-2.0676,-1.5607,1.0977,0.024401,-0.44527,0.86813,-1.7536,-2.4188,2.8666,0.059969,-0.69721,0.054012,-0.26319,1.0362,2.6194e-15
"F9.1",-8.7917,-1.8327,-4.3131,1.8212,-3.687,-5.0889,6.6499,5.7483,-4.4361,0.47941,1.5877,-0.95351,-0.59471,-0.13287,-2.1326,-0.20212,0.63962,-0.46988,-0.24664,-0.37094,1.0197,1.5827,-1.6806,-2.0331,-2.6779,-2.5458,0.58449,2.0467,-1.0493,-1.5939,0.83541,-1.2952,-1.9081,-0.73708,0.30003,1.5157,-1.7153,0.25711,1.2241,-1.5871,-0.31052,-0.23021,-0.2543,-1.3602,-1.0101,-0.67186,1.0601,0.1795,-1.1299,7.4524e-15
"F9.2",-15.242,-8.5841,-0.86655,4.6487,-7.0766,-0.87603,-2.5838,3.2223,2.4396,4.6168,3.2844,0.12041,2.526,1.6791,1.6165,0.3944,0.32093,-0.033303,0.88759,-0.64699,-2.5141,1.8135,-0.91534,0.79662,0.77599,0.35661,-0.41927,0.73455,0.96709,-2.5335,0.31628,2.1387,-3.1531,-1.6016,-0.90759,-0.85003,2.4305,-0.8063,0.6952,-0.23449,-0.77924,0.11248,0.89229,-0.011201,0.65967,0.65731,-0.18902,0.75189,1.3877,5.704e-15
