"",F.stat,p.value,-log10(p),FDR
M619.438T1245.233,56.847,7.6799e-07,6.1146,0.0017595
M392.284T1436.378,42.884,2.9037e-06,5.5371,0.0033262
M443.333T1262.042,30.104,1.4887e-05,4.8272,0.011368
M441.224T1179.269,25.74,3.0215e-05,4.5198,0.017305
M545.37T1372.761,23.141,4.8568e-05,4.3136,0.020469
M399.308T1262.042,22.104,5.9486e-05,4.2256,0.020469
M609.455T1145.906,21.854,6.2543e-05,4.2038,0.020469
M535.447T1540.43,19.877,9.4714e-05,4.0236,0.027124
M465.265T1237.073,18.063,0.00014322,3.844,0.036457
M722.259T892.9,14.375,0.00037535,3.4256,0.082465
M542.478T1573.977,14.19,0.00039595,3.4024,0.082465
M535.409T1440.116,13.708,0.00045646,3.3406,0.087146
M479.188T913.185,12.51,0.00066226,3.179,0.11671
M771.504T1195.638,11.617,0.00089087,3.0502,0.14578
M455.315T1295.888,11.196,0.001031,2.9868,0.15228
M330.263T1492.022,11.108,0.0010635,2.9733,0.15228
M549.431T1507.08,10.607,0.0012742,2.8948,0.16928
M504.265T1099.137,10.308,0.0014236,2.8466,0.16928
M341.283T1305.932,10.256,0.0014518,2.8381,0.16928
M449.365T1540.699,10.209,0.0014778,2.8304,0.16928
M449.347T1490.033,10.002,0.0015985,2.7963,0.17439
M541.474T1573.977,9.6517,0.0018322,2.737,0.1908
M691.433T1253.346,8.6675,0.0027441,2.5616,0.24901
M808.52T1220.972,8.6226,0.0027974,2.5532,0.24901
M331.187T1104.601,8.5955,0.0028301,2.5482,0.24901
M569.292T994.771,8.5287,0.0029127,2.5357,0.24901
M847.517T1163.004,8.5114,0.0029346,2.5324,0.24901
M329.158T1625.781,8.3204,0.0031898,2.4962,0.25914
M576.533T1641.124,8.2502,0.0032902,2.4828,0.25914
M330.263T1439.913,8.1806,0.0033934,2.4694,0.25914
M575.481T1540.694,7.9262,0.0038055,2.4196,0.27304
M477.407T1590.788,7.8608,0.0039209,2.4066,0.27304
M575.479T1473.048,7.8541,0.0039329,2.4053,0.27304
M986.591T1195.638,7.7684,0.0040912,2.3882,0.27567
