"","QC.1","QC.2","QC.3","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M697.459T1191.472","-0.07501006","-0.47554549","-0.13734100","-0.38030527"," 0.06560576"," 0.66620665"," 0.71827036"," 0.01597731","-0.10483699","-0.22246517","-0.50552068","-0.10337718"," 0.40833334","-0.16083709"," 0.29084551"
"M695.447T1189.727","-0.195139989","-0.031103494","-0.200228557"," 0.018752628","-0.004974233"," 0.378286282"," 0.634141680","-0.181019296","-0.252758290","-0.187068658","-0.398898195","-0.256609876"," 0.263049497"," 0.293567865"," 0.120002636"
"M917.581T1308.231"," 0.01376101"," 0.18120047","-0.32134095","-0.51245806","-0.07960925","-0.23797677"," 0.52392808"," 0.56483800","-0.19370813","-0.39256602","-0.05279181","-0.38070532"," 0.25365634"," 0.72084897","-0.08707657"
"M810.529T1306.211"," 0.012755124"," 0.015401243","-0.307494902","-0.353314073","-0.117751252","-0.005019688"," 0.222680490"," 0.284425501"," 0.101506737","-0.379318664","-0.218341140"," 0.138980489","-0.003649064"," 0.232787155"," 0.376352045"
"M385.182T1540.093","-0.30849621","-0.04803220","-0.13106867"," 0.05859874"," 0.32867670","-0.17356077"," 0.20318530","-0.54333917","-0.41200706"," 0.45151848"," 0.21290353"," 0.02608877"," 0.38324723","-0.28787960"," 0.24016493"
"M441.228T1306.216","-0.27374938"," 0.19015953"," 0.04666957"," 0.13449699"," 0.48609135","-0.41440099","-0.11165181","-0.07772491","-0.28075726","-0.06473004","-0.13319224"," 0.23843403","-0.10984799"," 0.22729475"," 0.14290838"
"M711.445T1221.644","-0.399360647","-0.217287600","-0.140494607","-0.346539882"," 0.002872587"," 0.426614768"," 0.472400949","-0.083132119","-0.313579446"," 0.259113781","-0.408773435","-0.399205611"," 0.762092014"," 0.300928254"," 0.084350995"
"M557.468T1423.166","-0.37852886"," 0.09421870","-0.21449334","-0.77260335","-0.06767472"," 0.11025655"," 0.73173751"," 0.26461668","-0.15114616"," 0.06710513"," 0.15735112","-0.14930294"," 0.45354962"," 0.07869633","-0.22378226"
"M679.436T1338.726","-0.37621963","-0.04673580","-0.31962569","-0.59772995","-0.12692826"," 0.35372867"," 0.39558171","-0.17004262","-0.30493628"," 0.43360687","-0.00901955"," 0.03051655"," 0.81116329","-0.04587570","-0.02748361"
"M589.459T1372.544","-0.36715836","-0.17931807","-0.60600401","-0.57202007","-0.30935892"," 0.49692301"," 0.56077861","-0.09145646","-0.16425318"," 0.22410163"," 0.21509116","-0.08605239"," 0.68164999"," 0.16354191"," 0.03353516"
"M681.469T1408.485","-0.30405762","-0.11964435","-0.29157601","-0.71362696","-0.28485986"," 0.42246914"," 0.29894600","-0.33060858","-0.22642625"," 0.43040346"," 0.07927996"," 0.48383038"," 0.69778931","-0.08448467","-0.05743396"
"M695.451T1225.817","-0.31084913","-0.08441656","-0.29376923","-0.27958110","-0.21312168"," 0.36882246"," 0.43253920"," 0.05004384","-0.29683385"," 0.27720982","-0.25940613","-0.20487293"," 0.72773379"," 0.03978257"," 0.04671893"
"M285.134T1052.907","-0.13768933"," 0.07613884","-0.18687718"," 0.20883862"," 0.41724067","-0.17693417"," 0.50062507"," 0.27654061","-0.18911170","-1.10597324","-0.57359220","-0.23071051"," 0.19849556"," 0.37826315"," 0.54474581"
"M681.469T1389.183","-0.30958267","-0.11860993","-0.31585658","-0.69402039","-0.27875764"," 0.44183519"," 0.32079294","-0.32288108","-0.22997378"," 0.46250904"," 0.11410450"," 0.34569474"," 0.71958062","-0.07056176","-0.06427319"
"M680.474T1439.81","-0.299983122","-0.135346927","-0.195938988","-0.532977290","-0.234614934"," 0.120851421"," 0.118547392","-0.083909094","-0.262733867"," 0.241837827","-0.007326817"," 1.112329106"," 0.489860307","-0.017251391","-0.313343626"
"M574.467T1456.399","-0.41366238"," 0.01265461","-0.20402739","-0.58887876","-0.24508422"," 0.41689353"," 0.12254496"," 0.05800085","-0.31451314"," 0.59440378"," 0.34473211"," 0.02195166"," 0.44702070","-0.27028817"," 0.01825187"
"M565.421T1295.888","-0.42952627","-0.27216952","-0.40387015","-0.47748183"," 0.09501380"," 0.12548944"," 0.31283018","-0.17174350","-0.02939822"," 0.38769950","-0.22902526"," 0.57608993"," 0.55805717","-0.17204613"," 0.13008086"
"M681.474T1424.253","-0.31032972","-0.09527842","-0.29921210","-0.74331190","-0.31819644"," 0.40013895"," 0.29435108","-0.32809834","-0.22168950"," 0.43165571"," 0.13885185"," 0.52989884"," 0.69077912","-0.10500168","-0.06455744"
"M569.292T994.771","-0.030359907"," 0.108024205","-0.008482074"," 0.151566654"," 0.244081836","-0.102809324"," 0.201201678"," 0.285640747","-0.135819545","-1.030021318","-0.536600927","-0.342402534"," 0.138084569"," 0.430056455"," 0.627839485"
"M989.67T1341.992","-0.4126542","-0.1884553"," 0.6182497","-0.3276494"," 0.1149247"," 0.5593301"," 0.3760920","-0.4202723","-0.2815824","-0.4547455","-0.6703809","-0.2199638"," 0.1368192"," 0.8324746"," 0.3378135"
"M379.265T1245.233"," 0.105128094","-0.056402727"," 0.018955709"," 0.093225099"," 0.639549180","-0.110669152"," 0.166665114","-0.121573785","-0.017318390","-0.319161631","-0.545135927"," 0.100201225","-0.016048665"," 0.069289027","-0.006703171"
"M679.452T1355.733","-0.398807629"," 0.001612697","-0.349739868","-0.611681720","-0.049663323"," 0.345464240"," 0.301584708","-0.088502595","-0.321326317"," 0.424040400","-0.011963030"," 0.005463735"," 0.790506535"," 0.023463508","-0.060451341"
"M713.46T1208.68","-0.01018921","-0.06094362","-0.06323564","-0.41581260","-0.22613939"," 0.74261368"," 0.88058172","-0.32299214","-0.01060125"," 0.03717998","-0.93507472","-0.12937810"," 0.31230950","-0.12874444"," 0.33042623"
"M711.444T1322.388","-0.31742541","-0.20472114","-0.16780861","-0.40577482","-0.05239250"," 0.33501419"," 0.48509117","-0.15251687","-0.36002882"," 0.26270050","-0.14857913","-0.18384503"," 0.64410258"," 0.19627872"," 0.06990517"
"M637.414T1384.421","-0.40499641","-0.11214478","-0.37134060","-0.30841969","-0.19724067"," 0.27568779"," 0.22269545","-0.17945581","-0.02543740"," 0.27601423"," 0.03581560"," 0.15915102"," 0.54223834"," 0.01361304"," 0.07381990"
"M637.411T1406.122","-0.471786693"," 0.006896422","-0.345634497","-0.367263686","-0.060747338"," 0.249010295"," 0.188473967","-0.249600945","-0.050748967"," 0.258511875"," 0.059239966"," 0.206295636"," 0.519187637"," 0.066304582","-0.008138253"
"M729.452T1109.944","-0.04640323","-0.06037326","-0.25808468"," 0.32282233","-0.11476993"," 0.67040847"," 0.59572542","-0.13091983","-0.52384183","-0.17357660","-0.65705011","-0.15865428"," 0.52709890","-0.12367921"," 0.13129784"
"M571.365T1456.373","-0.13378484","-0.20020370","-0.22076105","-0.03271107","-0.38813912"," 0.12647528"," 0.29279164"," 0.15906606","-0.21226927"," 0.38370849"," 0.07500706","-0.23123974"," 0.26101954","-0.02228176"," 0.14332247"
"M865.579T1358.969"," 0.10448356","-0.42596064","-1.05152230"," 0.55769424"," 0.05115215"," 0.27359151","-0.44057516"," 1.38143542"," 0.06721943","-0.68614400","-0.41550254"," 0.30857737"," 0.09541684"," 0.15317801"," 0.02695611"
"M867.584T1358.969"," 0.174332454","-0.086343818","-0.003503286"," 0.207587143"," 0.262973452"," 0.683432760"," 0.743904471"," 0.483567002"," 0.182502199","-1.013945962","-0.048482012","-1.966628504"," 0.222747657"," 0.128650707"," 0.029205736"
"M682.472T1373.006","-0.17780615","-0.15269384","-0.29821201","-0.69991477","-0.11199139"," 0.38928555"," 0.42133695","-0.49075274","-0.24711799"," 0.45766652"," 0.16413424"," 0.20844343"," 0.65052550","-0.17931913"," 0.06641583"
"M589.459T1264.044","-0.347060648","-0.647137611","-0.164943974"," 0.143505860"," 0.153719479"," 0.391666484"," 0.454040354"," 0.091949172","-0.215080716"," 0.008879073"," 0.184708555","-0.515153215"," 0.595148287","-0.089803579","-0.044437523"
"M633.478T1401.37","-0.30368978"," 0.02097860","-0.42551259","-0.47384413"," 0.22586406","-0.02060967"," 0.40303311","-0.05514410","-0.34939173"," 0.01618844"," 0.22281468"," 0.57501087"," 0.21579536","-0.06438470"," 0.01289160"
"M646.455T1423.013","-0.32664287","-0.44939832","-0.07813204","-0.45635698","-0.19516168"," 0.22915793"," 0.11532922","-0.10354653","-0.41485770"," 0.63186526"," 0.18743100","-0.02716053"," 0.70245834"," 0.33366833","-0.14865343"
"M881.484T1273.289","-0.268259984"," 0.184739570","-0.154529677","-0.217876484"," 0.408290165","-0.393917436","-0.248981760","-0.152665151","-0.236520340"," 0.306505295","-0.110046638"," 0.414028788"," 0.008228912"," 0.051282318"," 0.409722422"
"M637.412T1422.711","-0.426663914"," 0.031912351","-0.328484758","-0.400111403","-0.041106392"," 0.224287621"," 0.193762103","-0.301784470","-0.017283604"," 0.277844936"," 0.069015560"," 0.225828513"," 0.475233374"," 0.011511160"," 0.006038922"
"M591.474T1330.445","-0.43532441","-0.16988675","-0.38864356","-0.56771996"," 0.09208829"," 0.21682574"," 0.26029471","-0.07096227","-0.10874638"," 0.31255056"," 0.31270179"," 0.26062984"," 0.51175824","-0.23716941"," 0.01160359"
"M645.45T1333.909","-0.4121639769","-0.3639603094","-0.2091485521","-0.2035062536"," 0.2335648709"," 0.0765259619"," 0.3129320594"," 0.1984776176","-0.2992608777"," 0.3537690494","-0.1358781928","-0.0131852592"," 0.4121568665"," 0.0500116209","-0.0003346249"
"M826.523T1305.342","-0.31780483"," 0.05765653","-0.22102731","-0.62350563"," 0.29964989","-0.15220523","-0.01039068"," 0.38649369","-0.08639366"," 0.15699685"," 0.09826733"," 0.04854871"," 0.03262684"," 0.28733536"," 0.04375213"
"M593.485T1401.37","-0.17790599","-0.03143879","-0.24857492","-0.49019567","-0.14572757","-0.10435669"," 0.10506770"," 0.15593389","-0.11900756"," 0.19900793"," 0.27338371"," 0.49170242"," 0.25651746","-0.35015862"," 0.18575269"
"M591.474T1402.346","-0.4407637699","-0.1463283618","-0.3819654205","-0.6584775531"," 0.1340060900"," 0.1701634615"," 0.2900858745","-0.0697616458","-0.0967686588"," 0.3222867069"," 0.2766849439"," 0.3075496789"," 0.5025015163","-0.2093865157"," 0.0001736536"
"M1123.351T817.469","-0.08403381"," 0.30349802","-0.22076993","-0.49553292"," 0.10960055"," 0.60133333"," 0.36064837","-0.15994986"," 0.26176000","-0.34155014","-0.31292643","-0.50856720"," 0.26539508"," 0.13180725"," 0.08928766"
"M645.458T1212.039","-0.366771395","-0.309505327","-0.202725513","-0.185983466"," 0.473697047"," 0.111654528"," 0.135152497"," 0.314584351","-0.310076323"," 0.182465524","-0.159965159","-0.194040037"," 0.391658239"," 0.122324256","-0.002469222"
"M555.363T1275.021"," 0.39855271","-0.50277514"," 0.20111219","-0.17562252","-0.01054320"," 0.64293675"," 0.04983134"," 0.48734993","-0.19392655","-0.18804129","-0.23777064","-0.44283014"," 0.14414053","-0.05792653","-0.11448744"
"M277.217T1187.469"," 0.59220013","-0.29790492"," 0.53294527"," 0.04734174","-0.39792740"," 0.49781563"," 0.34204511"," 0.76759256"," 0.27728981","-1.35679888","-0.39728619","-0.24850953","-0.86417766"," 0.24094955"," 0.26442479"
"M670.528T1488.279","-0.42761126","-0.03617333","-0.34872391","-0.43906668","-0.11848617"," 0.17464410"," 0.18433490","-0.32408638","-0.02186566"," 0.58192703"," 0.28263256"," 0.09699577"," 0.63862906","-0.11936154","-0.12378849"
"M679.449T1212.039","-0.13319817","-0.06690543","-0.18110748","-0.35262084","-0.10737312"," 0.37850385"," 0.47683970","-0.01151058","-0.32460605"," 0.14798872","-0.23979847","-0.22051997"," 0.64396172"," 0.01624767","-0.02590155"
"M697.464T1209.593","-0.24401485"," 0.05776989","-0.25567350","-0.85001517"," 0.27305534"," 0.38123386"," 0.28308836","-0.05489807","-0.37876263"," 0.28582686","-0.13509386","-0.08508717"," 0.42014969"," 0.14768150"," 0.15473975"
"M985.571T1146.934","-0.12731082","-0.01555293","-0.09174269"," 0.45621688"," 0.58400964"," 0.10450660","-0.42161151"," 0.21603377"," 0.20498265","-0.30196377","-0.18040806","-0.39344981","-0.15605696"," 0.16403918","-0.04169218"
"M424.216T1338.866"," 0.14752196","-0.52701400"," 0.27767655","-0.08828750","-0.38243314"," 0.03802715"," 0.10835634"," 0.43658652"," 0.07873648","-0.07123654","-0.43996363"," 0.26342722","-0.29962566"," 0.14029873"," 0.31792953"
"M565.409T1275.021","-0.48863666","-0.25382586","-0.34479477","-0.36381479"," 0.02380213"," 0.16122356"," 0.25193497","-0.11088848","-0.03568950"," 0.32414250","-0.26743304"," 0.55095853"," 0.56291335","-0.18163243"," 0.17174049"
"M698.466T1253.346","-0.33337076"," 0.13630497","-0.19322262","-0.67804181"," 0.08277618"," 0.34257528"," 0.33504846"," 0.02480494","-0.45511804"," 0.34225749","-0.04364535","-0.27416913"," 0.51738562"," 0.05277023"," 0.14364454"
"M661.446T1372.452","-0.33816441","-0.39966625","-0.20292694","-0.43682382"," 0.07325599"," 0.19552973"," 0.30965387","-0.09662204","-0.33734294"," 0.39104235","-0.01171548","-0.12104068"," 0.72806370"," 0.05664716"," 0.19010977"
"M695.45T1338.973","-0.32777522","-0.15387519","-0.27850783","-0.38802308","-0.30231015"," 0.42230893"," 0.33677059","-0.24981556","-0.27680629"," 0.47350051","-0.09135609"," 0.04998961"," 0.80859800","-0.11251788"," 0.08981965"
"M593.49T1490.213","-0.143781273","-0.007899743","-0.275284419","-0.493083855","-0.171904153","-0.131213695"," 0.128286279"," 0.150591654","-0.118524223"," 0.165516548"," 0.290998490"," 0.544916207"," 0.251864704","-0.340946112"," 0.150463590"
"M951.567T1289.006","-0.48768140","-0.08465191","-0.47256093","-0.04611013"," 0.48966155","-0.44316615"," 0.21884510","-0.06169320","-0.29881429","-0.08539911","-0.23982825"," 0.44480221"," 0.34188546"," 0.32771537"," 0.39699565"
"M593.489T1431.043","-0.16958657","-0.04414458","-0.25866334","-0.45678683","-0.13470041","-0.11219422"," 0.13416297"," 0.12593623","-0.09753531"," 0.19001260"," 0.24449867"," 0.53875726"," 0.24276963","-0.36003509"," 0.15750899"
"M639.424T1291.55","-0.35459342","-0.19583472","-0.41290272"," 0.01970459"," 0.37469136"," 0.25600017","-0.03578986","-0.15454454","-0.43864489"," 0.05452376"," 0.24496622"," 0.25034998"," 0.15398351"," 0.09056663"," 0.14752394"
