"","BLANK.2","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"sodium_formate","3680698","4066642","3879396","4076296","3985225","3922751","3861917","4036646","3843867","3845185","4021608","4043455","3773975","3345591","3565070","3815932","3878103","3825451"
"M697.459T1191.472","     0.000","147331.173"," 99500.000","139952.827","  4925.650","109223.737","157950.877","277117.269","276000.000","150678.262","142000.000","129000.000"," 94326.210","  9214.087","126038.528","209734.842","130477.612","190000.000"
"M695.447T1189.727"," 13450.29","126049.00","134000.00","125924.46"," 19392.73","140032.11","135717.61","182706.21","206000.00","120301.17","120000.00","126000.00","102252.78"," 18034.69","106107.26","160062.42","165981.27","146000.00"
"M917.581T1308.231","  2115.866"," 61374.969"," 67700.000"," 46004.327","  9064.565"," 37509.030"," 53751.262"," 48972.723"," 90300.000"," 93593.596"," 50700.000"," 42900.000"," 53763.315","  2184.188"," 38215.561"," 70911.576","108071.863"," 52900.000"
"M810.529T1306.211"," 48631.33","230287.02","220000.00","193932.61"," 55297.21","182034.03","203708.28","226389.08","244000.00","252420.10","239000.00","185000.00","188470.66"," 54354.63","216231.08","214170.32","247530.17","264000.00"
"M385.182T1540.093","148508.4","172891.3","198000.0","196275.2","154762.2","215765.7","256736.6","188657.0","234000.0","138642.9","159000.0","293000.0","231317.1","162434.2","191669.9","263580.5","167277.9","239000.0"
"M441.228T1306.216"," 43358.45","207081.44","255000.00","247598.95"," 54151.51","250071.34","298747.71","190244.10","214000.00","218107.68","204000.00","231000.00","207633.02"," 39304.64","240647.51","212655.78","260177.93","245000.00"
"M711.445T1221.644","  5467.375"," 77338.266"," 86200.000"," 96719.521"," 11971.511"," 78046.979","103578.250","155516.821","154000.000"," 95820.480"," 82300.000","135000.000"," 71197.308"," 11876.817"," 67808.492","195832.604","134190.509","110000.000"
"M557.468T1423.166"," 14892.10","292374.48","410000.00","334984.91"," 39046.76","204560.74","357704.93","432231.66","683000.00","466922.50","348000.00","418000.00","419916.39"," 12881.07","308958.32","540500.29","404711.33","312000.00"
"M679.436T1338.726","122476.95","359010.18","452000.00","377428.72"," 78495.64","287374.16","420579.58","658959.21","650000.00","403825.84","377000.00","706000.00","453907.66"," 72123.09","443298.43","915668.03","452176.76","453000.00"
"M589.459T1372.544","  3998.005","104409.026","118000.000"," 84365.090"," 22898.167"," 83715.581","104461.691","226027.719","228000.000","126610.206","124000.000","177000.000","163865.837"," 14712.663","117960.702","252427.935","160733.435","141000.000"
"M681.469T1408.485"," 112389.3"," 518672.1"," 584000.0"," 525769.5"," 133199.6"," 346225.4"," 501134.7"," 989238.8"," 843000.0"," 478860.8"," 550000.0"," 998000.0"," 679366.9"," 114663.1"," 923215.1","1197736.9"," 602551.0"," 609000.0"
"M695.451T1225.817"," 42074.50","225171.35","254000.00","228577.64"," 36154.26","222289.97","229877.84","369653.90","369000.00","278107.41","225000.00","346000.00","217077.04"," 29298.05","213507.89","455781.15","278365.79","276000.00"
"M285.134T1052.907","  2482.162","160927.146","191000.000","153403.204"," 10686.981","221176.579","269413.681","153462.067","292000.000","232329.913","151000.000"," 59500.000"," 95671.297","  3603.015","128288.515","212892.242","259981.006","304000.000"
"M681.469T1389.183"," 104816.6"," 504877.2"," 571000.0"," 503253.8"," 129317.7"," 345725.7"," 492815.8"," 979109.0"," 837000.0"," 471758.3"," 536000.0"," 999000.0"," 683519.2"," 107228.2"," 793714.2","1185554.2"," 595785.5"," 591000.0"
"M680.474T1439.81","185956.9","255051.3","283000.0","281276.6","202525.4","198656.0","257189.4","372540.9","354000.0","294066.0","261000.0","417000.0","309638.8","160746.4","817456.1","494146.7","315296.6","237000.0"
"M574.467T1456.399"," 19965.30","157050.07","210000.00","185858.48"," 39022.48","131861.67","170449.62","300977.47","227000.00","215760.32","168000.00","347000.00","265759.54"," 62281.96","194411.26","291392.10","167780.80","208000.00"
"M565.421T1295.888"," 18101.28"," 99801.86","108000.00","102116.58","285637.55"," 92641.57","144289.59","154545.94","171000.00","116017.41","136000.00","191000.00","108760.71"," 24242.88","195841.54","206615.29","116982.23","147000.00"
"M681.474T1424.253"," 123928.6"," 480019.3"," 558000.0"," 486101.1"," 147355.9"," 311006.5"," 452569.6"," 915500.7"," 791000.0"," 446526.2"," 515000.0"," 944000.0"," 673182.3"," 115480.5"," 910973.0","1130474.4"," 552850.8"," 566000.0"
