"","sample","condition","sodium_formate","M697.459T1191.472","M695.447T1189.727","M917.581T1308.231","M810.529T1306.211","M385.182T1540.093","M441.228T1306.216","M711.445T1221.644"
"1","D12.1","Second-tp_Drought",4036645.716,277117.269,182706.209,48972.723,226389.079,188657.032,190244.102,155516.821
"2","D12.2","Second-tp_Drought",3843867.149,276000,206000,90300,244000,234000,214000,154000
"3","D12.3","Second-tp_Drought",3845185.216,150678.262,120301.167,93593.596,252420.099,138642.876,218107.676,95820.48
"4","D12.4","Second-tp_Drought",4021607.908,142000,120000,50700,239000,159000,204000,82300
"5","F12.1","Second-tp_Fusarium",4043455.006,129000,126000,42900,185000,293000,231000,135000
"6","F12.2","Second-tp_Fusarium",3773975.074,94326.21,102252.782,53763.315,188470.657,231317.066,207633.023,71197.308
"7","F12.3","Second-tp_Fusarium",3345590.809,9214.0867,18034.6893,2184.1877,54354.6267,162434.2483,39304.6436,11876.8173
"8","F12.4","Second-tp_Fusarium",3565069.568,126038.528,106107.258,38215.561,216231.079,191669.895,240647.507,67808.492
"9","BLANK.2","Other",3680698.477,0,13450.2944,2115.8657,48631.3265,148508.3789,43358.4547,5467.3746
"10","QC.1","Other",4066641.635,147331.1733,126048.9958,61374.9686,230287.0154,172891.3326,207081.4396,77338.2661
"11","QC.2","Other",3879395.65,99500,134000,67700,220000,198000,255000,86200
"12","QC.3","Other",4076296.312,139952.827,125924.459,46004.327,193932.61,196275.241,247598.952,96719.521
"13","C12.1","Second-tp_Control",3985225.417,4925.6499,19392.7322,9064.5645,55297.2129,154762.1655,54151.5059,11971.5114
"14","C12.3","Second-tp_Control",3922751.054,109223.737,140032.114,37509.03,182034.03,215765.737,250071.336,78046.979
"15","C12.4","Second-tp_Control",3861917.098,157950.877,135717.609,53751.262,203708.284,256736.647,298747.713,103578.25
"16","X12.1","Second-tp_Xanthomonas",3815932.471,209734.842,160062.415,70911.576,214170.319,263580.529,212655.777,195832.604
"17","X12.2","Second-tp_Xanthomonas",3878102.735,130477.612,165981.274,108071.863,247530.165,167277.89,260177.934,134190.509
"18","X12.3","Second-tp_Xanthomonas",3825451.14,190000,146000,52900,264000,239000,245000,110000
