"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"M697.459T1191.472",0.0013927,-0.016533,0.0069222,-0.0043638,0.040096,0.045514,-0.039448,0.0036462,0.0040093,0.018825,0.036262,0.015429,-0.00066146,0.027008,-0.55251
"M695.447T1189.727",-0.0011923,-0.0019489,-0.0055539,-0.0095291,0.028793,0.042391,-0.014312,0.0079632,-0.02962,-0.0071661,0.021328,0.0044258,-0.023009,0.028398,0.085964
"M917.581T1308.231",-0.0061589,-0.012252,0.010644,-0.040498,0.0028771,0.033061,0.008081,0.010521,-0.039245,-0.01987,-0.00077307,-0.016599,-0.022412,-0.041432,0.10646
"M810.529T1306.211",-0.006928,-0.017576,0.012074,-0.0053139,0.013502,0.012414,0.0086019,0.019803,-0.0064496,-0.020604,0.00962,0.01314,-0.015727,-0.016936,0.15832
"M385.182T1540.093",0.0026315,-0.0031317,-0.038132,-0.0010887,0.014693,0.0032674,-0.00757,0.0027919,0.014579,0.025195,-0.021427,-0.0023577,0.018876,0.018941,-0.052468
"M441.228T1306.216",-0.0095206,0.0026302,-0.014748,-0.0065435,0.016756,-0.02746,0.021583,0.01273,-0.013184,-0.006077,0.010101,-0.022103,0.0092569,0.00075927,-0.4344
"M711.445T1221.644",0.0068122,-0.0074822,-0.015676,-0.02461,0.016401,0.040534,-0.043076,0.026552,-0.013207,0.014819,0.038662,0.0054342,-0.022012,0.019245,-0.32415
"M557.468T1423.166",0.0083894,-0.022556,-0.0056057,-0.032761,0.003254,0.033389,-0.022063,-0.012253,-0.0010712,-0.021473,0.00011155,-0.0256,0.0053451,-0.00091395,0.19254
"M679.436T1338.726",0.011576,-0.022239,-0.025192,-0.016957,4.4447e-05,0.027099,-0.041869,0.0022135,-0.0038766,0.0050046,0.017301,0.012661,-0.003369,0.013317,0.085532
"M589.459T1372.544",0.012011,-0.024913,-0.014673,-0.019343,0.0057282,0.037607,-0.042682,0.0027867,-0.010966,-0.0083924,-0.015408,0.025383,-0.035037,0.014113,0.044088
"M681.469T1408.485",0.01396,-0.031642,-0.023717,-0.00082948,-0.0047338,0.013013,-0.043724,-0.0051315,-0.010761,0.0027252,0.015832,0.0061591,-0.0097006,0.015339,0.18271
