"",chi.squared,p.value,-log10(p),FDR,Post-Hoc
M789.329T927.31,17.632,0.0014564,2.8367,0.14176,NA
M1095.412T857.905,17.615,0.0014671,2.8336,0.14176,NA
M827.326T866.333,17.502,0.0015435,2.8115,0.14176,NA
M827.318T827.274,17.32,0.0016748,2.776,0.14176,NA
M988.382T919.58,16.93,0.0019944,2.7002,0.14176,NA
M894.338T940.951,16.807,0.002107,2.6763,0.14176,NA
M438.146T926.75,16.727,0.0021841,2.6607,0.14176,NA
M833.319T926.75,16.619,0.0022913,2.6399,0.14176,NA
M930.353T957.42,16.602,0.0023091,2.6366,0.14176,NA
M973.381T919.58,16.553,0.0023606,2.627,0.14176,NA
M893.333T828.514,16.399,0.0025281,2.5972,0.14176,NA
M507.18T901.88,16.391,0.002537,2.5957,0.14176,NA
M875.33T866.333,16.332,0.0026041,2.5843,0.14176,NA
M894.333T843.183,16.332,0.0026046,2.5843,0.14176,NA
M507.173T926.047,16.307,0.0026342,2.5794,0.14176,NA
M698.269T891.807,16.217,0.0027412,2.5621,0.14176,NA
M809.342T975.822,16.216,0.0027427,2.5618,0.14176,NA
M883.336T936.403,16.207,0.0027542,2.56,0.14176,NA
M972.391T940.951,16.095,0.0028941,2.5385,0.14176,NA
M849.321T917.809,15.981,0.003045,2.5164,0.14176,NA
M519.225T1025.439,15.952,0.0030848,2.5108,0.14176,NA
M871.337T832.505,15.948,0.0030898,2.5101,0.14176,NA
M424.207T1477.169,15.924,0.0031222,2.5055,0.14176,NA
M735.268T909.479,15.919,0.0031296,2.5045,0.14176,NA
M827.321T940.951,15.903,0.0031524,2.5014,0.14176,NA
M898.349T936.403,15.902,0.0031537,2.5012,0.14176,NA
M809.345T958.024,15.878,0.003187,2.4966,0.14176,NA
M914.341T957.42,15.832,0.0032528,2.4877,0.14176,NA
M367.15T410.425,15.818,0.0032738,2.4849,0.14176,NA
M811.341T843.183,15.788,0.0033168,2.4793,0.14176,NA
M673.286T985.123,15.693,0.0034598,2.461,0.14176,NA
M791.348T1042.058,15.692,0.0034614,2.4607,0.14176,NA
M973.388T942.139,15.645,0.0035341,2.4517,0.14176,NA
M846.32T843.183,15.596,0.0036113,2.4423,0.14176,NA
M1029.422T872.624,15.418,0.0039076,2.4081,0.14176,NA
M512.178T893.689,15.385,0.0039652,2.4017,0.14176,NA
M828.315T926.75,15.378,0.0039774,2.4004,0.14176,NA
M990.389T957.42,15.366,0.0039996,2.398,0.14176,NA
M970.4T881.272,15.337,0.0040503,2.3925,0.14176,NA
M735.275T891.807,15.319,0.0040838,2.3889,0.14176,NA
M941.389T959.199,15.316,0.0040886,2.3884,0.14176,NA
M798.336T1042.058,15.306,0.0041077,2.3864,0.14176,NA
M870.334T843.183,15.298,0.0041207,2.385,0.14176,NA
M809.345T941.458,15.288,0.0041397,2.383,0.14176,NA
M921.335T902.791,15.274,0.0041656,2.3803,0.14176,NA
M654.247T924.482,15.242,0.0042255,2.3741,0.14176,NA
M824.341T924.482,15.237,0.0042342,2.3732,0.14176,NA
M873.342T973.898,15.221,0.0042648,2.3701,0.14176,NA
M895.336T836.496,15.152,0.0043957,2.357,0.14176,NA
M697.239T908.018,15.101,0.0044961,2.3472,0.14176,NA
M613.48T1389.147,15.057,0.0045849,2.3387,0.14176,NA
M1001.365T875.234,15.03,0.0046385,2.3336,0.14176,NA
M806.336T927.31,15.015,0.0046706,2.3306,0.14176,NA
M577.494T1463.866,15.012,0.0046762,2.3301,0.14176,NA
M716.516T1356.112,14.966,0.0047727,2.3212,0.14176,NA
M942.381T940.951,14.944,0.0048182,2.3171,0.14176,NA
M974.38T936.403,14.932,0.0048437,2.3148,0.14176,NA
M576.483T1456.027,14.925,0.0048596,2.3134,0.14176,NA
M806.333T896.321,14.909,0.0048944,2.3103,0.14176,NA
M566.199T909.479,14.909,0.0048948,2.3103,0.14176,NA
M810.527T1193.498,14.855,0.0050119,2.3,0.14176,NA
M789.338T992.058,14.845,0.0050346,2.298,0.14176,NA
M895.359T935.639,14.834,0.0050578,2.296,0.14176,NA
M875.328T942.609,14.777,0.005187,2.2851,0.14176,NA
M833.315T843.183,14.739,0.0052744,2.2778,0.14176,NA
M902.349T917.809,14.734,0.0052871,2.2768,0.14176,NA
M1070.417T942.609,14.72,0.0053177,2.2743,0.14176,NA
M386.164T943.456,14.717,0.0053251,2.2737,0.14176,NA
M798.333T1001.921,14.694,0.0053797,2.2692,0.14176,NA
M869.334T919.017,14.659,0.0054639,2.2625,0.14176,NA
M956.379T959.199,14.626,0.005544,2.2562,0.14176,NA
M793.328T942.609,14.606,0.0055922,2.2524,0.14176,NA
M893.342T812.644,14.589,0.005635,2.2491,0.14176,NA
M991.383T954.894,14.528,0.0057876,2.2375,0.14176,NA
M819.302T866.333,14.491,0.0058816,2.2305,0.14176,NA
M984.382T940.951,14.463,0.0059546,2.2251,0.14176,NA
M811.324T926.047,14.417,0.0060768,2.2163,0.14176,NA
M875.326T913.799,14.414,0.0060842,2.2158,0.14176,NA
M834.317T857.905,14.384,0.0061653,2.21,0.14176,NA
M903.354T957.42,14.366,0.0062147,2.2066,0.14176,NA
M969.398T948.9,14.362,0.0062246,2.2059,0.14176,NA
M805.331T872.624,14.357,0.0062399,2.2048,0.14176,NA
M433.151T843.183,14.354,0.0062469,2.2043,0.14176,NA
M849.314T843.183,14.329,0.006316,2.1996,0.14176,NA
M833.318T940.951,14.321,0.0063382,2.198,0.14176,NA
M833.305T975.822,14.321,0.0063382,2.198,0.14176,NA
M898.344T887.472,14.315,0.0063561,2.1968,0.14176,NA
M898.347T1006.792,14.26,0.0065112,2.1863,0.14176,NA
M973.378T827.274,14.259,0.0065127,2.1862,0.14176,NA
M819.303T925.437,14.243,0.0065591,2.1832,0.14176,NA
M984.394T881.272,14.239,0.00657,2.1824,0.14176,NA
M808.349T959.178,14.23,0.0065974,2.1806,0.14176,NA
M718.279T900.968,14.208,0.0066613,2.1764,0.14176,NA
M906.342T957.42,14.201,0.0066816,2.1751,0.14176,NA
M989.369T828.514,14.185,0.0067282,2.1721,0.14176,NA
M975.373T872.624,14.122,0.0069165,2.1601,0.14176,NA
M1132.44T940.951,14.092,0.0070059,2.1545,0.14176,NA
M870.346T973.898,14.091,0.0070114,2.1542,0.14176,NA
M867.338T941.124,14.081,0.0070407,2.1524,0.14176,NA
M854.343T843.183,14.072,0.0070701,2.1506,0.14176,NA
M832.307T992.353,14.065,0.0070889,2.1494,0.14176,NA
M947.38T990.311,14.044,0.0071565,2.1453,0.14176,NA
M790.34T953.298,14.039,0.0071713,2.1444,0.14176,NA
M819.312T959.199,14.013,0.0072527,2.1395,0.14176,NA
M835.333T951.54,14.002,0.0072891,2.1373,0.14176,NA
M789.338T955.098,13.995,0.0073097,2.1361,0.14176,NA
M789.339T976.015,13.953,0.0074451,2.1281,0.14176,NA
M987.384T843.183,13.935,0.0075067,2.1246,0.14176,NA
M744.276T1008.897,13.894,0.0076427,2.1168,0.14176,NA
M873.355T919.58,13.862,0.0077471,2.1109,0.14176,NA
M905.364T942.609,13.826,0.0078732,2.1038,0.14176,NA
M855.334T832.505,13.81,0.0079271,2.1009,0.14176,NA
M955.384T902.791,13.808,0.0079331,2.1006,0.14176,NA
M820.314T857.905,13.796,0.0079766,2.0982,0.14176,NA
M1009.394T924.637,13.787,0.0080077,2.0965,0.14176,NA
M1085.421T973.898,13.785,0.0080128,2.0962,0.14176,NA
M871.347T798.136,13.745,0.008155,2.0886,0.14176,NA
M538.212T908.195,13.728,0.0082164,2.0853,0.14176,NA
M806.333T872.624,13.712,0.0082743,2.0823,0.14176,NA
M790.331T974.804,13.702,0.0083079,2.0805,0.14176,NA
M1121.44T843.183,13.685,0.0083707,2.0772,0.14176,NA
M1076.413T957.42,13.668,0.0084347,2.0739,0.14176,NA
M848.316T959.199,13.664,0.0084468,2.0733,0.14176,NA
