"","C9.1","C9.2","C9.3","C9.4","X9.1","X9.2","X9.3","X9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","BLANK.2","QC.1","QC.2","QC.3","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","C12.1","C12.3","C12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","F15.1","F15.2","F15.3","F15.4","D15.1","D15.2","D15.3","D15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","Other","Other","Other","Other","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point"
"sodium_formate","4070413.164","3874278.07","3824225.78","4055654.438","3999488.086","3978044.09","3825767.55","4040030.701","3969364.476","3963523.235","3748519.024","4093395.228","3922085.165","4081197.404","3906272.338","4398137.214","3680698.477","4066641.635","3879395.65","4076296.312","4036645.716","3843867.149","3845185.216","4021607.908","4043455.006","3773975.074","3345590.809","3565069.568","3985225.417","3922751.054","3861917.098","3815932.471","3878102.735","3825451.14","3977822.446","3907525.327","3448104.282","4002205.676","4242375.803","4078872.611","4313777.511","3963971.025","4056292.061","3963080.543","4082962.694","4193593.668","3742875.92","3939108.748","3533825.768","4923007.142"
"M697.459T1191.472","55684.876","31896.562","37098.796","71562.789","105354.099","67484.42","66900","131000","111944.303","48654.17","665881.902","51152.706","30936.349","58400","23958.044","3987.1729","517.66504","147331.1733","99500","139952.827","277117.269","276000","150678.262","142000","129000","94326.21","9214.0867","126038.528","4925.6499","109223.737","157950.877","209734.842","130477.612","190000","137572.763","228447.064","187283.4","82705.2","517.66504","60600","6515.7847","47200.126","4625.0849","128266.249","3362.4878","2588.3252","534594.482","762000","185085.512","186617.685"
"M695.447T1189.727","83081.174","85123.951","98764.798","99779.163","97142.53","92575.631","82400","122000","105915.184","87808.375","128651.828","91936.174","94806.809","107000","81972.152","11746.8246","13450.2944","126048.9958","134000","125924.459","182706.209","206000","120301.167","120000","126000","102252.782","18034.6893","106107.258","19392.7322","140032.114","135717.609","160062.415","165981.274","146000","116325.508","167423.142","128777.301","114125.41","15014.7187","63800","16365.9382","86965.522","17284.9886","104406.609","12174.7889","17581.6724","281743.583","452000","136650.0674","119040.159"
"M917.581T1308.231","34368.139","39887.509","67059.285","41747.83","45448.735","68485.376","27800","50300","47160.955","44049.13","69950.821","32592.502","38489.281","21200","13771.314","7160.4891","2115.8657","61374.9686","67700","46004.327","48972.723","90300","93593.596","50700","42900","53763.315","2184.1877","38215.561","9064.5645","37509.03","53751.262","70911.576","108071.863","52900","92649.707","64002.073","44982.186","70877.455","5330.5988","44400","7895.4014","33404.838","423.17314","45941.555","2228.3874","9019.9182","162064.821","108000","64149.5654","78964.098"
"M810.529T1306.211","213262.994","118128.393","209014.243","228748.6","299577.864","216925.928","199000","228000","203936.529","194861.675","119442.394","209988.837","182671.64","204000","112037.812","38500.1179","48631.3265","230287.0154","220000","193932.61","226389.079","244000","252420.099","239000","185000","188470.657","54354.6267","216231.079","55297.2129","182034.03","203708.284","214170.319","247530.165","264000","168738.195","153201.814","162775.089","181385.677","54014.4857","98300","39610.2627","131457.373","68697.0775","207750.172","17253.1205","75497.2714","168036.183","198000","179498.6279","103720.628"
"M385.182T1540.093","294599.375","406658.816","202483.247","308730.483","259132.135","224991.554","524000","212000","222388.915","202100.962","199966.87","147321.776","170852.391","317000","167310.542","155254.9021","148508.3789","172891.3326","198000","196275.241","188657.032","234000","138642.876","159000","293000","231317.066","162434.2483","191669.895","154762.1655","215765.737","256736.647","263580.529","167277.89","239000","148661.543","154717.139","157083.69","142641.185","132661.5534","149000","128531.9685","135375.192","190291.4128","169597.326","143601.4708","123110.3952","149520.849","135000","148957.478","141404.984"
"M441.228T1306.216","261605.726","251885.263","307642.299","306964.215","282070.504","252492.58","242000","225000","215245.706","270183.793","208657.016","196752.29","232188.034","292000","152518.141","47892.0152","43358.4547","207081.4396","255000","247598.952","190244.102","214000","218107.676","204000","231000","207633.023","39304.6436","240647.507","54151.5059","250071.336","298747.713","212655.777","260177.934","245000","229728.706","231549.784","212221.924","240713.979","42640.4636","129000","45873.2816","158803.481","41218.2465","115663.891","51320.4367","40626.782","136314.897","178000","104802.0996","195297.935"
"M711.445T1221.644","58457.913","53010.795","50978.457","82090.413","65139.613","63334.344","49300","78400","88703.875","53254.345","103285.031","55463.079","42774.535","57400","43321.796","10203.841","5467.3746","77338.2661","86200","96719.521","155516.821","154000","95820.48","82300","135000","71197.308","11876.8173","67808.492","11971.5114","78046.979","103578.25","195832.604","134190.509","110000","102449.748","106714.933","101793.614","70451.133","7110.4351","38400","6448.2785","52657.281","3004.0937","135886.033","8924.035","6290.6093","143071.013","231000","118936.1393","87909.88"
"M557.468T1423.166","199019.015","562584.292","250667.015","331934.427","458836.872","354372.383","260000","455000","204020.494","145123.879","164335.182","204996.718","215146.995","150000","76024.845","26879.3274","14892.0994","292374.4778","410000","334984.908","432231.665","683000","466922.501","348000","418000","419916.387","12881.071","308958.315","39046.7557","204560.741","357704.93","540500.287","404711.333","312000","231699.346","241482.173","245033.79","327270.94","21219.2881","110000","22606.4477","248796.327","22049.6137","301279.84","32785.2759","36617.2375","320273.774","282000","379981.1174","413593.65"
