"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"M697.459T1191.472",0.029486,2.0608e-05,0.0051752,-0.053692,0.027452,0.026346,-0.0045068,0.034513,-0.020096,-0.00031476,-0.00163,-0.024398,0.054361,0.0035362,-0.021537,0.012767,0.017125,0.0051077,0.0059764,-0.0093905,-0.01172,-0.019256,0.0056608,0.0049639,0.0075347,-0.0025533,-2.7382e-05,-0.0012277,-0.020724,0.32582
"M695.447T1189.727",0.023323,-0.0046611,0.0050049,-0.017818,0.00084096,0.0066018,0.012846,0.023848,-0.00095068,0.0073778,0.02937,-0.0087036,0.026687,0.010048,-0.019252,0.014248,0.026641,0.016747,0.012977,-0.0017645,-0.018824,0.0076664,-0.01318,0.011192,-0.0082579,0.0065162,-0.016714,0.00053018,0.022583,0.378
"M917.581T1308.231",0.018338,-0.012881,0.00075243,-0.039895,-0.0067256,-0.0049252,0.030673,0.037486,-0.028862,-0.013316,0.00088827,0.043386,0.0010006,-0.0048641,-0.01635,0.017983,0.052671,0.019131,0.027235,-0.022846,0.021928,-0.017389,0.0049328,-0.0014731,0.0017055,0.040987,-0.0060752,0.0018906,0.0080376,-0.093884
"M810.529T1306.211",0.019744,-0.015499,0.0055496,0.00086193,-0.0093663,9.9408e-05,-0.0012984,0.008295,-0.0091391,-0.019544,-0.019691,0.035825,0.021329,0.011912,-0.012282,0.0066572,0.00055266,0.0092671,-0.014666,-0.0046042,-0.0019749,-0.021051,0.011043,-0.018468,0.02159,-0.0033666,-0.0027013,0.01928,-0.0094173,0.10131
"M385.182T1540.093",0.0025775,-0.0015407,-0.0026743,-0.014696,-0.030088,-0.00033275,-0.034871,-0.00084074,0.030514,-0.015147,0.0083823,-0.024872,-0.0032339,0.024212,0.011711,-0.052971,-0.06338,-0.013484,0.0085686,0.0042455,-0.024045,0.024365,0.023049,0.047141,-0.026213,-0.013925,0.095996,0.027543,0.02011,-0.089707
"M441.228T1306.216",0.018329,-0.0024038,-0.0065886,-0.0089573,-0.033869,-0.0002781,-0.0051203,-0.01015,-0.0019591,0.0040355,-0.005977,0.030385,-0.0034442,0.0083656,0.015215,-0.0096077,-0.0019598,0.0014292,-0.00035263,-0.010947,-0.0059711,-0.0069182,0.0035687,0.0252,-0.0021884,0.00051088,0.0063422,-0.006259,0.01349,0.016057
"M711.445T1221.644",0.022826,-0.0051467,0.014137,-0.031057,0.0036641,0.0050821,0.0087591,0.046667,0.0015035,0.010769,-0.0014132,-0.02787,0.03967,0.015029,-0.02621,0.024648,0.026278,0.013142,0.0065058,0.020913,-0.020674,0.021933,-0.010437,0.019422,-0.0056365,0.015472,-0.0033951,-0.02179,0.019627,0.10609
"M557.468T1423.166",0.020279,-0.021595,0.018494,-0.029795,-0.022544,-0.013626,0.015884,0.05206,-0.019895,-0.0093504,0.024575,-0.0219,0.0029259,0.010853,0.011083,-0.031292,-0.011261,0.0019965,-0.014784,-0.032777,0.0080529,-0.026105,0.0095213,-0.0036257,-0.0018042,-0.0028139,-0.0036087,0.036271,0.0086285,0.16454
"M679.436T1338.726",0.019403,-0.015146,0.036355,-0.031402,0.0093188,-0.00089159,0.0060341,0.041384,-0.008073,0.012012,0.0042995,-0.015084,0.0099616,0.012438,-0.027131,0.028562,0.00053406,0.0027962,0.020282,0.01021,0.0026284,0.013177,-0.00023031,0.010132,-0.0057772,0.0027022,-0.0057951,-0.011672,-0.003041,0.020324
"M589.459T1372.544",0.01532,-0.022605,0.044977,-0.050383,0.0038178,0.0006358,0.01223,0.063516,-0.014441,-0.0042461,0.023636,-0.026489,0.039584,-0.038908,0.031904,-0.0037203,0.030492,0.010035,0.0016285,-0.046232,-0.015305,-0.01628,0.003962,-0.018858,-0.019036,0.03097,-0.011758,0.012717,-0.0094824,0.1868
"M681.469T1408.485",0.017464,-0.018911,0.047597,-0.035027,0.026972,0.0070697,-0.006504,0.037473,-0.012076,0.013425,0.0018664,-0.025412,0.021137,-0.0038152,-0.0023578,0.029241,0.019495,0.0074412,0.0075458,-0.0025122,0.0044689,0.00051362,0.0019779,0.010627,0.0039865,0.00079531,-0.0016597,-0.010423,-0.0036658,0.11804
"M695.451T1225.817",0.022535,-0.0086896,0.018039,-0.025802,0.0077317,0.00071686,0.0077189,0.035189,-0.0031641,0.015471,0.014408,-0.022462,0.025683,-0.0064569,-0.027926,0.017762,0.014615,0.022176,0.021994,0.019638,-0.010154,0.0099647,-0.012017,0.012834,-0.020449,0.0082619,-0.014011,-0.02539,0.017732,-0.0081651
"M285.134T1052.907",0.022022,-0.021093,-0.014726,0.030312,-0.044581,-0.0027504,0.01334,0.027603,0.04048,0.011474,0.020657,0.039089,0.020597,0.041505,-0.026982,0.0074164,-0.019113,0.027575,0.013807,-0.015338,-0.019278,-0.019967,0.013158,-0.00061961,0.032948,0.021702,-0.0070179,0.0013984,-0.01556,-0.1011
"M681.469T1389.183",0.017369,-0.018812,0.047304,-0.036526,0.027168,0.0053979,-0.0029356,0.040267,-0.0094055,0.01114,-0.0029092,-0.028217,0.026034,-0.0021425,-0.0027132,0.029536,0.016581,0.003348,0.0088842,-0.0031101,0.0031473,0.00033303,0.0074599,0.009497,0.0049886,-0.00088927,0.0036656,-0.0096724,5.7653e-05,-0.25264
"M680.474T1439.81",0.0074694,-0.019925,0.036839,-0.024672,0.024752,0.02006,-0.0094627,0.022513,-0.0079081,0.044031,-0.015397,-0.0075595,-0.029135,0.00077636,0.0042929,0.018167,0.015838,0.04997,0.020578,-0.0085518,0.0066678,0.0010404,0.0061013,0.031836,-0.020204,9.5776e-05,-0.0074943,-0.028624,0.0082615,-0.091531
"M574.467T1456.399",0.019226,-0.015573,0.033348,-0.029068,0.017257,0.0037537,-0.014079,0.048645,-0.017341,-0.014164,-0.038233,0.013784,0.023198,0.019573,-0.0090197,-0.021745,-0.0003849,-0.024171,0.010564,-0.000994,0.017457,-0.0038124,0.031536,-0.0024121,-0.019936,-0.058265,0.0043368,-0.010254,0.023182,0.012934
"M565.421T1295.888",-0.0048291,-0.014395,0.038755,-0.04142,0.034487,0.0086924,-0.023265,0.020647,-0.0067218,-0.00028206,-0.0033549,-0.0036575,0.018643,0.012208,-0.0013827,0.018027,-0.010235,0.023158,-0.0039144,-0.015828,0.0058478,0.016376,-0.0034512,0.0086936,0.0037002,0.025776,-0.023651,0.00056242,-0.022793,-0.0097582
"M681.474T1424.253",0.015917,-0.023223,0.052014,-0.026259,0.022944,0.0035431,-0.0030434,0.038158,-0.0034424,0.020811,0.00012076,-0.029228,0.021223,-0.0014595,-0.0023896,0.027102,0.0072293,0.010795,0.0093272,-0.007993,0.00092835,-0.002575,0.0061764,0.011377,0.00118,-0.00079258,0.0021291,-0.0077964,-0.00053551,0.54918
"M569.292T994.771",0.032449,-0.014968,-0.017567,0.02702,-0.036271,-0.0043101,0.012511,0.015674,0.029136,0.0045616,0.010583,0.026753,0.016957,0.023031,-0.028834,0.0014952,-0.0064864,-0.0059079,0.0071056,0.00021921,-0.026827,-0.024974,0.019543,0.0039834,0.027994,0.02232,-0.016808,0.0041253,-0.0043024,0.15916
