"",F.stat,p.value,-log10(p),FDR
M680.474T1439.81,20.041,4.6147e-06,5.3359,0.0044144
M681.474T1424.253,19.569,5.5894e-06,5.2526,0.0044144
M565.421T1295.888,18.643,8.2009e-06,5.0861,0.0044144
M670.528T1488.279,18.617,8.2909e-06,5.0814,0.0044144
M670.538T1472.8,18.262,9.6342e-06,5.0162,0.0044144
M680.472T1423.013,17.689,1.2315e-05,4.9096,0.0047024
M664.462T1368.515,16.525,2.0583e-05,4.6865,0.0067364
M681.469T1389.183,15.987,2.6277e-05,4.5804,0.0075251
M681.469T1408.485,15.69,3.012e-05,4.5211,0.0076673
M565.409T1275.021,15.212,3.7643e-05,4.4243,0.0086239
M679.553T1406.451,14.005,6.7202e-05,4.1726,0.013996
M660.514T1439.78,13.683,7.8812e-05,4.1034,0.015047
M481.362T1439.996,12.624,0.00013472,3.8706,0.020424
M555.451T1436.867,12.617,0.00013523,3.8689,0.020424
M660.517T1423.005,12.578,0.00013797,3.8602,0.020424
M555.447T1456.772,12.514,0.00014264,3.8458,0.020424
M481.361T1422.828,12.232,0.00016527,3.7818,0.022272
M603.415T1456.538,11.944,0.00019238,3.7158,0.023151
M695.45T1338.973,11.84,0.00020332,3.6918,0.023151
M682.472T1373.006,11.786,0.00020928,3.6793,0.023151
M581.399T1399.634,11.686,0.00022069,3.6562,0.023151
M688.545T1335.803,11.673,0.00022232,3.653,0.023151
M555.456T1423.317,11.441,0.00025193,3.5987,0.025095
M664.46T1406.422,10.597,0.00040083,3.397,0.038086
M555.454T1439.586,10.467,0.00043123,3.3653,0.038086
M547.366T1373.389,10.458,0.00043344,3.3631,0.038086
M603.41T1440.081,10.325,0.00046726,3.3304,0.038086
M567.43T1421.35,10.275,0.00048081,3.318,0.038086
M593.489T1519.555,10.27,0.0004821,3.3169,0.038086
M702.545T1440.116,10.142,0.00051849,3.2853,0.039596
M603.424T1440.046,9.8875,0.00060011,3.2218,0.044005
M664.461T1422.743,9.846,0.00061465,3.2114,0.044005
M663.458T1406.394,9.7293,0.00065768,3.182,0.045659
M565.397T1373.252,9.5615,0.00072531,3.1395,0.047628
M670.539T1507.08,9.556,0.00072763,3.1381,0.047628
M555.365T1423.011,9.3027,0.00084467,3.0733,0.053754
M679.452T1355.733,9.2283,0.00088277,3.0542,0.05466
M565.417T1439.955,9.1083,0.00094818,3.0231,0.056147
M727.561T1540.694,9.0864,0.00096066,3.0174,0.056147
M727.571T1439.78,9.0526,0.00098031,3.0086,0.056147
M565.403T1389.183,8.9609,0.0010357,2.9848,0.057602
M565.41T1416.7,8.9039,0.0010719,2.9699,0.057602
M637.415T1439.736,8.8709,0.0010934,2.9612,0.057602
M687.446T1352.626,8.8217,0.0011264,2.9483,0.057602
M637.412T1422.711,8.8143,0.0011314,2.9464,0.057602
M679.436T1338.726,8.5921,0.0012951,2.8877,0.064502
M646.455T1423.013,8.4794,0.0013877,2.8577,0.066661
M589.459T1372.544,8.4458,0.0014167,2.8487,0.066661
M668.509T1456.373,8.4354,0.0014257,2.846,0.066661
M637.411T1406.122,8.3518,0.0015012,2.8236,0.068784
M549.424T1473.203,8.2417,0.0016071,2.7939,0.072195
M549.424T1386.472,8.0828,0.0017744,2.751,0.078175
M668.506T1440.08,8.0076,0.00186,2.7305,0.079304
M593.49T1490.213,7.9997,0.0018692,2.7283,0.079304
M593.49T1539.529,7.9117,0.0019756,2.7043,0.080268
M609.489T1506.592,7.9005,0.0019896,2.7012,0.080268
M476.38T1456.538,7.8473,0.0020577,2.6866,0.080268
M644.519T1506.823,7.8322,0.0020774,2.6825,0.080268
