"","C9.1","C9.2","C9.3","C9.4","X9.1","X9.2","X9.3","X9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","QC.1","QC.2","QC.3","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","C12.1","C12.4","X12.1","X12.2","X12.3"
"Label","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","Other","Other","Other","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point"
"M697.459T1191.472","-0.35781368","-0.70666522","-0.59394355","-0.18298501"," 0.09227496","-0.21002115","-0.18918359"," 0.23501285"," 0.13914899","-0.43225173"," 1.40338533","-0.41999894","-0.73608772","-0.32692736","-0.90891648"," 0.31120984"," 0.07394543"," 0.27428698"," 0.75028298"," 0.78112386"," 0.36510786"," 0.29354132"," 0.22386214"," 0.05618908"," 0.29440607","-2.00931618"," 0.39450617"," 0.59752705"," 0.26036865"," 0.52793101"
"M695.447T1189.727","-0.30442950","-0.22853064","-0.06201669","-0.11201936","-0.12524108","-0.16930924","-0.24905465"," 0.09908619","-0.02838404","-0.22000649"," 0.23092853","-0.20589689","-0.13018091","-0.04650921","-0.27587049"," 0.12595779"," 0.23753352"," 0.12249661"," 0.51599572"," 0.69002561"," 0.13556252"," 0.08676649"," 0.13144782","-0.01263619"," 0.08414668","-1.78146683"," 0.25530634"," 0.43761299"," 0.45837123"," 0.34031417"
"M917.581T1308.231","-0.28961328","-0.11038705"," 0.37086445","-0.11053930","-0.02117563"," 0.35424389","-0.42527079"," 0.06136576"," 0.01907804","-0.04128031"," 0.42708597","-0.34264226","-0.15371865","-0.72862221","-1.07891371"," 0.23527205"," 0.36651367","-0.02738602"," 0.03795610"," 0.63514884"," 0.66721467"," 0.07265454","-0.08321333"," 0.18310693","-0.07391673","-1.47495080"," 0.16208700"," 0.42330570"," 0.78949846"," 0.15623400"
"M810.529T1306.211"," 0.056901458","-0.569539106"," 0.105807773"," 0.142217425"," 0.470494495"," 0.103168708"," 0.048528497"," 0.142890672"," 0.034246012","-0.016721691","-0.518554748"," 0.032483459","-0.079311300"," 0.002455569","-0.640309788"," 0.146842981"," 0.148508396","-0.054716091"," 0.135655863"," 0.278965881"," 0.317826977"," 0.202701501","-0.099920556"," 0.001395534"," 0.226286745","-1.480538560"," 0.064704833"," 0.136518508"," 0.285326817"," 0.375683737"
"M385.182T1540.093"," 0.302832313"," 0.748098359","-0.071558118"," 0.363301826"," 0.170238098"," 0.007461085"," 1.066847934","-0.082298754","-0.003858974","-0.116674909","-0.062587057","-0.533968436","-0.305274087"," 0.387442733","-0.325526678","-0.334416961","-0.115532707","-0.185313460","-0.221022237"," 0.095581129","-0.531770243","-0.421403626"," 0.304271095"," 0.103747966","-0.053244196","-0.442875905"," 0.201039432"," 0.246898472","-0.317091532"," 0.126657437"
"M441.228T1306.216"," 0.136182174"," 0.149722657"," 0.400034839"," 0.328382173"," 0.245368718"," 0.121487420"," 0.117475951","-0.032182544","-0.063533856"," 0.205381305","-0.032790336","-0.205285647"," 0.039603394"," 0.262261733","-0.449607529","-0.137439635"," 0.162616094"," 0.069806959","-0.228412930","-0.032595124","-0.010651241","-0.141972322","-0.002246175","-0.046527446"," 0.193839982","-1.690203847"," 0.354024436","-0.031428413"," 0.186635108"," 0.132054101"
"M711.445T1221.644","-0.256174632","-0.299971823","-0.323567069"," 0.054170209","-0.142396441","-0.162952756","-0.354210365"," 0.016060648"," 0.143696196","-0.316423173"," 0.333110202","-0.308829088","-0.505106875","-0.275084621","-0.489955476","-0.002208661"," 0.138534935"," 0.197896396"," 0.636275462"," 0.671668464"," 0.242237956"," 0.064100741"," 0.506796160","-0.009484804","-0.002088817","-1.671236799"," 0.308720127"," 0.895601455"," 0.539119008"," 0.371703442"
"M557.468T1423.166","-0.33305759"," 0.58585605","-0.08561649"," 0.10183913"," 0.38692186"," 0.17336890","-0.05509667"," 0.37131864","-0.29088346","-0.57719622","-0.42516505","-0.31282816","-0.23594107","-0.57399636","-1.11070032","-0.00757311"," 0.31765624"," 0.10527605"," 0.32868957"," 0.75624089"," 0.43488248"," 0.14885610"," 0.29900331"," 0.36108854"," 0.15012416","-1.69007134"," 0.20628075"," 0.56485996"," 0.30697753"," 0.09888569"
"M679.436T1338.726","-0.35149405","-0.46477259","-0.26842925","-0.12289539"," 0.11279232","-0.18263626","-0.32619123"," 0.01808920","-0.10552203","-0.31949973","-0.09605208","-0.52896774","-0.38664581","-0.73610743","-0.67123996"," 0.09028288"," 0.33841982"," 0.13290423"," 0.64001286"," 0.67153272"," 0.24555645"," 0.14396695"," 0.70016977"," 0.36682423"," 0.39659919","-1.25122025"," 0.27802623"," 0.98451057"," 0.33906757"," 0.35291880"
