"","C9.1","C9.2","C9.3","C9.4","X9.1","X9.2","X9.3","X9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","BLANK.2","QC.1","QC.2","QC.3","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","C12.1","C12.3","C12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","F15.1","F15.2","F15.3","F15.4","D15.1","D15.2","D15.3","D15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","Other","Other","Other","Other","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point"
"sodium_formate","4070413","3874278","3824226","4055654","3999488","3978044","3825768","4040031","3969364","3963523","3748519","4093395","3922085","4081197","3906272","4398137","3680698","4066642","3879396","4076296","4036646","3843867","3845185","4021608","4043455","3773975","3345591","3565070","3985225","3922751","3861917","3815932","3878103","3825451","3977822","3907525","3448104","4002206","4242376","4078873","4313778","3963971","4056292","3963081","4082963","4193594","3742876","3939109","3533826","4923007"
"M697.459T1191.472"," 55684.876"," 31896.562"," 37098.796"," 71562.789","105354.099"," 67484.420"," 66900.000","131000.000","111944.303"," 48654.170","665881.902"," 51152.706"," 30936.349"," 58400.000"," 23958.044","  3987.173","     0.000","147331.173"," 99500.000","139952.827","277117.269","276000.000","150678.262","142000.000","129000.000"," 94326.210","  9214.087","126038.528","  4925.650","109223.737","157950.877","209734.842","130477.612","190000.000","137572.763","228447.064","187283.400"," 82705.200","     0.000"," 60600.000","  6515.785"," 47200.126","  4625.085","128266.249","  3362.488","  2588.325","534594.482","762000.000","185085.512","186617.685"
"M695.447T1189.727"," 83081.17"," 85123.95"," 98764.80"," 99779.16"," 97142.53"," 92575.63"," 82400.00","122000.00","105915.18"," 87808.38","128651.83"," 91936.17"," 94806.81","107000.00"," 81972.15"," 11746.82"," 13450.29","126049.00","134000.00","125924.46","182706.21","206000.00","120301.17","120000.00","126000.00","102252.78"," 18034.69","106107.26"," 19392.73","140032.11","135717.61","160062.42","165981.27","146000.00","116325.51","167423.14","128777.30","114125.41"," 15014.72"," 63800.00"," 16365.94"," 86965.52"," 17284.99","104406.61"," 12174.79"," 17581.67","281743.58","452000.00","136650.07","119040.16"
"M917.581T1308.231"," 34368.139"," 39887.509"," 67059.285"," 41747.830"," 45448.735"," 68485.376"," 27800.000"," 50300.000"," 47160.955"," 44049.130"," 69950.821"," 32592.502"," 38489.281"," 21200.000"," 13771.314","  7160.489","  2115.866"," 61374.969"," 67700.000"," 46004.327"," 48972.723"," 90300.000"," 93593.596"," 50700.000"," 42900.000"," 53763.315","  2184.188"," 38215.561","  9064.565"," 37509.030"," 53751.262"," 70911.576","108071.863"," 52900.000"," 92649.707"," 64002.073"," 44982.186"," 70877.455","  5330.599"," 44400.000","  7895.401"," 33404.838","     0.000"," 45941.555","  2228.387","  9019.918","162064.821","108000.000"," 64149.565"," 78964.098"
"M810.529T1306.211","213262.99","118128.39","209014.24","228748.60","299577.86","216925.93","199000.00","228000.00","203936.53","194861.67","119442.39","209988.84","182671.64","204000.00","112037.81"," 38500.12"," 48631.33","230287.02","220000.00","193932.61","226389.08","244000.00","252420.10","239000.00","185000.00","188470.66"," 54354.63","216231.08"," 55297.21","182034.03","203708.28","214170.32","247530.17","264000.00","168738.20","153201.81","162775.09","181385.68"," 54014.49"," 98300.00"," 39610.26","131457.37"," 68697.08","207750.17"," 17253.12"," 75497.27","168036.18","198000.00","179498.63","103720.63"
"M385.182T1540.093","294599.4","406658.8","202483.2","308730.5","259132.1","224991.6","524000.0","212000.0","222388.9","202101.0","199966.9","147321.8","170852.4","317000.0","167310.5","155254.9","148508.4","172891.3","198000.0","196275.2","188657.0","234000.0","138642.9","159000.0","293000.0","231317.1","162434.2","191669.9","154762.2","215765.7","256736.6","263580.5","167277.9","239000.0","148661.5","154717.1","157083.7","142641.2","132661.6","149000.0","128532.0","135375.2","190291.4","169597.3","143601.5","123110.4","149520.8","135000.0","148957.5","141405.0"
"M441.228T1306.216","261605.73","251885.26","307642.30","306964.22","282070.50","252492.58","242000.00","225000.00","215245.71","270183.79","208657.02","196752.29","232188.03","292000.00","152518.14"," 47892.02"," 43358.45","207081.44","255000.00","247598.95","190244.10","214000.00","218107.68","204000.00","231000.00","207633.02"," 39304.64","240647.51"," 54151.51","250071.34","298747.71","212655.78","260177.93","245000.00","229728.71","231549.78","212221.92","240713.98"," 42640.46","129000.00"," 45873.28","158803.48"," 41218.25","115663.89"," 51320.44"," 40626.78","136314.90","178000.00","104802.10","195297.93"
"M711.445T1221.644"," 58457.913"," 53010.795"," 50978.457"," 82090.413"," 65139.613"," 63334.344"," 49300.000"," 78400.000"," 88703.875"," 53254.345","103285.031"," 55463.079"," 42774.535"," 57400.000"," 43321.796"," 10203.841","  5467.375"," 77338.266"," 86200.000"," 96719.521","155516.821","154000.000"," 95820.480"," 82300.000","135000.000"," 71197.308"," 11876.817"," 67808.492"," 11971.511"," 78046.979","103578.250","195832.604","134190.509","110000.000","102449.748","106714.933","101793.614"," 70451.133","  7110.435"," 38400.000","  6448.279"," 52657.281","  3004.094","135886.033","  8924.035","  6290.609","143071.013","231000.000","118936.139"," 87909.880"
"M557.468T1423.166","199019.02","562584.29","250667.02","331934.43","458836.87","354372.38","260000.00","455000.00","204020.49","145123.88","164335.18","204996.72","215146.99","150000.00"," 76024.85"," 26879.33"," 14892.10","292374.48","410000.00","334984.91","432231.66","683000.00","466922.50","348000.00","418000.00","419916.39"," 12881.07","308958.32"," 39046.76","204560.74","357704.93","540500.29","404711.33","312000.00","231699.35","241482.17","245033.79","327270.94"," 21219.29","110000.00"," 22606.45","248796.33"," 22049.61","301279.84"," 32785.28"," 36617.24","320273.77","282000.00","379981.12","413593.65"
