"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"C9.1",-5.0471,11.645,-2.5404,5.9565,-6.1189,2.319,-4.1782,3.3214,-5.2471,2.4912,-2.6139,2.8451,1.0026,4.753,-3.5681,-1.4322,-1.299,0.97792,0.015364,0.30488,2.2101,1.0686,0.92928,-0.62372,-0.60778,-1.3417,1.5623,0.23981,0.30925,7.9233e-16
"C9.2",-20.995,-1.2766,-6.1314,-4.1139,-17.679,0.94258,1.0446,4.6805,-2.037,2.3572,4.7945,-4.2511,-0.23809,-2.0653,2.6504,-1.8053,-0.52987,0.72013,0.37771,-0.34434,-0.058983,0.44921,0.98966,0.1881,-0.13545,-0.166,0.072028,0.66413,0.29328,4.2008e-15
"C9.3",-2.2163,-2.7659,-1.9573,0.55707,-6.1889,1.886,7.8276,-2.9398,-1.0369,-1.1299,-2.4647,4.6858,-2.1898,0.72505,0.28391,-1.1096,-1.5585,-0.43311,4.5138,-0.84006,-2.8932,0.31205,-0.1811,0.29834,-0.75345,0.40773,-1.9502,-0.12359,1.6159,3.0163e-15
"C9.4",-1.5021,1.7223,2.624,-1.9598,-9.8798,-1.3115,0.10409,-2.723,0.10418,-0.64356,-3.185,-1.461,1.7148,0.74194,0.068534,3.0815,-0.85237,-2.1472,-3.4766,-2.0737,-2.5393,-1.18,-1.1773,-1.4219,-0.043713,1.6199,2.2388,-1.2573,1.8759,4.3217e-15
"X9.1",3.891,0.18656,7.5727,-2.8619,-6.724,-3.9921,-0.59896,-4.2358,-0.33563,-1.0593,-2.5397,-0.19605,1.3368,-0.63218,-0.77424,-0.65719,-1.2034,1.0435,0.12092,0.50256,-1.0352,-2.3412,0.3669,-0.67553,3.1498,-1.8629,-0.65033,3.0607,-2.9827,4.6404e-15
"X9.2",-0.10767,-5.5703,-5.6235,-1.0817,-2.2337,0.94972,8.3353,0.19612,2.3884,-2.3393,-2.2882,0.6915,-2.7476,0.26427,-0.71864,-1.4191,0.29105,0.25572,-3.1127,-0.77017,1.477,0.44101,1.2387,1.2279,-1.98,1.4339,0.96725,-0.74146,-3.7796,8.1532e-16
"X9.3",2.7592,-8.8814,-10.568,-0.47387,4.3301,-4.0148,-8.6553,-1.0827,2.7162,-4.1349,1.3652,-0.31419,-2.7372,1.5496,0.16061,-0.28009,-3.0659,-1.9541,0.074389,0.49602,-1.2544,0.35449,2.1727,2.062,0.14814,-0.014141,1.4327,1.6713,0.98526,-4.7922e-16
"X9.4",4.4169,5.1062,3.5481,1.6169,0.34648,2.4299,-5.1567,4.5105,1.7295,-2.3863,0.92786,0.40874,-0.90131,0.60295,-0.54759,-3.6317,2.621,-3.4038,-1.1793,-1.596,-0.12343,-2.2408,-0.31319,-2.5416,-1.6561,0.9572,-2.656,1.1457,0.086064,2.7196e-15
"D9.1",-0.35961,-5.9769,-6.1308,2.7955,-1.0282,1.3379,-5.5787,0.59054,-0.3222,-3.2278,-3.9869,-4.1371,1.188,0.94243,0.76435,0.73216,3.9778,0.78197,4.0334,-1.0367,-0.14574,1.937,-0.62218,-0.56073,1.2878,1.0244,0.28291,-1.3245,-1.4796,2.5346e-15
"D9.2",-1.6725,9.9355,-0.19486,2.494,-6.7677,4.0726,-4.9933,2.1842,1.95,-2.493,0.84465,4.8541,-2.9494,-3.8618,0.85515,5.1011,1.0668,0.19726,0.18616,1.7661,0.85569,-0.62739,-1.0181,0.36257,-0.37068,-1.4376,0.27783,-0.50299,-0.69946,1.9516e-16
"D9.3",2.6707,24.35,-9.8808,-20.428,7.9967,3.8108,0.21951,-3.9763,-3.1702,0.15458,-0.17667,-0.92524,-0.26803,-1.4137,-1.094,-0.65287,0.67959,0.13285,0.085675,0.024524,-0.45669,0.043932,0.025205,-0.041924,0.21611,0.16562,0.14848,0.01017,0.17552,-4.061e-15
"D9.4",-0.14271,-3.275,-7.6195,6.7465,2.7663,3.0866,6.3094,-0.86999,-1.541,-2.2279,-0.94834,-1.4339,-0.98987,0.97076,1.9649,-0.61024,1.1293,-1.3921,-2.8576,3.6843,0.82659,0.83749,-0.15909,-1.6691,2.9683,-2.3528,-0.92931,-0.32587,1.6851,1.7729e-15
"F9.1",0.25492,0.65762,0.38738,5.3221,-0.8256,-8.1413,-1.78,-6.4217,-6.8132,-1.2222,5.1843,1.5162,-1.0724,0.47976,-0.47284,-0.79842,0.70186,0.91487,-1.0616,0.56318,0.064699,1.9085,-3.5378,-0.26635,-0.25807,1.9331,-0.38666,-0.11809,-0.77982,4.542e-15
"F9.2",10.883,7.2089,-4.4384,9.0165,0.89706,0.13054,-2.2756,-3.8436,6.1676,0.33728,-0.90175,0.55092,3.2751,-2.074,2.203,-4.1732,0.20582,3.8881,-0.69966,0.64917,-1.1871,-1.1744,-0.69131,0.68149,-1.7472,-0.81916,0.89737,-0.79771,0.94108,5.9421e-15
