"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK.2","QC.1","QC.2","QC.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other"
"sodium_formate","4070413.164","3874278.07","3824225.78","4055654.438","3969364.476","3963523.235","3748519.024","4093395.228","3922085.165","4081197.404","3906272.338","4398137.214","3999488.086","3978044.09","3825767.55","4040030.701","3680698.477","4066641.635","3879395.65","4076296.312"
"M697.459T1191.472","55684.876","31896.562","37098.796","71562.789","111944.303","48654.17","665881.902","51152.706","30936.349","58400","23958.044","3987.1729","105354.099","67484.42","66900","131000","797.43458","147331.1733","99500","139952.827"
"M695.447T1189.727","83081.174","85123.951","98764.798","99779.163","105915.184","87808.375","128651.828","91936.174","94806.809","107000","81972.152","11746.8246","97142.53","92575.631","82400","122000","13450.2944","126048.9958","134000","125924.459"
"M917.581T1308.231","34368.139","39887.509","67059.285","41747.83","47160.955","44049.13","69950.821","32592.502","38489.281","21200","13771.314","7160.4891","45448.735","68485.376","27800","50300","2115.8657","61374.9686","67700","46004.327"
"M810.529T1306.211","213262.994","118128.393","209014.243","228748.6","203936.529","194861.675","119442.394","209988.837","182671.64","204000","112037.812","38500.1179","299577.864","216925.928","199000","228000","48631.3265","230287.0154","220000","193932.61"
"M385.182T1540.093","294599.375","406658.816","202483.247","308730.483","222388.915","202100.962","199966.87","147321.776","170852.391","317000","167310.542","155254.9021","259132.135","224991.554","524000","212000","148508.3789","172891.3326","198000","196275.241"
"M441.228T1306.216","261605.726","251885.263","307642.299","306964.215","215245.706","270183.793","208657.016","196752.29","232188.034","292000","152518.141","47892.0152","282070.504","252492.58","242000","225000","43358.4547","207081.4396","255000","247598.952"
"M711.445T1221.644","58457.913","53010.795","50978.457","82090.413","88703.875","53254.345","103285.031","55463.079","42774.535","57400","43321.796","10203.841","65139.613","63334.344","49300","78400","5467.3746","77338.2661","86200","96719.521"
"M557.468T1423.166","199019.015","562584.292","250667.015","331934.427","204020.494","145123.879","164335.182","204996.718","215146.995","150000","76024.845","26879.3274","458836.872","354372.383","260000","455000","14892.0994","292374.4778","410000","334984.908"
"M679.436T1338.726","219264.282","183868.945","226053.862","282101.502","281515.631","221283.13","268682.991","180811.476","203130.698","143000","147167.781","81548.8049","362081.721","258822.43","212000","329000","122476.9514","359010.1836","452000","377428.723"
"M589.459T1372.544","18198.211","115326.556","43119.788","86416.853","69205.068","38320.483","70375.896","25582.141","36156.258","29100","9869.014","20803.9564","107743.117","67575.905","29700","160000","3998.0049","104409.0261","118000","84365.09"
"M681.469T1408.485","171388.88","160621.745","168156.22","314539.183","380164.145","232317.245","355429.749","196123.724","207110.618","167000","116647.311","98855.8047","453876.108","238162.945","227000","450000","112389.2869","518672.1418","584000","525769.479"
"M695.451T1225.817","131814.717","134866.193","145598.535","165873.252","191847.098","145608.294","225458.181","131072.654","143600.136","163000","124055.045","29981.8786","173047.698","152494.052","129000","197000","42074.5013","225171.3505","254000","228577.635"
"M285.134T1052.907","234797.083","201747.304","300894.361","199216.489","179949.771","176537.1","18417.793","153966.828","127821.785","286000","232313.41","5330.2647","220358.896","256618.621","192000","160000","2482.1616","160927.1464","191000","153403.204"
"M681.469T1389.183","163313.902","154095.195","163965.731","322227.404","368577.224","207141.428","347915.206","192312.388","174727.49","157000","110750.118","95071.8578","444405.459","235561.093","223000","423000","104816.5992","504877.2227","571000","503253.844"
"M680.474T1439.81","166861.342","142681.859","185464.052","161118.469","235862.297","188803.261","202268.301","135770.106","140539.807","158000","121518.438","173865.68","197629.532","197797.262","157000","207000","185956.928","255051.3497","283000","281276.639"
"M574.467T1456.399","164944.38","54043.66","103990.515","113555.375","134725.954","93186.771","120652.644","105149.06","55210.133","86900","29038.979","99358.252","172111.591","106702.193","138000","249000","19965.2981","157050.0698","210000","185858.483"
"M565.421T1295.888","67494.509","60386.758","58316.4","85393.954","105188.257","70201.2","137772.18","51088.143","77583.398","47600","38843.291","23258.9584","117777.246","78103.042","91100","117000","18101.2807","99801.8564","108000","102116.583"
"M681.474T1424.253","164193.655","167515.132","173417.992","318947.215","335180.749","197036.275","202096.746","178457.822","184424.594","175000","133619.604","105579.5211","453221.947","231543.235","215000","394000","123928.6004","480019.3125","558000","486101.147"
"M569.292T994.771","98244.805","65010.35","158380.255","112910.715","95503.679","88371.643","15846.702","106285.971","71958.759","183000","132273.614","5448.2648","126472.113","131740.63","123000","111000","2515.551","102229.2876","111000","104590.73"
"M989.67T1341.992","44760.975","43297.096","108639.187","88064.003","64403.227","72691.615","52229.547","45807.369","36806.479","26700","34716.32","5340","59987.694","150434.286","97700","37500","5340","51943.2607","62800","154782.107"
