"","sample","condition","sodium_formate","M697.459T1191.472","M695.447T1189.727","M917.581T1308.231","M810.529T1306.211","M385.182T1540.093","M441.228T1306.216","M711.445T1221.644"
"1","C9.1","First-tp_Control",4070413.164,55684.876,83081.174,34368.139,213262.994,294599.375,261605.726,58457.913
"2","C9.2","First-tp_Control",3874278.07,31896.562,85123.951,39887.509,118128.393,406658.816,251885.263,53010.795
"3","C9.3","First-tp_Control",3824225.78,37098.796,98764.798,67059.285,209014.243,202483.247,307642.299,50978.457
"4","C9.4","First-tp_Control",4055654.438,71562.789,99779.163,41747.83,228748.6,308730.483,306964.215,82090.413
"5","X9.1","First-tp_Xanthomonas",3999488.086,105354.099,97142.53,45448.735,299577.864,259132.135,282070.504,65139.613
"6","X9.2","First-tp_Xanthomonas",3978044.09,67484.42,92575.631,68485.376,216925.928,224991.554,252492.58,63334.344
"7","X9.3","First-tp_Xanthomonas",3825767.55,66900,82400,27800,199000,524000,242000,49300
"8","X9.4","First-tp_Xanthomonas",4040030.701,131000,122000,50300,228000,212000,225000,78400
"9","D9.1","First-tp_Drought",3969364.476,111944.303,105915.184,47160.955,203936.529,222388.915,215245.706,88703.875
"10","D9.2","First-tp_Drought",3963523.235,48654.17,87808.375,44049.13,194861.675,202100.962,270183.793,53254.345
"11","D9.3","First-tp_Drought",3748519.024,665881.902,128651.828,69950.821,119442.394,199966.87,208657.016,103285.031
"12","D9.4","First-tp_Drought",4093395.228,51152.706,91936.174,32592.502,209988.837,147321.776,196752.29,55463.079
"13","F9.1","First-tp_Fusarium",3922085.165,30936.349,94806.809,38489.281,182671.64,170852.391,232188.034,42774.535
"14","F9.2","First-tp_Fusarium",4081197.404,58400,107000,21200,204000,317000,292000,57400
"15","F9.3","First-tp_Fusarium",3906272.338,23958.044,81972.152,13771.314,112037.812,167310.542,152518.141,43321.796
"16","F9.4","First-tp_Fusarium",4398137.214,3987.1729,11746.8246,7160.4891,38500.1179,155254.9021,47892.0152,10203.841
"17","BLANK.2","Other",3680698.477,0,13450.2944,2115.8657,48631.3265,148508.3789,43358.4547,5467.3746
"18","QC.1","Other",4066641.635,147331.1733,126048.9958,61374.9686,230287.0154,172891.3326,207081.4396,77338.2661
"19","QC.2","Other",3879395.65,99500,134000,67700,220000,198000,255000,86200
"20","QC.3","Other",4076296.312,139952.827,125924.459,46004.327,193932.61,196275.241,247598.952,96719.521
