"",f.value,p.value,-log10(p),FDR,Fisher's LSD (top 1000)
M1076.413T957.42,10.549,0.0014466,2.8397,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; First-tp_Xanthomonas - First-tp_Drought
M353.341T1488.518,8.6221,0.0031509,2.5016,0.47705,First-tp_Control - First-tp_Drought; First-tp_Fusarium - First-tp_Control; First-tp_Control - First-tp_Xanthomonas; First-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - First-tp_Xanthomonas
M1017.38T900.968,8.6069,0.0031718,2.4987,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M910.351T957.42,8.3985,0.0034747,2.4591,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M733.253T876.34,7.9182,0.0043133,2.3652,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; First-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - First-tp_Xanthomonas
M852.32T958.31,7.8996,0.0043502,2.3615,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; First-tp_Fusarium - First-tp_Drought
M640.427T1423.35,7.8373,0.004477,2.349,0.47705,First-tp_Control - First-tp_Fusarium; First-tp_Xanthomonas - First-tp_Control; First-tp_Drought - First-tp_Fusarium; First-tp_Xanthomonas - First-tp_Fusarium
M849.321T917.809,7.5515,0.0051168,2.291,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M679.553T1406.451,7.5327,0.0051625,2.2871,0.47705,First-tp_Drought - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; First-tp_Drought - First-tp_Fusarium; First-tp_Xanthomonas - First-tp_Fusarium
M449.365T1540.699,7.4719,0.0053138,2.2746,0.47705,First-tp_Xanthomonas - First-tp_Control; First-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium
M367.15T410.425,7.3483,0.0056379,2.2489,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control
