"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","X9.1","X9.2","X9.3","X9.4"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas"
"M697.459T1191.472","-0.154637682","-0.527150186","-0.406783128"," 0.032048795"," 0.376031621","-0.234124514"," 1.726015178","-0.221040675","-0.558568271","-0.121656492","-0.743119187"," 0.325978355"," 0.003178912"," 0.025429790"," 0.478397485"
"M695.447T1189.727","-0.311180628","-0.181836793"," 0.101929723"," 0.016717137"," 0.159245151","-0.167310268"," 0.601155412","-0.143265247","-0.014233048"," 0.128356947","-0.262511487","-0.005814793","-0.080914009","-0.216812995"," 0.376474897"
"M917.581T1308.231","-0.16527701"," 0.03006069"," 0.55457411"," 0.02989476"," 0.17116399"," 0.10537976"," 0.61584965","-0.22307301","-0.01716618","-0.64375047","-1.02553126"," 0.12729174"," 0.53645946","-0.31312940"," 0.21725316"
"M810.529T1306.211"," 0.11450983","-0.58475512"," 0.16910156"," 0.20974387"," 0.08922066"," 0.03232791","-0.52784378"," 0.08725321","-0.03753781"," 0.05373455","-0.66375297"," 0.57618350"," 0.16615570"," 0.10516350"," 0.21049538"
"M385.182T1540.093"," 0.18597269"," 0.60028423","-0.16239044"," 0.24223841","-0.09939769","-0.20437075","-0.15404304","-0.59265440","-0.37985868"," 0.26470107","-0.39870333"," 0.06259631","-0.08886459"," 0.89687461","-0.17238440"
"M441.228T1306.216"," 0.07130948"," 0.08896725"," 0.41539246"," 0.32195219","-0.18913469"," 0.16155015","-0.14904291","-0.37398929","-0.05463625"," 0.23572635","-0.69260272"," 0.21369664"," 0.05214645"," 0.04691521","-0.14825031"
"M711.445T1221.644","-0.09086998","-0.15338174","-0.18705924"," 0.35208537"," 0.47986585","-0.17686276"," 0.75021656","-0.16602371","-0.44617110","-0.11786022","-0.42454550"," 0.07152569"," 0.04218565","-0.23079643"," 0.29769157"
"M557.468T1423.166","-0.18815029"," 0.80371147"," 0.07893396"," 0.28127078","-0.14262817","-0.45166991","-0.28756973","-0.16631495","-0.08332416","-0.44821603","-1.02752633"," 0.58898485"," 0.35847895"," 0.11187660"," 0.57214296"
"M679.436T1338.726","-0.07970187","-0.24038229"," 0.03812173"," 0.24455484"," 0.26919816","-0.03431939"," 0.28263085","-0.33144016","-0.12956303","-0.62525831","-0.53324678"," 0.57886705"," 0.15981516","-0.04381098"," 0.44453502"
"M589.459T1372.544","-0.7438432"," 0.6885032","-0.0449471"," 0.4359027"," 0.2843425","-0.1611278"," 0.3402678","-0.4907870","-0.1971093","-0.3911877","-1.1750683"," 0.6130830"," 0.2646936","-0.3269377"," 0.9042155"
"M681.469T1408.485","-0.360351915","-0.376321209","-0.315686298"," 0.269038081"," 0.486458387","-0.019507881"," 0.476122873","-0.227241218","-0.127023440","-0.389808926","-0.714425895"," 0.661281162"," 0.002331245","-0.006915705"," 0.642050740"
"M695.451T1225.817","-0.29206687","-0.17991277","-0.04090812"," 0.07022771"," 0.32935760","-0.09632527"," 0.66871895","-0.30956518","-0.10156682"," 0.03336788","-0.32234501"," 0.15758005","-0.03029609","-0.22937114"," 0.34310509"
"M285.134T1052.907"," 0.22557684"," 0.14190672"," 0.47942012"," 0.09417073"," 0.02858237"," 0.01412986","-1.78849786","-0.12409460","-0.24131462"," 0.38472602"," 0.25053926"," 0.18805472"," 0.31701784"," 0.11171602","-0.08193341"
"M681.469T1389.183","-0.35851169","-0.36736332","-0.29112568"," 0.33514431"," 0.49342539","-0.09013352"," 0.49297227","-0.19828341","-0.25223767","-0.40122887","-0.71105449"," 0.67569544"," 0.03668683"," 0.02067851"," 0.61533589"
