"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK.2","QC.1","QC.2","QC.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other"
"sodium_formate","4070413","3874278","3824226","4055654","3969364","3963523","3748519","4093395","3922085","4081197","3906272","4398137","3999488","3978044","3825768","4040031","3680698","4066642","3879396","4076296"
"M697.459T1191.472"," 55684.876"," 31896.562"," 37098.796"," 71562.789","111944.303"," 48654.170","665881.902"," 51152.706"," 30936.349"," 58400.000"," 23958.044","  3987.173","105354.099"," 67484.420"," 66900.000","131000.000","     0.000","147331.173"," 99500.000","139952.827"
"M695.447T1189.727"," 83081.17"," 85123.95"," 98764.80"," 99779.16","105915.18"," 87808.38","128651.83"," 91936.17"," 94806.81","107000.00"," 81972.15"," 11746.82"," 97142.53"," 92575.63"," 82400.00","122000.00"," 13450.29","126049.00","134000.00","125924.46"
"M917.581T1308.231","34368.139","39887.509","67059.285","41747.830","47160.955","44049.130","69950.821","32592.502","38489.281","21200.000","13771.314"," 7160.489","45448.735","68485.376","27800.000","50300.000"," 2115.866","61374.969","67700.000","46004.327"
"M810.529T1306.211","213262.99","118128.39","209014.24","228748.60","203936.53","194861.67","119442.39","209988.84","182671.64","204000.00","112037.81"," 38500.12","299577.86","216925.93","199000.00","228000.00"," 48631.33","230287.02","220000.00","193932.61"
"M385.182T1540.093","294599.4","406658.8","202483.2","308730.5","222388.9","202101.0","199966.9","147321.8","170852.4","317000.0","167310.5","155254.9","259132.1","224991.6","524000.0","212000.0","148508.4","172891.3","198000.0","196275.2"
"M441.228T1306.216","261605.73","251885.26","307642.30","306964.22","215245.71","270183.79","208657.02","196752.29","232188.03","292000.00","152518.14"," 47892.02","282070.50","252492.58","242000.00","225000.00"," 43358.45","207081.44","255000.00","247598.95"
"M711.445T1221.644"," 58457.913"," 53010.795"," 50978.457"," 82090.413"," 88703.875"," 53254.345","103285.031"," 55463.079"," 42774.535"," 57400.000"," 43321.796"," 10203.841"," 65139.613"," 63334.344"," 49300.000"," 78400.000","  5467.375"," 77338.266"," 86200.000"," 96719.521"
"M557.468T1423.166","199019.02","562584.29","250667.02","331934.43","204020.49","145123.88","164335.18","204996.72","215146.99","150000.00"," 76024.85"," 26879.33","458836.87","354372.38","260000.00","455000.00"," 14892.10","292374.48","410000.00","334984.91"
"M679.436T1338.726","219264.3","183868.9","226053.9","282101.5","281515.6","221283.1","268683.0","180811.5","203130.7","143000.0","147167.8"," 81548.8","362081.7","258822.4","212000.0","329000.0","122477.0","359010.2","452000.0","377428.7"
"M589.459T1372.544"," 18198.211","115326.556"," 43119.788"," 86416.853"," 69205.068"," 38320.483"," 70375.896"," 25582.141"," 36156.258"," 29100.000","  9869.014"," 20803.956","107743.117"," 67575.905"," 29700.000","160000.000","  3998.005","104409.026","118000.000"," 84365.090"
"M681.469T1408.485","171388.9","160621.7","168156.2","314539.2","380164.1","232317.2","355429.7","196123.7","207110.6","167000.0","116647.3"," 98855.8","453876.1","238162.9","227000.0","450000.0","112389.3","518672.1","584000.0","525769.5"
"M695.451T1225.817","131814.72","134866.19","145598.54","165873.25","191847.10","145608.29","225458.18","131072.65","143600.14","163000.00","124055.04"," 29981.88","173047.70","152494.05","129000.00","197000.00"," 42074.50","225171.35","254000.00","228577.64"
"M285.134T1052.907","234797.083","201747.304","300894.361","199216.489","179949.771","176537.100"," 18417.793","153966.828","127821.785","286000.000","232313.410","  5330.265","220358.896","256618.621","192000.000","160000.000","  2482.162","160927.146","191000.000","153403.204"
"M681.469T1389.183","163313.90","154095.20","163965.73","322227.40","368577.22","207141.43","347915.21","192312.39","174727.49","157000.00","110750.12"," 95071.86","444405.46","235561.09","223000.00","423000.00","104816.60","504877.22","571000.00","503253.84"
"M680.474T1439.81","166861.3","142681.9","185464.1","161118.5","235862.3","188803.3","202268.3","135770.1","140539.8","158000.0","121518.4","173865.7","197629.5","197797.3","157000.0","207000.0","185956.9","255051.3","283000.0","281276.6"
"M574.467T1456.399","164944.38"," 54043.66","103990.51","113555.38","134725.95"," 93186.77","120652.64","105149.06"," 55210.13"," 86900.00"," 29038.98"," 99358.25","172111.59","106702.19","138000.00","249000.00"," 19965.30","157050.07","210000.00","185858.48"
"M565.421T1295.888"," 67494.51"," 60386.76"," 58316.40"," 85393.95","105188.26"," 70201.20","137772.18"," 51088.14"," 77583.40"," 47600.00"," 38843.29"," 23258.96","117777.25"," 78103.04"," 91100.00","117000.00"," 18101.28"," 99801.86","108000.00","102116.58"
"M681.474T1424.253","164193.7","167515.1","173418.0","318947.2","335180.7","197036.3","202096.7","178457.8","184424.6","175000.0","133619.6","105579.5","453221.9","231543.2","215000.0","394000.0","123928.6","480019.3","558000.0","486101.1"
"M569.292T994.771"," 98244.805"," 65010.350","158380.255","112910.715"," 95503.679"," 88371.643"," 15846.702","106285.971"," 71958.759","183000.000","132273.614","  5448.265","126472.113","131740.630","123000.000","111000.000","  2515.551","102229.288","111000.000","104590.730"
"M989.67T1341.992"," 44760.97"," 43297.10","108639.19"," 88064.00"," 64403.23"," 72691.62"," 52229.55"," 45807.37"," 36806.48"," 26700.00"," 34716.32","     0.00"," 59987.69","150434.29"," 97700.00"," 37500.00","     0.00"," 51943.26"," 62800.00","154782.11"
"M379.265T1245.233","166729.44","138740.36","125709.24","151748.21","137822.86","160708.33","180900.72","133368.38","134735.16","150000.00","142210.46"," 69623.09","144736.42","134670.41","178000.00","143000.00"," 71535.53","152067.89","132000.00","144943.70"
"M679.452T1355.733","227084.94","183868.95","226053.86","320695.42","288669.56","228092.92","268682.99","180811.48","209056.93","205000.00","151438.28"," 84643.05","362081.72","258822.43","212000.00","341000.00","126258.78","370953.75","492000.00","387157.15"
"M713.46T1208.68"," 68820.709"," 25051.256"," 12831.842"," 60654.609","150949.803"," 34143.797","126512.555"," 36762.569"," 41635.713"," 32000.000"," 68573.418","  4248.768"," 74155.234"," 32623.865"," 59700.000","119000.000","  7077.427","144662.442","131000.000","137325.694"
"M711.444T1322.388","121463.84","121444.61","116726.74","153795.32","152855.29","120245.20","163101.92","106716.29","111145.42","111000.00"," 89774.79"," 36827.94","142993.89","124157.19","109000.00","142000.00"," 32307.62","154409.80","160000.00","172736.87"
"M637.414T1384.421","112192.09"," 90000.60"," 98339.30","141939.69","137662.60","123541.24","139327.25","104924.70","109516.49","128000.00"," 75374.48"," 42060.98","127573.94","113850.43","124000.00","172000.00"," 41628.81","139944.60","160000.00","143226.42"
"M637.411T1406.122","108662.69"," 95801.95"," 98967.77","136582.20","115642.99","121914.02","119802.51","114415.58","103849.16","120000.00"," 71203.22"," 43729.97","132442.91","118372.35","122000.00","157000.00"," 45964.12","134487.10","173000.00","145857.17"
"M729.452T1109.944"," 56554.445"," 36232.915"," 41034.807"," 65154.602"," 79221.743"," 59173.038","159957.925"," 31143.685"," 35665.803"," 46600.000"," 26610.278"," 14884.097"," 56790.368"," 50748.945"," 45800.000"," 74900.000","  7647.472","101677.777"," 95800.000"," 84450.709"
"M571.365T1456.373","145551.78","120743.00","120616.52","110073.84","161165.25","106444.88","167646.29","164800.99","144653.59","115000.00","105962.87"," 62439.41","156583.66","137318.74","136000.00","200000.00"," 53371.88","180179.40","166000.00","172555.32"
"M865.579T1358.969"," 2110.547","    0.000","    0.000"," 4769.633","30687.015"," 5492.809","18913.122","17250.962"," 2480.436","10000.000"," 2774.337"," 5039.353","    0.000"," 2937.840","29800.000","15000.000"," 2250.955","19540.423"," 9280.000"," 4283.683"
"M867.584T1358.969","24579.920","19729.055"," 4183.538"," 3041.300","31251.513","13235.168","38980.397","26404.247"," 3228.639","19000.000"," 4724.904"," 7389.607"," 5356.638","29171.286","10800.000","47100.000"," 6016.550","32248.813","20500.000","24506.329"
"M682.472T1373.006"," 65050.93"," 71016.98"," 83430.54","133081.70","148728.39"," 87645.69","215892.39"," 94755.96"," 69424.21"," 72400.00"," 57251.11"," 32223.33","214440.43"," 91621.97"," 93200.00","173000.00"," 45161.74","248173.68","242000.00","223915.97"
"M589.459T1264.044","13279.696","13540.329","13810.302","27831.414","33645.142","14119.026","90809.208","24190.331"," 4303.151","18400.000","10364.304"," 4440.873","25035.778","20093.651","23400.000","79100.000"," 2649.856","41309.870","31000.000","47899.939"
"M633.478T1401.37"," 520225.6"," 558801.3"," 619174.1"," 871213.8"," 683083.0"," 625790.1"," 673145.9"," 546672.2"," 599345.1"," 566000.0"," 227635.2"," 245904.6","1154979.4"," 797119.5"," 804000.0","1370000.0"," 184877.2"," 862132.3","1030000.0"," 794202.7"
"M646.455T1423.013"," 56562.53"," 42722.07"," 59941.96"," 71025.51"," 93411.88"," 52752.40"," 51202.78"," 58048.49"," 61331.79"," 51100.00"," 32868.47"," 21304.45"," 95911.75"," 88298.42"," 72200.00","139000.00"," 17758.45"," 93340.98"," 80300.00","115337.12"
"M881.484T1273.289","234436.861","224334.317","295351.767","395072.078","206434.352","207850.267","235159.555","199951.400","223908.501","328000.000","162316.082","  5558.845","431243.777","285459.036","169000.000","207000.000","  4869.613","191224.220","244000.000","206198.924"
"M637.412T1422.711","102360.04"," 87864.47"," 95625.61","131375.89","124619.37","116923.50","109075.69","110345.84","103849.16","113000.00"," 68419.36"," 43760.51","127373.85","105525.04","117000.00","160000.00"," 45972.91","134560.52","170000.00","143241.16"
"M591.474T1330.445","130661.57","127396.93","138825.94","217333.46","248322.17","101285.98","351658.96","140083.60","191476.82","173000.00"," 52584.29"," 37309.05","353241.91","173267.90","246000.00","434000.00"," 24422.22","287457.34","333000.00","298150.85"
"M645.45T1333.909","228230.31","181888.61","235718.91","294292.08","287004.32","250695.59","383452.11","196992.66","236474.71","256000.00","184170.23"," 29668.58","305647.06","223455.52","230000.00","370000.00"," 52065.19","284974.03","280000.00","323479.91"
"M826.523T1305.342","197191.908","187211.309","245172.807","283553.354","171336.875","164270.966","260692.728","162109.384","135490.556","209000.000","103494.941"," 11098.436","339973.807","236754.851","180000.000","182000.000","  7183.433","190334.308","227000.000","202089.747"
"M593.485T1401.37","134163.81","140952.95","164720.02","232764.21","204381.89","168325.47","222887.42","183028.34","221155.84","169000.00"," 78431.48"," 51432.61","295872.33","196269.80","268000.00","335000.00"," 53538.40","272104.30","284000.00","261169.05"
"M591.474T1402.346","149877.39","143453.08","161171.66","235634.37","257745.91","110096.17","333164.76","157512.38","197774.13","183000.00"," 56710.09"," 49540.83","369627.76","194263.35","277000.00","451000.00"," 33767.18","296974.53","354000.00","311222.55"
"M1123.351T817.469"," 47819.68"," 52727.53"," 87763.36"," 87167.60"," 51593.00"," 64329.03"," 34454.38"," 75015.69"," 56038.69","110000.00"," 69757.53"," 15926.19"," 94060.55"," 78405.80"," 69800.00"," 76600.00"," 22717.89"," 59455.66"," 76400.00"," 53650.73"
"M645.458T1212.039","214794.36","174822.90","224920.03","266368.11","265379.75","231828.02","379772.63","190063.27","213711.84","250000.00","160778.17"," 20779.45","270329.99","206351.15","215000.00","329000.00"," 44646.89","250875.14","248000.00","278478.36"
"M555.363T1275.021"," 73820.284"," 70668.299"," 42519.672"," 44161.861"," 81566.274"," 50411.570","191373.692","174683.522"," 71882.040"," 63300.000"," 46081.675","  5844.119"," 69872.341"," 56525.348"," 64500.000"," 96600.000","  5001.739","159603.355"," 77200.000","137867.184"
"M277.217T1187.469","1825758.35","1767010.63"," 578028.20"," 803689.57","1049411.83","1510710.87"," 297575.00","3818136.10","1571663.52","1260000.00","1471454.75","  32997.73"," 485415.97","1155627.48","1200000.00","1700000.00","  45013.30","2851078.65"," 814000.00","2637313.89"
"M670.528T1488.279"," 49964.27"," 50338.61"," 52886.87"," 78614.75"," 87543.68"," 60495.63"," 53331.26"," 54640.54"," 52689.10"," 46200.00"," 44933.99"," 27967.04","102981.52"," 63342.49"," 55300.00"," 92200.00"," 29389.64"," 80787.91","104000.00"," 86021.57"
"M679.449T1212.039","295935.62","166202.51","240559.22","296747.65","343084.54","326322.50","436666.20","296958.98","264387.25","372000.00","389554.60"," 43065.51","289273.35","293020.22","266000.00","428000.00"," 66502.54","433975.26","433000.00","421120.22"
"M697.464T1209.593","205644.125","190851.008","435547.270","319486.732","244886.114","187143.289","664964.577","150659.348","269396.939"," 84600.000","118530.821"," 10143.892","519328.990","293704.638","191000.000","259000.000","  4971.883","425998.173","515000.000","423119.869"
