"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"M697.459T1191.472",0.031045,0.028304,0.045729,0.0010945,0.016417,0.023273,0.0072841,0.015685,-0.047423,0.0090406,-0.0066334,0.0059669,-0.0028015,-0.012851,0.067814
"M695.447T1189.727",0.012444,0.0083137,0.015479,0.004152,-0.0022854,0.0065591,0.0019356,0.0073217,-0.010348,0.023943,-0.0067516,0.036519,-0.015466,0.02762,-0.52023
"M917.581T1308.231",-0.0047063,0.013848,0.043339,0.0087047,-0.01231,0.020969,0.041759,0.009761,0.018126,-0.0054795,-0.0015569,0.032702,-0.040493,-0.0073401,-0.22211
"M810.529T1306.211",0.0020917,-0.01991,0.016294,0.029076,-0.00044015,0.015964,0.023693,-0.0034878,-0.0050432,-0.012533,0.00599,-0.019775,0.014027,-0.012275,0.36973
"M385.182T1540.093",-0.010851,0.00023318,0.015186,-6.2041e-05,0.033275,0.0026869,-0.042787,-0.040553,-0.0039408,-0.008137,0.059738,-0.030563,0.020121,0.019822,0.23754
"M441.228T1306.216",-0.0064456,-0.00063561,0.016545,0.022553,-0.0035706,0.01086,-0.00061206,-0.042279,0.021792,-0.0062278,0.017974,-0.0066935,-0.0022379,0.021474,-0.19084
"M711.445T1221.644",0.0093276,0.014656,0.023936,0.0047591,0.0068426,0.024558,0.0013043,0.0093152,-0.049199,0.0028918,-0.018424,0.0061605,-0.028545,0.013866,-0.091423
"M557.468T1423.166",-0.023981,-0.0013877,0.03982,0.01989,0.004105,0.0096891,0.0020909,0.027465,-0.0098639,0.04662,0.048377,-0.0094604,0.013871,0.0048547,0.11696
"M679.436T1338.726",0.00067035,0.0053407,0.030988,0.022526,0.0059216,0.0098745,0.01226,0.037696,-0.019798,-0.023391,0.0012281,0.014142,-0.0096572,-0.01725,-0.39641
"M589.459T1372.544",-0.013168,0.011853,0.052662,0.030062,0.0074474,0.027082,-0.015611,0.041961,-0.015786,0.064371,-0.00090899,0.034062,-0.029821,0.010966,-0.2134
"M681.469T1408.485",0.010073,0.0037164,0.037829,0.025159,0.018268,0.012753,0.0029981,0.041825,-0.030567,0.0058218,-0.024392,0.011007,-0.010226,-0.017947,-0.11857
"M695.451T1225.817",0.011918,0.011038,0.020267,0.0088482,0.0035613,0.0096201,-0.0038603,0.0085949,-0.020621,0.014741,-0.012315,0.036585,-0.024932,0.0056417,-0.30942
"M285.134T1052.907",-0.023934,-0.036548,-0.023981,0.016971,-0.0094732,0.025197,-0.016638,-0.02242,0.0029247,-0.023485,0.041756,0.0060841,0.006492,-0.0049744,0.088871
"M681.469T1389.183",0.0095714,0.0037892,0.039742,0.023395,0.015904,0.016831,0.00032365,0.041276,-0.037935,0.0016803,-0.022,0.0063569,-0.0059131,-0.014135,-0.19258
"M680.474T1439.81",0.0052024,0.0045509,0.022814,0.0098013,0.0091786,0.027092,0.010552,0.001683,-0.007087,-0.016394,-0.0020597,0.044115,-0.025688,-0.025097,0.0024023
"M574.467T1456.399",0.010208,-0.0028178,0.034581,0.024199,0.02673,0.04343,0.044298,0.012213,-0.026857,-0.0076014,0.031738,-0.013353,0.032869,0.005316,0.0034928
"M565.421T1295.888",0.0084438,0.011112,0.039855,0.015221,0.024814,-0.003362,0.0074758,0.030543,-0.016317,-0.0090926,0.0020794,0.014261,-0.017144,-0.01922,0.0073593
"M681.474T1424.253",0.0025413,-0.0063358,0.030499,0.030872,0.012954,0.014528,-0.010214,0.040829,-0.038034,0.0016201,-0.011924,0.010821,-0.0043829,-0.015155,0.0034269
"M569.292T994.771",-0.0089757,-0.040943,-0.019038,0.015661,-0.013526,0.025796,-0.018156,-0.010735,0.0018503,-0.021479,0.035196,0.0030662,0.017048,0.011752,-0.0077333
"M989.67T1341.992",-0.0099901,-0.0063907,0.037221,-0.007656,-0.016182,0.025658,0.00030238,0.0022444,0.029419,-0.089501,0.007966,-0.018683,-0.037888,-0.01007,-0.005176
"M379.265T1245.233",0.0085725,0.012012,0.0052018,-0.0040305,0.0202,-0.0034475,-0.010836,-0.0095483,0.0087917,-0.02279,0.012083,-0.02264,0.011653,-0.00072526,-0.0073321
"M679.452T1355.733",0.0047716,0.0030772,0.027831,0.028522,0.005766,0.014462,0.0027445,0.020493,-0.024676,-0.0096011,0.0030385,0.0093297,-0.018787,-0.0037041,0.013673
"M713.46T1208.68",0.022318,0.011787,0.0072081,0.0046055,0.047871,-0.0081317,-0.005236,0.059063,-0.090815,-0.015945,-0.01725,0.0040828,-0.023559,-0.030165,0.0014633
"M711.444T1322.388",0.0021224,0.012529,0.024555,0.012003,0.0072617,0.0095759,0.0025304,0.0046237,-0.025823,-0.0021556,-0.013272,0.011363,-0.022017,0.0063848,0.0074148
"M637.414T1384.421",0.012118,0.0014874,0.021883,0.016914,0.021614,0.016974,0.0054669,0.0090613,-0.0076515,0.012097,-0.0036307,-0.0047809,-0.021393,0.020799,0.0034701
"M637.411T1406.122",0.0069854,-0.00112,0.023416,0.017499,0.014705,0.019489,0.0069562,0.010177,0.0025867,0.017184,0.0011674,-0.023224,-0.0030497,0.012766,-0.0029261
"M729.452T1109.944",0.017732,0.024597,0.030632,0.011107,0.020909,0.023056,0.0076953,-0.00018515,-0.024691,-0.011863,-0.0088174,0.014638,-0.037841,0.0016055,-0.0025347
"M571.365T1456.373",0.0076994,0.0016299,0.017396,-0.0032499,0.012341,-0.0027422,0.034664,0.033589,-0.024361,0.026109,0.011532,0.021069,0.017227,-0.015721,0.00046259
"M865.579T1358.969",0.045797,-0.013069,0.010513,-0.044288,0.071385,0.031811,0.0081439,0.024657,-0.027382,0.017449,-0.072755,-0.057172,-0.059901,0.061647,0.0030882
"M867.584T1358.969",0.011401,0.015232,0.0093008,-0.034885,0.040104,0.078242,0.043701,0.010785,-0.032092,0.082817,0.025591,0.0043985,-0.016405,-0.064672,0.0024243
"M682.472T1373.006",0.01356,0.010614,0.039892,0.017589,0.0057065,0.014663,-0.0057499,0.038945,-0.038927,0.0026033,-0.028413,0.017673,0.021759,-0.0099506,0.014759
"M589.459T1264.044",0.022249,0.017527,0.036726,-0.0041189,0.016795,0.061868,-0.0090712,0.047257,-0.05697,0.018529,-0.00083971,0.0035904,0.028145,0.036471,0.015793
"M633.478T1401.37",0.0018553,-0.00424,0.041835,0.028843,0.015382,0.019713,0.0086029,0.025857,0.0028293,0.022855,0.020148,-0.007665,0.0012769,0.0068133,0.0043771
"M646.455T1423.013",0.0035784,-0.014375,0.030674,0.021153,0.015409,0.020786,0.020278,0.042132,-0.019625,0.0074315,0.019687,0.015339,-0.022513,-0.0077558,0.010859
"M881.484T1273.289",-0.0012137,0.0011287,0.018651,0.032424,-0.03092,0.0037808,-0.013223,-0.032592,-0.020003,0.0050634,0.0092392,-0.013486,-0.0025833,-7.6182e-05,-0.0064878
"M637.412T1422.711",0.0071,-0.0042417,0.022095,0.019235,0.019632,0.017465,0.010035,0.014391,-0.0030714,0.015362,-0.0088536,-0.010291,-0.0044487,0.018477,0.0032482
"M591.474T1330.445",0.014331,0.0013923,0.04971,0.020858,0.022649,-0.00046533,0.0095625,0.021905,-0.030891,0.037788,0.020652,0.012688,0.0035095,0.01376,0.010099
"M645.45T1333.909",0.0162,0.010304,0.021662,0.019058,0.010349,0.0081042,0.001103,0.015093,-0.012819,0.0015404,-0.0039697,0.023865,-0.013482,0.018958,0.0037347
"M826.523T1305.342",0.00060905,0.0083835,0.03428,0.021019,-0.017731,0.017251,-0.0052798,-0.024713,-0.018624,-0.0083744,0.022073,-0.015101,0.020291,-0.0011313,0.0015732
"M593.485T1401.37",0.0083981,-0.0064804,0.041415,0.019895,0.01818,-0.00062046,0.0080557,0.025591,0.0056557,0.023599,0.0041986,-0.0084507,0.0052537,0.013452,0.0014812
"M591.474T1402.346",0.011867,-0.00052873,0.049556,0.020307,0.022098,0.0020897,0.011833,0.020139,-0.029091,0.034517,0.0257,0.0090614,0.0075799,0.016154,0.010498
"M1123.351T817.469",0.00063148,-0.024327,-0.0013001,0.017921,-0.025662,0.018516,-0.031705,-0.0042214,0.013299,0.0071707,0.015019,-0.00792,0.026929,0.023843,-0.003631
"M645.458T1212.039",0.016532,0.011886,0.023164,0.015558,0.010071,0.010392,0.0039304,0.0057293,-0.011283,0.0063524,-0.0045035,0.022657,-0.010087,0.022324,0.0042867
"M555.363T1275.021",0.015284,0.014854,0.016353,-0.023543,0.010826,-0.0055776,0.042322,0.020307,-0.028424,0.063293,-0.027166,-0.012735,0.049224,-0.017681,0.0079955
"M277.217T1187.469",-0.015236,-0.020523,-0.037696,-0.020052,0.02217,0.0072629,0.034975,0.023625,0.019331,0.055655,-0.012019,-0.056868,0.0043224,0.0024346,-0.0071077
"M670.528T1488.279",-0.000828,-0.005214,0.023151,0.025764,0.0093109,0.014659,-0.0042765,0.041425,-0.031483,-0.0070728,-0.020616,0.015882,-0.0037237,-0.019297,0.0047208
"M679.449T1212.039",0.026974,0.0046149,-0.0064884,0.0014887,0.0035893,0.014041,-0.0031279,0.023865,-0.015421,-0.0075353,-0.010339,0.013346,-0.021106,0.00062087,-0.00023137
"M697.464T1209.593",0.0014466,0.020709,0.046772,0.017072,-0.019428,-0.015559,0.02346,0.026645,-0.007032,-0.043887,0.004278,0.036548,-0.00080928,-0.0080834,0.0018836
"M985.571T1146.934",0.015593,0.0053282,0.011075,-0.0072031,0.006747,0.024853,0.021157,-0.040068,0.0086081,-0.0098584,-0.011615,-0.0039332,0.0021826,0.010859,-0.0018173
"M424.216T1338.866",0.013482,0.011839,0.0019983,0.0085999,0.026117,0.00052498,0.03005,0.0066907,-0.013835,-0.0040044,-0.023466,0.020185,-0.0081308,0.0060129,0.00036086
"M565.409T1275.021",0.013755,0.017456,0.038442,0.010831,0.016699,0.00023902,0.00882,0.012282,-0.023674,0.0029074,0.0038095,0.018418,-0.017501,-0.016398,0.0028841
"M698.466T1253.346",0.0030833,0.019237,0.037143,0.028149,-0.022972,0.00070567,0.013597,0.015884,-0.016715,-0.021274,-0.0046038,0.04665,-0.018275,-0.0056592,0.0045268
"M661.446T1372.452",0.0089853,-0.0024554,0.028901,0.021194,0.002737,-0.010536,-0.0084412,0.016636,-0.0013535,-0.0038868,0.0024634,0.0023514,-0.011789,0.011614,0.0080551
"M695.45T1338.973",-0.0035636,-0.0057478,0.023853,0.018046,0.012073,0.011123,-0.0031819,0.01149,-0.028163,0.016265,-0.0097426,0.02842,-0.01449,-0.017442,0.010452
"M593.49T1490.213",0.0056837,-0.0099223,0.039456,0.021321,0.01638,-0.00098608,0.0031711,0.024815,0.0083336,0.021281,0.0027271,-0.006134,0.0033568,0.011762,0.00383
"M951.567T1289.006",0.011911,-0.0071417,0.029265,0.019346,0.0082256,0.036942,-0.0043454,-0.028737,0.0037913,0.0029818,0.0036069,0.0064541,-0.0011822,-0.026666,0.0043922
"M593.489T1431.043",0.010545,-0.0047515,0.041965,0.018288,0.019063,-0.0022137,0.0066953,0.02331,0.0054633,0.024094,0.0018082,-0.0056459,0.0031082,0.012928,3.8007e-05
"M639.424T1291.55",0.020871,0.013856,0.032046,0.02016,0.0053809,0.021944,0.031018,-0.00020421,-0.016947,0.0047017,0.0018394,0.013966,-0.016202,-0.0046512,0.00092461
"M986.591T1195.638",0.012557,0.014192,0.027092,-0.011792,0.020226,0.010023,0.011546,-0.0323,0.0048932,-0.031462,0.016042,-0.0084292,0.012905,0.0048326,-0.012493
"M591.473T1440.13",0.0069748,-0.0031995,0.050608,0.025607,0.019364,0.00041082,0.011127,0.015345,-0.029683,0.036687,0.025733,0.0097666,0.011254,0.01959,0.0026764
"M590.465T1389.456",-0.0087394,0.0068281,0.056463,0.016555,0.030846,0.022821,0.018319,0.029892,-0.041339,0.036154,0.033696,-0.019809,-0.0060154,-0.029699,-0.0057284
"M631.469T1330.308",0.027047,0.017948,0.041669,0.014257,0.028181,-0.00055806,0.014406,0.029404,0.0017869,0.0041087,0.006371,-0.0012543,0.0018002,0.011824,0.0069339
"M637.415T1439.736",0.0038523,-0.0044274,0.022947,0.01817,0.020325,0.021764,0.012871,0.015762,-0.0036103,0.016925,-0.0064399,-0.011945,0.0061567,0.020404,-7.1402e-05
"M759.217T1590.788",-0.013089,-0.0032265,-0.030091,-0.0015992,0.0087815,0.0074384,0.022536,0.0050221,-0.028563,-0.0085428,-0.0068927,0.022956,-0.001541,0.022036,0.0019167
"M711.441T1125.643",0.015162,0.017676,0.021791,-0.0065939,0.0071239,0.012095,-0.0077212,-0.0075045,-0.014399,0.00071176,-0.024552,0.028595,-0.054972,0.017808,0.0029901
