"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"C9.1",-3.3001,7.7336,-9.958,3.3852,4.6509,0.27853,7.9148,-3.36,-3.1501,-2.8143,4.2163,-2.2468,0.41706,-0.88648,8.0475e-17
"C9.2",-28.47,12.154,0.21221,-4.7822,2.2765,-0.51059,-3.7243,-1.052,0.24038,4.5523,0.85175,0.71254,0.91354,-0.043758,1.4799e-14
"C9.3",-5.9166,-3.17,3.8754,0.34255,-8.9428,1.9418,3.2496,-2.7247,2.8247,-3.5578,1.2272,4.9754,1.6869,3.1889,5.7356e-15
"C9.4",-5.5213,1.5423,3.6126,8.4049,-2.9134,-0.22185,-3.5431,0.32061,-3.0523,-2.2887,-2.1795,-4.6417,-2.2399,4.5063,2.3331e-14
"D9.1",-2.2464,-7.6882,3.673,-3.2806,7.2695,2.1121,1.0374,-1.3303,-5.9087,-1.3771,-4.5342,4.1686,-2.4533,-1.1073,1.5907e-15
"D9.2",-0.42856,5.7502,-5.4152,5.6269,4.29,5.5013,-0.29429,-0.4185,7.6776,-2.1035,-4.7069,-0.82827,-0.46473,-1.842,5.1866e-15
"D9.3",19.201,25.711,9.4343,-6.1325,-1.2168,-1.5687,0.28925,-0.32288,-0.60188,0.28019,-0.65211,0.46163,-0.01768,0.098825,-7.4704e-15
"D9.4",0.72325,-8.6817,-1.6629,-9.1751,-4.6929,1.3463,5.6809,1.7718,-0.91718,3.1183,-4.2416,-3.4558,3.5925,0.33297,-7.0141e-15
"F9.1",0.38406,-5.2749,-0.85153,3.4778,0.3425,-13.333,3.7976,0.33887,3.2372,2.3903,-0.81345,0.77503,-2.8212,0.029874,2.6059e-16
"F9.2",14.637,-7.7108,-6.4185,2.5759,-0.89754,2.7513,-4.298,-7.9574,-0.19185,5.1313,1.2663,0.16881,-0.22932,0.70409,-1.0251e-14
"F9.3",4.0292,1.0112,-18.101,-6.4004,-4.3458,-2.9987,-5.8497,4.2389,-1.5085,-3.2001,0.1746,1.4635,0.22448,-0.43678,-8.5007e-15
"X9.1",0.25051,-2.6043,7.3896,13.392,-3.4742,-2.4297,-2.7164,1.1443,-2.4042,-0.41207,0.13254,0.35435,4.0266,-4.2423,1.4997e-14
"X9.2",-2.8078,-6.044,6.3431,-5.482,-7.6676,4.4784,0.2703,1.4214,1.0078,-0.11356,3.4453,-1.8867,-4.6676,-3.4704,-1.8668e-15
"X9.3",3.3658,-11.426,8.3302,-8.3352,10.064,-2.498,-3.5929,-0.34987,2.6107,-3.3809,2.9161,-1.9745,2.1756,0.87862,-2.0097e-14
"X9.4",6.1001,-1.3022,-0.46349,6.3832,5.258,5.1504,1.7786,8.2798,0.13646,3.7758,2.8976,1.9539,-0.14301,2.2894,-1.0764e-14
